AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
0,18,0,0,3,0,2,0,6,0,20,0,4,0,11,0,8,0,9,0,0,0,0,23,8,0,0,25,0
