date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sh.601390,6.2913742500,6.3153413900,6.2314564000,6.3153413900,6.3153413900,55071210,287871386.6000,1,0.270400,1,0.000000,0
2021-01-05,sh.601390,6.3153413900,6.5070785100,6.2314564000,6.3872428100,6.3153413900,93060805,493677134.4200,1,0.457000,1,1.138500,0
2021-01-06,sh.601390,6.3273249600,6.6628649200,6.3273249600,6.5789799300,6.3872428100,171566039,938463351.0100,1,0.842500,1,3.001900,0
2021-01-07,sh.601390,6.5310456500,6.6149306400,6.4231935200,6.4711278000,6.5789799300,102092331,553677551.2600,1,0.501300,1,-1.639300,0
2021-01-08,sh.601390,6.4711278000,6.6508813500,6.4591442300,6.5310456500,6.4711278000,81464567,446290187.7800,1,0.400100,1,0.925900,0
2021-01-11,sh.601390,6.5310456500,6.6269142100,6.3872428100,6.4351770900,6.5310456500,74922595,405706030.4200,1,0.367900,1,-1.467900,0
2021-01-12,sh.601390,6.4231935200,6.5909635000,6.3992263800,6.5310456500,6.4351770900,85638101,464801275.6900,1,0.420500,1,1.489800,0
2021-01-13,sh.601390,6.5430292200,6.9384870300,6.4591442300,6.7827006200,6.5310456500,256305359,1439836893.6600,1,1.258600,1,3.853200,0
2021-01-14,sh.601390,6.7707170500,7.3698955500,6.7107992000,7.2260927100,6.7827006200,406827696,2428327676.6200,1,1.997800,1,6.537100,0
2021-01-15,sh.601390,7.2380762800,7.2860105600,6.9025363200,6.9384870300,7.2260927100,243821753,1433363191.8800,1,1.197300,1,-3.980100,0
2021-01-18,sh.601390,6.8546020400,7.0103884500,6.8066677600,6.9025363200,6.9384870300,133344844,765227873.6900,1,0.654800,1,-0.518100,0
2021-01-19,sh.601390,6.8546020400,6.8905527500,6.7347663400,6.7707170500,6.9025363200,114984757,653518847.6700,1,0.564700,1,-1.909700,0
2021-01-20,sh.601390,6.7587334800,6.8905527500,6.6988156300,6.7707170500,6.7707170500,97768848,554014946.0000,1,0.480100,1,0.000000,0
2021-01-21,sh.601390,6.7707170500,6.7707170500,6.6029470700,6.7107992000,6.7707170500,98840742,552957232.2600,1,0.485400,1,-0.885000,0
2021-01-22,sh.601390,6.6988156300,6.6988156300,6.5669963600,6.5789799300,6.7107992000,85424849,471314977.0300,1,0.419500,1,-1.964300,0
2021-01-25,sh.601390,6.5909635000,6.6508813500,6.5070785100,6.5430292200,6.5789799300,74739940,409551177.9300,1,0.367000,1,-0.546400,0
2021-01-26,sh.601390,6.5550127900,6.6149306400,6.4950949400,6.5430292200,6.5430292200,63038379,344440932.7900,1,0.309600,1,0.000000,0
2021-01-27,sh.601390,6.5190620800,6.6628649200,6.5070785100,6.5430292200,6.5430292200,73896469,406236818.3600,1,0.362900,1,0.000000,0
2021-01-28,sh.601390,6.4950949400,6.4950949400,6.3512921000,6.3632756700,6.5430292200,82762853,442024323.8000,1,0.406400,1,-2.747300,0
2021-01-29,sh.601390,6.3752592400,6.4231935200,6.2913742500,6.3393085300,6.3632756700,52220449,276616242.9100,1,0.256400,1,-0.376600,0
2021-02-01,sh.601390,6.3512921000,6.3992263800,6.3153413900,6.3872428100,6.3393085300,42187220,224036967.2500,1,0.207200,1,0.756100,0
2021-02-02,sh.601390,6.3752592400,6.4831113700,6.3632756700,6.4112099500,6.3872428100,52412123,280754799.5300,1,0.257400,1,0.375200,0
2021-02-03,sh.601390,6.4112099500,6.4231935200,6.2913742500,6.3033578200,6.4112099500,50217239,264993406.6200,1,0.246600,1,-1.682200,0
2021-02-04,sh.601390,6.2913742500,6.3273249600,6.2074892600,6.3033578200,6.3033578200,59222536,309610437.8700,1,0.290800,1,0.000000,0
2021-02-05,sh.601390,6.3033578200,6.3992263800,6.2793906800,6.3273249600,6.3033578200,44182751,233598891.7300,1,0.217000,1,0.380200,0
2021-02-08,sh.601390,6.3393085300,6.4351770900,6.3033578200,6.3872428100,6.3273249600,45690376,243381337.0600,1,0.224400,1,0.947000,0
2021-02-09,sh.601390,6.3632756700,6.4471606600,6.3632756700,6.4471606600,6.3872428100,48627297,260555608.5800,1,0.238800,1,0.938100,0
2021-02-10,sh.601390,6.4351770900,6.4591442300,6.3992263800,6.4231935200,6.4471606600,40933977,219543918.6600,1,0.201000,1,-0.371700,0
2021-02-18,sh.601390,6.5430292200,6.5669963600,6.4591442300,6.5190620800,6.4231935200,66551837,362671244.6800,1,0.326800,1,1.492500,0
2021-02-19,sh.601390,6.5190620800,6.8426184700,6.4950949400,6.8186513300,6.5190620800,142233274,797353692.7200,1,0.698500,1,4.595600,0
2021-02-22,sh.601390,6.8905527500,7.1062570100,6.8186513300,6.8785691800,6.8186513300,214822489,1248935716.4500,1,1.054900,1,0.878700,0
2021-02-23,sh.601390,6.9624541700,7.0703063000,6.7707170500,6.8066677600,6.8785691800,146621903,847208387.1500,1,0.720000,1,-1.045300,0
2021-02-24,sh.601390,6.7827006200,6.9384870300,6.6508813500,6.7946841900,6.8066677600,128373946,728019902.3700,1,0.630400,1,-0.176100,0
2021-02-25,sh.601390,6.9265034600,7.2620434200,6.8785691800,7.0822898700,6.7946841900,286893440,1698979926.9600,1,1.408900,1,4.232800,0
2021-02-26,sh.601390,6.9504706000,6.9984048800,6.7827006200,6.8426184700,7.0822898700,166907086,959319275.3900,1,0.819600,1,-3.384100,0
2021-03-01,sh.601390,6.8905527500,6.9744377400,6.7707170500,6.9624541700,6.8426184700,111820296,641576886.3000,1,0.549100,1,1.751300,0
2021-03-02,sh.601390,6.9504706000,6.9624541700,6.7707170500,6.7946841900,6.9624541700,85638169,488213488.7700,1,0.420500,1,-2.409600,0
2021-03-03,sh.601390,6.7707170500,7.0223720200,6.7467499100,6.9984048800,6.7946841900,135076934,782110772.9300,1,0.663300,1,2.998200,0
2021-03-04,sh.601390,6.9984048800,7.1302241500,6.9265034600,6.9744377400,6.9984048800,133891510,783102984.8000,1,0.657500,1,-0.342500,0
2021-03-05,sh.601390,6.9025363200,7.1901420000,6.8905527500,7.0703063000,6.9744377400,163224005,964134218.9200,1,0.801600,1,1.374600,0
2021-03-08,sh.601390,7.1062570100,7.2021255700,6.9265034600,6.9265034600,7.0703063000,138132183,812900665.7800,1,0.678300,1,-2.033900,0
2021-03-09,sh.601390,6.9265034600,7.1062570100,6.8186513300,6.9504706000,6.9265034600,124043523,721661257.9500,1,0.609100,1,0.346000,0
2021-03-10,sh.601390,6.9384870300,6.9624541700,6.7707170500,6.7827006200,6.9504706000,106656520,610337644.2300,1,0.523800,1,-2.413800,0
2021-03-11,sh.601390,6.7946841900,6.8785691800,6.7347663400,6.8426184700,6.7827006200,91234151,518204658.5600,1,0.448000,1,0.883400,0
2021-03-12,sh.601390,6.8665856100,7.1182405800,6.8066677600,7.0583227300,6.8426184700,175103253,1025573350.0300,1,0.859900,1,3.152400,0
2021-03-15,sh.601390,7.0343555900,7.2860105600,7.0103884500,7.1661748600,7.0583227300,213356048,1278030439.4700,1,1.047700,1,1.528000,0
2021-03-16,sh.601390,7.1901420000,7.2380762800,7.1062570100,7.2141091400,7.1661748600,114699454,687328691.1400,1,0.563300,1,0.668900,0
2021-03-17,sh.601390,7.1901420000,7.2141091400,7.0583227300,7.1062570100,7.2141091400,91960690,545661500.7200,1,0.451600,1,-1.495000,0
2021-03-18,sh.601390,7.1182405800,7.1541912900,7.0223720200,7.1182405800,7.1062570100,101684305,601298787.1700,1,0.499300,1,0.168600,0
