date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sh.601628,47.0729350300,47.0729350300,45.5647373200,46.3862759100,47.0729350300,27325327,1026587692.1000,1,0.131200,1,-1.458700,0
2021-01-05,sh.601628,45.9693757300,45.9938992700,45.1600989100,45.9693757300,46.3862759100,24119173,895589111.7500,1,0.115800,1,-0.898800,0
2021-01-06,sh.601628,45.8590198000,47.8086412300,45.6750932500,47.8086412300,45.9693757300,45982366,1764153274.9700,1,0.220800,1,4.001100,0
2021-01-07,sh.601628,47.9189971600,48.8018446000,46.9993644100,48.2378031800,47.8086412300,40746234,1591183904.8600,1,0.195700,1,0.897700,0
2021-01-08,sh.601628,48.1519707900,48.1642325600,47.2445998100,47.8576883100,48.2378031800,22747787,885732994.8800,1,0.109200,1,-0.788000,0
2021-01-11,sh.601628,47.6982853000,47.7841176900,46.2759199800,46.2881817500,47.8576883100,24923966,952176959.0800,1,0.119700,1,-3.279500,0
2021-01-12,sh.601628,46.4721083000,50.4571835500,45.8958051100,50.0402833700,46.2881817500,48023107,1888165126.4600,1,0.230600,1,8.106000,0
2021-01-13,sh.601628,50.0157598300,50.4571835500,48.6669651300,49.1329123900,50.0402833700,36650617,1475232101.4700,1,0.176000,1,-1.813300,0
2021-01-14,sh.601628,49.0470800000,50.9476543500,49.0470800000,49.4639801800,49.1329123900,40529688,1655053198.8100,1,0.194600,1,0.673800,0
2021-01-15,sh.601628,49.2310065500,51.8918106400,49.1083888500,50.7759895700,49.4639801800,47128362,1952244557.5000,1,0.226300,1,2.652500,0
2021-01-18,sh.601628,50.2732570000,51.0825338200,49.0593417700,50.1261157600,50.7759895700,32900157,1335610066.5900,1,0.158000,1,-1.279900,0
2021-01-19,sh.601628,49.6601685000,50.5920630200,49.1819594700,50.1874246100,50.1261157600,23990683,974373728.1500,1,0.115200,1,0.122300,0
2021-01-20,sh.601628,49.6111214200,49.9912362900,48.8018446000,49.0225564600,50.1874246100,20864304,837648336.8900,1,0.100200,1,-2.321000,0
2021-01-21,sh.601628,49.0348182300,49.1329123900,47.8331647700,48.5443474300,49.0225564600,25663890,1011670101.6200,1,0.123200,1,-0.975500,0
2021-01-22,sh.601628,48.2010178700,48.4339915000,46.5947260000,46.6192495400,48.5443474300,31233367,1204135633.7400,1,0.150000,1,-3.965600,0
2021-01-25,sh.601628,46.6315113100,47.4162645900,45.6505697100,47.4040028200,46.6192495400,20599775,783554908.7000,1,0.098900,1,1.683300,0
2021-01-26,sh.601628,46.8644849400,47.1587674200,45.9203286500,46.1655640500,47.4040028200,16148673,611487024.5600,1,0.077600,1,-2.612500,0
2021-01-27,sh.601628,46.1655640500,46.9503173300,46.0429463500,46.2881817500,46.1655640500,12291941,465880711.2200,1,0.059000,1,0.265600,0
2021-01-28,sh.601628,45.5524755500,46.0061610400,45.3685490000,45.6628314800,46.2881817500,11806410,439268093.9200,1,0.056700,1,-1.351000,0
2021-01-29,sh.601628,45.8958051100,45.9325904200,43.7867806700,44.3262985500,45.6628314800,17692899,644907386.3200,1,0.085000,1,-2.927000,0
2021-02-01,sh.601628,44.1423720000,44.7922458100,43.6764247400,44.5347486400,44.3262985500,11548334,418116590.9900,1,0.055500,1,0.470300,0
2021-02-02,sh.601628,44.7677222700,44.8045075800,43.7745189000,44.0933249200,44.5347486400,14717872,528650889.9600,1,0.070700,1,-0.991200,0
