date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sh.601857,5.7789165000,5.8485420000,5.7649914000,5.8346169000,5.7789165000,96907113,403962846.3200,1,0.059800,1,0.963900,0
2021-01-05,sh.601857,5.8067667000,5.8206918000,5.7510663000,5.8206918000,5.8346169000,81851611,340130522.3400,1,0.050600,1,-0.238700,0
2021-01-06,sh.601857,5.8485420000,5.9320926000,5.8485420000,5.9181675000,5.8206918000,138665156,587466028.1500,1,0.085600,1,1.674600,0
2021-01-07,sh.601857,5.9181675000,5.9181675000,5.8346169000,5.9181675000,5.9181675000,113085133,478465594.5400,1,0.069800,1,0.000000,0
2021-01-08,sh.601857,5.9181675000,5.9877930000,5.9042424000,5.9738679000,5.9181675000,152421290,653176211.3700,1,0.094100,1,0.941200,0
2021-01-11,sh.601857,5.9738679000,5.9877930000,5.8624671000,5.8763922000,5.9738679000,119641410,508870833.6800,1,0.073900,1,-1.631700,0
2021-01-12,sh.601857,5.8624671000,6.0017181000,5.8485420000,6.0017181000,5.8763922000,143888797,613851830.4200,1,0.088900,1,2.132700,0
2021-01-13,sh.601857,6.0017181000,6.1270440000,5.9738679000,6.0713436000,6.0017181000,185290946,805044705.9100,1,0.114400,1,1.160100,0
2021-01-14,sh.601857,6.0295683000,6.1131189000,6.0017181000,6.0295683000,6.0713436000,128560607,558369783.8900,1,0.079400,1,-0.688100,0
2021-01-15,sh.601857,6.0574185000,6.0852687000,5.9460177000,5.9599428000,6.0295683000,146794503,632946484.1800,1,0.090700,1,-1.154700,0
2021-01-18,sh.601857,5.9181675000,5.9599428000,5.9042424000,5.9181675000,5.9599428000,90718352,386260371.4500,1,0.056000,1,-0.700900,0
2021-01-19,sh.601857,5.9181675000,5.9738679000,5.9042424000,5.9320926000,5.9181675000,74803843,318870331.0400,1,0.046200,1,0.235300,0
2021-01-20,sh.601857,5.9460177000,6.0017181000,5.8903173000,5.9460177000,5.9320926000,81031637,345732678.7000,1,0.050000,1,0.234700,0
2021-01-21,sh.601857,5.9181675000,5.9599428000,5.9042424000,5.9181675000,5.9460177000,71767521,305833117.1800,1,0.044300,1,-0.468400,0
2021-01-22,sh.601857,5.9181675000,5.9320926000,5.8206918000,5.8206918000,5.9181675000,98588245,414158608.6700,1,0.060900,1,-1.647100,0
2021-01-25,sh.601857,5.8206918000,5.8206918000,5.7510663000,5.7789165000,5.8206918000,79340697,329259583.1500,1,0.049000,1,-0.717700,0
2021-01-26,sh.601857,5.7649914000,5.8206918000,5.7510663000,5.7928416000,5.7789165000,60511883,251736166.5300,1,0.037400,1,0.241000,0
2021-01-27,sh.601857,5.7928416000,5.8206918000,5.7649914000,5.7789165000,5.7928416000,72089555,299821188.5600,1,0.044500,1,-0.240400,0
2021-01-28,sh.601857,5.7649914000,5.7789165000,5.7232161000,5.7510663000,5.7789165000,80810465,333092692.0400,1,0.049900,1,-0.481900,0
2021-01-29,sh.601857,5.7510663000,5.7510663000,5.6814408000,5.6953659000,5.7510663000,85750155,351731402.8800,1,0.053000,1,-0.968500,0
2021-02-01,sh.601857,5.6953659000,5.7092910000,5.6535906000,5.6814408000,5.6953659000,77991811,317569360.6200,1,0.048200,1,-0.244500,0
2021-02-02,sh.601857,5.6953659000,5.7371412000,5.6814408000,5.6953659000,5.6814408000,63664326,260867506.6600,1,0.039300,1,0.245100,0
2021-02-03,sh.601857,5.7232161000,5.7371412000,5.6814408000,5.6953659000,5.6953659000,54129961,221481936.2800,1,0.033400,1,0.000000,0
2021-02-04,sh.601857,5.7232161000,5.7232161000,5.6396655000,5.6953659000,5.6953659000,81347240,331741542.3900,1,0.050200,1,0.000000,0
