date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sz.000858,4381.4483200000,4501.4880000000,4381.2982704000,4472.2283280000,4379.1975760000,23427822,6977115208.0700,1,0.617200,1,2.124400,0
2021-01-05,sz.000858,4459.4741120000,4801.2871008000,4418.9607200000,4801.2871008000,4472.2283280000,31460633,9802665755.9500,1,0.828800,1,7.357800,0
2021-01-06,sz.000858,4803.8379440000,5036.5648736000,4768.4262384000,4926.1283680000,4801.2871008000,31343033,10211616773.8100,1,0.825700,1,2.600200,0
2021-01-07,sz.000858,4926.2784176000,4961.8401728000,4757.7727168000,4951.6368000000,4926.1283680000,24255948,7882443069.0600,1,0.639000,1,0.517800,0
2021-01-08,sz.000858,4952.5370976000,4975.6447360000,4635.6323424000,4756.5723200000,4951.6368000000,37870249,12096818569.5300,1,0.997700,1,-3.939400,0
2021-01-11,sz.000858,4748.0194928000,4749.0698400000,4493.9855200000,4519.4939520000,4756.5723200000,38195291,11637052715.6900,1,1.006200,1,-4.984200,0
2021-01-12,sz.000858,4485.7327920000,4671.0440480000,4471.4780800000,4651.5376000000,4519.4939520000,23025505,7067492692.4900,1,0.606600,1,2.921600,0
2021-01-13,sz.000858,4674.4951888000,4703.7548608000,4533.2985152000,4581.4644368000,4651.5376000000,23365302,7164303594.2000,1,0.615600,1,-1.506500,0
2021-01-14,sz.000858,4561.5078400000,4574.7122048000,4336.4334400000,4342.4354240000,4581.4644368000,35489554,10426526438.5500,1,0.935000,1,-5.217300,0
2021-01-15,sz.000858,4321.4284800000,4385.7997584000,4172.4292272000,4316.9269920000,4342.4354240000,41713251,11843762786.6700,1,1.098900,1,-0.587400,0
2021-01-18,sz.000858,4276.4136000000,4308.5242144000,4191.3354768000,4269.6613680000,4316.9269920000,27255864,7724438136.5300,1,0.718100,1,-1.094900,0
2021-01-19,sz.000858,4306.4235200000,4351.4384000000,4201.3888000000,4223.8962400000,4269.6613680000,29388857,8340023174.8600,1,0.774200,1,-1.071900,0
2021-01-20,sz.000858,4201.3888000000,4285.5666256000,4125.4637024000,4274.1628560000,4223.8962400000,26404034,7448387724.9200,1,0.695600,1,1.190100,0
2021-01-21,sz.000858,4288.4175680000,4486.3329904000,4283.9160800000,4455.7228720000,4274.1628560000,29402390,8608576887.9700,1,0.774600,1,4.247800,0
2021-01-22,sz.000858,4427.6635968000,4500.1375536000,4390.1511968000,4434.8659776000,4455.7228720000,24946675,7369528934.0900,1,0.657200,1,-0.468100,0
2021-01-25,sz.000858,4435.0160272000,4746.5189968000,4399.4542720000,4736.9158224000,4434.8659776000,41290940,12821666909.2600,1,1.087800,1,6.810800,0
2021-01-26,sz.000858,4736.9158224000,4737.2159216000,4578.0132960000,4588.2166688000,4736.9158224000,24143501,7458358973.5500,1,0.636100,1,-3.139200,0
2021-01-27,sz.000858,4545.0023840000,4545.0023840000,4306.4235200000,4390.1511968000,4588.2166688000,30793847,9033475506.8100,1,0.811300,1,-4.316800,0
2021-01-28,sz.000858,4324.8796208000,4381.4483200000,4246.4036800000,4291.4185600000,4390.1511968000,27607757,7911157526.9100,1,0.727300,1,-2.249000,0
