date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sz.000725,20.4461099500,20.4461099500,19.8275721700,20.3430203200,20.6179260000,1472368032,8643826990.1300,1,4.390300,1,-1.333300,0
2021-01-05,sz.000725,20.1024778500,21.2364637800,19.9650250100,21.1677373600,20.3430203200,1680283552,10116881650.0800,1,5.010200,1,4.054100,0
2021-01-06,sz.000725,21.1677373600,21.4082798300,20.7897420500,21.0990109400,21.1677373600,1060686592,6493864284.7800,1,3.162700,1,-0.324700,0
2021-01-07,sz.000725,20.8584684700,21.5800958800,20.8241052600,21.2021005700,21.0990109400,1076377312,6634781961.4000,1,3.209500,1,0.488600,0
2021-01-08,sz.000725,21.3051902000,22.1642704500,21.3051902000,22.0955440300,21.2021005700,1288730896,8179342912.0100,1,3.842700,1,4.213900,0
2021-01-11,sz.000725,22.5422657600,22.7828082300,21.6488223000,21.9580911900,22.0955440300,1467336896,9500364606.5800,1,4.375300,1,-0.622100,0
2021-01-12,sz.000725,22.6109921800,24.0542470000,21.6831855100,23.9167941600,21.9580911900,1922723408,12845183301.8800,1,5.733200,1,8.920200,0
2021-01-13,sz.000725,23.9167941600,25.1195065100,23.7449781100,24.1229734200,23.9167941600,1710930480,12151592820.7400,1,5.101600,1,0.862100,0
2021-01-14,sz.000725,24.3978791000,25.7380442900,23.7793413200,24.1229734200,24.1229734200,1929809216,13837220266.2800,1,5.754300,1,0.000000,0
2021-01-15,sz.000725,24.0542470000,24.2947894700,22.4735393400,23.3669828000,24.1229734200,2013886256,13689764140.6000,1,6.005000,1,-3.133900,0
2021-01-18,sz.000725,22.7828082300,23.6418884800,22.0955440300,23.5044356400,23.3669828000,1931019888,12850954468.1000,1,5.757900,1,0.588200,0
2021-01-19,sz.000725,23.4700724300,23.8824309500,22.3017232900,22.4048129200,23.5044356400,1594534880,10734321081.1300,1,4.754600,1,-4.678400,0
2021-01-20,sz.000725,22.6109921800,23.5731620600,22.5079025500,23.0577139100,22.4048129200,1128330320,7580809361.3800,1,3.364400,1,2.914100,0
2021-01-21,sz.000725,23.2982563800,24.4322423100,23.2982563800,23.9855205800,23.0577139100,1532860320,10663512892.1500,1,4.570700,1,4.023800,0
2021-01-22,sz.000725,23.9167941600,24.6384215700,23.6762516900,24.5009687300,23.9855205800,1080822624,7588724821.6200,1,3.222800,1,2.149000,0
2021-01-25,sz.000725,24.6040583600,24.8789640400,23.8824309500,24.2260630500,24.5009687300,1131113904,7979646610.9200,1,3.372700,1,-1.122000,0
2021-01-26,sz.000725,23.8824309500,24.0542470000,22.8858978600,23.2295299600,24.2260630500,1192722016,8125963062.4000,1,3.556400,1,-4.113500,0
2021-01-27,sz.000725,23.3669828000,23.9167941600,22.9889874900,23.8137045300,23.2295299600,958565520,6576031214.8000,1,2.858200,1,2.514800,0
2021-01-28,sz.000725,23.3326195900,23.5044356400,21.8550015600,21.9237279800,23.8137045300,1503677088,9926398663.9400,1,4.483600,1,-7.936500,0
2021-01-29,sz.000725,21.9924544000,22.0611808200,20.5491995800,21.2364637800,21.9237279800,1696824560,10445384230.9600,1,5.059600,1,-3.134800,0
2021-02-01,sz.000725,21.4770062500,21.6144590900,20.7897420500,21.4082798300,21.2364637800,1156378032,7166030209.3700,1,3.448100,1,0.809100,0
2021-02-02,sz.000725,21.4426430400,21.7519119300,21.0646477300,21.6488223000,21.4082798300,993427200,6190388154.5300,1,2.962200,1,1.123600,0
2021-02-03,sz.000725,21.5113694600,21.5113694600,20.5491995800,20.5491995800,21.6488223000,1220714688,7470246612.2500,1,3.639900,1,-5.079400,0
2021-02-04,sz.000725,20.4804731600,21.4426430400,20.0681146400,21.2364637800,20.5491995800,1347822384,8144865323.7000,1,4.018900,1,3.344500,0
2021-02-05,sz.000725,21.2364637800,21.2364637800,20.2399306900,20.2399306900,21.2364637800,1128165920,6760337172.3000,1,3.364000,1,-4.692600,0
2021-02-08,sz.000725,20.2742939000,20.8584684700,20.0337514300,20.5491995800,20.2399306900,716782560,4280162394.7400,1,2.137300,1,1.528000,0
2021-02-09,sz.000725,20.6179260000,21.4082798300,20.5835627900,21.2021005700,20.5491995800,804767456,4945961112.4600,1,2.399600,1,3.177300,0
2021-02-10,sz.000725,21.2021005700,21.3051902000,21.0302845200,21.2708269900,21.2021005700,682912576,4208512491.3600,1,2.036300,1,0.324100,0
2021-02-18,sz.000725,21.6488223000,21.7862751400,20.9615581000,21.0646477300,21.2708269900,1031239904,6408522829.6100,1,3.074900,1,-0.969300,0
2021-02-19,sz.000725,20.8241052600,21.5800958800,20.5491995800,21.5457326700,21.0646477300,917026128,5628753175.9800,1,2.734400,1,2.283800,0
2021-02-22,sz.000725,21.5113694600,22.2673600800,21.1677373600,21.7519119300,21.5457326700,1218420064,7740720862.0000,1,3.633100,1,0.956900,0
2021-02-23,sz.000725,21.6488223000,22.8171714400,21.5113694600,22.4048129200,21.7519119300,1191922992,7745305294.9700,1,3.554100,1,3.001600,0
2021-02-24,sz.000725,22.3360865000,22.3360865000,21.3395534100,21.7175487200,22.4048129200,1127113360,7157864271.7200,1,3.360800,1,-3.067500,0
2021-02-25,sz.000725,21.8893647700,22.1642704500,21.4770062500,21.5457326700,21.7175487200,831638576,5280074657.1400,1,2.479800,1,-0.791100,0
2021-02-26,sz.000725,20.8241052600,21.4082798300,20.7897420500,20.9271948900,21.5457326700,851793984,5226143405.1700,1,2.539900,1,-2.870800,0
2021-03-01,sz.000725,21.1333741500,21.4770062500,20.9271948900,21.2021005700,20.9271948900,640845264,3947842022.6900,1,1.910900,1,1.313600,0
2021-03-02,sz.000725,21.2708269900,21.3051902000,20.6866524200,20.8241052600,21.2021005700,760807040,4637531965.1100,1,2.268600,1,-1.782800,0
2021-03-03,sz.000725,20.8241052600,21.8206383500,20.7553788400,21.8206383500,20.8241052600,989061088,6159684031.1000,1,2.949200,1,4.785500,0
2021-03-04,sz.000725,21.6488223000,21.9924544000,21.5113694600,21.7519119300,21.8206383500,822000560,5202892827.9800,1,2.451000,1,-0.315000,0
