date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sh.600029,10.0581784000,10.1263694400,9.9558918400,10.0581784000,10.1604649600,44539533,261992016.3200,1,0.549100,1,-1.006700,0
2021-01-05,sh.600029,9.9899873600,10.0581784000,9.8195097600,9.9729396000,10.0581784000,49501932,288105205.0700,1,0.610300,1,-0.847500,0
2021-01-06,sh.600029,9.9217963200,9.9217963200,9.7854142400,9.8024620000,9.9729396000,55867315,322215452.7800,1,0.688700,1,-1.709400,0
2021-01-07,sh.600029,9.8195097600,9.8536052800,9.5467456000,9.6319844000,9.8024620000,59035651,334574200.5600,1,0.727800,1,-1.739100,0
2021-01-08,sh.600029,9.6149366400,9.7683664800,9.5808411200,9.7342709600,9.6319844000,38096459,216705172.0500,1,0.469700,1,1.061900,0
2021-01-11,sh.600029,9.6149366400,9.6490321600,9.5126500800,9.6149366400,9.7342709600,66387292,372403103.2300,1,0.818400,1,-1.225900,0
2021-01-12,sh.600029,9.5296978400,9.7854142400,9.4785545600,9.7854142400,9.6149366400,38893149,219918965.4800,1,0.479500,1,1.773000,0
2021-01-13,sh.600029,9.7342709600,9.8536052800,9.6490321600,9.8195097600,9.7854142400,42356055,242485986.9600,1,0.522200,1,0.348400,0
2021-01-14,sh.600029,9.7172232000,9.8706530400,9.6660799200,9.7513187200,9.8195097600,28622666,163874910.3700,1,0.352900,1,-0.694400,0
2021-01-15,sh.600029,9.7683664800,9.8195097600,9.6490321600,9.6831276800,9.7513187200,28390145,162091783.1800,1,0.350000,1,-0.699300,0
2021-01-18,sh.600029,9.6490321600,9.7854142400,9.5808411200,9.7513187200,9.6831276800,29120290,165905923.1400,1,0.359000,1,0.704200,0
2021-01-19,sh.600029,9.7683664800,10.0070351200,9.6831276800,9.9047485600,9.7513187200,48104155,279358904.6800,1,0.593000,1,1.573400,0
2021-01-20,sh.600029,9.9047485600,9.9388440800,9.7342709600,9.7854142400,9.9047485600,27385167,157716954.9300,1,0.337600,1,-1.204800,0
2021-01-21,sh.600029,9.7172232000,9.7513187200,9.6319844000,9.6831276800,9.7854142400,35306839,200634113.5200,1,0.435300,1,-1.045300,0
2021-01-22,sh.600029,9.6490321600,9.6660799200,9.5296978400,9.5296978400,9.6831276800,33772652,189510219.9300,1,0.416400,1,-1.584500,0
2021-01-25,sh.600029,9.4956023200,9.5808411200,9.4274112800,9.4615068000,9.5296978400,28849346,160446015.9100,1,0.355700,1,-0.715600,0
2021-01-26,sh.600029,9.4956023200,9.7172232000,9.4103635200,9.6660799200,9.4615068000,38286058,215662691.5300,1,0.472000,1,2.162200,0
2021-01-27,sh.600029,9.6319844000,9.9217963200,9.5808411200,9.7683664800,9.6660799200,48497454,277654613.3900,1,0.597900,1,1.058200,0
2021-01-28,sh.600029,9.7342709600,9.7854142400,9.5467456000,9.5808411200,9.7683664800,26543907,149924488.0500,1,0.327200,1,-1.919700,0
2021-01-29,sh.600029,9.6831276800,10.2286560000,9.6149366400,9.9388440800,9.5808411200,97422010,568724790.7100,1,1.201000,1,3.736700,0
2021-02-01,sh.600029,9.7513187200,10.2627515200,9.6149366400,10.0411306400,9.9388440800,85857072,502990869.8600,1,1.058500,1,1.029200,0
2021-02-02,sh.600029,9.9388440800,10.1775127200,9.8195097600,9.8536052800,10.0411306400,46599785,271940794.9400,1,0.574500,1,-1.867600,0
2021-02-03,sh.600029,9.8877008000,9.9388440800,9.6490321600,9.7342709600,9.8536052800,41128211,235947871.2400,1,0.507000,1,-1.211100,0
2021-02-04,sh.600029,9.7172232000,9.9047485600,9.5978888800,9.7001754400,9.7342709600,35890291,204750950.4800,1,0.442500,1,-0.350300,0
2021-02-05,sh.600029,9.6660799200,10.1775127200,9.6319844000,10.1434172000,9.7001754400,89375658,523857189.4400,1,1.101800,1,4.569400,0
2021-02-08,sh.600029,10.1775127200,10.6037067200,10.1093216800,10.5525634400,10.1434172000,106121322,650787601.1100,1,1.308300,1,4.033600,0
2021-02-09,sh.600029,10.5355156800,10.5866589600,10.4161813600,10.5696112000,10.5525634400,50304320,310011172.1800,1,0.620200,1,0.161600,0
2021-02-10,sh.600029,10.5355156800,10.5696112000,10.3991336000,10.5014201600,10.5696112000,35436376,218374283.6000,1,0.436900,1,-0.645200,0
2021-02-18,sh.600029,10.6548500000,10.9446619200,10.4843724000,10.8423753600,10.5014201600,83791920,528844159.9400,1,1.033000,1,3.246800,0
2021-02-19,sh.600029,10.7230410400,11.0980917600,10.7059932800,10.8253276000,10.8423753600,70460839,448593277.0400,1,0.868700,1,-0.157200,0
