date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sz.000895,821.2894182600,861.8814815400,816.9152735100,840.0107577900,821.2894182600,24369117,1172056329.2400,1,1.813900,1,2.279500,0
2021-01-05,sz.000895,840.8855867400,923.9943369900,840.1857235800,923.9943369900,840.0107577900,47393462,2429782136.7200,1,3.527800,1,9.997900,0
2021-01-06,sz.000895,952.8636923400,961.9619134200,907.8974843100,922.5946106700,923.9943369900,36251730,1922779494.2100,1,2.698400,1,-0.151500,0
2021-01-07,sz.000895,917.8705343400,923.8193712000,894.2501526900,910.3470053700,922.5946106700,24834673,1286592582.5900,1,1.848600,1,-1.327500,0
2021-01-08,sz.000895,909.8221080000,937.1167712400,886.7266237200,906.3227922000,910.3470053700,24285100,1265104696.7400,1,1.807700,1,-0.442100,0
2021-01-11,sz.000895,899.1491948100,926.4438580500,874.8289500000,879.2030947500,906.3227922000,25471502,1307313519.2800,1,1.896000,1,-2.992300,0
2021-01-12,sz.000895,879.2030947500,895.4749132200,862.2314131200,894.2501526900,879.2030947500,20717489,1046012433.8600,1,1.542100,1,1.711400,0
2021-01-13,sz.000895,894.4251184800,936.7668396600,886.3766921400,927.8435843700,894.2501526900,31899277,1674512444.4700,1,2.374400,1,3.756600,0
2021-01-14,sz.000895,927.3186870000,951.4639660200,909.9970737900,935.8920107100,927.8435843700,25967020,1385411092.5000,1,1.932900,1,0.867400,0
2021-01-15,sz.000895,923.8193712000,943.2405738900,881.4776500200,901.2487842900,935.8920107100,22162004,1142985426.0300,1,1.649600,1,-3.701600,0
2021-01-18,sz.000895,886.9015895100,894.7750500600,859.2569946900,873.4292236800,901.2487842900,29833092,1485807950.8300,1,2.220600,1,-3.086800,0
2021-01-19,sz.000895,874.8289500000,883.5772395000,854.0080209900,856.6325078400,873.4292236800,19224530,946085724.2400,1,1.431000,1,-1.923100,0
2021-01-20,sz.000895,856.6325078400,857.1574052100,831.0875025000,846.4844920200,856.6325078400,19894187,954124873.6300,1,1.480800,1,-1.184600,0
2021-01-21,sz.000895,841.5854499000,871.3296342000,840.0107577900,862.5813447000,846.4844920200,17685149,865486821.8500,1,1.316400,1,1.901600,0
2021-01-22,sz.000895,864.8558999700,868.3552157700,840.1857235800,854.0080209900,862.5813447000,16460907,801470106.0600,1,1.225300,1,-0.993900,0
2021-01-25,sz.000895,857.3323710000,889.7010421500,857.1574052100,880.9527526500,854.0080209900,27844558,1395498292.3000,1,2.072600,1,3.155100,0
2021-01-26,sz.000895,881.1277184400,896.5247079600,847.3593209700,856.2825762600,880.9527526500,22770121,1133809055.3400,1,1.694900,1,-2.800400,0
2021-01-27,sz.000895,848.5840815000,848.5840815000,824.2638366900,833.7119893500,856.2825762600,19689839,938631878.7900,1,1.465600,1,-2.635900,0
2021-01-28,sz.000895,823.3890077400,831.0875025000,805.1925655800,816.3903761400,833.7119893500,12307621,577317708.7500,1,0.916100,1,-2.077600,0
2021-01-29,sz.000895,821.9892814200,830.9125367100,796.9691734500,822.1642472100,816.3903761400,19749629,910909025.0000,1,1.470100,1,0.707200,0
