date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sh.601398,9.2886765300,9.3634344900,9.2512975500,9.3634344900,9.3260555100,353951184,1762309486.6500,1,0.131300,1,0.400800,0
2021-01-05,sh.601398,9.3260555100,9.3260555100,9.2326080600,9.2886765300,9.3634344900,371010368,1839470542.4800,1,0.137600,1,-0.798400,0
2021-01-06,sh.601398,9.2699870400,9.3073660200,9.2512975500,9.2886765300,9.2886765300,346318352,1717383497.5100,1,0.128500,1,0.000000,0
2021-01-07,sh.601398,9.2886765300,9.3447450000,9.2512975500,9.3447450000,9.2886765300,319047408,1587574807.6400,1,0.118300,1,0.603600,0
2021-01-08,sh.601398,9.3447450000,9.4008134700,9.3073660200,9.3447450000,9.3447450000,342202976,1710555284.6300,1,0.126900,1,0.000000,0
2021-01-11,sh.601398,9.3447450000,9.4195029600,9.3073660200,9.3260555100,9.3447450000,495651504,2483547359.5800,1,0.183800,1,-0.200000,0
2021-01-12,sh.601398,9.3260555100,9.3821239800,9.2699870400,9.3821239800,9.3260555100,350495696,1745570165.2100,1,0.130000,1,0.601200,0
2021-01-13,sh.601398,9.4008134700,9.4568819400,9.3447450000,9.4568819400,9.3821239800,404644208,2037164962.6500,1,0.150100,1,0.796800,0
2021-01-14,sh.601398,9.4381924500,9.6250873500,9.4195029600,9.4942609200,9.4568819400,388409552,1975738477.2000,1,0.144100,1,0.395300,0
2021-01-15,sh.601398,9.5316399000,9.8306717400,9.5316399000,9.6250873500,9.4942609200,700663408,3629241418.7800,1,0.259900,1,1.378000,0
2021-01-18,sh.601398,9.5877083700,9.6811558200,9.4942609200,9.6063978600,9.6250873500,398189792,2039374953.4800,1,0.147700,1,-0.194200,0
2021-01-19,sh.601398,9.6063978600,9.7559137800,9.5316399000,9.7185348000,9.6063978600,433069024,2239901451.7700,1,0.160600,1,1.167300,0
2021-01-20,sh.601398,9.6811558200,9.8119822500,9.5877083700,9.6250873500,9.7185348000,314566464,1629660425.6800,1,0.116700,1,-0.961500,0
2021-01-21,sh.601398,9.6437768400,9.6624663300,9.5316399000,9.5877083700,9.6250873500,245677513,1259494669.7400,1,0.091100,1,-0.388300,0
2021-01-22,sh.601398,9.5690188800,9.5690188800,9.4008134700,9.4195029600,9.5877083700,277428656,1402382795.1500,1,0.102900,1,-1.754400,0
2021-01-25,sh.601398,9.4008134700,9.4381924500,9.3260555100,9.4381924500,9.4195029600,219055180,1097970398.4600,1,0.081200,1,0.198400,0
2021-01-26,sh.601398,9.4008134700,9.4755714300,9.3634344900,9.4008134700,9.4381924500,210379385,1060814307.4900,1,0.078000,1,-0.396000,0
2021-01-27,sh.601398,9.4195029600,9.6250873500,9.4008134700,9.4755714300,9.4008134700,370986640,1891316029.8300,1,0.137600,1,0.795200,0
2021-01-28,sh.601398,9.4381924500,9.4755714300,9.3634344900,9.4008134700,9.4755714300,285079488,1432841333.9400,1,0.105700,1,-0.789000,0
2021-01-29,sh.601398,9.4008134700,9.5690188800,9.3821239800,9.5129504100,9.4008134700,411143712,2088594441.1800,1,0.152500,1,1.192800,0
2021-02-01,sh.601398,9.4942609200,9.6250873500,9.4381924500,9.6063978600,9.5129504100,381322208,1949170572.7900,1,0.141400,1,0.982300,0
2021-02-02,sh.601398,9.6063978600,9.6811558200,9.4942609200,9.5129504100,9.6063978600,259998588,1334133656.6300,1,0.096400,1,-0.972800,0
2021-02-03,sh.601398,9.5129504100,9.5690188800,9.4008134700,9.4195029600,9.5129504100,337557920,1711432805.9600,1,0.125200,1,-0.982300,0
2021-02-04,sh.601398,9.4195029600,9.5690188800,9.4008134700,9.4755714300,9.4195029600,252444008,1280634530.2200,1,0.093600,1,0.595200,0
2021-02-05,sh.601398,9.4755714300,9.7372242900,9.4568819400,9.6811558200,9.4755714300,593744240,3063814604.2700,1,0.220200,1,2.169600,0
2021-02-08,sh.601398,9.6811558200,9.7185348000,9.5690188800,9.6437768400,9.6811558200,367126928,1896286394.7300,1,0.136200,1,-0.386100,0
2021-02-09,sh.601398,9.6063978600,9.6250873500,9.5503293900,9.6250873500,9.6437768400,278298848,1427909672.6800,1,0.103200,1,-0.193800,0
2021-02-10,sh.601398,9.7932927600,10.0362561300,9.7372242900,9.8119822500,9.6250873500,664704224,3503636814.8400,1,0.246500,1,1.941700,0
2021-02-18,sh.601398,9.9614981700,9.9614981700,9.7559137800,9.7932927600,9.8119822500,328400928,1729904261.4400,1,0.121800,1,-0.190500,0
2021-02-19,sh.601398,9.7559137800,9.9054297000,9.7372242900,9.7932927600,9.7932927600,242413124,1272825159.7200,1,0.089900,1,0.000000,0
2021-02-22,sh.601398,9.8119822500,10.1110140900,9.7932927600,10.0362561300,9.7932927600,602082016,3210856211.0800,1,0.223300,1,2.480900,0
2021-02-23,sh.601398,9.9988771500,10.1857720500,9.9428086800,10.0549456200,10.0362561300,467150528,2515406549.3700,1,0.173300,1,0.186200,0
2021-02-24,sh.601398,10.0362561300,10.1297035800,9.7932927600,9.9054297000,10.0549456200,385065744,2050842777.6600,1,0.142800,1,-1.487000,0
2021-02-25,sh.601398,9.8867402100,10.2418405200,9.8680507200,10.1670825600,9.9054297000,509700224,2755175018.0300,1,0.189000,1,2.641500,0
2021-02-26,sh.601398,10.0736351100,10.2605300100,9.9988771500,10.0362561300,10.1670825600,435170128,2353185887.8300,1,0.161400,1,-1.286800,0
2021-03-01,sh.601398,10.0175666400,10.1297035800,9.9428086800,9.9801876600,10.0362561300,240663315,1289476168.4100,1,0.089300,1,-0.558700,0
2021-03-02,sh.601398,9.9988771500,9.9988771500,9.7932927600,9.8867402100,9.9801876600,250031265,1322171845.0700,1,0.092700,1,-0.936300,0
2021-03-03,sh.601398,9.8680507200,10.2418405200,9.8306717400,10.1857720500,9.8867402100,446911120,2420613520.8000,1,0.165800,1,3.024600,0
2021-03-04,sh.601398,10.1483930700,10.2979089900,10.1110140900,10.1857720500,10.1857720500,373419248,2041014988.7000,1,0.138500,1,0.000000,0
2021-03-05,sh.601398,10.1483930700,10.4474249100,10.0362561300,10.4100459300,10.1857720500,478774352,2629997848.4700,1,0.177600,1,2.201800,0
2021-03-08,sh.601398,10.4287354200,10.4848038900,10.2979089900,10.3352879700,10.4100459300,429168304,2390324692.9300,1,0.159200,1,-0.718100,0
2021-03-09,sh.601398,10.4100459300,10.5221828700,10.1483930700,10.2044615400,10.3352879700,466395024,2577277081.5000,1,0.173000,1,-1.265800,0
2021-03-10,sh.601398,10.1670825600,10.2044615400,9.9988771500,10.0923246000,10.2044615400,306784320,1658235909.0700,1,0.113800,1,-1.098900,0
2021-03-11,sh.601398,10.1857720500,10.3539774600,10.1483930700,10.2418405200,10.0923246000,282422816,1547729634.1400,1,0.104800,1,1.481500,0
2021-03-12,sh.601398,10.2231510300,10.2792195000,10.1483930700,10.1670825600,10.2418405200,184841636,1009519474.6600,1,0.068600,1,-0.729900,0
2021-03-15,sh.601398,10.1857720500,10.4287354200,10.1297035800,10.3726669500,10.1670825600,303797600,1680121698.0700,1,0.112700,1,2.022100,0
2021-03-16,sh.601398,10.3913564400,10.5221828700,10.3539774600,10.4661144000,10.3726669500,273080000,1529009421.2300,1,0.101300,1,0.900900,0
2021-03-17,sh.601398,10.4287354200,10.4661144000,10.2418405200,10.3352879700,10.4661144000,203713443,1125314257.4200,1,0.075600,1,-1.250000,0
2021-03-18,sh.601398,10.3165984800,10.3539774600,10.2044615400,10.2418405200,10.3352879700,224544199,1232892978.2400,1,0.083300,1,-0.904200,0
2021-03-19,sh.601398,10.2605300100,10.2792195000,9.9428086800,10.0175666400,10.2418405200,332530512,1790956578.4400,1,0.123300,1,-2.189800,0
2021-03-22,sh.601398,9.9428086800,10.1857720500,9.9428086800,10.1297035800,10.0175666400,232531340,1256741319.3100,1,0.086200,1,1.119400,0
2021-03-23,sh.601398,10.0923246000,10.2792195000,9.9988771500,10.0923246000,10.1297035800,325973136,1762122171.5600,1,0.120900,1,-0.369000,0
2021-03-24,sh.601398,10.0362561300,10.1483930700,9.9614981700,10.1110140900,10.0923246000,189983667,1023433745.1000,1,0.070500,1,0.185200,0
2021-03-25,sh.601398,10.1110140900,10.2044615400,9.9988771500,10.0175666400,10.1110140900,207394817,1119656595.7300,1,0.076900,1,-0.924200,0
2021-03-26,sh.601398,10.0362561300,10.0549456200,9.9054297000,9.9988771500,10.0175666400,247198368,1318532527.8100,1,0.091700,1,-0.186600,0
2021-03-29,sh.601398,10.0362561300,10.2231510300,9.9614981700,10.2044615400,9.9988771500,347949984,1883572374.4800,1,0.129100,1,2.056100,0
2021-03-30,sh.601398,10.2044615400,10.2418405200,10.1483930700,10.2418405200,10.2044615400,193297381,1055760162.8100,1,0.071700,1,0.366300,0
2021-03-31,sh.601398,10.2231510300,10.3726669500,10.1670825600,10.3539774600,10.2418405200,242434867,1333971678.8000,1,0.089900,1,1.094900,0
2021-04-01,sh.601398,10.2979089900,10.3539774600,10.2231510300,10.2792195000,10.3539774600,132476154,729322830.9400,1,0.049100,1,-0.722000,0
2021-04-02,sh.601398,10.2792195000,10.2979089900,10.0923246000,10.1297035800,10.2792195000,184780740,1004165174.5900,1,0.068500,1,-1.454500,0
2021-04-06,sh.601398,10.1297035800,10.1483930700,10.0362561300,10.1297035800,10.1297035800,122894235,663506407.3700,1,0.045600,1,0.000000,0
2021-04-07,sh.601398,10.1297035800,10.2044615400,10.0923246000,10.1857720500,10.1297035800,175696199,954364770.5300,1,0.065200,1,0.553500,0
2021-04-08,sh.601398,10.2044615400,10.2231510300,10.1110140900,10.1670825600,10.1857720500,123971365,673843053.9000,1,0.046000,1,-0.183500,0
2021-04-09,sh.601398,10.1670825600,10.1670825600,10.0923246000,10.1297035800,10.1670825600,131127592,710198880.7700,1,0.048600,1,-0.367600,0
2021-04-12,sh.601398,10.1297035800,10.2792195000,10.0736351100,10.2418405200,10.1297035800,219634806,1197623266.5800,1,0.081500,1,1.107000,0
2021-04-13,sh.601398,10.2418405200,10.3352879700,10.1857720500,10.2979089900,10.2418405200,173937109,955601023.0800,1,0.064500,1,0.547400,0
2021-04-14,sh.601398,10.2979089900,10.3165984800,10.1483930700,10.1857720500,10.2979089900,153373910,838785289.9800,1,0.056900,1,-1.088900,0
2021-04-15,sh.601398,10.1483930700,10.1857720500,10.0736351100,10.1857720500,10.1857720500,157215797,851588447.6900,1,0.058300,1,0.000000,0
2021-04-16,sh.601398,10.1483930700,10.2044615400,10.1110140900,10.1483930700,10.1857720500,110874302,602808763.1800,1,0.041100,1,-0.367000,0
2021-04-19,sh.601398,10.1670825600,10.2044615400,10.1110140900,10.1670825600,10.1483930700,175754330,955148031.4300,1,0.065200,1,0.184200,0
2021-04-20,sh.601398,10.1483930700,10.1670825600,10.0549456200,10.0736351100,10.1670825600,177071674,956571771.3400,1,0.065700,1,-0.919100,0
2021-04-21,sh.601398,10.0549456200,10.1110140900,10.0362561300,10.0362561300,10.0736351100,135364763,729408437.5900,1,0.050200,1,-0.371100,0
2021-04-22,sh.601398,10.0549456200,10.0736351100,9.9241191900,9.9614981700,10.0362561300,211498349,1128744302.4000,1,0.078400,1,-0.744900,0
2021-04-23,sh.601398,9.9241191900,9.9801876600,9.8493612300,9.8867402100,9.9614981700,164898057,873476385.9200,1,0.061200,1,-0.750500,0
2021-04-26,sh.601398,9.9241191900,9.9428086800,9.8306717400,9.8493612300,9.8867402100,170693135,901989201.0800,1,0.063300,1,-0.378100,0
2021-04-27,sh.601398,9.8306717400,9.8493612300,9.7559137800,9.7932927600,9.8493612300,149123770,781815669.5900,1,0.055300,1,-0.569300,0
2021-04-28,sh.601398,9.7932927600,9.8119822500,9.6811558200,9.7185348000,9.7932927600,182976437,951527125.7100,1,0.067900,1,-0.763400,0
2021-04-29,sh.601398,9.7185348000,9.7932927600,9.6811558200,9.7559137800,9.7185348000,188987315,984719706.4100,1,0.070100,1,0.384600,0
2021-04-30,sh.601398,9.7372242900,9.7559137800,9.4942609200,9.5877083700,9.7559137800,395748736,2029640681.5400,1,0.146800,1,-1.724100,0
2021-05-06,sh.601398,9.5503293900,9.6811558200,9.5316399000,9.5690188800,9.5877083700,216039682,1111237174.2900,1,0.080100,1,-0.194900,0
2021-05-07,sh.601398,9.5690188800,9.7746032700,9.5503293900,9.7559137800,9.5690188800,281997040,1463579746.8400,1,0.104600,1,1.953100,0
2021-05-10,sh.601398,9.7372242900,9.8119822500,9.6811558200,9.8119822500,9.7559137800,207471144,1082434695.7200,1,0.077000,1,0.574700,0
