date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sz.002594,192.7599660000,215.3608170400,190.8119684600,210.8732834400,198.1654042000,58950161,11803190657.2500,1,5.145500,1,6.412800,0
2021-01-05,sz.002594,210.0981640000,225.6311496200,206.0287869400,224.2746906000,210.8732834400,54530597,11642247812.9800,1,4.759700,1,6.355200,0
2021-01-06,sz.002594,224.0911096800,226.6000489200,216.2175280000,220.6030722000,224.2746906000,43465214,9376648611.7100,1,3.793900,1,-1.637100,0
2021-01-07,sz.002594,220.9090404000,232.8621980800,218.4612948000,229.5169457600,220.6030722000,42860254,9516502256.3900,1,3.741100,1,4.040700,0
2021-01-08,sz.002594,237.6353020000,238.9815620800,225.0906058000,232.0360839400,229.5169457600,42675836,9705879745.6600,1,3.725000,1,1.097600,0
2021-01-11,sz.002594,239.2569334600,249.8740300000,235.5751161200,239.5323048400,232.0360839400,53425466,12681067407.9800,1,4.663300,1,3.230600,0
2021-01-12,sz.002594,236.4114292000,244.5195865000,224.3766800000,241.7046790600,239.5323048400,43312458,9980651742.6000,1,3.780500,1,0.906900,0
2021-01-13,sz.002594,242.7347720000,254.8511127200,234.2594528600,244.0606342000,241.7046790600,48034787,11590837002.0700,1,4.192700,1,0.974700,0
2021-01-14,sz.002594,236.6154080000,240.1340423000,226.7632319600,228.4052613000,244.0606342000,44595502,10176085741.1700,1,3.892500,1,-6.414500,0
2021-01-15,sz.002594,226.4164680000,233.4741344800,220.8070510000,229.6801288000,228.4052613000,37705046,8420560824.9700,1,3.291100,1,0.558200,0
2021-01-18,sz.002594,224.3766800000,228.4562560000,220.5622764400,226.1003008600,229.6801288000,26378933,5826658747.5000,1,2.302500,1,-1.558600,0
2021-01-19,sz.002594,226.4776616400,229.6801288000,217.8085626400,220.5010828000,226.1003008600,27625013,6035553036.4400,1,2.411300,1,-2.476400,0
2021-01-20,sz.002594,224.2746906000,230.8020122000,222.3470909400,226.4164680000,220.5010828000,38140108,8483028913.2300,1,3.329100,1,2.682700,0
