date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sz.300015,2050.5219610000,2103.3734425300,1946.8406393100,1970.2339180200,2162.8674599900,160983448,11149761609.2000,1,4.711900,1,-8.906400,0
2021-01-05,sz.300015,1949.7286984100,2032.6159945800,1949.7286984100,1994.4936144600,1970.2339180200,81947678,5674905728.4800,1,2.397700,1,1.231300,0
2021-01-06,sz.300015,1994.2048085500,2112.9040375600,1972.5443653000,2064.6734505900,1994.4936144600,54441290,3894830331.8200,1,1.592900,1,3.518700,0
2021-01-07,sz.300015,2053.9876319200,2266.5487816800,2050.5219610000,2235.3577434000,2064.6734505900,60444711,4529107296.9500,1,1.768600,1,8.266900,0
2021-01-08,sz.300015,2238.2458025000,2258.1734102900,2099.6189657000,2192.9032746300,2235.3577434000,55438695,4157353894.9300,1,1.622100,1,-1.899200,0
2021-01-11,sz.300015,2151.3152235900,2166.0443250000,2050.8107669100,2081.4241933700,2192.9032746300,45089901,3293127098.7600,1,1.319300,1,-5.083600,0
2021-01-12,sz.300015,2063.5182269500,2107.7055311800,1993.0495849100,2094.4204593200,2081.4241933700,40748944,2909832211.3200,1,1.186500,1,0.624400,0
2021-01-13,sz.300015,2115.2144848400,2151.3152235900,2046.4786782600,2067.8503156000,2094.4204593200,26970500,1950812856.2600,1,0.785300,1,-1.268600,0
2021-01-14,sz.300015,2041.8577837000,2103.9510543500,2039.5473364200,2061.7853914900,2067.8503156000,28117614,2018213863.8200,1,0.818700,1,-0.293300,0
2021-01-15,sz.300015,2035.7928595900,2079.1137460900,2014.7100281600,2071.0271806100,2061.7853914900,23897889,1691559603.1800,1,0.695800,1,0.448200,0
2021-01-18,sz.300015,2062.0741974000,2102.5070248000,2038.3921127800,2073.9152397100,2071.0271806100,18780818,1345921497.3900,1,0.546800,1,0.139500,0
2021-01-19,sz.300015,2073.6264338000,2079.1137460900,2010.3779395100,2038.9697246000,2073.9152397100,29793779,2099678588.6300,1,0.867500,1,-1.685000,0
2021-01-20,sz.300015,2041.8577837000,2177.5965614000,2028.8615177500,2177.5965614000,2038.9697246000,51163078,3782132877.2500,1,1.489700,1,6.798900,0
2021-01-21,sz.300015,2160.5570127100,2209.3652115000,2151.6040295000,2180.1958145900,2177.5965614000,28318287,2141298859.4900,1,0.824500,1,0.119400,0
2021-01-22,sz.300015,2168.3547722800,2339.3278710000,2168.3547722800,2330.6636937000,2180.1958145900,41534277,3273554114.4900,1,1.209300,1,6.901600,0
2021-01-25,sz.300015,2313.9129509200,2416.1502430600,2312.7577272800,2361.2771201600,2330.6636937000,32130564,2630591023.1500,1,0.935500,1,1.313500,0
2021-01-26,sz.300015,2339.6166769100,2385.5368166000,2304.9599677100,2307.2704149900,2361.2771201600,26380500,2132833517.1400,1,0.768100,1,-2.287200,0
2021-01-27,sz.300015,2312.1801154600,2411.5293485000,2279.2562417200,2378.8942806700,2307.2704149900,28169117,2296193188.0400,1,0.820200,1,3.104300,0
2021-01-28,sz.300015,2327.1980227800,2358.3890610600,2272.3248998800,2278.9674358100,2378.8942806700,25299189,2022688286.9800,1,0.736600,1,-4.200600,0
2021-01-29,sz.300015,2316.2233982000,2339.0390650900,2254.1301275500,2273.7689294300,2278.9674358100,22801555,1807624904.5300,1,0.663900,1,-0.228100,0
2021-02-01,sz.300015,2278.9674358100,2315.0681745600,2223.5167010900,2287.3428072000,2273.7689294300,25348278,1993908832.4700,1,0.738100,1,0.597000,0
2021-02-02,sz.300015,2310.4472800000,2365.3204029000,2295.7181785900,2319.1114573000,2287.3428072000,25919467,2084826719.2100,1,0.754700,1,1.388900,0
2021-02-03,sz.300015,2310.4472800000,2345.1039892000,2261.3502753000,2287.3428072000,2319.1114573000,25259998,2009913652.7500,1,0.735500,1,-1.369900,0
2021-02-04,sz.300015,2253.8413216400,2299.4726554200,2241.1338616000,2268.2816171400,2287.3428072000,22534067,1768090475.1500,1,0.656100,1,-0.833300,0
2021-02-05,sz.300015,2296.0069845000,2408.0636775800,2269.1480348700,2373.4069683800,2268.2816171400,37134693,3020957425.2300,1,1.081200,1,4.634600,0
2021-02-08,sz.300015,2376.8726393000,2483.4420200900,2322.2883223100,2483.4420200900,2373.4069683800,28632556,2384480997.6000,1,0.833700,1,4.636200,0
2021-02-09,sz.300015,2469.8681423200,2526.1852947700,2426.2584499100,2458.8935177400,2483.4420200900,32999881,2817893762.9300,1,0.960800,1,-0.988500,0
2021-02-10,sz.300015,2477.0882900700,2664.2345197500,2420.1935258000,2631.0218401000,2458.8935177400,34550800,3067374457.6300,1,1.006000,1,7.000200,0
2021-02-18,sz.300015,2674.0539206900,2676.9419797900,2538.0263370800,2542.6472316400,2631.0218401000,28920345,2591912660.1800,1,0.842100,1,-3.358900,0
2021-02-19,sz.300015,2544.3800671000,2591.4554304300,2443.2979986000,2567.1957339900,2542.6472316400,25423870,2223686700.7700,1,0.740300,1,0.965500,0
2021-02-22,sz.300015,2558.8203626000,2563.1524512500,2368.2084620000,2376.8726393000,2567.1957339900,36839967,3095284532.8400,1,1.072700,1,-7.413700,0
2021-02-23,sz.300015,2339.3278710000,2422.2151671700,2305.5375795300,2350.3024955800,2376.8726393000,26152169,2133290714.0300,1,0.761500,1,-1.117900,0
2021-02-24,sz.300015,2326.3316050500,2341.9271241900,2119.8353794000,2159.9794008900,2350.3024955800,54173713,4146122149.2200,1,1.577400,1,-8.097800,0
2021-02-25,sz.300015,2181.9286500500,2267.1263935000,2149.0047763100,2217.1629710700,2159.9794008900,37620033,2883739111.5100,1,1.095400,1,2.647400,0
2021-02-26,sz.300015,2151.3152235900,2185.9719327900,2049.6555432700,2087.4891174800,2217.1629710700,42121555,3068527684.6900,1,1.226400,1,-5.848600,0
2021-03-01,sz.300015,2094.1316534100,2122.7234385000,1945.6854156700,2005.7570449500,2087.4891174800,64701615,4483639370.6500,1,1.883900,1,-3.915300,0
2021-03-02,sz.300015,2039.2585305100,2060.6301678500,1937.8876561000,1971.9667534800,2005.7570449500,52728365,3639640249.1500,1,1.535300,1,-1.684700,0
2021-03-03,sz.300015,1950.5951161400,1991.8943612700,1930.0898965300,1987.8510785300,1971.9667534800,29637887,2015418762.9200,1,0.863000,1,0.805500,0
2021-03-04,sz.300015,1963.8801880000,1963.8801880000,1828.1414103000,1842.2928998900,1987.8510785300,54081471,3511171041.6700,1,1.574700,1,-7.322400,0
2021-03-05,sz.300015,1794.0623129200,1850.0906594600,1787.1309710800,1813.7011148000,1842.2928998900,44491620,2799353338.9400,1,1.295400,1,-1.552000,0
2021-03-08,sz.300015,1836.5167816900,1839.6936467000,1641.8615983500,1645.3272692700,1813.7011148000,66902865,3974704298.5700,1,1.948000,1,-9.283400,0
2021-03-09,sz.300015,1629.4429442200,1660.6339825000,1561.8623612800,1566.1944499300,1645.3272692700,66718926,3713408997.7400,1,1.942600,1,-4.809500,0
2021-03-10,sz.300015,1623.0892142000,1709.1533753800,1603.4504123200,1651.9698052000,1566.1944499300,69617086,3991585778.1300,1,2.027000,1,5.476700,0
2021-03-11,sz.300015,1652.2586111100,1797.2391779300,1639.8399569800,1753.6294855200,1651.9698052000,61008154,3685203101.4500,1,1.776300,1,6.153800,0
2021-03-12,sz.300015,1775.8675405900,1790.0190301800,1719.2615822300,1785.3981356200,1753.6294855200,42881219,2616510268.2000,1,1.248600,1,1.811600,0
2021-03-15,sz.300015,1759.9832155400,1761.4272450900,1649.3705520100,1675.0742780000,1785.3981356200,48243368,2815526217.2500,1,1.404700,1,-6.179200,0
2021-03-16,sz.300015,1703.0884512700,1712.3302403900,1616.7354841800,1694.7130798800,1675.0742780000,40498548,2342095900.4900,1,1.179200,1,1.172400,0
2021-03-17,sz.300015,1682.2944257500,1718.6839704100,1650.5257756500,1677.9623371000,1694.7130798800,38752474,2255706013.9700,1,1.128300,1,-0.988400,0
2021-03-18,sz.300015,1695.2906917000,1746.6981436800,1677.9623371000,1740.0556077500,1677.9623371000,39171127,2333501129.7100,1,1.140500,1,3.700500,0
2021-03-19,sz.300015,1689.5145735000,1701.9332276300,1617.8907078200,1645.3272692700,1740.0556077500,46433176,2663300169.6500,1,1.352000,1,-5.444000,0
2021-03-22,sz.300015,1657.1683115800,1674.4966661800,1628.8653324000,1650.8145815600,1645.3272692700,25557052,1458989716.7600,1,0.744100,1,0.333500,0
2021-03-23,sz.300015,1651.1033874700,1691.8250207800,1643.3056279000,1678.2511430100,1650.8145815600,27143955,1564513184.6700,1,0.790300,1,1.662000,0
2021-03-24,sz.300015,1662.3668179600,1758.2503800800,1662.3668179600,1724.7488945200,1678.2511430100,41234692,2468167280.9300,1,1.200600,1,2.770600,0
2021-03-25,sz.300015,1698.1787508000,1767.7809751100,1674.2078602700,1744.0988904900,1724.7488945200,28158617,1687534215.5800,1,0.819900,1,1.121900,0
2021-03-26,sz.300015,1767.4921692000,1805.0369375000,1738.6115782000,1792.0406715500,1744.0988904900,37002016,2283427419.7300,1,1.077400,1,2.748800,0
2021-03-29,sz.300015,1764.6041101000,1770.3802283000,1692.6914385100,1734.2794895500,1792.0406715500,42620866,2561574326.5900,1,1.241000,1,-3.223200,0
2021-03-30,sz.300015,1732.8354600000,1819.4772330000,1715.5071054000,1755.0735150700,1734.2794895500,38121610,2336701614.6200,1,1.110000,1,1.199000,0
2021-03-31,sz.300015,1738.6115782000,1744.9653082200,1701.0668099000,1711.1750167500,1755.0735150700,28488986,1693370474.8600,1,0.829500,1,-2.501200,0
2021-04-01,sz.300015,1718.1063585900,1823.8093216500,1716.3735231300,1819.4772330000,1711.1750167500,36671881,2259943181.1500,1,1.067800,1,6.329100,0
2021-04-02,sz.300015,1822.9429039200,1879.5488622800,1802.4376843100,1863.0869254100,1819.4772330000,33053199,2117060667.0800,1,0.962400,1,2.396800,0
2021-04-06,sz.300015,1877.2384150000,1894.5667696000,1802.7264902200,1818.3220093600,1863.0869254100,29347803,1855808904.3800,1,0.854500,1,-2.402700,0
2021-04-07,sz.300015,1809.3690261500,1814.8563384400,1741.2108313900,1755.0735150700,1818.3220093600,34342787,2100331901.1600,1,0.999900,1,-3.478400,0
2021-04-08,sz.300015,1736.0123250100,1783.9541060700,1732.8354600000,1770.3802283000,1755.0735150700,25539069,1557016560.1000,1,0.743600,1,0.872100,0
2021-04-09,sz.300015,1773.2682874000,1807.9249966000,1742.0772491200,1770.3802283000,1770.3802283000,22453005,1373916079.6800,1,0.653800,1,0.000000,0
2021-04-12,sz.300015,1758.8279919000,1770.3802283000,1651.9698052000,1675.9406957300,1770.3802283000,41277654,2421275783.9000,1,1.201900,1,-5.334400,0
2021-04-13,sz.300015,1674.7854720900,1764.0264982800,1673.6302484500,1722.7272531500,1675.9406957300,35822403,2143856428.3400,1,1.043000,1,2.791700,0
2021-04-14,sz.300015,1725.6153122500,1781.9324647000,1725.6153122500,1753.3406796100,1722.7272531500,20568360,1249852120.0300,1,0.598900,1,1.777000,0
2021-04-15,sz.300015,1736.5899368300,1760.2720214500,1699.9115862600,1725.6153122500,1753.3406796100,17228125,1029187928.3500,1,0.501600,1,-1.581300,0
2021-04-16,sz.300015,1756.2287387100,1770.0914223900,1689.8033794100,1715.5071054000,1725.6153122500,18937125,1131482979.8300,1,0.551400,1,-0.585800,0
2021-04-19,sz.300015,1705.3988985500,1775.5787346800,1692.4026326000,1769.5138105700,1715.5071054000,26037605,1581400732.1400,1,0.758100,1,3.148100,0
2021-04-20,sz.300015,1758.8279919000,1819.4772330000,1735.7235191000,1788.5750006300,1769.5138105700,35350634,2177325404.7600,1,1.029300,1,1.077200,0
2021-04-21,sz.300015,1764.3153041900,1842.2928998900,1749.0085909600,1831.0294694000,1788.5750006300,34269415,2134429214.7500,1,0.997800,1,2.373600,0
