date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sh.601899,18.6753478200,20.1622385700,18.5960469800,19.9045108400,18.4176200900,445168336,4361922843.4800,1,2.266600,1,8.073200,0
2021-01-05,sh.601899,20.0036368900,20.3208402500,19.5278318500,20.2415394100,19.9045108400,362738176,3659225116.9700,1,1.846900,1,1.693200,0
2021-01-06,sh.601899,20.7173444500,21.3914015900,20.4397915100,20.8164705000,20.2415394100,382786000,4029757962.3200,1,1.949000,1,2.840400,0
2021-01-07,sh.601899,20.6776940300,22.4421377200,20.5785679800,22.1645847800,20.8164705000,447954128,4908866977.9200,1,2.280800,1,6.476200,0
2021-01-08,sh.601899,22.6007394000,22.8386419200,21.6094789000,22.5016133500,22.1645847800,389430576,4344575344.1500,1,1.982800,1,1.520600,0
2021-01-11,sh.601899,21.6094789000,22.0456335200,20.8164705000,21.1534990700,22.5016133500,471688816,5095583003.8300,1,2.401600,1,-5.991200,0
2021-01-12,sh.601899,20.4199663000,21.6094789000,20.2811898300,21.6094789000,21.1534990700,330386256,3497531107.5900,1,1.682200,1,2.155600,0
2021-01-13,sh.601899,21.6491293200,22.9179427600,20.8362957100,21.1733242800,21.6094789000,446550144,4931502129.4500,1,2.273600,1,-2.018300,0
2021-01-14,sh.601899,21.0543730200,21.2526251200,20.4397915100,20.6776940300,21.1733242800,248924015,2614963250.4800,1,1.267400,1,-2.340800,0
2021-01-15,sh.601899,20.9948973900,21.5698284800,20.3010150400,20.9354217600,20.6776940300,265911595,2800597213.3200,1,1.353900,1,1.246400,0
2021-01-18,sh.601899,20.4199663000,21.2327999100,19.6864335300,21.1931494900,20.9354217600,297687280,3080365298.2300,1,1.515700,1,1.231100,0
2021-01-19,sh.601899,20.9155965500,21.2922755400,20.1027629400,20.3803158800,21.1931494900,241515575,2515421369.5600,1,1.229700,1,-3.835400,0
2021-01-20,sh.601899,20.3803158800,21.1336738600,20.3803158800,20.9354217600,20.3803158800,207543682,2181268564.8500,1,1.056700,1,2.723700,0
2021-01-21,sh.601899,21.2129747000,22.1051091500,21.0543730200,21.7482553700,20.9354217600,327400496,3571286802.9300,1,1.667000,1,3.882600,0
2021-01-22,sh.601899,21.5500032700,21.7879057900,21.1336738600,21.4707024300,21.7482553700,209061346,2266390398.4400,1,1.064400,1,-1.276200,0
2021-01-25,sh.601899,21.4905276400,22.4817881400,21.2526251200,21.9068570500,21.4707024300,302129488,3350992978.3400,1,1.538300,1,2.031400,0
2021-01-26,sh.601899,21.8077310000,21.8077310000,20.8362957100,21.2922755400,21.9068570500,268877456,2893638773.5700,1,1.369000,1,-2.805400,0
2021-01-27,sh.601899,21.3914015900,21.6491293200,20.1225881500,20.6578688200,21.2922755400,264593333,2751539537.0700,1,1.347200,1,-2.979500,0
2021-01-28,sh.601899,19.8252100000,20.2415394100,19.0322016000,19.1908032800,20.6578688200,351893776,3475714738.3600,1,1.791700,1,-7.101700,0
2021-01-29,sh.601899,19.6269579000,19.8252100000,18.4572705100,19.0322016000,19.1908032800,277139968,2676524826.4500,1,1.411100,1,-0.826400,0
2021-02-01,sh.601899,19.7062587400,20.7768200800,19.4683562200,20.6975192400,19.0322016000,355225248,3610966764.2900,1,1.808700,1,8.750000,0
2021-02-02,sh.601899,20.7768200800,21.5896536900,20.4794419300,21.4112268000,20.6975192400,280799952,2988213539.1400,1,1.429700,1,3.448300,0
2021-02-03,sh.601899,20.9948973900,21.3319259600,20.3208402500,20.7966452900,21.4112268000,281468912,2949954723.5600,1,1.433100,1,-2.870400,0
2021-02-04,sh.601899,20.8164705000,20.9354217600,19.8846856300,20.1225881500,20.7966452900,186606141,1910565322.4000,1,0.950100,1,-3.241200,0
2021-02-05,sh.601899,19.8053847900,20.4992671400,19.2899293300,19.4287058000,20.1225881500,263340422,2621783114.6800,1,1.340800,1,-3.448300,0
2021-02-08,sh.601899,20.0234621000,21.1138486500,19.9441612600,20.9948973900,19.4287058000,302447968,3151110631.0300,1,1.539900,1,8.061200,0
2021-02-09,sh.601899,21.7680805800,22.5016133500,21.3715763800,22.4817881400,20.9948973900,347099984,3868479612.5100,1,1.767300,1,7.082200,0
2021-02-10,sh.601899,22.7395158700,24.3453578800,22.6602150300,23.9488536800,22.4817881400,426762336,5065308197.8700,1,2.172900,1,6.525600,0
2021-02-18,sh.601899,26.3477040900,26.3477040900,26.3477040900,26.3477040900,23.9488536800,81753772,1086507629.8800,1,0.416300,1,10.016600,0
2021-02-19,sh.601899,27.1010620700,27.9733713100,25.5546956900,27.0415864400,26.3477040900,1008802432,13756431472.1100,1,5.136400,1,2.633600,0
2021-02-22,sh.601899,28.6672536600,29.7378150000,28.3897007200,29.0042822300,27.0415864400,1031889104,15225407083.5700,1,5.253900,1,7.258100,0
2021-02-23,sh.601899,27.9535461000,28.8258553400,27.2993141700,27.4579158500,29.0042822300,717283184,10155195094.0800,1,3.652100,1,-5.331500,0
2021-02-24,sh.601899,27.6561679500,28.2905746700,24.8806385500,25.9710251000,27.4579158500,763929152,10206863198.0300,1,3.889600,1,-5.415200,0
2021-02-25,sh.601899,27.0614116500,27.2398385400,25.5348704800,25.7331225800,25.9710251000,546806688,7290211659.3800,1,2.784100,1,-0.916000,0
2021-02-26,sh.601899,24.1669309900,24.9004637600,23.7506015800,24.1669309900,25.7331225800,636144896,7798379240.9700,1,3.239000,1,-6.086300,0
2021-03-01,sh.601899,24.2264066200,24.5832604000,23.3144469600,24.4246587200,24.1669309900,531899040,6448600367.6700,1,2.708200,1,1.066400,0
2021-03-02,sh.601899,23.9885041000,23.9885041000,22.8981175500,23.2946217500,24.4246587200,495700048,5849304561.9900,1,2.523900,1,-4.626600,0
2021-03-03,sh.601899,23.7109511600,24.4841343500,23.3937478000,24.4246587200,23.2946217500,522198992,6320032302.7300,1,2.658800,1,4.851100,0
2021-03-04,sh.601899,23.6514755300,23.8497276300,22.2042352000,22.6998654500,24.4246587200,603698528,7008365501.9400,1,3.073800,1,-7.061700,0
2021-03-05,sh.601899,21.3715763800,22.0654587300,21.0147226000,21.8077310000,22.6998654500,532956768,5798586694.2800,1,2.713600,1,-3.930100,0
2021-03-08,sh.601899,22.4619629300,22.6007394000,20.9948973900,21.1534990700,21.8077310000,418196496,4602169063.2400,1,2.129300,1,-3.000000,0
2021-03-09,sh.601899,21.2129747000,21.9465074700,19.8450352100,21.2327999100,21.1534990700,505206080,5344246000.1000,1,2.572300,1,0.374900,0
2021-03-10,sh.601899,21.3914015900,21.4112268000,20.5190923500,20.7966452900,21.2327999100,296477776,3119352160.3200,1,1.509500,1,-2.054200,0
2021-03-11,sh.601899,21.1138486500,22.8782923400,20.8957713400,22.8782923400,20.7966452900,572997920,6359017076.2300,1,2.917500,1,10.009500,0
2021-03-12,sh.601899,23.2153209100,23.3342721700,21.9266822600,22.5016133500,22.8782923400,460870192,5259841299.1900,1,2.346600,1,-1.646400,0
2021-03-15,sh.601899,22.4024873000,23.0765444400,21.7482553700,22.3033612500,22.5016133500,418274400,4730861426.2400,1,2.129700,1,-0.881100,0
2021-03-16,sh.601899,22.3628368800,22.4024873000,21.3121007500,22.0258083100,22.3033612500,305393456,3362527958.5600,1,1.554900,1,-1.244400,0
2021-03-17,sh.601899,21.4112268000,22.0258083100,21.1336738600,21.9861578900,22.0258083100,244471019,2672406852.9100,1,1.244700,1,-0.180000,0
2021-03-18,sh.601899,22.6007394000,22.9377679700,22.1051091500,22.1645847800,21.9861578900,302583472,3428045770.0800,1,1.540600,1,0.811500,0
2021-03-19,sh.601899,21.4508772200,21.8672066300,21.1931494900,21.4707024300,22.1645847800,360642224,3899339140.4700,1,1.836200,1,-3.130600,0
2021-03-22,sh.601899,21.3121007500,21.4905276400,20.6380436100,21.1336738600,21.4707024300,311295888,3300885479.1000,1,1.585000,1,-1.569700,0
2021-03-23,sh.601899,21.3715763800,21.4905276400,19.8252100000,20.0829377300,21.1336738600,437961712,4499471589.0900,1,2.229900,1,-4.971900,0
2021-03-24,sh.601899,19.6269579000,19.8846856300,18.4374453000,18.5563965600,20.0829377300,573323232,5474910242.1200,1,2.919100,1,-7.601200,0
2021-03-25,sh.601899,18.7348234500,19.4088805900,18.6555226100,18.9529007600,18.5563965600,397265840,3817736537.0800,1,2.022700,1,2.136800,0
2021-03-26,sh.601899,19.0322016000,19.8648604200,18.8735999200,19.6467831100,18.9529007600,408898176,3995802972.5200,1,2.081900,1,3.661100,0
2021-03-29,sh.601899,19.6666083200,19.8252100000,19.1313276500,19.6864335300,19.6467831100,295006016,2907970634.9300,1,1.502000,1,0.201800,0
2021-03-30,sh.601899,19.4485310100,20.1424133600,19.1908032800,19.6864335300,19.6864335300,296079312,2938037286.7800,1,1.507500,1,0.000000,0
2021-03-31,sh.601899,19.4485310100,19.4881814300,18.7348234500,19.0718520200,19.6864335300,341747840,3274537357.5400,1,1.740000,1,-3.121900,0
2021-04-01,sh.601899,19.2701041200,19.4683562200,19.0520268100,19.3097545400,19.0718520200,230815665,2240304734.5800,1,1.175200,1,1.247400,0
2021-04-02,sh.601899,19.5278318500,20.1027629400,19.4683562200,20.0829377300,19.3097545400,395349728,3962425756.4800,1,2.012900,1,4.004100,0
2021-04-06,sh.601899,20.5190923500,20.6975192400,20.0829377300,20.1225881500,20.0829377300,306084880,3141800029.6400,1,1.558500,1,0.197400,0
2021-04-07,sh.601899,20.3208402500,20.4001410900,19.6269579000,20.3010150400,20.1225881500,253068408,2555155700.6000,1,1.288500,1,0.886700,0
2021-04-08,sh.601899,20.2217142000,21.1733242800,19.9639864700,20.8759461300,20.3010150400,409922288,4297622177.3000,1,2.087100,1,2.832000,0
2021-04-09,sh.601899,20.9948973900,21.0543730200,20.3208402500,20.4001410900,20.8759461300,227726836,2361921476.6000,1,1.159500,1,-2.279200,0
2021-04-12,sh.601899,20.1622385700,20.1622385700,19.0322016000,19.1908032800,20.4001410900,382576976,3746359620.5300,1,1.947900,1,-5.928100,0
2021-04-13,sh.601899,19.0123763900,19.4881814300,18.8537747100,19.2304537000,19.1908032800,215462208,2092158730.1300,1,1.097000,1,0.206600,0
2021-04-14,sh.601899,19.2701041200,19.7657343700,19.2701041200,19.6864335300,19.2304537000,222354597,2196393986.4800,1,1.132100,1,2.371100,0
2021-04-15,sh.601899,20.0234621000,20.3010150400,19.4287058000,20.2415394100,19.6864335300,283596688,2851263081.4100,1,1.444000,1,2.819700,0
2021-04-16,sh.601899,20.9552469700,21.1931494900,20.2217142000,20.2811898300,20.2415394100,411957776,4305401933.3000,1,2.097500,1,0.195900,0
2021-04-19,sh.601899,20.3010150400,21.1138486500,19.7855595800,21.1138486500,20.2811898300,399896656,4173023437.7100,1,2.036100,1,4.105600,0
2021-04-20,sh.601899,20.8164705000,21.5301780600,20.7371696600,21.2922755400,21.1138486500,375163760,4012678441.9400,1,1.910200,1,0.845100,0
2021-04-21,sh.601899,20.8164705000,21.1336738600,20.5190923500,20.9155965500,21.2922755400,240994349,2536689651.2300,1,1.227000,1,-1.769100,0
2021-04-22,sh.601899,21.1336738600,21.4707024300,20.8561209200,21.0147226000,20.9155965500,258894772,2766959349.1700,1,1.318200,1,0.473900,0
2021-04-23,sh.601899,20.9354217600,21.4508772200,20.6380436100,21.3715763800,21.0147226000,285518032,3056599835.5900,1,1.453700,1,1.698100,0
2021-04-26,sh.601899,21.8672066300,22.6007394000,21.6689545300,22.1051091500,21.3715763800,486226800,5443923867.2700,1,2.475700,1,3.432300,0
2021-04-27,sh.601899,22.4421377200,22.8782923400,21.8275562100,22.3826620900,22.1051091500,490881808,5550831104.0800,1,2.499400,1,1.255600,0
2021-04-28,sh.601899,21.8473814200,22.2637108300,21.5103528500,21.9861578900,22.3826620900,299160544,3308172913.0900,1,1.523200,1,-1.771500,0
2021-04-29,sh.601899,22.4223125100,22.7593410800,22.1249343600,22.5214385600,21.9861578900,352853728,3995319718.3100,1,1.796600,1,2.434600,0
2021-04-30,sh.601899,22.2042352000,22.6205646100,21.5103528500,21.8672066300,22.5214385600,369975088,4087299495.1700,1,1.883800,1,-2.904900,0
2021-05-06,sh.601899,22.9179427600,23.7307763700,22.6205646100,22.8782923400,21.8672066300,498383280,5803831804.3100,1,2.537600,1,4.623800,0
2021-05-07,sh.601899,23.7307763700,23.9686788900,23.4730486400,23.6316503200,22.8782923400,501563280,5992351538.7200,1,2.553700,1,3.292900,0
2021-05-10,sh.601899,24.4841343500,24.7815125000,24.0479797300,24.4841343500,23.6316503200,577791600,7112689364.3200,1,2.941900,1,3.607400,0
2021-05-11,sh.601899,23.5919999000,23.5919999000,22.4223125100,22.9575931800,24.4841343500,533978720,6190222552.7000,1,2.718800,1,-6.234800,0
2021-05-12,sh.601899,22.7989915000,23.3540973800,22.6205646100,23.2946217500,22.9575931800,267046039,3109739688.0400,1,1.359700,1,1.468000,0
2021-05-13,sh.601899,22.3231864600,22.6205646100,21.8077310000,21.9663326800,23.2946217500,401687360,4482547608.9000,1,2.045200,1,-5.702100,0
2021-05-14,sh.601899,21.8275562100,22.0456335200,21.2129747000,21.9266822600,21.9663326800,359966288,3923947721.6700,1,1.832800,1,-0.180500,0
2021-05-17,sh.601899,22.0456335200,22.7989915000,21.8077310000,22.6998654500,21.9266822600,382905376,4320022450.5200,1,1.949600,1,3.526200,0
2021-05-18,sh.601899,23.2747965400,23.5523494800,22.9774183900,23.2549713300,22.6998654500,293717680,3452682328.7200,1,1.495500,1,2.445400,0
2021-05-19,sh.601899,22.9377679700,22.9377679700,22.4421377200,22.6403898200,23.2549713300,260692258,2972228880.7900,1,1.327300,1,-2.642800,0
2021-05-20,sh.601899,21.6094789000,22.0059831000,21.0147226000,21.6689545300,22.6403898200,440449024,4757953611.5700,1,2.242600,1,-4.290700,0
2021-05-21,sh.601899,21.4112268000,21.8672066300,21.1534990700,21.4508772200,21.6689545300,273640496,2962046118.1000,1,1.393300,1,-1.006400,0
2021-05-24,sh.601899,20.9354217600,21.3319259600,20.7966452900,21.0543730200,21.4508772200,261063789,2769535488.1800,1,1.329200,1,-1.848400,0
2021-05-25,sh.601899,21.1931494900,21.8275562100,20.9155965500,21.6689545300,21.0543730200,309188928,3349195351.5200,1,1.574300,1,2.919000,0
2021-05-26,sh.601899,21.6689545300,22.1844099900,21.5698284800,21.9266822600,21.6689545300,264624958,2921685346.8800,1,1.347400,1,1.189400,0
2021-05-27,sh.601899,22.1844099900,22.2835360400,21.7284301600,22.0852839400,21.9266822600,235782674,2619503633.0200,1,1.200500,1,0.723300,0
2021-05-28,sh.601899,22.6800402400,22.8188167100,22.1844099900,22.1844099900,22.0852839400,284479216,3228782021.9800,1,1.448400,1,0.448800,0
2021-05-31,sh.601899,22.3826620900,22.5610889800,21.9861578900,22.2637108300,22.1844099900,274209232,3077621769.2400,1,1.396200,1,0.357500,0
2021-06-01,sh.601899,22.1051091500,22.6800402400,21.9465074700,22.6800402400,22.2637108300,299210048,3371369883.8400,1,1.517100,1,1.870000,0
2021-06-02,sh.601899,22.4024873000,22.6007394000,22.1051091500,22.1645847800,22.6800402400,241051336,2711209480.8700,1,1.222200,1,-2.272700,0
2021-06-03,sh.601899,22.0852839400,22.3430116700,21.8077310000,21.8077310000,22.1645847800,264730027,2946459114.1700,1,1.342200,1,-1.610000,0
2021-06-04,sh.601899,20.8362957100,21.7482553700,20.5983931900,21.4905276400,21.8077310000,402898080,4289951088.0100,1,2.042800,1,-1.454500,0
2021-06-07,sh.601899,21.5500032700,22.4421377200,21.5103528500,22.1447595700,21.4905276400,332356304,3695016908.7300,1,1.685100,1,3.044300,0
2021-06-08,sh.601899,22.3826620900,22.5016133500,21.7879057900,21.9266822600,22.1447595700,261484316,2907604384.4500,1,1.325800,1,-0.984800,0
2021-06-09,sh.601899,22.2042352000,22.2042352000,21.6293041100,21.9663326800,21.9266822600,207377190,2297180996.5700,1,1.051400,1,0.180800,0
2021-06-10,sh.601899,22.0059831000,22.2835360400,21.9068570500,21.9465074700,21.9663326800,216082902,2404639032.1200,1,1.095600,1,-0.090300,0
2021-06-11,sh.601899,22.0456335200,22.3430116700,21.4310520100,21.8077310000,21.9465074700,418514480,4630407468.7200,1,2.122000,1,-0.632300,0
2021-06-15,sh.601899,21.5698284800,21.6094789000,20.6182184000,20.7569948700,21.8077310000,460805360,4871405687.4000,1,2.336400,1,-4.818200,0
2021-06-16,sh.601899,20.3604906700,20.5983931900,19.6269579000,19.7062587400,20.7569948700,416736944,4188211881.9300,1,2.112900,1,-5.062100,0
