date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sh.601012,899.4111844000,989.3523028400,899.4111844000,976.4757002000,899.4111844000,113225943,11107838800.8600,1,3.002000,1,8.568300,0
2021-01-05,sh.601012,965.8427480200,1042.6146137600,955.0146958000,1023.0070597400,976.4757002000,99197922,10227506680.9000,1,2.630100,1,4.765200,0
2021-01-06,sh.601012,1023.3972598200,1056.4667166000,1010.1304571000,1043.7852140000,1023.0070597400,86244761,9133467682.0900,1,2.286600,1,2.031100,0
2021-01-07,sh.601012,1068.9531191600,1119.6791295600,1048.6627150000,1107.6804771000,1043.7852140000,98898721,10989799381.6800,1,2.622100,1,6.121500,0
2021-01-08,sh.601012,1131.5802320000,1141.3352340000,1043.1999138800,1076.9522208000,1107.6804771000,126620017,14076783499.5400,1,3.357100,1,-2.774100,0
2021-01-11,sh.601012,1080.8542216000,1080.8542216000,1022.0315595400,1035.4934623000,1076.9522208000,98528650,10531442591.0900,1,2.612300,1,-3.849600,0
2021-01-12,sh.601012,1030.7135113200,1079.0983212400,1023.1046097600,1072.5624699000,1035.4934623000,85405608,9233938403.5500,1,2.264400,1,3.579800,0
2021-01-13,sh.601012,1074.2208202400,1115.6795787400,1040.3709633000,1055.2961163600,1072.5624699000,87997639,9710763814.2400,1,2.333100,1,-1.609800,0
2021-01-14,sh.601012,1034.0302120000,1035.2008122400,975.4026499800,985.1576519800,1055.2961163600,120997501,12378368034.6900,1,3.208100,1,-6.646300,0
2021-01-15,sh.601012,974.5246998000,1008.1794567000,960.9652470200,998.4244547000,985.1576519800,79002625,7994646884.8200,1,2.094600,1,1.346700,0
2021-01-18,sh.601012,975.5002000000,1017.4467086000,969.3545487400,1006.4235563400,998.4244547000,71245294,7286087238.0900,1,1.889000,1,0.801200,0
2021-01-19,sh.601012,1029.1527110000,1042.5170637400,986.0356021600,999.8877050000,1006.4235563400,61573611,6385967870.3000,1,1.632500,1,-0.649400,0
2021-01-20,sh.601012,1007.6917066000,1057.2471167600,993.0592036000,1056.5642666200,999.8877050000,73991177,7813323733.1900,1,1.961800,1,5.668300,0
2021-01-21,sh.601012,1070.7090195200,1128.2635313200,1048.6627150000,1112.2653280400,1056.5642666200,95405837,10625267305.0200,1,2.529500,1,5.271900,0
2021-01-22,sh.601012,1112.5579781000,1189.2322938200,1112.5579781000,1167.6737394000,1112.2653280400,88839728,10499090029.8000,1,2.355400,1,4.981600,0
2021-01-25,sh.601012,1175.8679410800,1219.3752500000,1109.1437274000,1139.0915835400,1167.6737394000,115561885,13953031410.5500,1,3.063900,1,-2.447800,0
2021-01-26,sh.601012,1131.4826819800,1138.4087334000,1094.7063244400,1112.8506281600,1139.0915835400,71769132,8207925447.6500,1,1.902800,1,-2.303700,0
2021-01-27,sh.601012,1107.1927270000,1199.8652460000,1090.6092236000,1199.8652460000,1112.8506281600,98860511,11587186543.3000,1,2.621100,1,7.819100,0
2021-01-28,sh.601012,1152.6510363200,1171.3806401600,1101.0470757400,1104.6564264800,1199.8652460000,92057688,10692473802.2200,1,2.440800,1,-7.935000,0
2021-01-29,sh.601012,1102.3152260000,1102.3152260000,1011.7888074400,1049.1504651000,1104.6564264800,137375758,14790282560.0700,1,3.642300,1,-5.024700,0
2021-02-01,sh.601012,1034.0302120000,1057.8324168800,1012.3741075600,1043.0048138400,1049.1504651000,75254208,7970232996.1600,1,1.995200,1,-0.585800,0
2021-02-02,sh.601012,1056.4667166000,1088.0729230800,1025.0556101600,1063.3927680200,1043.0048138400,71491418,7762243269.7000,1,1.895500,1,1.954700,0
2021-02-03,sh.601012,1080.8542216000,1111.0947278000,1047.7847648200,1061.5393176400,1063.3927680200,78981935,8716825126.4500,1,2.094100,1,-0.174300,0
2021-02-04,sh.601012,1043.7852140000,1100.4617756200,1038.6150629400,1080.2689214800,1061.5393176400,72816416,8021496017.8100,1,1.930600,1,1.764400,0
2021-02-05,sh.601012,1103.2907262000,1157.0407872200,1102.3152260000,1118.1183292400,1080.2689214800,100245606,11604988851.5100,1,2.657800,1,3.503700,0
2021-02-08,sh.601012,1118.1183292400,1118.1183292400,1037.0542626200,1094.5112244000,1118.1183292400,83632954,9227796641.8100,1,2.217400,1,-2.111300,0
2021-02-09,sh.601012,1102.3152260000,1149.9196357600,1097.5352750200,1145.3347848200,1094.5112244000,81408616,9467527909.7400,1,2.158400,1,4.643500,0
2021-02-10,sh.601012,1170.5026899800,1201.8162464000,1146.2127350000,1189.9151439600,1145.3347848200,80983414,9813001061.1900,1,2.147100,1,3.892300,0
2021-02-18,sh.601012,1213.3271487600,1226.0086513600,1170.6977900200,1193.0367446000,1189.9151439600,77889570,9556334113.4300,1,2.065100,1,0.262300,0
2021-02-19,sh.601012,1168.3565895400,1177.4287414000,1109.1437274000,1141.3352340000,1193.0367446000,77777512,9080595690.7800,1,2.062100,1,-4.333600,0
2021-02-22,sh.601012,1121.8252300000,1164.7472388000,1058.4177170000,1062.1246177600,1141.3352340000,88753703,10113635301.3500,1,2.353200,1,-6.940200,0
2021-02-23,sh.601012,1034.0302120000,1107.6804771000,1019.3977090000,1085.4390725400,1062.1246177600,65535311,7225816019.3600,1,1.737600,1,2.195100,0
2021-02-24,sh.601012,1072.9526699800,1088.5606731800,985.3527520200,1014.5202080000,1085.4390725400,100515122,10619546980.5700,1,2.665000,1,-6.533700,0
2021-02-25,sh.601012,1043.7852140000,1044.8582642200,1006.9113064400,1014.5202080000,1014.5202080000,60249722,6342391914.5400,1,1.597400,1,0.000000,0
2021-02-26,sh.601012,975.5002000000,1038.8101629800,965.7451980000,1019.0075089200,1014.5202080000,76398925,7876848195.0500,1,2.025600,1,0.442300,0
2021-03-01,sh.601012,1048.6627150000,1083.7807222000,1034.1277620200,1067.2947688200,1019.0075089200,70236332,7666880793.9600,1,1.862200,1,4.738700,0
2021-03-02,sh.601012,1082.6101219600,1107.1927270000,1044.0778640600,1072.9526699800,1067.2947688200,66514729,7372388197.2600,1,1.763500,1,0.530100,0
2021-03-03,sh.601012,1065.0511183600,1065.5388684600,1025.8360103200,1053.5402160000,1072.9526699800,58829844,6283668159.5200,1,1.559800,1,-1.809300,0
2021-03-04,sh.601012,1019.3977090000,1024.2752100000,953.7465455400,956.9656962000,1053.5402160000,112907315,11368577224.1700,1,2.993600,1,-9.166700,0
2021-03-05,sh.601012,917.5554881200,983.2066515800,902.4352350200,970.0373988800,956.9656962000,74392217,7246979183.2800,1,1.972400,1,1.366000,0
2021-03-08,sh.601012,975.5002000000,980.1826009600,873.0726790000,873.0726790000,970.0373988800,117406692,10921840485.1400,1,3.112800,1,-9.996000,0
2021-03-09,sh.601012,846.8317236200,872.8775789600,802.0562644400,819.4201680000,873.0726790000,128754205,11022831927.5900,1,3.413700,1,-6.145300,0
2021-03-10,sh.601012,858.4401760000,866.2441776000,823.7123688800,829.1751700000,819.4201680000,101546781,8772560886.4400,1,2.692300,1,1.190500,0
2021-03-11,sh.601012,837.9546718000,879.7060803600,829.2727200200,868.0976279800,829.1751700000,80542228,7091615569.9500,1,2.135400,1,4.694100,0
2021-03-12,sh.601012,892.3875829600,892.3875829600,854.3430751600,888.4855821600,868.0976279800,81926265,7375988789.6600,1,2.172100,1,2.348600,0
2021-03-15,sh.601012,867.8049779200,867.8049779200,799.6175139400,799.6175139400,888.4855821600,110187131,9238958126.9300,1,2.921400,1,-10.002200,0
2021-03-16,sh.601012,787.2286614000,804.6901149800,778.2540595600,796.0081632000,799.6175139400,73154028,5942593515.7900,1,1.939600,1,-0.451400,0
2021-03-17,sh.601012,796.1057132200,812.6892166200,772.5961584000,806.3484653200,796.0081632000,60705105,4964088162.5500,1,1.609500,1,1.299000,0
2021-03-18,sh.601012,806.3484653200,816.1034673200,792.7890125400,808.2019157000,806.3484653200,68075013,5606462993.3300,1,1.804900,1,0.229900,0
2021-03-19,sh.601012,780.4001600000,788.2041616000,759.3293556800,770.2549579200,808.2019157000,75484816,5972434766.3700,1,2.001400,1,-4.695200,0
2021-03-22,sh.601012,780.4001600000,795.6179631200,772.5961584000,780.8879101000,770.2549579200,55205169,4434728210.7000,1,1.463700,1,1.380400,0
2021-03-23,sh.601012,780.4001600000,785.2776610000,755.9151049800,766.4505071400,780.8879101000,58049602,4541002790.2200,1,1.539100,1,-1.848800,0
2021-03-24,sh.601012,770.4500579600,774.5471588000,744.5993026600,749.0866035800,766.4505071400,48389440,3746514554.8400,1,1.283000,1,-2.265500,0
2021-03-25,sh.601012,736.5026510000,757.9636554000,731.7227000200,751.1351540000,749.0866035800,47345692,3623893917.6800,1,1.255300,1,0.273500,0
2021-03-26,sh.601012,760.9877060200,791.3257622400,756.0126550000,784.4972608400,751.1351540000,87221576,6951002455.7900,1,2.312500,1,4.441600,0
2021-03-29,sh.601012,784.4972608400,794.7400129400,769.6696578000,782.3511604000,784.4972608400,57740494,4637820541.9500,1,1.530900,1,-0.273600,0
2021-03-30,sh.601012,782.2536103800,859.3181261800,776.4981592000,854.7332752400,782.3511604000,104460183,8887659619.6000,1,2.769600,1,9.251900,0
2021-03-31,sh.601012,858.3426259800,884.4860313400,842.1493226600,858.4401760000,854.7332752400,81182804,7161190354.2600,1,2.152400,1,0.433700,0
2021-04-01,sh.601012,870.6339285000,904.7764355000,855.3185753600,874.2432792400,858.4401760000,65377859,5894871560.8800,1,1.691000,1,1.840900,0
2021-04-02,sh.601012,871.9020787600,880.9742306200,845.5635733600,867.1221277800,874.2432792400,56409986,4984790631.3200,1,1.459000,1,-0.814600,0
2021-04-06,sh.601012,885.3639815200,923.1158392600,879.8036303800,909.0686363800,867.1221277800,76607102,7082562609.5000,1,1.981400,1,4.837400,0
2021-04-07,sh.601012,909.2637364200,909.5563864800,864.8784773200,869.3657782400,909.0686363800,65815727,5907819802.9100,1,1.702300,1,-4.367400,0
2021-04-08,sh.601012,848.6851740000,866.5368276600,836.7840715600,855.6112254200,869.3657782400,51570166,4514426141.8400,1,1.333800,1,-1.582100,0
2021-04-09,sh.601012,819.4201680000,840.4909723200,810.1529161000,817.1765175400,855.6112254200,65257638,5500628414.1400,1,1.687900,1,-4.492100,0
2021-04-12,sh.601012,809.6651660000,822.3466686000,785.2776610000,794.9351129800,817.1765175400,57856937,4742177442.0200,1,1.496400,1,-2.721700,0
2021-04-13,sh.601012,794.6424629200,812.4941165800,790.1551620000,796.0081632000,794.9351129800,41493597,3399308663.5200,1,1.073200,1,0.135000,0
2021-04-14,sh.601012,792.0086123800,809.5676159800,787.1311113800,801.1783142600,796.0081632000,51578388,4217656634.2000,1,1.334000,1,0.649500,0
2021-04-15,sh.601012,798.9346638000,853.5626750000,791.1306622000,846.5390735600,801.1783142600,82360110,7021186720.0300,1,2.130200,1,5.661800,0
2021-04-16,sh.601012,843.8076730000,844.0027730400,811.3235163400,832.5894207000,846.5390735600,53880122,4556901793.0800,1,1.393600,1,-1.647800,0
2021-04-19,sh.601012,837.9546718000,879.5109803200,826.9315195400,874.1457292200,832.5894207000,75210468,6647395644.7900,1,1.945300,1,4.991200,0
2021-04-20,sh.601012,874.0481792000,921.8476890000,866.8294777200,901.3621848000,874.1457292200,83943905,7759799161.3900,1,2.171200,1,3.113500,0
2021-04-21,sh.601012,916.9701880000,932.2855411400,884.3884813200,901.7523848800,901.3621848000,87086859,8130256251.1400,1,2.252500,1,0.043300,0
2021-04-22,sh.601012,912.1902370200,915.7995877600,862.1470767600,883.9007312200,901.7523848800,58328043,5283325129.0000,1,1.508600,1,-1.979700,0
2021-04-23,sh.601012,884.7786814000,910.1416866000,884.7786814000,897.3626339800,883.9007312200,46036028,4246057600.5500,1,1.190700,1,1.523000,0
2021-04-26,sh.601012,902.3376850000,928.4810903600,887.8027320200,892.3875829600,897.3626339800,58306213,5456355918.6800,1,1.508100,1,-0.554400,0
2021-04-27,sh.601012,895.5091836000,907.8980361400,878.0477300200,896.2895837600,892.3875829600,44338178,4055311101.7200,1,1.146800,1,0.437300,0
2021-04-28,sh.601012,897.4601840000,924.3839895200,889.3635323400,922.1403390600,896.2895837600,54504618,5101771057.8500,1,1.409700,1,2.884200,0
2021-04-29,sh.601012,928.1884403000,928.1884403000,896.1920337400,917.9456882000,922.1403390600,45202640,4237030074.5800,1,1.169100,1,-0.454900,0
2021-04-30,sh.601012,923.3109393000,981.1581011600,922.9207392200,969.6471988000,917.9456882000,81083489,8006832807.8200,1,2.097200,1,5.632300,0
2021-05-06,sh.601012,965.4525479400,1011.5937074000,956.2828460600,975.5002000000,969.6471988000,72318413,7293459240.9900,1,1.870500,1,0.603600,0
2021-05-07,sh.601012,975.5977500200,1002.8142056000,936.4801920000,943.6013434600,975.5002000000,53589869,5300692478.7600,1,1.386100,1,-3.270000,0
2021-05-10,sh.601012,937.0654921200,970.6226990000,917.0677380200,952.0881952000,943.6013434600,42820598,4159614960.1800,1,1.107500,1,0.899400,0
2021-05-11,sh.601012,935.9924419000,940.6748428600,907.5078360600,938.4311924000,952.0881952000,43506509,4120827651.9400,1,1.125300,1,-1.434400,0
2021-05-12,sh.601012,931.6026910000,953.6489955200,930.6271908000,942.1380931600,938.4311924000,25541394,2470196189.1600,1,0.660600,1,0.395000,0
