date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sh.600309,373.0577466600,377.7376825500,372.3891843900,372.6120384800,375.5091416500,4670514,78394707.0000,1,0.215994,1,-0.771500,0
2014-06-04,sh.600309,371.9434762100,372.6120384800,365.2578535100,366.5949780500,372.6120384800,4887170,80564436.0000,1,0.226014,1,-1.614800,0
2014-06-05,sh.600309,367.4863944100,375.5091416500,367.4863944100,374.1720171100,366.5949780500,6410890,107336013.0000,1,0.296480,1,2.066900,0
2014-06-06,sh.600309,373.9491630200,374.1720171100,366.1492698700,369.0463730400,374.1720171100,4432572,73450463.0000,1,0.204990,1,-1.369900,0
2014-06-09,sh.600309,368.1549566800,374.1720171100,367.2635403200,367.4863944100,369.0463730400,5929662,98527902.0000,1,0.274225,1,-0.422700,0
2014-06-10,sh.600309,367.7092485000,371.9434762100,365.4807076000,371.7206221200,367.4863944100,7095281,117337228.0000,1,0.328131,1,1.152200,0
2014-06-11,sh.600309,369.4920812200,373.5034548400,369.0463730400,372.8348925700,371.7206221200,5035661,83946011.0000,1,0.232881,1,0.299800,0
2014-06-12,sh.600309,371.0520598500,371.4977680300,367.4863944100,368.8235189500,372.8348925700,5703136,94446631.0000,1,0.263749,1,-1.075900,0
2014-06-13,sh.600309,368.8235189500,373.7263089300,367.7092485000,371.2749139400,368.8235189500,10770384,179465573.0000,1,0.498091,1,0.664700,0
2014-06-16,sh.600309,372.4380043600,375.9274297600,370.8096058400,371.9727476400,371.2748625600,12975446,208009762.0000,1,0.600066,1,0.188000,0
2014-06-17,sh.600309,372.2053760000,374.5316596000,369.6464640400,371.7401192800,371.9727476400,7572204,121168904.0000,1,0.350186,1,-0.062500,0
2014-06-18,sh.600309,372.2053760000,373.1358894400,358.7129311200,360.1087012800,371.7401192800,11854047,185858757.0000,1,0.548206,1,-3.128900,0
2014-06-19,sh.600309,360.5739580000,361.9697281600,344.2899728000,346.1509996800,360.1087012800,20683709,311312912.0000,1,0.956545,1,-3.876000,0
2014-06-20,sh.600309,341.0331757600,349.6404250800,341.0331757600,348.0120265600,346.1509996800,7807812,116448026.0000,1,0.361082,1,0.537600,0
2014-06-23,sh.600309,348.2446549200,350.8035668800,345.4531146000,345.9183713200,348.0120265600,7652576,114523629.0000,1,0.353903,1,-0.601600,0
2014-06-24,sh.600309,345.9183713200,349.1751683600,345.4531146000,348.2446549200,345.9183713200,5236841,78311098.0000,1,0.242185,1,0.672500,0
2014-06-25,sh.600309,348.9425400000,349.4077967200,346.1509996800,348.4772832800,348.2446549200,5842237,87436681.0000,1,0.270182,1,0.066800,0
2014-06-26,sh.600309,349.1751683600,350.1056818000,347.5467698400,349.6404250800,348.4772832800,5402648,80989821.0000,1,0.249853,1,0.333800,0
2014-06-27,sh.600309,349.1751683600,350.1056818000,346.1509996800,348.0120265600,349.6404250800,6479889,96918589.0000,1,0.299671,1,-0.465700,0
2014-06-30,sh.600309,348.4772832800,354.7582490000,346.8488847600,352.6645937600,348.0120265600,9890180,149548537.0000,1,0.457384,1,1.336900,0
2014-07-01,sh.600309,352.8972221200,353.8277355600,350.5709385200,352.4319654000,352.6645937600,4792525,72463145.0000,1,0.221637,1,-0.066000,0
2014-07-02,sh.600309,353.5951072000,353.8277355600,347.7793982000,350.8035668800,352.4319654000,9242034,139053368.0000,1,0.427410,1,-0.462000,0
2014-07-03,sh.600309,350.5709385200,354.2929922800,348.0120265600,352.1993370400,350.8035668800,6649081,100578057.0000,1,0.307495,1,0.397900,0
2014-07-04,sh.600309,352.1993370400,353.3624788400,350.1056818000,350.5709385200,352.1993370400,4018284,60639512.0000,1,0.185831,1,-0.462400,0
2014-07-07,sh.600309,350.3383101600,350.5709385200,344.2899728000,344.9878578800,350.5709385200,8208417,122460940.0000,1,0.379609,1,-1.592600,0
2014-07-08,sh.600309,345.4531146000,345.9183713200,341.9636892000,343.1268310000,344.9878578800,6968602,102902993.0000,1,0.322272,1,-0.539400,0
2014-07-09,sh.600309,342.8942026400,342.8942026400,332.8911831600,333.3564398800,343.1268310000,15921109,230706465.0000,1,0.736293,1,-2.847500,0
2014-07-10,sh.600309,333.3564398800,336.6132369200,330.3322712000,334.7522100400,333.3564398800,11489657,164968449.0000,1,0.531354,1,0.418700,0
2014-07-11,sh.600309,334.7522100400,339.1721488800,332.6585548000,337.3111220000,334.7522100400,8397313,121499361.0000,1,0.388345,1,0.764400,0
2014-07-14,sh.600309,337.0784936400,338.4742638000,332.4259264400,337.5437503600,337.3111220000,13025255,187482522.0000,1,0.602370,1,0.069000,0
2014-07-15,sh.600309,336.8458652800,345.6857429600,335.9153518400,344.0573444400,337.5437503600,17298747,254533677.0000,1,0.800003,1,1.929700,0
2014-07-16,sh.600309,345.4531146000,346.6162564000,342.4289459200,344.0573444400,344.0573444400,10888265,161272455.0000,1,0.503542,1,0.000000,0
2014-07-17,sh.600309,346.3836280400,346.3836280400,337.7763787200,339.4047772400,344.0573444400,5522121,80922554.0000,1,0.255378,1,-1.352300,0
2014-07-18,sh.600309,340.8005474000,344.9878578800,338.0090070800,341.9636892000,339.4047772400,11398427,167664396.0000,1,0.527135,1,0.753900,0
2014-07-21,sh.600309,343.8247160800,356.1540191600,341.0331757600,354.2929922800,341.9636892000,18254553,274610752.0000,1,0.844206,1,3.605400,0
2014-07-22,sh.600309,353.8277355600,361.7370998000,351.2688236000,356.8519042400,354.2929922800,19967180,307777840.0000,1,0.923408,1,0.722300,0
2014-07-23,sh.600309,355.9213908000,365.6917819200,352.6645937600,359.4108162000,356.8519042400,22464910,349490368.0000,1,1.038919,1,0.717100,0
2014-07-24,sh.600309,360.3413296400,383.6041656400,360.3413296400,379.6494835200,359.4108162000,38768933,623867536.0000,1,1.792920,1,5.631100,0
2014-07-25,sh.600309,379.4168551600,387.5588477600,374.0664028800,381.5105104000,379.6494835200,19053266,311525040.0000,1,0.881143,1,0.490200,0
2014-07-28,sh.600309,384.3020507200,391.9787866000,383.1389089200,385.4651925200,381.5105104000,27642818,461096960.0000,1,1.278378,1,1.036600,0
2014-07-29,sh.600309,385.6978208800,392.2114149600,382.4410238400,385.9304492400,385.4651925200,13691866,227487820.0000,1,0.633198,1,0.120700,0
2014-07-30,sh.600309,385.2325641600,390.3503880800,382.6736522000,388.4893612000,385.9304492400,11744652,195452528.0000,1,0.543147,1,0.663100,0
2014-07-31,sh.600309,391.0482731600,404.7733464000,387.3262194000,404.3080896800,388.4893612000,17527849,299873440.0000,1,0.810598,1,4.071800,0
2014-08-01,sh.600309,401.2839210000,402.6796911600,394.7703269200,395.0029552800,404.3080896800,17646451,301751664.0000,1,0.816083,1,-2.301500,0
2014-08-04,sh.600309,393.1419284000,401.7491777200,393.1419284000,399.6555224800,395.0029552800,12934051,221757429.0000,1,0.598152,1,1.177900,0
2014-08-05,sh.600309,399.6555224800,399.6555224800,389.4198746400,393.6071851200,399.6555224800,10473227,176879901.0000,1,0.484348,1,-1.513400,0
2014-08-06,sh.600309,390.8156448000,391.2809015200,381.2778820400,384.5346790800,393.6071851200,19924409,329398160.0000,1,0.921430,1,-2.305000,0
2014-08-07,sh.600309,384.0694223600,388.0241044800,382.6736522000,384.5346790800,384.5346790800,13210578,218831569.0000,1,0.610940,1,0.000000,0
2014-08-08,sh.600309,384.5346790800,394.0724418400,383.1389089200,389.4198746400,384.5346790800,14181005,237832558.0000,1,0.655819,1,1.270400,0
2014-08-11,sh.600309,389.6525030000,394.7703269200,388.7219895600,393.1419284000,389.4198746400,16445543,276858224.0000,1,0.760546,1,0.955800,0
2014-08-12,sh.600309,391.7461582400,401.7491777200,391.5135298800,398.9576374000,393.1419284000,17355858,297197024.0000,1,0.802644,1,1.479300,0
2014-08-13,sh.600309,398.9576374000,400.3534075600,384.7673074400,392.6766716800,398.9576374000,15161203,255230594.0000,1,0.701150,1,-1.574300,0
2014-08-14,sh.600309,390.3503880800,396.8639821600,386.3957059600,391.9787866000,392.6766716800,11012335,186207516.0000,1,0.509280,1,-0.177700,0
2014-08-15,sh.600309,392.4440433200,398.9576374000,389.8851313600,396.6313538000,391.9787866000,10146777,172886602.0000,1,0.469251,1,1.186900,0
2014-08-18,sh.600309,396.6313538000,398.7250090400,390.8156448000,395.0029552800,396.6313538000,15686239,265415222.0000,1,0.725431,1,-0.410600,0
2014-08-19,sh.600309,394.5376985600,395.7008403600,391.2809015200,393.6071851200,395.0029552800,11072326,186867323.0000,1,0.512054,1,-0.353400,0
2014-08-20,sh.600309,393.3745567600,395.9334687200,391.0482731600,392.9093000400,393.6071851200,10155862,171397917.0000,1,0.469671,1,-0.177300,0
2014-08-21,sh.600309,392.9093000400,394.0724418400,384.7673074400,390.5830164400,392.9093000400,10346906,173356724.0000,1,0.478506,1,-0.592100,0
2014-08-22,sh.600309,390.3503880800,393.1419284000,383.8367940000,387.3262194000,390.5830164400,9264558,154224955.0000,1,0.428452,1,-0.833800,0
2014-08-25,sh.600309,385.4651925200,388.2567328400,382.2083954800,383.8367940000,387.3262194000,11455270,189542247.0000,1,0.529764,1,-0.900900,0
2014-08-26,sh.600309,380.3473686000,381.0452536800,372.2053760000,374.0664028800,383.8367940000,23228929,376193296.0000,1,1.074252,1,-2.545500,0
2014-08-27,sh.600309,374.0664028800,377.0905715600,372.6706327200,375.9274297600,374.0664028800,7887026,126908870.0000,1,0.364746,1,0.497500,0
2014-08-28,sh.600309,378.7189700800,382.2083954800,374.5316596000,378.4863417200,375.9274297600,12897655,209640547.0000,1,0.596469,1,0.680700,0
2014-08-29,sh.600309,380.5799969600,388.4893612000,378.0210850000,387.7914761200,378.4863417200,9407359,155490211.0000,1,0.435056,1,2.458500,0
2014-09-01,sh.600309,384.9999358000,387.7914761200,382.4410238400,385.6978208800,387.7914761200,9590927,158787897.0000,1,0.443545,1,-0.539900,0
2014-09-02,sh.600309,385.4651925200,392.6766716800,385.4651925200,391.0482731600,385.6978208800,11189861,187116198.0000,1,0.517490,1,1.387200,0
2014-09-03,sh.600309,391.7461582400,395.9334687200,391.2809015200,394.3050702000,391.0482731600,13553374,229685787.0000,1,0.626794,1,0.832800,0
2014-09-04,sh.600309,394.0724418400,402.2144344400,391.9787866000,400.5860359200,394.3050702000,15071651,258201889.0000,1,0.697008,1,1.592900,0
2014-09-05,sh.600309,402.4470628000,418.0331629200,402.4470628000,409.1932852400,400.5860359200,22813129,403438256.0000,1,1.055023,1,2.148700,0
2014-09-09,sh.600309,412.2174539200,416.8700211200,407.3322583600,408.2627718000,409.1932852400,12815276,226760517.0000,1,0.592659,1,-0.227400,0
2014-09-10,sh.600309,407.0996300000,412.2174539200,403.8428329600,409.1932852400,408.2627718000,13536287,236774811.0000,1,0.626003,1,0.227900,0
2014-09-11,sh.600309,408.4954001600,414.5437375200,402.4470628000,410.3564270400,409.1932852400,13089408,230597448.0000,1,0.605337,1,0.284200,0
2014-09-12,sh.600309,408.4954001600,420.8247032400,405.4712314800,411.2869404800,410.3564270400,15904886,281910096.0000,1,0.735542,1,0.226800,0
2014-09-15,sh.600309,408.0301434400,410.5890554000,400.1207792000,403.1449478800,411.2869404800,16636184,288237488.0000,1,0.769362,1,-1.979600,0
2014-09-16,sh.600309,403.8428329600,405.9364882000,394.3050702000,395.4682120000,403.1449478800,13154750,225061016.0000,1,0.608359,1,-1.904200,0
2014-09-17,sh.600309,397.7944956000,400.1207792000,394.5376985600,397.7944956000,395.4682120000,10644672,181966074.0000,1,0.492277,1,0.588200,0
2014-09-18,sh.600309,395.9334687200,400.8186642800,395.7008403600,397.7944956000,397.7944956000,8630893,147645071.0000,1,0.399147,1,0.000000,0
2014-09-19,sh.600309,397.7944956000,403.6102046000,396.8639821600,401.0512926400,397.7944956000,7320787,126065645.0000,1,0.338559,1,0.818700,0
