date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sz.000002,779.7024455900,790.6970746700,762.2942828800,769.6240356000,783.3673219500,118452510,997159536.0000,1,1.224165,1,-1.754400,0
2014-06-04,sz.000002,765.9591592400,769.6240356000,743.9699010800,751.2996538000,769.6240356000,77377164,636734880.0000,1,0.799666,1,-2.381000,0
2014-06-05,sz.000002,749.4672156200,765.0429401500,746.7185583500,761.3780637900,751.2996538000,47658634,392857136.0000,1,0.492535,1,1.341500,0
2014-06-06,sz.000002,761.3780637900,763.2105019700,741.2212438100,755.8807492500,761.3780637900,49519123,405369920.0000,1,0.511763,1,-0.722000,0
2014-06-09,sz.000002,748.5509965300,784.2835410400,743.9699010800,760.4618447000,755.8807492500,82674296,693052720.0000,1,0.854410,1,0.606100,0
2014-06-10,sz.000002,755.8807492500,777.8700074100,755.8807492500,768.7078165100,760.4618447000,69509520,581961392.0000,1,0.718357,1,1.084300,0
2014-06-11,sz.000002,767.7915974200,780.6186646800,762.2942828800,769.6240356000,768.7078165100,57966817,489075968.0000,1,0.599067,1,0.119200,0
2014-06-12,sz.000002,768.7078165100,775.1213501400,751.2996538000,770.5402546900,769.6240356000,80101101,665178192.0000,1,0.827817,1,0.119100,0
2014-06-13,sz.000002,767.7915974200,776.9537883200,758.6294065200,772.3726928700,770.5402546900,63554128,533383888.0000,1,0.656810,1,0.237800,0
2014-06-16,sz.000002,770.5402546900,771.4564737800,749.4672156200,756.7969683400,772.3726928700,86351325,713535168.0000,1,0.892411,1,-2.016600,0
2014-06-17,sz.000002,755.8807492500,755.8807492500,736.6401483600,743.9699010800,756.7969683400,68598640,554925856.0000,1,0.708943,1,-1.694900,0
2014-06-18,sz.000002,743.9699010800,748.5509965300,739.3888056300,742.1374629000,743.9699010800,34636546,281499488.0000,1,0.357957,1,-0.246300,0
2014-06-19,sz.000002,744.8861201700,746.7185583500,730.2266147300,732.0590529100,742.1374629000,40521829,326318464.0000,1,0.418779,1,-1.358000,0
2014-06-20,sz.000002,736.6401483600,744.8861201700,732.0590529100,744.8861201700,732.0590529100,42668277,344097088.0000,1,0.440962,1,1.752200,0
2014-06-23,sz.000002,744.8861201700,749.4672156200,740.3050247200,746.7185583500,744.8861201700,24932778,202745892.0000,1,0.257672,1,0.246000,0
2014-06-24,sz.000002,750.3834347100,750.3834347100,737.5563674500,741.2212438100,746.7185583500,32425074,263219952.0000,1,0.335102,1,-0.736200,0
2014-06-25,sz.000002,744.8861201700,745.8023392600,729.3103956400,744.8861201700,741.2212438100,53653821,431750720.0000,1,0.554490,1,0.494400,0
2014-06-26,sz.000002,743.9699010800,763.2105019700,741.2212438100,756.7969683400,744.8861201700,59903477,493632432.0000,1,0.619078,1,1.599000,0
2014-06-27,sz.000002,757.7131874300,767.7915974200,754.0483110700,762.2942828800,756.7969683400,55083158,457646896.0000,1,0.569262,1,0.726400,0
2014-06-30,sz.000002,762.2942828800,765.0429401500,753.1320919800,757.7131874300,762.2942828800,39373646,325828976.0000,1,0.407093,1,-0.601000,0
2014-07-01,sz.000002,759.5456256100,759.5456256100,738.4725865400,742.1374629000,757.7131874300,60936886,494620528.0000,1,0.630040,1,-2.055600,0
2014-07-02,sz.000002,741.2212438100,744.8861201700,737.5563674500,743.9699010800,742.1374629000,40633122,328887440.0000,1,0.420115,1,0.246900,0
2014-07-03,sz.000002,743.0536819900,748.5509965300,742.1374629000,746.7185583500,743.9699010800,28803744,234449787.0000,1,0.297808,1,0.369500,0
