date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sh.601088,16.8959887200,17.0849026400,16.8841816000,16.9196029600,16.9077958400,5948013,85498027.0000,1,0.036068,1,0.069800,0
2014-06-04,sh.601088,16.9668314400,16.9668314400,16.6952676800,16.8133388800,16.9196029600,6961674,98982722.0000,1,0.042215,1,-0.628100,0
2014-06-05,sh.601088,16.8133388800,17.0140599200,16.7306890400,16.9786385600,16.8133388800,4020096,57409428.0000,1,0.024377,1,0.983100,0
2014-06-06,sh.601088,16.9786385600,17.0258670400,16.8605673600,16.9196029600,16.9786385600,12764223,183248448.0000,1,0.077401,1,-0.347700,0
2014-06-09,sh.601088,16.8605673600,17.0140599200,16.8251460000,16.9314100800,16.9196029600,7213743,103388791.0000,1,0.043743,1,0.069800,0
2014-06-10,sh.601088,16.9314100800,17.0140599200,16.8723744800,16.9786385600,16.9314100800,11322883,162545500.0000,1,0.068661,1,0.278900,0
2014-06-11,sh.601088,16.9904456800,17.0849026400,16.9196029600,17.0258670400,16.9786385600,9663936,139424361.0000,1,0.058601,1,0.278200,0
2014-06-12,sh.601088,16.9668314400,17.0849026400,16.8605673600,16.9550243200,17.0258670400,5755135,82703530.0000,1,0.034899,1,-0.416100,0
2014-06-13,sh.601088,16.9314100800,17.1321311200,16.9196029600,17.0022528000,16.9550243200,10005695,144445357.0000,1,0.060674,1,0.278600,0
2014-06-16,sh.601088,17.0730955200,17.2265880800,17.0140599200,17.2029738400,17.0022528000,11161996,162087073.0000,1,0.067685,1,1.180600,0
2014-06-17,sh.601088,17.2029738400,17.2502023200,17.0967097600,17.1085168800,17.2029738400,7472257,108470507.0000,1,0.045311,1,-0.549100,0
2014-06-18,sh.601088,17.0612884000,17.1911667200,17.0376741600,17.1203240000,17.1085168800,7776976,112898032.0000,1,0.047159,1,0.069000,0
2014-06-19,sh.601088,17.1203240000,17.4745376000,17.0258670400,17.1439382400,17.1203240000,15759135,230127532.0000,1,0.095562,1,0.137900,0
