date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sz.000858,216.1246213200,218.4430022400,214.4502351000,215.2230287400,216.1246213200,5368137,90028541.0000,1,0.141431,1,-0.417200,0
2014-06-04,sz.000858,215.2230287400,215.8670234400,212.0030552400,212.7758488800,215.2230287400,5310355,88091764.0000,1,0.139909,1,-1.137000,0
2014-06-05,sz.000858,212.5182510000,216.8974149600,211.7454573600,216.7686160200,212.7758488800,6292424,104817575.0000,1,0.165782,1,1.876500,0
2014-06-06,sz.000858,217.6702086000,219.3445948200,216.3822192000,218.3142033000,216.7686160200,9823385,166429180.0000,1,0.258810,1,0.713000,0
2014-06-09,sz.000858,218.9581980000,219.0869969400,216.7686160200,218.0566054200,218.3142033000,5559924,94113900.0000,1,0.146484,1,-0.118000,0
2014-06-10,sz.000858,218.1854043600,224.7541503000,218.1854043600,224.1101556000,218.0566054200,18391188,317974784.0000,1,0.484541,1,2.776100,0
2014-06-11,sz.000858,223.9813566600,226.6861344000,223.4661609000,225.5269439400,224.1101556000,10392211,181581263.0000,1,0.273797,1,0.632200,0
2014-06-12,sz.000858,225.3981450000,229.2621132000,223.4661609000,225.7845418200,225.5269439400,9243485,162419004.0000,1,0.243532,1,0.114200,0
2014-06-13,sz.000858,225.5269439400,229.5197110800,224.8829492400,227.9741238000,225.7845418200,11833087,209520326.0000,1,0.311759,1,0.969800,0
2014-06-16,sz.000858,227.7165259200,229.0045153200,223.8525577200,225.0117481800,227.9741238000,10555014,185235252.0000,1,0.278086,1,-1.299400,0
2014-06-17,sz.000858,225.0117481800,225.0117481800,218.7006001200,220.8901821000,225.0117481800,14817577,255013985.0000,1,0.390389,1,-1.831700,0
2014-06-18,sz.000858,220.8901821000,223.2085630200,219.7309916400,221.1477799800,220.8901821000,7475481,128745581.0000,1,0.196952,1,0.116600,0
2014-06-19,sz.000858,221.0189810400,222.8221662000,219.9885895200,221.2765789200,221.1477799800,6411762,110036514.0000,1,0.168927,1,0.058200,0
2014-06-20,sz.000858,222.0493725600,222.0493725600,217.9278064800,219.4733937600,221.2765789200,7626707,129808632.0000,1,0.200936,1,-0.814900,0
2014-06-23,sz.000858,219.6021927000,222.5645683200,219.6021927000,222.1781715000,219.4733937600,6000203,103134893.0000,1,0.158084,1,1.232400,0
2014-06-24,sz.000858,222.0493725600,227.9741238000,221.5341768000,227.0725312200,222.1781715000,13845072,243073761.0000,1,0.364767,1,2.202900,0
2014-06-25,sz.000858,227.0725312200,227.0725312200,225.0117481800,225.2693460600,227.0725312200,7987254,140225538.0000,1,0.210435,1,-0.794100,0
2014-06-26,sz.000858,226.4285365200,231.9668909400,226.0421397000,228.4893195600,225.2693460600,13965412,249224021.0000,1,0.367938,1,1.429400,0
2014-06-27,sz.000858,228.4893195600,229.9061079000,226.9437322800,229.7773089600,228.4893195600,10433771,185237547.0000,1,0.274892,1,0.563700,0
2014-06-30,sz.000858,229.6485100200,234.4140708000,229.3909121400,230.9364994200,229.7773089600,20585893,371934656.0000,1,0.542367,1,0.504500,0
2014-07-01,sz.000858,232.2768321200,232.2768321200,227.1836298000,227.9878196400,230.9365157200,12935837,221100046.0000,1,0.340815,1,-1.276800,0
2014-07-02,sz.000858,228.2558829200,229.5961993200,227.4516930800,228.7920094800,227.9878196400,8922618,152165112.0000,1,0.235080,1,0.352700,0
2014-07-03,sz.000858,228.7920094800,233.7511801600,228.1218512800,233.3490852400,228.7920094800,13871807,240134924.0000,1,0.365474,1,1.991800,0
2014-07-04,sz.000858,233.3490852400,233.8852118000,231.6066739200,232.6789270400,233.3490852400,10612235,184372240.0000,1,0.279596,1,-0.287200,0
2014-07-07,sz.000858,232.0087688400,237.1019711600,231.7407055600,236.1637496800,232.6789270400,11952978,209567226.0000,1,0.314920,1,1.497700,0
2014-07-08,sz.000858,237.1019711600,239.9166356000,234.0192434400,237.6380977200,236.1637496800,13763255,243934769.0000,1,0.362614,1,0.624300,0
2014-07-09,sz.000858,236.9679395200,241.2569520000,232.0087688400,232.0087688400,237.6380977200,14695776,258816612.0000,1,0.387183,1,-2.368900,0
2014-07-10,sz.000858,232.0087688400,240.9888887200,232.0087688400,237.5040660800,232.0087688400,16037351,284776336.0000,1,0.422529,1,2.368600,0
2014-07-11,sz.000858,237.3700344400,242.7313000400,236.2977813200,240.0506672400,237.5040660800,15825789,284049216.0000,1,0.416955,1,1.072200,0
2014-07-14,sz.000858,240.0506672400,254.6601160000,239.9166356000,254.1239894400,240.0506672400,44350087,824107600.0000,1,1.168471,1,5.862600,0
2014-07-15,sz.000858,253.3197996000,265.6507104800,252.7836730400,257.4747804400,254.1239894400,50673281,986900016.0000,1,1.335066,1,1.318600,0
2014-07-16,sz.000858,257.7428437200,263.7742675200,254.6601160000,256.8046222400,257.4747804400,19522731,377175488.0000,1,0.514356,1,-0.260300,0
2014-07-17,sz.000858,256.4025273200,257.2067171600,247.1543441600,250.9072300800,256.8046222400,26890170,502854256.0000,1,0.708463,1,-2.296500,0
2014-07-18,sz.000858,248.3606289200,264.0423308000,248.3606289200,258.6810652000,250.9072300800,30932193,596298320.0000,1,0.814956,1,3.098300,0
