date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sz.000725,7.1103441600,7.1103441600,7.0115893800,7.0445076400,7.1103441600,69953953,150042711.0000,1,0.607891,1,-0.925900,0
2014-06-04,sz.000725,7.0445076400,7.0445076400,6.9786711200,7.0445076400,7.0445076400,48032210,102265869.0000,1,0.417394,1,0.000000,0
2014-06-05,sz.000725,7.0115893800,7.1432624200,7.0115893800,7.1432624200,7.0445076400,89771678,193117616.0000,1,0.780104,1,1.401900,0
2014-06-06,sz.000725,7.1103441600,7.1432624200,7.0445076400,7.0445076400,7.1432624200,63427850,136766454.0000,1,0.551180,1,-1.382500,0
2014-06-09,sz.000725,7.0445076400,7.1103441600,7.0115893800,7.0115893800,7.0445076400,43423126,93255644.0000,1,0.377341,1,-0.467300,0
2014-06-10,sz.000725,7.0445076400,7.1432624200,7.0115893800,7.1103441600,7.0115893800,61348765,132108969.0000,1,0.533113,1,1.408400,0
2014-06-11,sz.000725,7.1103441600,7.1432624200,7.0774259000,7.1103441600,7.1103441600,43686659,94306532.0000,1,0.379631,1,0.000000,0
2014-06-12,sz.000725,7.1103441600,7.1103441600,7.0774259000,7.0774259000,7.1103441600,39304980,84583334.0000,1,0.341555,1,-0.463000,0
2014-06-13,sz.000725,7.0774259000,7.1432624200,7.0445076400,7.1432624200,7.0774259000,68207692,147443945.0000,1,0.592716,1,0.930200,0
2014-06-16,sz.000725,7.1432624200,7.2749354600,7.1432624200,7.2749354600,7.1432624200,119500680,262436259.0000,1,1.038445,1,1.843300,0
2014-06-17,sz.000725,7.2749354600,7.2749354600,7.1761806800,7.2090989400,7.2749354600,77051527,168877658.0000,1,0.669568,1,-0.905000,0
2014-06-18,sz.000725,7.2090989400,7.3736902400,7.1761806800,7.3736902400,7.2090989400,145924573,322959472.0000,1,1.268065,1,2.283100,0
2014-06-19,sz.000725,7.3407719800,7.4395267600,7.2420172000,7.3078537200,7.3736902400,134532982,300055744.0000,1,1.169074,1,-0.892900,0
2014-06-20,sz.000725,7.3078537200,7.3736902400,7.2420172000,7.2420172000,7.3078537200,274765808,611637968.0000,1,2.387679,1,-0.900900,0
2014-06-23,sz.000725,7.2749354600,7.3078537200,7.1432624200,7.1761806800,7.2420172000,92453320,202236364.0000,1,0.803407,1,-0.909100,0
2014-06-24,sz.000725,7.1432624200,7.2420172000,7.1432624200,7.2090989400,7.1761806800,61229039,133814058.0000,1,0.532072,1,0.458700,0
2014-06-25,sz.000725,7.2090989400,7.2090989400,7.1103441600,7.1432624200,7.2090989400,48589152,105612620.0000,1,0.422233,1,-0.913200,0
2014-06-26,sz.000725,7.1432624200,7.2090989400,7.1432624200,7.1761806800,7.1432624200,46118858,100522511.0000,1,0.400767,1,0.460800,0
2014-06-27,sz.000725,7.1432624200,7.2090989400,7.1103441600,7.1761806800,7.1761806800,58571306,127386075.0000,1,0.508977,1,0.000000,0
2014-06-30,sz.000725,7.1761806800,7.2090989400,7.0774259000,7.1432624200,7.1761806800,90416191,196314157.0000,1,0.785835,1,-0.458700,0
2014-07-01,sz.000725,7.1432624200,7.2090989400,7.1432624200,7.1761806800,7.1432624200,55257723,120589052.0000,1,0.480262,1,0.460800,0
