date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sh.600887,647.9176756000,647.9176756000,598.4612376400,600.3781538400,650.7930499000,72056364,2296849600.0000,1,3.930719,1,-7.746700,0
2014-06-04,sh.600887,604.7870611000,616.8636331600,604.5953694800,614.3716421000,600.3781538400,30324351,965851744.0000,1,1.654212,1,2.330800,0
2014-06-05,sh.600887,615.3301002000,627.7900555000,609.5793516000,627.0232890200,614.3716421000,25943801,840707824.0000,1,1.415250,1,2.059300,0
2014-06-06,sh.600887,628.3651303600,632.1989627600,598.8446208800,612.4547259000,627.0232890200,34778231,1108951552.0000,1,1.897174,1,-2.323400,0
2014-06-09,sh.600887,609.3876599800,620.3140823200,604.0202946200,613.2214923800,612.4547259000,15361584,492141536.0000,1,0.837984,1,0.125200,0
2014-06-10,sh.600887,614.5633337200,617.4387080200,600.1864622200,613.2214923800,613.2214923800,18229870,579323712.0000,1,0.994451,1,0.000000,0
2014-06-11,sh.600887,613.4131840000,622.2309985200,610.1544264600,621.4642320400,613.2214923800,17949078,578765024.0000,1,0.979133,1,1.344200,0
2014-06-12,sh.600887,622.8060733800,638.7164778400,622.8060733800,635.4577203000,621.4642320400,23943731,790172080.0000,1,1.306145,1,2.251700,0
2014-06-13,sh.600887,637.3746365000,642.5503102400,627.7900555000,637.7580197400,635.4577203000,14013569,465692272.0000,1,0.764449,1,0.362000,0
2014-06-16,sh.600887,639.2915527000,639.2915527000,628.1734387400,635.4577203000,637.7580197400,18439541,608306416.0000,1,1.005888,1,-0.360700,0
2014-06-17,sh.600887,632.5823460000,632.5823460000,624.3396063400,627.4066722600,635.4577203000,11445601,375010032.0000,1,0.624365,1,-1.267000,0
2014-06-18,sh.600887,626.8315974000,631.6238879000,619.7390074600,621.8476152800,627.4066722600,9228527,300697904.0000,1,0.503422,1,-0.886000,0
2014-06-19,sh.600887,623.9562231000,628.5568219800,605.7455192000,610.3461180800,621.8476152800,11882196,380134112.0000,1,0.648181,1,-1.849600,0
2014-06-20,sh.600887,611.1128845600,613.2214923800,598.2695460200,610.9211929400,610.3461180800,13917892,439285056.0000,1,0.759230,1,0.094200,0
2014-06-23,sh.600887,611.3045761800,613.0298007600,601.7199951800,604.9787527200,610.9211929400,10161796,321671552.0000,1,0.554332,1,-0.972700,0
2014-06-24,sh.600887,605.3621359600,615.1384085800,601.3366119400,609.5793516000,604.9787527200,11120259,353908944.0000,1,0.606617,1,0.760500,0
2014-06-25,sh.600887,613.4131840000,623.7645314800,610.1544264600,621.4642320400,609.5793516000,11552010,372939840.0000,1,0.630169,1,1.949700,0
