date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sh.600029,3.7295098400,3.7455163200,3.7135033600,3.7135033600,3.7455163200,16187724,37667327.0000,1,0.230507,1,-0.854700,0
2014-06-04,sh.600029,3.7135033600,3.7295098400,3.6494774400,3.6654839200,3.7135033600,15219754,34985485.0000,1,0.216724,1,-1.293100,0
2014-06-05,sh.600029,3.6654839200,3.6974968800,3.6494774400,3.6814904000,3.6654839200,16317489,37444000.0000,1,0.232355,1,0.436700,0
2014-06-06,sh.600029,3.6814904000,3.7135033600,3.6654839200,3.6814904000,3.6814904000,12507062,28807615.0000,1,0.178096,1,0.000000,0
2014-06-09,sh.600029,3.6814904000,3.6974968800,3.6654839200,3.6814904000,3.6814904000,9306690,21378617.0000,1,0.132524,1,0.000000,0
2014-06-10,sh.600029,3.6814904000,3.7295098400,3.6814904000,3.7295098400,3.6814904000,15744237,36430140.0000,1,0.224192,1,1.304300,0
2014-06-11,sh.600029,3.7295098400,3.7295098400,3.6814904000,3.6974968800,3.7295098400,16122847,37378436.0000,1,0.229584,1,-0.858400,0
2014-06-12,sh.600029,3.6974968800,3.7135033600,3.6654839200,3.6814904000,3.6974968800,15051814,34651993.0000,1,0.214332,1,-0.432900,0
2014-06-13,sh.600029,3.6814904000,3.7295098400,3.6814904000,3.7295098400,3.6814904000,15757341,36458796.0000,1,0.224379,1,1.304300,0
2014-06-16,sh.600029,3.7135033600,3.7295098400,3.6974968800,3.7135033600,3.7295098400,13548076,31401461.0000,1,0.192920,1,-0.429200,0
2014-06-17,sh.600029,3.7135033600,3.7295098400,3.6814904000,3.7135033600,3.7135033600,10267509,23754861.0000,1,0.146206,1,0.000000,0
2014-06-18,sh.600029,3.6974968800,3.6974968800,3.6654839200,3.6654839200,3.7135033600,17965596,41283246.0000,1,0.255824,1,-1.293100,0
2014-06-19,sh.600029,3.6814904000,3.6814904000,3.6014580000,3.6174644800,3.6654839200,18502812,42078397.0000,1,0.263473,1,-1.310000,0
2014-06-20,sh.600029,3.6174644800,3.6334709600,3.6014580000,3.6174644800,3.6174644800,10887574,24621148.0000,1,0.155035,1,0.000000,0
2014-06-23,sh.600029,3.6174644800,3.6334709600,3.6014580000,3.6174644800,3.6174644800,12008973,27161856.0000,1,0.171003,1,0.000000,0
2014-06-24,sh.600029,3.6174644800,3.6654839200,3.6174644800,3.6494774400,3.6174644800,10724820,24390733.0000,1,0.152718,1,0.885000,0
2014-06-25,sh.600029,3.6494774400,3.6494774400,3.6174644800,3.6174644800,3.6494774400,7611555,17287930.0000,1,0.108386,1,-0.877200,0
2014-06-26,sh.600029,3.6494774400,3.6654839200,3.6334709600,3.6654839200,3.6174644800,9978954,22753100.0000,1,0.142097,1,1.327400,0
2014-06-27,sh.600029,3.6494774400,3.7455163200,3.6334709600,3.7135033600,3.6654839200,19385788,44744685.0000,1,0.276047,1,1.310000,0
2014-06-30,sh.600029,3.6974968800,3.7135033600,3.6814904000,3.6974968800,3.7135033600,12981404,30003448.0000,1,0.184851,1,-0.431000,0
2014-07-01,sh.600029,3.6974968800,3.7135033600,3.6814904000,3.7135033600,3.6974968800,12084074,27965895.0000,1,0.172073,1,0.432900,0
2014-07-02,sh.600029,3.6974968800,3.7455163200,3.6814904000,3.7135033600,3.7135033600,20883853,48503993.0000,1,0.297379,1,0.000000,0
2014-07-03,sh.600029,3.7295098400,3.8095422400,3.7135033600,3.7775292800,3.7135033600,38686462,91147929.0000,1,0.550881,1,1.724100,0
2014-07-04,sh.600029,3.7775292800,3.7935357600,3.7455163200,3.7615228000,3.7775292800,14556112,34199892.0000,1,0.207274,1,-0.423700,0
2014-07-07,sh.600029,3.7455163200,3.7615228000,3.7135033600,3.7295098400,3.7615228000,12164197,28356026.0000,1,0.173214,1,-0.851100,0
2014-07-08,sh.600029,3.7295098400,3.7615228000,3.6974968800,3.7455163200,3.7295098400,16550437,38597172.0000,1,0.235672,1,0.429200,0
2014-07-09,sh.600029,3.7295098400,3.7455163200,3.6814904000,3.6974968800,3.7455163200,14340288,33260990.0000,1,0.204201,1,-1.282100,0
2014-07-10,sh.600029,3.6974968800,3.7135033600,3.6814904000,3.6974968800,3.6974968800,10832978,25041176.0000,1,0.154258,1,0.000000,0
2014-07-11,sh.600029,3.6974968800,3.7295098400,3.6974968800,3.7135033600,3.6974968800,16771237,38864441.0000,1,0.238816,1,0.432900,0
2014-07-14,sh.600029,3.6974968800,3.7295098400,3.6654839200,3.7295098400,3.7135033600,28680391,66189746.0000,1,0.408398,1,0.431000,0
2014-07-15,sh.600029,3.7135033600,3.7935357600,3.6814904000,3.7455163200,3.7295098400,27266695,63600874.0000,1,0.388268,1,0.429200,0
2014-07-16,sh.600029,3.7455163200,3.8735681600,3.7295098400,3.8255487200,3.7455163200,60045775,142900550.0000,1,0.855030,1,2.136800,0
2014-07-17,sh.600029,3.7935357600,3.7935357600,3.7455163200,3.7615228000,3.8255487200,23141347,54466941.0000,1,0.329524,1,-1.673600,0
2014-07-18,sh.600029,3.7295098400,3.7935357600,3.7135033600,3.7775292800,3.7615228000,26112117,61408936.0000,1,0.371827,1,0.425500,0
2014-07-21,sh.600029,3.7775292800,3.7775292800,3.7295098400,3.7455163200,3.7775292800,14489292,33963451.0000,1,0.206322,1,-0.847500,0
2014-07-22,sh.600029,3.7295098400,3.8095422400,3.7295098400,3.7935357600,3.7455163200,30170878,71397045.0000,1,0.429622,1,1.282100,0
2014-07-23,sh.600029,3.7935357600,3.8095422400,3.7615228000,3.7775292800,3.7935357600,20225876,47790015.0000,1,0.288009,1,-0.421900,0
2014-07-24,sh.600029,3.7775292800,3.8735681600,3.7615228000,3.8255487200,3.7775292800,37163478,88892626.0000,1,0.529195,1,1.271200,0
2014-07-25,sh.600029,3.8415552000,3.8735681600,3.8095422400,3.8735681600,3.8255487200,30954375,74375735.0000,1,0.440779,1,1.255200,0
2014-07-28,sh.600029,3.8735681600,4.0336329600,3.8575616800,4.0016200000,3.8735681600,75268800,186354388.0000,1,1.071801,1,3.305800,0
2014-07-29,sh.600029,3.9696070400,4.0016200000,3.9375940800,3.9856135200,4.0016200000,34711193,86160203.0000,1,0.494275,1,-0.400000,0
2014-07-30,sh.600029,3.9696070400,4.0496394400,3.9536005600,4.0176264800,3.9856135200,41851035,104468304.0000,1,0.595944,1,0.803200,0
2014-07-31,sh.600029,4.0176279000,4.0501593000,3.9688308000,4.0338936000,4.0176279000,25742449,63447091.0000,1,0.366563,1,0.404900,0
2014-08-01,sh.600029,4.0338936000,4.0664250000,3.9850965000,4.0013622000,4.0338936000,38458722,95444299.0000,1,0.547638,1,-0.806500,0
2014-08-04,sh.600029,3.9850965000,4.0826907000,3.9850965000,4.0664250000,4.0013622000,35734114,88576312.0000,1,0.508841,1,1.626000,0
2014-08-05,sh.600029,4.0826907000,4.1314878000,4.0501593000,4.0826907000,4.0664250000,38502021,96651012.0000,1,0.548255,1,0.400000,0
2014-08-06,sh.600029,4.0826907000,4.1640192000,4.0176279000,4.1477535000,4.0826907000,56580537,142619018.0000,1,0.805686,1,1.593600,0
2014-08-07,sh.600029,4.1152221000,4.2616134000,4.0989564000,4.1152221000,4.1477535000,62036051,159157698.0000,1,0.883371,1,-0.784300,0
2014-08-08,sh.600029,4.1152221000,4.1477535000,4.0501593000,4.0826907000,4.1152221000,28683381,72150659.0000,1,0.408441,1,-0.790500,0
2014-08-11,sh.600029,4.1152221000,4.1640192000,4.0826907000,4.1640192000,4.0826907000,34290439,87198564.0000,1,0.488283,1,1.992000,0
2014-08-12,sh.600029,4.1477535000,4.1640192000,4.0989564000,4.1152221000,4.1640192000,21942428,55570221.0000,1,0.312452,1,-1.171900,0
2014-08-13,sh.600029,4.1152221000,4.1152221000,4.0338936000,4.0664250000,4.1152221000,39890431,99732436.0000,1,0.568025,1,-1.185800,0
2014-08-14,sh.600029,4.0826907000,4.0989564000,4.0013622000,4.0338936000,4.0664250000,38585536,96222859.0000,1,0.549444,1,-0.800000,0
2014-08-15,sh.600029,4.0176279000,4.0826907000,4.0176279000,4.0664250000,4.0338936000,28551253,71115561.0000,1,0.406560,1,0.806500,0
2014-08-18,sh.600029,4.0664250000,4.0989564000,4.0338936000,4.0989564000,4.0664250000,32446151,81230767.0000,1,0.462021,1,0.800000,0
2014-08-19,sh.600029,4.0989564000,4.1152221000,4.0501593000,4.0989564000,4.0989564000,32426390,81424923.0000,1,0.461740,1,0.000000,0
2014-08-20,sh.600029,4.0989564000,4.1314878000,4.0826907000,4.1152221000,4.0989564000,29590916,74640422.0000,1,0.421364,1,0.396800,0
2014-08-21,sh.600029,4.1152221000,4.1152221000,4.0501593000,4.0664250000,4.1152221000,27013103,67694101.0000,1,0.384657,1,-1.185800,0
2014-08-22,sh.600029,4.0664250000,4.0826907000,4.0501593000,4.0826907000,4.0664250000,34408786,86086990.0000,1,0.489969,1,0.400000,0
2014-08-25,sh.600029,4.0826907000,4.3754733000,4.0176279000,4.2290820000,4.0826907000,134443384,348908720.0000,1,1.914425,1,3.585700,0
2014-08-26,sh.600029,4.1802849000,4.1965506000,4.0501593000,4.0826907000,4.2290820000,70856552,179631161.0000,1,1.008972,1,-3.461500,0
2014-08-27,sh.600029,4.0501593000,4.0826907000,4.0338936000,4.0664250000,4.0826907000,25949682,64707783.0000,1,0.369514,1,-0.398400,0
2014-08-28,sh.600029,4.0664250000,4.0664250000,4.0176279000,4.0338936000,4.0664250000,23614813,58702583.0000,1,0.336266,1,-0.800000,0
2014-08-29,sh.600029,4.0501593000,4.0664250000,4.0338936000,4.0664250000,4.0338936000,15111904,37598695.0000,1,0.215188,1,0.806500,0
2014-09-01,sh.600029,4.0664250000,4.0664250000,4.0176279000,4.0664250000,4.0664250000,35201588,87421078.0000,1,0.501258,1,0.000000,0
2014-09-02,sh.600029,4.0501593000,4.1152221000,4.0501593000,4.0989564000,4.0664250000,45337366,113863305.0000,1,0.645588,1,0.800000,0
2014-09-03,sh.600029,4.1152221000,4.1640192000,4.0989564000,4.1477535000,4.0989564000,36391853,92623076.0000,1,0.518207,1,1.190500,0
