date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sz.300015,119.3766660000,120.7030734000,118.1485110000,118.6888992000,119.0819088000,1469003,35717323.0000,1,0.281207,1,-0.330000,0
2014-06-04,sz.300015,117.9028800000,119.3275398000,116.4290940000,117.4116180000,118.6888992000,1736399,41575917.0000,1,0.332394,1,-1.076200,0
2014-06-05,sz.300015,117.4116180000,120.1626852000,116.9203560000,120.1626852000,117.4116180000,1802909,43706025.0000,1,0.345126,1,2.343100,0
2014-06-06,sz.300015,120.2118114000,120.8504520000,118.0502586000,118.6888992000,120.1626852000,1396193,33873940.0000,1,0.267269,1,-1.226500,0
2014-06-09,sz.300015,118.1976372000,118.3941420000,113.9727840000,115.4465700000,118.6888992000,2041769,48122177.0000,1,0.390850,1,-2.731800,0
2014-06-10,sz.300015,115.5939486000,118.3941420000,114.6114246000,117.8046276000,115.4465700000,1676806,39929281.0000,1,0.320986,1,2.042600,0
2014-06-11,sz.300015,117.8046276000,120.0153066000,117.4116180000,119.3766660000,117.8046276000,2508328,60680654.0000,1,0.480162,1,1.334400,0
2014-06-12,sz.300015,118.7871516000,119.6222970000,117.7555014000,118.6397730000,119.3766660000,1062426,25640829.0000,1,0.203377,1,-0.617300,0
2014-06-13,sz.300015,118.9345302000,122.3242380000,118.1485110000,121.5873450000,118.6397730000,2604109,64220249.0000,1,0.498497,1,2.484500,0
2014-06-16,sz.300015,121.6364712000,122.2259856000,117.4116180000,118.3941420000,121.5873450000,4024300,97271735.0000,1,0.770360,1,-2.626300,0
2014-06-17,sz.300015,118.3941420000,119.1801612000,116.8221036000,117.3133656000,118.3941420000,1613154,38702825.0000,1,0.308801,1,-0.912900,0
2014-06-18,sz.300015,116.9203560000,118.3941420000,116.7238512000,116.9694822000,117.3133656000,975712,23279576.0000,1,0.186778,1,-0.293100,0
2014-06-19,sz.300015,117.1659870000,117.1659870000,108.0776400000,110.5339500000,116.9694822000,2624927,60609778.0000,1,0.502482,1,-5.501900,0
2014-06-20,sz.300015,109.9935618000,114.2675412000,109.5514260000,113.3832696000,110.5339500000,1167931,26631381.0000,1,0.223574,1,2.577800,0
2014-06-23,sz.300015,115.2991914000,117.5589966000,113.5306482000,115.3974438000,113.3832696000,1328799,31264332.0000,1,0.254368,1,1.776400,0
2014-06-24,sz.300015,115.3974438000,117.5098704000,115.0535604000,115.4465700000,115.3974438000,1380073,32653016.0000,1,0.264183,1,0.042600,0
2014-06-25,sz.300015,115.2991914000,116.8712298000,112.3024932000,114.2184150000,115.4465700000,1056010,24578247.0000,1,0.202149,1,-1.063800,0
2014-06-26,sz.300015,115.3483176000,118.1976372000,114.7588032000,117.4116180000,114.2184150000,2161356,51455174.0000,1,0.413742,1,2.795700,0
2014-06-27,sz.300015,117.7555014000,120.7030734000,116.7729774000,119.1801612000,117.4116180000,2437809,59056114.0000,1,0.466663,1,1.506300,0
2014-06-30,sz.300015,119.5731708000,120.5556948000,117.4607442000,119.5731708000,119.1801612000,2296042,55610405.0000,1,0.438785,1,0.329800,0
2014-07-01,sz.300015,119.9170542000,124.9770528000,118.5906468000,122.7663738000,119.5731708000,5257934,130982052.0000,1,1.004817,1,2.670500,0
2014-07-02,sz.300015,124.2892860000,124.2892860000,119.1801612000,122.0294808000,122.7663738000,3595321,88897436.0000,1,0.687083,1,-0.600200,0
2014-07-03,sz.300015,120.5065686000,122.0786070000,119.9170542000,120.9978306000,122.0294808000,3012698,74240082.0000,1,0.575741,1,-0.845400,0
