date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sz.002352,21.3923829600,21.7126612800,21.3923829600,21.4144711200,21.5690882400,366024,7142235.0000,1,0.984199,1,-0.716900,0
2014-06-04,sz.002352,21.4144711200,21.4144711200,21.0500164800,21.1052368800,21.4144711200,342164,6566894.0000,1,0.920042,1,-1.444000,0
2014-06-05,sz.002352,21.0941928000,21.7126612800,21.0941928000,21.7016172000,21.1052368800,377838,7362291.0000,1,1.015965,1,2.825700,0
2014-06-06,sz.002352,21.7789257600,21.8341461600,21.5690882400,21.6353527200,21.7016172000,304894,5979756.0000,1,0.819827,1,-0.305300,0
2014-06-09,sz.002352,21.6353527200,21.9114547200,21.5359560000,21.6353527200,21.6353527200,332981,6554784.0000,1,0.895350,1,0.000000,0
2014-06-10,sz.002352,21.6795290400,21.9004106400,21.3261184800,21.8231020800,21.6353527200,338127,6619837.0000,1,0.909187,1,0.867800,0
2014-06-11,sz.002352,21.8120580000,22.0550277600,21.7126612800,22.0108514400,21.8231020800,385957,7667836.0000,1,1.037796,1,0.860300,0
2014-06-12,sz.002352,22.0108514400,22.0329396000,21.7568376000,21.8893665600,22.0108514400,326490,6470183.0000,1,0.877896,1,-0.551900,0
2014-06-13,sz.002352,21.8562343200,22.3753060800,21.8120580000,22.2317330400,21.8893665600,611849,12331422.0000,1,1.645195,1,1.564100,0
2014-06-16,sz.002352,22.2759093600,22.3532179200,22.1433804000,22.2538212000,22.2317330400,404755,8152042.0000,1,1.088342,1,0.099400,0
2014-06-17,sz.002352,22.1765126400,22.7176725600,22.1765126400,22.4747028000,22.2538212000,859414,17563068.0000,1,2.310871,1,0.992600,0
2014-06-18,sz.002352,22.4194824000,22.9054219200,22.4194824000,22.4526146400,22.4747028000,946526,19442204.0000,1,2.545106,1,-0.098300,0
2014-06-19,sz.002352,22.4526146400,23.1925680000,22.3090416000,22.5961876800,22.4526146400,1325731,27237134.0000,1,3.564747,1,0.639400,0
2014-06-20,sz.002352,22.5078350400,23.8220805600,22.4857468800,23.7889483200,22.5961876800,2500452,52839818.0000,1,6.723444,1,5.278600,0
2014-06-23,sz.002352,24.1865352000,25.7879268000,24.1534029600,24.7608273600,23.7889483200,3379618,75853756.0000,1,9.087426,1,4.085400,0
2014-06-24,sz.002352,24.8160477600,24.8160477600,24.1423588800,24.5289016800,24.7608273600,2038272,45083960.0000,1,5.480692,1,-0.936700,0
2014-06-25,sz.002352,24.4074168000,24.4074168000,23.7999924000,24.0540062400,24.5289016800,1398539,30373540.0000,1,3.760519,1,-1.936100,0
2014-06-26,sz.002352,24.0540062400,25.1694583200,23.8773009600,25.1473701600,24.0540062400,1998315,44567228.0000,1,5.373252,1,4.545500,0
2014-06-27,sz.002352,24.9706648800,24.9706648800,24.3742845600,24.4515931200,25.1473701600,1429593,31969617.0000,1,3.844020,1,-2.766800,0
2014-06-30,sz.002352,24.2969760000,24.4736812800,24.0981825600,24.3632404800,24.4515931200,959426,21109233.0000,1,2.499006,1,-0.361300,0
2014-07-01,sz.002352,24.2969760000,24.8160477600,24.1423588800,24.6945628800,24.3632404800,977455,21699033.0000,1,2.545966,1,1.359900,0
2014-07-02,sz.002352,24.5399457600,25.2467668800,24.5399457600,25.0590175200,24.6945628800,1348993,30431051.0000,1,3.513707,1,1.475800,0
2014-07-03,sz.002352,25.1805024000,25.1805024000,24.6503865600,24.6835188000,25.0590175200,1067873,23991927.0000,1,2.781477,1,-1.498500,0
2014-07-04,sz.002352,24.6062102400,25.0921497600,24.0208740000,24.3190641600,24.6835188000,960438,21187554.0000,1,2.501642,1,-1.476500,0
2014-07-07,sz.002352,24.3190641600,24.4736812800,23.9656536000,24.2748878400,24.3190641600,568488,12445104.0000,1,1.480734,1,-0.181700,0
