date,code,open,high,low,close,volume,amount,turn,MACD,RSI,ADX
2021-01-04,sh.601390,6.29137425,6.31534139,6.2314564,6.31534139,55071210,287871386.6,0.2704,0.0,,
2021-01-05,sh.601390,6.31534139,6.50707851,6.2314564,6.38724281,93060805,493677134.42,0.457,0.001613172884615821,,100.0
2021-01-06,sh.601390,6.32732496,6.66286492,6.32732496,6.57897993,171566039,938463351.01,0.8425,0.008001259066857891,,100.0
2021-01-07,sh.601390,6.53104565,6.61493064,6.42319352,6.4711278,102092331,553677551.26,0.5013,0.0068166352717939915,,100.0
2021-01-08,sh.601390,6.4711278,6.65088135,6.45914423,6.53104565,81464567,446290187.78,0.4001,0.00841369023773364,,100.0
2021-01-11,sh.601390,6.53104565,6.62691421,6.38724281,6.43517709,74922595,405706030.42,0.3679,0.005116191695099026,,91.09607000844909
2021-01-12,sh.601390,6.42319352,6.5909635,6.39922638,6.53104565,85638101,464801275.69,0.4205,0.007256356453767765,,85.18715731688029
2021-01-13,sh.601390,6.54302922,6.93848703,6.45914423,6.78270062,256305359,1439836893.66,1.2586,0.020543392255301107,,84.52928173483815
2021-01-14,sh.601390,6.77071705,7.36989555,6.7107992,7.22609271,406827696,2428327676.62,1.9978,0.051430133773173736,,85.25280078632952
2021-01-15,sh.601390,7.23807628,7.28601056,6.90253632,6.93848703,243821753,1433363191.88,1.1973,0.057777729530758215,,85.81145627702115
2021-01-18,sh.601390,6.85460204,7.01038845,6.80666776,6.90253632,133344844,765227873.69,0.6548,0.05963902313285718,,83.78937344587712
2021-01-19,sh.601390,6.85460204,6.89055275,6.73476634,6.77071705,114984757,653518847.67,0.5647,0.0529512940682304,,80.58003443454982
2021-01-20,sh.601390,6.75873348,6.89055275,6.69881563,6.77071705,97768848,554014946.0,0.4801,0.04728907241385194,,77.21704640976839
2021-01-21,sh.601390,6.77071705,6.77071705,6.60294707,6.7107992,98840742,552957232.26,0.4854,0.03896402856112058,,72.7003460084838
2021-01-22,sh.601390,6.69881563,6.69881563,6.56699636,6.57897993,85424849,471314977.03,0.4195,0.02436618221080522,56.70731707317072,68.30148404127281
2021-01-25,sh.601390,6.5909635,6.65088135,6.50707851,6.54302922,74739940,409551177.93,0.367,0.0108027714526715,54.037267080745345,63.64504350252772
2021-01-26,sh.601390,6.55501279,6.61493064,6.49509494,6.54302922,63038379,344440932.79,0.3096,0.00032471848315829277,48.96551724137932,59.4535536799332
