date,code,open,high,low,close,volume,amount,turn,MACD,RSI,ADX
2021-08-20,sh.601728,4.79,6.52,4.58,6.11,3884664320,20105590935.0,67.1377,0.0,,
2021-08-23,sh.601728,5.5,5.5,5.5,5.5,310972400,1710348200.0,5.3745,-0.013685897435897765,,
2021-08-24,sh.601728,4.95,4.95,4.95,4.95,406597504,2012657625.0,7.0271,-0.03449401689361142,,100.00000000000001
2021-08-25,sh.601728,4.95,5.14,4.77,4.83,2084090256,10182275515.46,36.0188,-0.04744515105389091,,77.6275870355352
2021-08-26,sh.601728,4.73,4.84,4.62,4.71,1381649328,6471125817.76,23.8787,-0.05825883995244929,,72.57993361876497
2021-08-27,sh.601728,4.66,4.7,4.6,4.61,915488256,4241738648.5,15.8222,-0.06794031953325774,,70.28402804380616
2021-08-30,sh.601728,4.62,4.67,4.58,4.64,828324064,3821401676.65,14.3157,-0.07161984779609032,,69.09998712557854
2021-08-31,sh.601728,4.61,4.62,4.55,4.56,742828832,3392268860.08,12.8381,-0.07674031716114182,,68.56168351079282
2021-09-01,sh.601728,4.55,4.61,4.54,4.58,691719408,3164104038.61,11.9548,-0.07812623644691286,,68.25428991999489
2021-09-02,sh.601728,4.56,4.57,4.54,4.56,598877040,2724702722.0,10.3502,-0.0790029092234521,,68.02521050952019
2021-09-03,sh.601728,4.55,4.55,4.53,4.54,560911936,2547149313.06,9.6941,-0.07959396740048774,,67.91872077237285
2021-09-06,sh.601728,4.54,4.58,4.53,4.55,596007072,2710518570.11,10.3006,-0.07839513182908586,,66.81545187342795
2021-09-07,sh.601728,4.54,4.55,4.53,4.54,498043232,2260798202.6,8.6076,-0.07703098100777606,,65.92092739476169
2021-09-08,sh.601728,4.54,4.55,4.53,4.54,457927360,2078538311.47,7.9142,-0.07500942428286539,,65.18287655200277
2021-09-09,sh.601728,4.54,4.55,4.53,4.54,419472208,1903991706.13,7.2496,-0.07252781745218151,3.5502958579881465,64.56510564009929
2021-09-10,sh.601728,4.54,4.55,4.53,4.53,402243808,1825151136.12,6.9519,-0.07033969046536637,5.504587155963279,64.04175650165654
2021-09-13,sh.601728,4.53,4.54,4.53,4.54,343276816,1556374120.66,5.9328,-0.06717918325451588,12.727272727272634,63.59386162213697
2021-09-14,sh.601728,4.54,4.54,4.53,4.53,408281632,1850571691.25,7.0562,-0.0645645380478026,15.909090909090821,63.207191075917216
2021-09-15,sh.601728,4.53,4.54,4.53,4.53,339075120,1536797205.36,5.8602,-0.06176984625850945,21.8749999999999,62.87085938293019
2021-09-16,sh.601728,4.53,4.54,4.53,4.53,436825808,1979723046.24,7.5496,-0.058870452772842086,31.818181818181714,62.57639675350352
2021-09-17,sh.601728,4.53,4.54,4.53,4.53,539070048,2442833878.97,9.3166,-0.05592471484055128,21.05263157894744,62.31711362948473
2021-09-22,sh.601728,4.54,4.73,4.53,4.63,543501920,2511000019.25,9.3932,-0.04627010149084221,66.6666666666668,56.58890022727962
2021-09-23,sh.601728,4.59,4.6,4.54,4.55,334993200,1524449637.63,5.7896,-0.043668990595644885,44.44444444444437,51.49699517432758
2021-09-24,sh.601728,4.54,4.55,4.43,4.44,354509152,1585257583.41,6.1269,-0.048695490118916496,33.33333333333333,48.72291858570633
2021-09-27,sh.601728,4.44,4.44,4.3,4.31,285734320,1241402320.91,6.4861,-0.06106743053991259,25.531914893616914,47.6506737655015
2021-09-28,sh.601728,4.29,4.38,4.25,4.34,158002969,681213378.87,3.5866,-0.06787620223867386,28.57142857142854,47.11074596118243
2021-09-29,sh.601728,4.29,4.31,4.25,4.26,145843812,622819085.76,3.3106,-0.0780586165934718,24.999999999999957,46.62428103150164
2021-09-30,sh.601728,4.26,4.3,4.25,4.29,97689323,417242994.42,2.2175,-0.08294320572319336,28.813559322033896,46.18486308914422
2021-10-08,sh.601728,4.3,4.35,4.27,4.34,140377383,605277972.86,3.1865,-0.08218542004806739,34.37499999999997,44.75636788533267
2021-10-11,sh.601728,4.33,4.35,4.31,4.33,105987535,458657570.69,2.4059,-0.08136627184972856,34.37499999999997,43.460335589614296
2021-10-12,sh.601728,4.32,4.33,4.25,4.28,126268161,540901958.76,2.8663,-0.08344063772624732,30.882352941176492,42.911278533090574
2021-10-13,sh.601728,4.27,4.28,4.25,4.27,85803160,366030483.49,1.9477,-0.08483228147376387,30.882352941176435,42.41132832982345
