date,code,open,high,low,close,volume,amount,turn,MACD,RSI,ADX
2021-01-04,sh.600029,10.0581784,10.12636944,9.95589184,10.0581784,44539533,261992016.32,0.5491,0.0,,
2021-01-05,sh.600029,9.98998736,10.0581784,9.81950976,9.9729396,49501932,288105205.07,0.6103,-0.001912408974359181,,100.0
2021-01-06,sh.600029,9.92179632,9.92179632,9.78541424,9.802462,55867315,322215452.78,0.6887,-0.007723288796515959,,100.0
2021-01-07,sh.600029,9.81950976,9.85360528,9.5467456,9.6319844,59035651,334574200.56,0.7278,-0.01633194147050432,,100.0
2021-01-08,sh.600029,9.61493664,9.76836648,9.58084112,9.73427096,38096459,216705172.05,0.4697,-0.016595708463020387,,100.0
2021-01-11,sh.600029,9.61493664,9.64903216,9.51265008,9.61493664,66387292,372403103.23,0.8184,-0.021545129445652123,,100.0
2021-01-12,sh.600029,9.52969784,9.78541424,9.47855456,9.78541424,38893149,219918965.48,0.4795,-0.016625211426699593,,90.02956149601306
2021-01-13,sh.600029,9.73427096,9.85360528,9.64903216,9.81950976,42356055,242485986.96,0.5222,-0.01143736764579728,,79.80235025056841
2021-01-14,sh.600029,9.7172232,9.87065304,9.66607992,9.75131872,28622666,163874910.37,0.3529,-0.011054064662429752,,71.52662258303998
2021-01-15,sh.600029,9.76836648,9.81950976,9.64903216,9.68312768,28390145,162091783.18,0.35,-0.014133811456296996,,65.47815258995367
2021-01-18,sh.600029,9.64903216,9.78541424,9.58084112,9.75131872,29120290,165905923.14,0.359,-0.012528153638076134,,61.84091805978252
2021-01-19,sh.600029,9.76836648,10.00703512,9.68312768,9.90474856,48104155,279358904.68,0.593,-0.00275247420652569,,54.27068092221026
2021-01-20,sh.600029,9.90474856,9.93884408,9.73427096,9.78541424,27385167,157716954.93,0.3376,-0.0022070302025092303,,48.024658557790744
2021-01-21,sh.600029,9.7172232,9.75131872,9.6319844,9.68312768,35306839,200634113.52,0.4353,-0.007698230748017565,,43.79891632361018
2021-01-22,sh.600029,9.64903216,9.66607992,9.52969784,9.52969784,33772652,189510219.93,0.4164,-0.020845973290999353,33.33333333333337,41.488203706827875
2021-01-25,sh.600029,9.49560232,9.58084112,9.42741128,9.4615068,28849346,160446015.91,0.3557,-0.03469615200409848,33.69565217391306,40.515329558495495
2021-01-26,sh.600029,9.49560232,9.7172232,9.41036352,9.66607992,38286058,215662691.53,0.472,-0.03216835178785438,45.744680851063805,37.80523250100789
2021-01-27,sh.600029,9.6319844,9.92179632,9.58084112,9.76836648,48497454,277654613.39,0.5979,-0.023388406255904215,54.444444444444414,34.80454287215055
2021-01-28,sh.600029,9.73427096,9.78541424,9.5467456,9.58084112,26543907,149924488.05,0.3272,-0.02838598553931604,45.26315789473686,31.83003860389352
2021-01-29,sh.600029,9.68312768,10.228656,9.61493664,9.93884408,97422010,568724790.71,1.201,-0.008559123912792899,58.71559633027526,32.0906490748355
2021-02-01,sh.600029,9.75131872,10.26275152,9.61493664,10.04113064,85857072,502990869.86,1.0585,0.013629439335277382,57.14285714285717,32.476298511870965
2021-02-02,sh.600029,9.93884408,10.17751272,9.81950976,9.85360528,46599785,271940794.94,0.5745,0.018067158030923736,50.877192982456116,32.81910877036327
2021-02-03,sh.600029,9.8877008,9.93884408,9.64903216,9.73427096,41128211,235947871.24,0.507,0.013187298403495973,49.57264957264956,31.558334208191994
2021-02-04,sh.600029,9.7172232,9.90474856,9.59788888,9.70017544,35890291,204750950.48,0.4425,0.006897605372969906,50.43478260869566,30.01346337717538
2021-02-05,sh.600029,9.66607992,10.17751272,9.6319844,10.1434172,89375658,523857189.44,1.1018,0.03273319323296242,58.39416058394162,30.012461258469056
2021-02-08,sh.600029,10.17751272,10.60370672,10.10932168,10.55256344,106121322,650787601.11,1.3083,0.08119010744032984,62.50000000000003,31.43289154788715
2021-02-09,sh.600029,10.53551568,10.58665896,10.41618136,10.5696112,50304320,310011172.18,0.6202,0.11920453775870143,65.75342465753428,32.71594920930545
2021-02-10,sh.600029,10.53551568,10.5696112,10.3991336,10.50142016,35436376,218374283.6,0.4369,0.1425801783120786,66.66666666666669,33.744272649935375
2021-02-18,sh.600029,10.65485,10.94466192,10.4843724,10.84237536,83791920,528844159.94,1.033,0.18373879357858947,74.83870967741936,35.60305428539696
2021-02-19,sh.600029,10.72304104,11.09809176,10.70599328,10.8253276,70460839,448593277.04,0.8687,0.21249904586323787,76.31578947368422,37.58622711174882
2021-02-22,sh.600029,10.79123208,10.9105664,10.58665896,10.75713656,60365317,381817951.8,0.7442,0.22751231422880736,72.22222222222223,38.55393999073975
2021-02-23,sh.600029,10.75713656,11.23447384,10.75713656,11.09809176,114881970,745459954.83,1.4163,0.261708768597229,74.68354430379749,40.07746541152829
2021-02-24,sh.600029,11.23447384,11.3367604,10.62075448,10.77418432,115650755,745064294.55,1.4258,0.26142816458441587,71.08433734939756,40.82833406391824
2021-02-25,sh.600029,10.9105664,11.13218728,10.51846792,10.55256344,98611519,622521232.23,1.2157,0.2416900801789339,61.392405063291115,40.93556420401398
2021-02-26,sh.600029,10.3138948,10.55256344,10.26275152,10.34799032,73194383,446181939.41,0.9024,0.20815723905352534,55.48780487804875,39.73423089612185
2021-03-01,sh.600029,10.45027688,10.67189776,10.33094256,10.53551568,56771485,350555892.49,0.6999,0.19363240184543606,62.19512195121949,38.95428236748396
2021-03-02,sh.600029,10.60370672,10.63780224,10.36503808,10.46732464,42210923,259669748.55,0.5204,0.17489053632044005,63.35403726708071,38.23867316190132
2021-03-03,sh.600029,10.36503808,10.87647088,10.36503808,10.80827984,61469646,386892534.77,0.7578,0.18407246568797575,68.15642458100555,38.1973988685721
2021-03-04,sh.600029,10.7400888,10.89351864,10.63780224,10.68894552,50019086,315667216.91,0.6166,0.1800596873980087,59.999999999999986,38.200838403086905
2021-03-05,sh.600029,10.58665896,10.62075448,10.38208584,10.46732464,51847007,319240860.3,0.6392,0.1579221510486164,48.3221476510067,36.910311245204426
2021-03-08,sh.600029,10.4843724,10.62075448,10.24570376,10.27979928,55246049,337268033.87,0.6811,0.12440980036071636,44.65408805031448,35.11702274995532
2021-03-09,sh.600029,10.3991336,10.80827984,10.27979928,10.55256344,89269893,552154634.56,1.1005,0.11771407615344565,50.87719298245614,34.048465529055846
2021-03-10,sh.600029,10.55256344,10.67189776,10.3991336,10.51846792,43130340,266593727.46,0.5317,0.10849465556735005,43.79084967320264,33.06361452017391
2021-03-11,sh.600029,10.4843724,10.92761416,10.43322912,10.9105664,81347558,515850515.49,1.0029,0.13033328430765856,51.428571428571445,32.88612725676544
2021-03-12,sh.600029,10.89351864,10.9958052,10.77418432,10.94466192,55589380,355390441.91,0.6853,0.14858247515866374,53.17919075144509,32.89934245918874
2021-03-15,sh.600029,11.09809176,12.03571856,11.04694848,12.03571856,298231392,2056641240.34,3.6766,0.2458711361779926,62.672811059907815,34.70036127049244
2021-03-16,sh.600029,12.0186708,12.1891484,11.74590664,12.15505288,222124472,1566662424.24,2.7384,0.32852958822134504,69.7560975609756,36.534967004677775
2021-03-17,sh.600029,12.0186708,12.13800512,11.79704992,11.96752752,89842552,629432870.82,1.1076,0.3748917318392877,70.4433497536946,38.22990559537646
2021-03-18,sh.600029,12.1039096,12.20619616,11.79704992,12.0186708,124783889,880248695.05,1.5384,0.41090766761730535,75.25773195876292,39.87728651509342
2021-03-19,sh.600029,11.8481932,11.96752752,11.55838128,11.6777156,109352058,750481354.75,1.3481,0.40775735743496,66.50246305418722,40.30478603617475
2021-03-22,sh.600029,11.6777156,12.41076928,11.6777156,12.22324392,135015485,963276088.23,1.6645,0.4433501772009052,72.29437229437232,41.32345730953966
2021-03-23,sh.600029,12.13800512,12.49600808,11.89933648,12.0186708,119496727,852916017.08,1.4732,0.4501200437884538,65.91928251121078,42.371073539535026
2021-03-24,sh.600029,11.8481932,11.88228872,11.26856936,11.31971264,106312409,717437119.86,1.3106,0.39539887867043966,57.19844357976655,41.06436942805502
2021-03-25,sh.600029,11.4219992,11.54133352,11.23447384,11.37085592,60981996,407758730.87,0.7518,0.35203975971781176,60.72874493927129,39.75032997061234
2021-03-26,sh.600029,11.55838128,12.2743872,11.49019024,11.71181112,114770936,798470908.16,1.4149,0.34088757255969426,66.40625000000003,39.71381606402617
2021-03-29,sh.600029,11.78000216,11.98457528,11.62657232,11.72885888,62235023,431038319.41,0.7672,0.32960215726387965,64.31535269709546,39.68000384045825
2021-03-30,sh.600029,11.6777156,11.8481932,11.52428576,11.74590664,50721728,347842656.92,0.6253,0.31834292057573776,65.0,39.31545913399401
2021-03-31,sh.600029,11.62657232,11.86524096,11.5924768,11.71181112,53180919,366133647.81,0.6556,0.3031981281774687,60.73059360730595,39.00562596352314
2021-04-01,sh.600029,11.6777156,11.69476336,11.23447384,11.5924768,70108066,470905561.95,0.8643,0.27844829906211643,58.482142857142875,37.57018800595177
2021-04-02,sh.600029,11.49019024,11.79704992,11.45609472,11.62657232,46343884,315910170.02,0.5713,0.2585770018060849,42.592592592592574,36.44389202424247
2021-04-06,sh.600029,11.74590664,11.78000216,11.43904696,11.54133352,37347184,253042030.67,0.4604,0.23331754026800589,38.749999999999986,35.34517689468311
2021-04-07,sh.600029,11.55838128,12.0186708,11.47314248,11.933432,95532591,660486566.86,1.1777,0.24189972442691499,49.418604651162774,34.8144003760385
2021-04-08,sh.600029,11.83114544,12.05276632,11.69476336,12.00162304,63719832,444560435.74,0.7855,0.2512631633269766,49.71098265895953,34.38998657252862
2021-04-09,sh.600029,11.933432,12.03571856,11.54133352,11.5924768,68963822,472604769.78,0.8502,0.2233137326431951,48.587570621468906,33.444720066898256
2021-04-12,sh.600029,11.54133352,11.62657232,11.35380816,11.55838128,47862105,322857642.78,0.5901,0.19616760075142103,36.73469387755102,31.93498360857012
2021-04-13,sh.600029,11.52428576,11.55838128,11.28561712,11.4219992,37830159,253029366.02,0.4664,0.16184679037486838,37.76223776223773,30.311392320103508
2021-04-14,sh.600029,11.35380816,11.62657232,11.31971264,11.52428576,36630026,247675437.23,0.4516,0.14122915457907936,55.555555555555536,28.9937823157478
2021-04-15,sh.600029,11.43904696,11.55838128,11.38790368,11.4219992,31914166,214414608.06,0.3934,0.1153469423509712,51.35135135135135,27.7716605498775
2021-04-16,sh.600029,11.38790368,11.79704992,11.35380816,11.64362008,52945586,360337740.2,0.6527,0.11135264050578186,48.07692307692306,27.172748149088125
2021-04-19,sh.600029,11.71181112,12.05276632,11.66066784,11.933432,80201220,560488200.29,0.9887,0.12997415531450685,54.999999999999986,27.23371730499738
2021-04-20,sh.600029,11.8481932,11.96752752,11.71181112,11.79704992,53378980,369850590.88,0.6581,0.1322441033538535,51.18110236220471,27.290280716096426
2021-04-21,sh.600029,11.60952456,11.62657232,11.4219992,11.49019024,56354840,380347005.31,0.6948,0.10812490388318707,45.45454545454546,26.213975718635123
2021-04-22,sh.600029,11.5924768,11.64362008,11.37085592,11.40495144,51045204,343374652.06,0.6293,0.0812193539968078,46.09929078014183,25.080381179667324
2021-04-23,sh.600029,11.35380816,11.45609472,11.02990072,11.1662828,72635558,477487297.33,0.8955,0.040234735675992894,41.17647058823528,23.6406734450452
2021-04-26,sh.600029,11.13218728,11.37085592,10.9958052,11.1662828,48155099,316655074.89,0.5937,0.007666786432906747,42.567567567567544,22.40572997177515
2021-04-27,sh.600029,11.13218728,11.21742608,10.85942312,10.9105664,46300980,298042382.51,0.5708,-0.03828030233381874,28.57142857142857,21.66262162968965
2021-04-28,sh.600029,10.96170968,11.02990072,10.7400888,10.97875744,42258346,269556509.77,0.521,-0.06841488283633801,28.57142857142857,21.31065580806059
2021-04-29,sh.600029,10.96170968,11.02990072,10.80827984,10.9958052,29413838,188968547.22,0.3626,-0.08988712095495188,35.04273504273502,20.984004590426867
2021-04-30,sh.600029,10.8253276,10.9105664,10.58665896,10.8253276,54067603,340582037.0,0.6666,-0.11925535796091857,32.799999999999955,21.29767986606924
2021-05-06,sh.600029,10.7400888,10.9105664,10.4843724,10.51846792,67986499,424385884.86,0.8381,-0.16533523923074256,30.370370370370352,21.850208812716925
2021-05-07,sh.600029,10.53551568,10.75713656,10.43322912,10.5696112,51734186,321823219.69,0.6378,-0.1954797558925332,28.787878787878768,22.493460938843796
2021-05-10,sh.600029,10.58665896,10.60370672,10.34799032,10.4843724,46499182,284380589.05,0.5732,-0.22365663230243094,29.00763358778623,23.308513458018936
2021-05-11,sh.600029,10.38208584,10.79123208,10.36503808,10.75713656,58124763,362060784.44,0.7166,-0.22145767803930916,30.597014925373088,23.160018761626574
2021-05-12,sh.600029,10.72304104,10.85942312,10.60370672,10.68894552,31959386,200719144.64,0.394,-0.2226424280198085,19.834710743801608,22.71271622855191
2021-05-13,sh.600029,10.65485,10.68894552,10.53551568,10.58665896,25057651,155876683.31,0.3089,-0.22918152854729357,20.168067226890713,22.517421377086052
2021-05-14,sh.600029,10.68894552,10.87647088,10.55256344,10.84237536,47670580,300083858.63,0.5877,-0.21131866558232026,33.6206896551724,21.48856038457267
2021-05-17,sh.600029,10.7400888,11.02990072,10.65485,10.96170968,53988238,344907540.83,0.6656,-0.18540650354982624,38.983050847457626,19.987775204725743
2021-05-18,sh.600029,10.96170968,11.2515216,10.89351864,11.2515216,56126964,366185459.79,0.6919,-0.1398976608878062,52.06611570247936,19.382413843102864
2021-05-19,sh.600029,11.2515216,11.30266488,11.11513952,11.23447384,32354559,212540230.01,0.3989,-0.1040071106112368,51.63934426229509,18.989871610684528
2021-05-20,sh.600029,11.20037832,11.43904696,11.06399624,11.4219992,53572217,354169772.35,0.6604,-0.05975697730862173,62.71186440677966,18.84127929049452
2021-05-21,sh.600029,11.4219992,11.52428576,11.21742608,11.35380816,45788243,304312608.42,0.5645,-0.02984251710682706,59.322033898305065,18.969017549679386
2021-05-24,sh.600029,11.40495144,11.4219992,11.18333056,11.38790368,38535900,255823064.03,0.4751,-0.0033476279200836956,59.66386554621852,18.92460343250123
2021-05-25,sh.600029,11.37085592,11.57542904,11.18333056,11.49019024,70221694,470456659.96,0.8657,0.025602140646086013,66.95652173913044,19.37318396786547
2021-05-26,sh.600029,11.49019024,11.64362008,11.40495144,11.60952456,55390569,374880571.82,0.6829,0.057504758909791676,80.76923076923072,19.996122018366467
2021-05-27,sh.600029,11.54133352,11.64362008,11.45609472,11.52428576,37943254,256654948.6,0.4678,0.07504863637420556,76.41509433962256,20.574477239528917
2021-05-28,sh.600029,11.57542904,11.5924768,11.20037832,11.2515216,44170177,293251958.62,0.5445,0.06619193630742437,69.23076923076921,19.795088745936003
2021-05-31,sh.600029,11.04694848,11.04694848,10.79123208,10.85942312,68710379,438851193.13,0.8471,0.027236710453811597,52.41935483870971,19.24500592990643
2021-06-01,sh.600029,10.79123208,10.92761416,10.68894552,10.87647088,48471868,308021472.56,0.5976,-0.0022347185500812827,54.54545454545451,19.053074038301734
2021-06-02,sh.600029,10.87647088,11.11513952,10.79123208,10.9958052,49684787,320496742.65,0.6125,-0.015784057174633048,59.83606557377048,18.116262352791907
2021-06-03,sh.600029,10.94466192,11.09809176,10.9105664,10.9105664,18026859,116199323.02,0.2222,-0.03301649518156502,51.78571428571429,17.246456349242465
2021-06-04,sh.600029,10.87647088,11.081044,10.8253276,11.01285296,29993171,193139165.88,0.3698,-0.037984922077464844,51.35135135135135,16.746740074404098
2021-06-07,sh.600029,11.01285296,11.06399624,10.7400888,10.80827984,28468339,180716836.27,0.351,-0.0577579599635385,37.73584905660379,16.5842545162222
2021-06-08,sh.600029,10.80827984,10.9958052,10.70599328,10.87647088,40899152,260712912.0,0.5042,-0.06715342433939675,40.366972477064195,16.55469624470558
2021-06-09,sh.600029,10.84237536,10.85942312,10.70599328,10.7400888,30306355,191255366.54,0.3736,-0.08462529952175224,31.132075471698073,16.52725140232088
2021-06-10,sh.600029,10.75713656,10.79123208,10.68894552,10.75713656,24252969,152863922.8,0.299,-0.09599005879625011,33.009708737864,16.569927867107292
2021-06-11,sh.600029,10.77418432,10.77418432,10.53551568,10.68894552,44342344,276231291.14,0.5467,-0.10923838424128895,30.476190476190368,17.197768203271686
2021-06-15,sh.600029,10.65485,10.67189776,10.46732464,10.53551568,26793793,165747368.61,0.3303,-0.13060956365101006,24.07407407407395,18.02278664623435
2021-06-16,sh.600029,10.55256344,10.58665896,10.45027688,10.46732464,20154340,124210938.84,0.2485,-0.15130333234426807,18.09523809523793,18.850290886671807
2021-06-17,sh.600029,10.4843724,10.53551568,10.36503808,10.43322912,31051249,190124587.89,0.3828,-0.16851133664350826,18.627450980392013,19.925627839833908
2021-06-18,sh.600029,10.41618136,10.70599328,10.34799032,10.67189776,33862044,209727995.95,0.4175,-0.16103756786049317,32.999999999999915,19.87960505561187
2021-06-21,sh.600029,10.60370672,10.63780224,10.43322912,10.46732464,27916351,172076496.78,0.3442,-0.16966309325199092,37.078651685393154,19.83687158134737
2021-06-22,sh.600029,10.50142016,10.5696112,10.41618136,10.4843724,25597680,157298530.2,0.3156,-0.17312772611260563,37.078651685393226,19.87299617299303
2021-06-23,sh.600029,10.43322912,10.5696112,10.3991336,10.50142016,34473922,211930801.87,0.3543,-0.17250943696116572,32.530120481927696,19.985975166489474
2021-06-24,sh.600029,10.51846792,10.79123208,10.45027688,10.5696112,60846436,379741640.19,0.6253,-0.16462009851457005,37.80487804878047,18.672448243556577
2021-06-25,sh.600029,10.5696112,10.63780224,10.38208584,10.50142016,48454268,298621846.04,0.498,-0.16200196758504504,31.249999999999986,17.814006837942927
2021-06-28,sh.600029,10.50142016,10.55256344,10.38208584,10.43322912,54652615,334813028.52,0.5617,-0.16354358614901798,34.72222222222217,17.016908018169396
2021-06-29,sh.600029,10.41618136,10.43322912,10.228656,10.3138948,47771940,288697885.33,0.4909,-0.17240608670875623,28.000000000000014,17.065187894370116
2021-06-30,sh.600029,10.3138948,10.36503808,10.21160824,10.26275152,32199400,193949152.11,0.3309,-0.18146423096914788,30.0,17.192043628802523
2021-07-01,sh.600029,10.3138948,10.3138948,10.21160824,10.24570376,21898182,131747717.95,0.225,-0.18785285942355934,28.57142857142864,17.309835241019666
2021-07-02,sh.600029,10.228656,10.29684704,10.12636944,10.1434172,28445195,169983559.02,0.2923,-0.19887625686966892,27.77777777777783,17.853116579183105
2021-07-05,sh.600029,10.12636944,10.1434172,9.9729396,10.02408288,26998689,158848643.38,0.2775,-0.21476513387732865,28.57142857142864,19.037150429260397
2021-07-06,sh.600029,10.00703512,10.1434172,9.95589184,10.07522616,39321674,231404322.76,0.4041,-0.2206866857267915,33.333333333333385,20.20654083232749
2021-07-07,sh.600029,10.04113064,10.07522616,9.9729396,10.04113064,21759570,127819909.23,0.2236,-0.22553077138376132,33.333333333333385,21.29238280134717
2021-07-08,sh.600029,10.04113064,10.04113064,9.78541424,9.83655752,41009830,237432341.79,0.4215,-0.24307394961814133,13.43283582089559,23.03904797072803
2021-07-09,sh.600029,9.83655752,10.1434172,9.802462,10.04113064,40842380,237422363.98,0.4197,-0.23773027521738577,31.343283582089654,23.76635561018845
2021-07-12,sh.600029,10.0581784,10.07522616,9.85360528,9.87065304,36835355,214191906.22,0.3786,-0.24443301325408484,26.31578947368429,24.44170247183752
2021-07-13,sh.600029,9.81950976,10.16046496,9.78541424,10.0581784,36290997,212902593.75,0.373,-0.2319403597320182,34.88372093023253,24.65699543870571
2021-07-14,sh.600029,10.0581784,10.0581784,9.83655752,9.85360528,25381520,147316747.21,0.2608,-0.23582788313094305,27.659574468085083,24.856907724934256
2021-07-15,sh.600029,9.92179632,9.93884408,9.802462,9.92179632,18382446,106542820.26,0.1889,-0.23074665005364103,31.914893617021264,25.210581306017286
