date,code,open,high,low,close,volume,amount,turn,MACD,RSI,ADX
2021-01-04,sh.601398,9.28867653,9.36343449,9.25129755,9.36343449,353951184,1762309486.65,0.1313,0.0,,
2021-01-05,sh.601398,9.32605551,9.32605551,9.23260806,9.28867653,371010368,1839470542.48,0.1376,-0.0016772619230778218,,100.0
2021-01-06,sh.601398,9.26998704,9.30736602,9.25129755,9.28867653,346318352,1717383497.51,0.1285,-0.0021371646044130443,,100.0
2021-01-07,sh.601398,9.28867653,9.344745,9.25129755,9.344745,319047408,1587574807.64,0.1183,-0.0002696301271818413,,78.4114942303995
2021-01-08,sh.601398,9.344745,9.40081347,9.30736602,9.344745,342202976,1710555284.63,0.1269,0.0007508365666364369,,76.54200139189624
2021-01-11,sh.601398,9.344745,9.41950296,9.30736602,9.32605551,495651504,2483547359.58,0.1838,0.0005509886745809212,,76.46842279503282
2021-01-12,sh.601398,9.32605551,9.38212398,9.26998704,9.38212398,350495696,1745570165.21,0.13,0.0029533298600252778,,67.43605098309695
2021-01-13,sh.601398,9.40081347,9.45688194,9.344745,9.45688194,404644208,2037164962.65,0.1501,0.008072162021951712,,65.34458453895348
2021-01-14,sh.601398,9.43819245,9.62508735,9.41950296,9.49426092,388409552,1975738477.2,0.1441,0.013348542910707195,,67.06887010004675
2021-01-15,sh.601398,9.5316399,9.83067174,9.5316399,9.62508735,700663408,3629241418.78,0.2599,0.023636043393882034,,69.72570906261961
2021-01-18,sh.601398,9.58770837,9.68115582,9.49426092,9.60639786,398189792,2039374953.48,0.1477,0.029742785139045935,,70.08994632647217
2021-01-19,sh.601398,9.60639786,9.75591378,9.5316399,9.7185348,433069024,2239901451.77,0.1606,0.039975087336928894,,70.84299534110718
2021-01-20,sh.601398,9.68115582,9.81198225,9.58770837,9.62508735,314566464,1629660425.68,0.1167,0.041754678426642045,,71.74008545464314
2021-01-21,sh.601398,9.64377684,9.66246633,9.5316399,9.58770837,245677513,1259494669.74,0.0911,0.04037807738763988,,70.58700139584056
2021-01-22,sh.601398,9.56901888,9.56901888,9.40081347,9.41950296,277428656,1402382795.15,0.1029,0.02884314663538312,53.19148936170221,66.23574677287432
2021-01-25,sh.601398,9.40081347,9.43819245,9.32605551,9.43819245,219055180,1097970398.46,0.0812,0.020861496834299942,59.090909090909136,61.059001117227
2021-01-26,sh.601398,9.40081347,9.47557143,9.36343449,9.40081347,210379385,1060814307.49,0.078,0.012202305318512074,56.52173913043473,57.039182053435844
2021-01-27,sh.601398,9.41950296,9.62508735,9.40081347,9.47557143,370986640,1891316029.83,0.1376,0.010134445439854645,57.44680851063833,54.98928306317423
2021-01-28,sh.601398,9.43819245,9.47557143,9.36343449,9.40081347,285079488,1432841333.94,0.1057,0.0036263738575286197,52.941176470588196,52.56362717168602
2021-01-29,sh.601398,9.40081347,9.56901888,9.38212398,9.51295041,411143712,2088594441.18,0.1525,0.005876109121464523,58.92857142857141,51.180924625550794
