date,code,open,high,low,close,volume,amount,turn,MACD,RSI,ADX
2021-01-04,sh.600276,4780.25104176,4852.81490256,4737.993264,4746.5301888,36342265,4072713008.88,0.6863,0.0,,
2021-01-05,sh.600276,4746.5301888,4979.58823584,4746.10334256,4833.17997552,41762795,4763614447.21,0.7886,1.94406572769185,,100.0
2021-01-06,sh.600276,4834.033668,4945.86738288,4780.677888,4854.09544128,28370017,3219508645.84,0.5357,3.1257129502409953,,100.0
2021-01-07,sh.600276,4902.75591264,4908.73176,4772.1409632,4908.73176,32927605,3720602728.46,0.6218,5.559169460486373,,94.80861550095727
2021-01-08,sh.600276,4913.85391488,4988.55200688,4787.0805816,4832.75312928,30767605,3499188266.53,0.581,3.7410742434685744,,93.92149143891729
2021-01-11,sh.600276,4794.33696768,4872.4498296,4695.30864,4750.7986512,27201138,3055535865.38,0.5136,-0.92658877201211,,78.22609297854122
2021-01-12,sh.600276,4750.37180496,4888.24314048,4695.30864,4870.3155984,28638791,3236967861.43,0.5397,1.5102727430794403,,68.69184675478274
2021-01-13,sh.600276,4866.47398224,4886.96260176,4764.45773088,4805.00812368,23771906,2677656700.23,0.448,0.01396902430587943,,61.91884444411176
2021-01-14,sh.600276,4805.00812368,4820.37458832,4635.5501664,4702.99187232,30041617,3321158495.04,0.5662,-6.0838032824322,,54.709999001795936
2021-01-15,sh.600276,4759.335576,4759.335576,4610.36623824,4688.05225392,24707098,2712379686.59,0.4656,-11.090416866553824,,50.00672328793167
2021-01-18,sh.600276,4653.90455472,4709.82141216,4583.90177136,4602.68300592,23513196,2543706267.59,0.444,-19.100836780154168,,47.056246204039915
2021-01-19,sh.600276,4631.281704,4631.281704,4451.15259072,4479.7512888,34814227,3676873517.54,0.6574,-31.466569510093905,,47.285723354359455
2021-01-20,sh.600276,4520.3016816,4589.87761872,4481.88552,4523.28960528,30502727,3235274871.62,0.576,-37.76051505838586,,47.47505948570801
2021-01-21,sh.600276,4524.570144,4644.0870912,4498.10567712,4616.3420856,38293455,4101405936.64,0.722,-36.58822141366727,,45.58447672072275
2021-01-22,sh.600276,4608.23200704,4823.362512,4571.95007664,4806.2886624,41130799,4580183779.9,0.7755,-23.965568165173863,52.58302583025829,41.42226599377858
2021-01-25,sh.600276,4813.97189472,4850.25382512,4673.966328,4757.2013448,38794449,4327402199.21,0.7314,-17.0634853092688,46.60564454614798,38.310122749396854
2021-01-26,sh.600276,4718.7851832,4749.94495872,4556.583612,4567.254768,33976100,3679207532.19,0.6406,-23.342687228680916,38.86679920477137,35.16506270586259
2021-01-27,sh.600276,4597.1340048,4617.62262432,4503.227832,4551.03461088,23027045,2461916682.18,0.4342,-28.887659559755775,35.68989071038256,33.16519606355908
2021-01-28,sh.600276,4548.0466872,4609.51254576,4412.73642912,4467.37274784,28273748,2965224339.25,0.5331,-38.16446572302357,35.47182620502376,32.46340907133654
2021-01-29,sh.600276,4449.872052,4487.00767488,4311.57387024,4428.95658624,32727553,3368922622.79,0.6171,-47.3581306577189,36.74402250351621,32.777155763569304
2021-02-01,sh.600276,4373.46657504,4443.04251216,4311.147024,4377.3081912,25076609,2572231369.06,0.4726,-57.31081977691247,28.491620111731834,33.05839743338626
2021-02-02,sh.600276,4426.82235504,4567.254768,4355.9658792,4524.570144,31194628,3291860650.58,0.5879,-54.45563418027268,38.581856100104304,31.35140933020607
2021-02-03,sh.600276,4522.00906656,4565.1205368,4461.39690048,4481.88552,21573569,2279848995.17,0.4066,-54.49562940072701,40.54054054054055,29.82802634490269
2021-02-04,sh.600276,4439.200896,4456.2747456,4332.91618224,4387.9793472,28548211,2932116080.15,0.538,-60.33922765616444,37.97468354430381,29.664717161234666
2021-02-05,sh.600276,4437.0666648,4622.31793296,4375.17396,4580.0601552,38071174,4059241107.64,0.7175,-50.82324432214318,49.16482823826031,27.511753675028185
2021-02-08,sh.600276,4580.48700144,4667.5636344,4518.1674504,4536.52183872,37346791,4011442131.31,0.7038,-45.87703359218085,52.2263140274523,25.240684833918458
2021-02-09,sh.600276,4599.268236,4730.31003168,4516.0332192,4684.21063776,34134561,3712038166.67,0.6433,-31.01866669298761,55.834107087589,23.75328058471556
2021-02-10,sh.600276,4661.1609408,4727.322108,4572.37692288,4661.1609408,34364524,3755577137.7,0.6476,-20.719774915955895,51.711770459732634,22.406619967200893
2021-02-18,sh.600276,4755.0671136,4755.0671136,4460.543208,4477.6170576,45041564,4802022748.36,0.8488,-25.674332894285726,37.38532110091744,20.81748934376824
2021-02-19,sh.600276,4463.53113168,4515.17952672,4388.40619344,4488.71505984,28656349,2988179675.3,0.54,-28.43813463513652,39.385757678029044,19.99116453121455
