date,code,open,high,low,close,volume,amount,turn,MACD,RSI,ADX
2021-01-04,sh.600436,1391.96092518,1445.2011441,1374.435594,1430.53709148,5685370,1581092993.24,0.9424,0.0,,
2021-01-05,sh.600436,1430.63928,1532.8278,1420.6758993,1514.33167788,7904317,2313037065.92,1.3101,1.8800067461538674,,100.0
2021-01-06,sh.600436,1520.054235,1542.94446348,1471.514688,1504.4704857,5033897,1477845654.2,0.8344,2.089706771752617,,100.0
2021-01-07,sh.600436,1508.60912076,1546.01011908,1493.43412554,1532.36795166,4406617,1312090104.5,0.7304,3.1410964296703696,,100.0
2021-01-08,sh.600436,1538.7036399,1567.36751976,1491.33926088,1515.40465734,4324808,1289346495.08,0.7168,2.971269336250998,,98.89088391282284
2021-01-11,sh.600436,1493.7406911,1546.52106168,1481.78463426,1503.09094068,5461910,1615551093.14,0.9053,2.2867885020164067,,94.19846684609305
2021-01-12,sh.600436,1489.19330196,1532.8278,1482.2444826,1532.8278,3459928,1029884089.42,0.5735,3.155564976615551,,91.08443935642902
2021-01-13,sh.600436,1542.22914384,1629.03829158,1539.62333658,1596.695625,6655833,2067945650.15,1.1032,6.724910512793258,,90.80277566641143
2021-01-14,sh.600436,1596.695625,1601.805051,1491.952392,1498.0837032,6998128,2089272997.84,1.1599,4.201796405596724,,84.11961250568842
2021-01-15,sh.600436,1486.842966,1497.061818,1389.91715478,1452.04777494,8469331,2375240373.97,1.4038,-0.020444882849460555,,71.80968076765484
2021-01-18,sh.600436,1451.5879266,1505.64565368,1440.858132,1463.90164326,4029543,1165572223.6,0.6679,-2.4396951085925593,,62.37505725609807
2021-01-19,sh.600436,1475.6022288,1504.11282588,1444.38363594,1448.522271,3603602,1038252885.28,0.5973,-5.024980280380078,,54.72551534826515
2021-01-20,sh.600436,1438.35451326,1499.51434248,1438.35451326,1498.0837032,3476342,1008052541.67,0.5762,-4.076004760984688,,48.126246315852136
2021-01-21,sh.600436,1507.17848148,1537.937226,1506.2587848,1522.55785374,3617751,1078452615.27,0.5996,-1.8943170932834619,,44.1792423722746
2021-01-22,sh.600436,1522.608948,1537.937226,1507.99598964,1530.5285583,3552907,1061572093.25,0.5889,0.24816736432285325,60.03281041730748,40.83550916389694
2021-01-25,sh.600436,1530.5285583,1581.367347,1514.28058362,1581.367347,6032676,1832052450.52,0.9999,4.954107892968295,57.202459376372424,39.36785597609981
2021-01-26,sh.600436,1581.367347,1583.92206,1512.390096,1517.7549933,4267345,1279831149.16,0.7073,4.544941501663743,51.279527559055126,38.08027892943546
2021-01-27,sh.600436,1520.3097063,1531.2949722,1481.73354,1509.22225188,3015244,890026535.14,0.4998,3.6378033306184534,47.684285860341475,35.57959282581404
2021-01-28,sh.600436,1491.13488384,1518.57250146,1472.0256306,1474.22268378,3520373,1028455331.16,0.5835,0.6512309910044678,46.02328794158277,32.996923224458925
