date,code,open,high,low,close,volume,amount,turn,MACD,RSI,ADX
2021-01-04,sh.600519,13133.73066138,13166.63098569,13027.54338711,13114.161207,4351400,8686920261.12,0.3464,0.0,,
2021-01-05,sh.600519,13068.19269,13524.26604795,13018.67803026,13524.26604795,5211605,10592557369.7,0.4149,9.201070149518273,,95.16215731947709
2021-01-06,sh.600519,13559.3991288,13954.728375,13370.46852393,13790.5551,4741020,9882593867.1,0.3774,19.981597231993874,,96.56309362335608
2021-01-07,sh.600519,13770.854307,14053.23234,13626.381825,14053.23234,3793139,7991178754.07,0.302,33.87895577076051,,97.12181271508354
2021-01-08,sh.600519,14066.366202,14124.68054928,13547.70999162,13724.88579,5386164,11345202869.15,0.4288,27.651670341892896,,92.65246272774499
2021-01-11,sh.600519,13724.88579,14122.1851155,13518.6841566,13788.78202863,5107990,10768565414.66,0.4066,26.120708381084114,,88.58785027647107
2021-01-12,sh.600519,13711.751928,14190.4811979,13692.051135,14190.4811979,4105859,8800558287.66,0.3268,42.88661673484603,,86.27753286993116
2021-01-13,sh.600519,14210.838684,14272.10815023,14020.397685,14210.838684,3438993,7418330853.82,0.2738,54.407311322438545,,85.00661305101079
2021-01-14,sh.600519,14158.303236,14204.271753,13896.34835841,14013.830754,3615220,7722089683.72,0.2878,51.783064715666114,,80.34733298169255
2021-01-15,sh.600519,13889.059065,14016.12917985,13324.302999,13672.350342,5950939,12372103226.55,0.4737,31.578677740739295,,69.32637579076155
2021-01-18,sh.600519,13534.83880686,13734.60484788,13398.31231137,13547.578653,3914404,8076715789.5,0.3116,9.88851903363502,,60.58140921036089
2021-01-19,sh.600519,13613.97032541,13766.2574553,13178.84547735,13195.65682071,4634519,9479278513.19,0.3689,-25.47955423516032,,54.9734365959712
2021-01-20,sh.600519,13186.397448,13498.26100119,13018.9407075,13400.67640653,4508242,9126453276.98,0.3589,-39.79029739192447,,51.379293533898476
2021-01-21,sh.600519,13449.074688,13725.01712862,13403.106171,13593.54717,3831017,7953455966.93,0.305,-38.8072354358992,,46.41325393661706
2021-01-22,sh.600519,13586.980239,13790.5551,13528.5345531,13658.88813345,2924761,6090260363.6,0.2328,-33.693277103571745,58.427651230365974,41.72193777981853
2021-01-25,sh.600519,13678.917273,14312.6261145,13678.917273,14283.074925,5595716,12029474557.67,0.4454,8.467373502095143,61.01042440874356,39.70307445420754
2021-01-26,sh.600519,14348.744235,14361.878097,13955.45073741,14065.64383959,3174746,6820173361.71,0.2527,27.060042193714253,54.048986061976855,38.16258934664031
2021-01-27,sh.600519,14065.64383959,14065.64383959,13692.051135,13718.318859,3712017,7809446386.54,0.2955,19.068033430516152,45.19031272398054,35.23113725247854
2021-01-28,sh.600519,13659.21648,13853.99165346,13528.00919862,13711.751928,3512864,7337084454.98,0.2796,12.272909527826414,49.792177563489744,31.83093970093652
2021-01-29,sh.600519,13798.36974789,14115.48684588,13726.33051482,13896.80804358,3370133,7166179277.17,0.2683,18.95024928885141,51.6462182014691,29.96481574154666
2021-02-01,sh.600519,13987.56303,14184.57096,13757.720445,13851.75889692,2934059,6219639110.8,0.2336,20.901797909784364,44.208658941884494,28.580433778996206
2021-02-02,sh.600519,13870.80299682,14118.83598069,13804.3456551,14086.066995,3458225,7372233581.9,0.2753,37.88017085757747,48.012136430215506,27.349833412813492
2021-02-03,sh.600519,14118.90165,14435.88740937,14053.23234,14380.98786621,3871415,8384049314.31,0.3082,70.63495166298526,55.672571579310485,27.376154401867154
2021-02-04,sh.600519,14388.145821,15300.94923,14388.145821,15240.86181135,6385101,14596930187.5,0.5083,154.3548171980401,70.88762571053783,29.322520416151885
2021-02-05,sh.600519,15268.114575,15528.1650426,15044.838921,15189.311403,3972906,9253566204.82,0.3163,214.06041242883293,72.29753835176595,31.414089130907765
2021-02-08,sh.600519,15346.917747,15621.94081728,15189.311403,15555.7461528,3578573,8420758624.81,0.2849,283.75934875771964,81.92818180202909,33.432163174841705
2021-02-09,sh.600519,15555.7461528,16131.20631633,15432.28785,16131.20631633,3329655,7972930044.98,0.2651,375.53868611325925,83.574496947773,35.87631700401757
2021-02-10,sh.600519,16318.823535,17081.9009172,16318.823535,17080.587531,6137057,15675929713.5,0.4885,510.6099203920021,86.15097628060236,38.860782525123355
2021-02-18,sh.600519,16995.08608938,17257.10663628,16187.484915,16226.886501,6591232,16704135269.47,0.5247,548.5184933615565,72.88260559177033,41.191713357512334
2021-02-19,sh.600519,16096.59858996,16395.39395046,15639.8028696,16154.65026,5938546,14525164524.57,0.4727,566.4994536939103,68.49640455855247,41.506144092251034
2021-02-22,sh.600519,16121.815605,16121.815605,14960.91354282,15025.26946662,7893547,18498777222.54,0.6284,491.3798020110735,58.03539024953535,40.03680544225087
2021-02-23,sh.600519,14875.01808534,15398.73083259,14874.098715,15149.909817,5745460,13316110795.16,0.4574,436.1759346077524,62.45173524640726,38.49744149815113
2021-02-24,sh.600519,15156.41107869,15222.146058,14187.8544255,14375.011959,8211578,18195034445.01,0.6537,330.6068272152843,55.088776476752855,35.68619843682199
2021-02-25,sh.600519,14506.350579,14608.1380095,13929.83970651,14118.90165,5972643,12982145755.12,0.4755,225.1828625655089,51.68560606060606,33.129380002667766
2021-02-26,sh.600519,13790.5551,14315.58123345,13575.8164563,13940.14978818,6652506,14097015493.7,0.5296,126.76240371279891,50.65750908593536,31.368878352505078
2021-03-01,sh.600519,14309.342649,14309.342649,13921.89372,14171.437098,4491626,9686945528.92,0.3576,65.70923024196054,50.63532401524778,29.755222801568312
2021-03-02,sh.600519,14315.90958,14315.90958,13350.570723,13514.743998,7076450,14796698645.52,0.5633,-32.41373944623592,43.88280358749386,29.127126412633075
2021-03-03,sh.600519,13396.53924,14117.39125587,13350.570723,14053.23234,5421546,11366685429.08,0.4316,-67.98385449851048,41.21447656060239,28.550312270201815
2021-03-04,sh.600519,13757.720445,13764.287376,13200.1880031,13350.570723,6508829,13297304315.65,0.5181,-148.5307603589099,37.59305210918115,28.240554993761837
2021-03-05,sh.600519,13133.862,13757.720445,13055.058828,13528.60022241,6377920,13100315985.42,0.5077,-196.27078040758533,35.96493621045546,28.167097018420332
2021-03-08,sh.600519,13626.11914776,13692.051135,12871.18476,12871.18476,6309959,12724245990.38,0.5023,-281.77256989100715,27.68232046682671,28.36286566294658
2021-03-09,sh.600519,12838.350105,13133.862,12478.35094758,12720.07967769,8226581,16100769578.87,0.6549,-357.09343340774103,16.485468843059436,29.060572481711382
2021-03-10,sh.600519,12982.822587,13133.00829897,12917.153277,12936.91973931,5117174,10136910283.82,0.4074,-395.2583284135235,21.969451127398855,29.70362392614963
2021-03-11,sh.600519,12969.688725,13659.15081069,12880.90381788,13449.074688,5676897,11521736383.85,0.4519,-381.03552826836494,28.555962691538966,28.977341013806655
2021-03-12,sh.600519,13593.54717,13639.515687,13147.06153131,13304.602206,4032251,8181594631.17,0.321,-376.72627007580013,33.839094071497286,28.307233383239893
