date,code,open,high,low,close,volume,amount,turn,MACD,RSI,ADX
2021-01-04,sh.601012,899.4111844,989.35230284,899.4111844,976.4757002,113225943,11107838800.86,3.002,0.0,,
2021-01-05,sh.601012,965.84274802,1042.61461376,955.0146958,1023.00705974,99197922,10227506680.9,2.6301,1.043972810192372,,100.0
2021-01-06,sh.601012,1023.39725982,1056.4667166,1010.1304571,1043.785214,86244761,9133467682.09,2.2866,1.974557895351495,,100.00000000000001
2021-01-07,sh.601012,1068.95311916,1119.67912956,1048.662715,1107.6804771,98898721,10989799381.68,2.6221,4.656328971844005,,100.00000000000001
2021-01-08,sh.601012,1131.580232,1141.335234,1043.19991388,1076.9522208,126620017,14076783499.54,3.3571,4.79278777927243,,97.83333988425117
2021-01-11,sh.601012,1080.8542216,1080.8542216,1022.03155954,1035.4934623,98528650,10531442591.09,2.6123,3.0119287636268837,,90.3442501144661
2021-01-12,sh.601012,1030.71351132,1079.09832124,1023.10460976,1072.5624699,85405608,9233938403.55,2.2644,3.4972556138116033,,85.37426746287598
2021-01-13,sh.601012,1074.22082024,1115.67957874,1040.3709633,1055.29611636,87997639,9710763814.24,2.3331,2.945266474118398,,83.18043901134267
2021-01-14,sh.601012,1034.030212,1035.20081224,975.40264998,985.15765198,120997501,12378368034.69,3.2081,-0.9616136360950804,,73.3992182055518
2021-01-15,sh.601012,974.5246998,1008.1794567,960.96524702,998.4244547,79002625,7994646884.82,2.0946,-3.0356948728456246,,64.66701602234662
2021-01-18,sh.601012,975.5002,1017.4467086,969.35454874,1006.42355634,71245294,7286087238.09,1.889,-4.065729049477113,,58.25035643924957
2021-01-19,sh.601012,1029.152711,1042.51706374,986.03560216,999.887705,61573611,6385967870.3,1.6325,-5.1246056502488955,,54.236818408377005
2021-01-20,sh.601012,1007.6917066,1057.24711676,993.0592036,1056.56426662,73991177,7813323733.19,1.9618,-2.640361980944135,,51.51506078907205
2021-01-21,sh.601012,1070.70901952,1128.26353132,1048.662715,1112.26532804,95405837,10625267305.02,2.5295,2.481640535050701,,51.26012695714435
2021-01-22,sh.601012,1112.5579781,1189.23229382,1112.5579781,1167.6737394,88839728,10499090029.8,2.3554,9.600761190261892,68.26313827804695,52.1202003839644
