date,code,open,high,low,close,volume,amount,turn,MACD,RSI,ADX
2014-06-03,sz.000895,287.51779487,289.69913793,281.30935693,283.40680218,4719190,159453237.0,0.389459,0.0,,
2014-06-04,sz.000895,283.40680218,284.4135759,278.45683139,284.4135759,4135334,138046089.0,0.341275,0.022587871923064995,,99.99999999999999
2014-06-05,sz.000895,282.14833503,287.51779487,281.0576635,286.76271458,2910863,98993685.0,0.240224,0.1016280821272062,,52.253086419753
2014-06-06,sz.000895,286.76271458,289.86693355,283.40680218,287.7694883,3621168,123978897.0,0.298843,0.17143565463175037,,46.4443077896489
2014-06-09,sz.000895,288.6084664,297.75332769,285.50424743,295.40418901,6116568,213722174.0,0.50478,0.5095612052499519,,52.893194553791
2014-06-10,sz.000895,295.23639339,299.93467075,293.81013062,297.16604302,4271177,151746579.0,0.352486,0.778580368880398,,57.696257446794846
2014-06-11,sz.000895,296.83045178,296.91434959,292.04827661,294.06182405,2722752,95305414.0,0.2247,0.7970678530838313,,57.24667587239502
2014-06-12,sz.000895,293.05505033,298.76010141,292.13217442,297.50163426,3088197,109206276.0,0.254859,0.9602452020105829,,57.76178475019762
2014-06-13,sz.000895,296.9982474,301.69652476,295.3202912,301.1931379,4622541,165253445.0,0.381483,1.241780840178535,,59.12427068175702
2014-06-16,sz.000895,301.1931379,301.94821819,297.50163426,299.68297732,3417198,122180990.0,0.28201,1.3456407857512431,,60.245549757660655
2014-06-17,sz.000895,297.92112331,302.45160505,294.4813131,301.10924009,3649764,129678669.0,0.301203,1.4778050879646685,,57.848165960745156
2014-06-18,sz.000895,301.61262695,301.61262695,294.98469996,295.40418901,2397891,85088409.0,0.19789,1.2412121490675645,,55.90438009571294
2014-06-19,sz.000895,298.50840798,299.01179484,286.59491896,289.19575107,2848236,98798906.0,0.235056,0.6985799320964929,,49.571631439433595
2014-06-20,sz.000895,289.19575107,293.22284595,287.34999925,291.9643788,3185521,110252669.0,0.262891,0.4437984554509171,,44.27092898698336
