date,code,open,high,low,close,volume,amount,turn,MACD,RSI,ADX
2014-06-03,sh.600436,100.79927625,101.55608635,99.96417545,100.19904755,351247,27054204.0,0.218322,0.0,,
2014-06-04,sh.600436,99.9250301,99.951127,96.54548155,97.4458246,1868228,139468965.0,1.161222,-0.061771027724347505,,100.0
2014-06-05,sh.600436,97.2631463,97.9938595,96.036592,97.9155688,908762,67502639.0,0.564853,-0.06414181052272738,,100.0
2014-06-06,sh.600436,97.9155688,97.98081105,96.59767535,96.8455959,555249,41290581.0,0.345123,-0.10227910010954133,,100.0
2014-06-09,sh.600436,97.1587587,97.7328905,96.57157845,96.8716928,448278,33368098.0,0.278633,-0.11981064460566415,,100.0
2014-06-10,sh.600436,96.83254745,97.7067936,96.72815985,97.69374515,667576,49826970.0,0.414941,-0.09294599878720078,,100.0
2014-06-11,sh.600436,97.8111812,97.8111812,97.2109525,97.7850843,634595,47420635.0,0.394441,-0.0699786598230645,,98.55010440769998
2014-06-12,sh.600436,97.77203585,98.124344,97.27619475,97.3153401,655140,48996378.0,0.407211,-0.07579413433731474,,93.93866596145514
2014-06-13,sh.600436,97.341437,98.32007075,97.2109525,98.29397385,824365,61892563.0,0.512395,-0.03011441839568363,,88.8139613834092
2014-06-16,sh.600436,98.2809254,99.7945456,97.9938595,99.78149715,1121688,85125298.0,0.6972,0.07934902655321707,,76.67649294769195
2014-06-17,sh.600436,99.690158,101.11243905,98.7506696,100.3686774,1386929,106357327.0,0.862065,0.1886186074105609,,68.9846117925433
2014-06-18,sh.600436,100.06856305,100.27733825,97.863375,98.39836145,861789,65299256.0,0.535657,0.15793212213750962,,60.3905810955209
2014-06-19,sh.600436,97.863375,98.385313,96.49328775,96.75425675,852064,63527000.0,0.529612,0.04020669355512041,,55.34089057968467
2014-06-20,sh.600436,96.75425675,98.4897006,96.75425675,97.9416657,561703,42122591.0,0.349134,0.020383117011277818,,50.889721069176325
2014-06-23,sh.600436,98.45055525,98.50274905,97.8894719,98.2809254,381696,28713252.0,0.237248,0.02530531110728873,43.09859154929577,47.090480558709544
