date,code,open,high,low,close,volume,amount,turn,MACD,RSI,ADX
2014-06-03,sh.601899,3.68782422,3.7046636,3.67098484,3.68782422,22115941,48423734.0,0.139941,0.0,,
2014-06-04,sh.601899,3.68782422,3.68782422,3.65414546,3.67098484,23781155,51754359.0,0.150477,-0.0003778066025637017,,100.0
2014-06-05,sh.601899,3.67098484,3.68782422,3.65414546,3.68782422,19940353,43394654.0,0.126174,4.0787564882460714e-05,,100.0
2014-06-06,sh.601899,3.68782422,3.68782422,3.65414546,3.65414546,21899725,47718057.0,0.138572,-0.0009857860036777133,,100.0
2014-06-09,sh.601899,3.65414546,3.67098484,3.63730608,3.65414546,19773369,42895087.0,0.125118,-0.0015228574489269953,,100.0
2014-06-10,sh.601899,3.65414546,3.67098484,3.63730608,3.65414546,31132304,67483653.0,0.196992,-0.001817085565757104,,100.0
2014-06-11,sh.601899,3.65414546,3.67098484,3.63730608,3.65414546,25544011,55455733.0,0.161632,-0.001974478257063872,,100.0
2014-06-12,sh.601899,3.65414546,3.67098484,3.63730608,3.63730608,31743645,68842054.0,0.200861,-0.0028491455910728547,,100.0
2014-06-13,sh.601899,3.65414546,3.67098484,3.63730608,3.63730608,55137322,119735983.0,0.348886,-0.0034114853071880447,,100.0
2014-06-16,sh.601899,3.65414546,3.68782422,3.65414546,3.68782422,44283568,96521015.0,0.280208,-0.0011586045216813723,,86.91553288335167
2014-06-17,sh.601899,3.67098484,3.68782422,3.63730608,3.67098484,38577168,83690013.0,0.244101,-0.0004115162315363463,,80.48014800951391
2014-06-18,sh.601899,3.65414546,3.67098484,3.63730608,3.65414546,33602413,72810554.0,0.212622,-0.0007831932547435194,,75.26237262874166
2014-06-19,sh.601899,3.63730608,3.65414546,3.56994856,3.60362732,41367039,88878466.0,0.261754,-0.0039021268953702837,,75.3457266644629
2014-06-20,sh.601899,3.65414546,3.68782422,3.6204667,3.63730608,56402977,122131063.0,0.356895,-0.0042341178194025275,,70.44816158926402
2014-06-23,sh.601899,3.6204667,3.68782422,3.60362732,3.65414546,56402465,122088008.0,0.356892,-0.00343118951282273,43.75,67.16192933993048
2014-06-24,sh.601899,3.63730608,3.65414546,3.6204667,3.63730608,34647591,74892782.0,0.219236,-0.00380010898892591,43.75,64.3494921172989
2014-06-25,sh.601899,3.63730608,3.63730608,3.6204667,3.63730608,21151679,45574360.0,0.133839,-0.004034302473458595,39.99999999999999,61.92149687374925
2014-06-26,sh.601899,3.63730608,3.65414546,3.6204667,3.65414546,31578858,68222519.0,0.199818,-0.0031024102548569132,50.0,58.02947273698242
2014-06-27,sh.601899,3.63730608,3.65414546,3.6204667,3.63730608,39265759,84678717.0,0.248458,-0.0034287331744415894,46.666666666666664,54.62195663011151
