date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sz.000002,3268.6734340000,3268.6734340000,3167.3905952000,3197.3150703000,3303.2016745000,146844133,4079416859.0800,1,1.511600,1,-3.205600,0
2021-01-05,sz.000002,3197.3150703000,3214.5791905500,3119.0510585000,3212.2773078500,3197.3150703000,116265838,3189607202.9800,1,1.196900,1,0.468000,0
2021-01-06,sz.000002,3199.6169530000,3308.9563812500,3191.5603635500,3308.9563812500,3212.2773078500,104880129,2972572549.4500,1,1.079600,1,3.009700,0
2021-01-07,sz.000002,3337.7299150000,3395.2769825000,3267.5224926500,3313.5601466500,3308.9563812500,122675574,3544224002.5500,1,1.262800,1,0.139100,0
2021-01-08,sz.000002,3335.4280323000,3389.5222757500,3315.8620293500,3376.8619209000,3313.5601466500,102856329,3000845603.1300,1,1.058800,1,1.910400,0
2021-01-11,sz.000002,3395.2769825000,3493.1069972500,3368.8053314500,3427.5033403000,3376.8619209000,138812124,4142482791.1600,1,1.428900,1,1.499700,0
2021-01-12,sz.000002,3427.5033403000,3429.8052230000,3380.3147449500,3418.2958095000,3427.5033403000,98065437,2899071740.3100,1,1.009500,1,-0.268600,0
2021-01-13,sz.000002,3441.3146365000,3478.1447597000,3406.7863960000,3441.3146365000,3418.2958095000,94050423,2807916706.3400,1,0.968200,1,0.673400,0
2021-01-14,sz.000002,3444.7674605500,3543.7484166500,3429.8052230000,3451.6731086500,3441.3146365000,121632323,3681938197.4800,1,1.252100,1,0.301000,0
2021-01-15,sz.000002,3453.9749913500,3536.8427685500,3439.0127538000,3447.0693432500,3451.6731086500,112337238,3399072612.4300,1,1.156400,1,-0.133400,0
2021-01-18,sz.000002,3475.8428770000,3597.8426601000,3433.2580470500,3597.8426601000,3447.0693432500,125828168,3847315298.9400,1,1.295300,1,4.374000,0
2021-01-19,sz.000002,3589.7860706500,3723.2952672500,3535.6918272000,3600.1445428000,3597.8426601000,163168839,5130233086.7200,1,1.679700,1,0.064000,0
