date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sh.601668,9.3287404600,9.3476245500,9.2343200100,9.2720881900,9.3853927300,299413056,1470331869.3300,1,0.725800,1,-1.207200,0
2021-01-05,sh.601668,9.2532041000,9.3287404600,9.1021313800,9.2154359200,9.2720881900,346162048,1684969918.7500,1,0.839100,1,-0.611000,0
2021-01-06,sh.601668,9.1776677400,9.4420450000,9.1587836500,9.3476245500,9.2154359200,405250112,2003857822.8400,1,0.982300,1,1.434400,0
2021-01-07,sh.601668,9.3665086400,9.4798131800,9.1965518300,9.2909722800,9.3476245500,300355648,1477401711.1300,1,0.728100,1,-0.606100,0
2021-01-08,sh.601668,9.3098563700,9.4042768200,9.2343200100,9.3665086400,9.2909722800,270632672,1338618280.1100,1,0.656000,1,0.813000,0
2021-01-11,sh.601668,9.3287404600,9.3476245500,9.1587836500,9.1965518300,9.3665086400,309543152,1514332010.6000,1,0.750300,1,-1.814500,0
2021-01-12,sh.601668,9.2154359200,9.3665086400,9.1587836500,9.3287404600,9.1965518300,244672778,1201495422.0900,1,0.593100,1,1.437400,0
2021-01-13,sh.601668,9.2909722800,9.7253063500,9.2343200100,9.6120018100,9.3287404600,604513408,3044861436.7700,1,1.498500,1,3.036400,0
2021-01-14,sh.601668,9.5553495400,9.9896836100,9.4986972700,9.7064222600,9.6120018100,622399440,3220659468.6300,1,1.542800,1,0.982300,0
2021-01-15,sh.601668,9.6875381700,9.6875381700,9.4798131800,9.4986972700,9.7064222600,349644576,1771356985.6700,1,0.866700,1,-2.140100,0
2021-01-18,sh.601668,9.4609290900,9.5553495400,9.4420450000,9.5175813600,9.4986972700,219677531,1104989117.9600,1,0.544500,1,0.198800,0
2021-01-19,sh.601668,9.5175813600,9.6497699900,9.4609290900,9.5553495400,9.5175813600,251390668,1271596486.0400,1,0.623200,1,0.396800,0
