date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-08-20,sh.601728,4.7900000000,6.5200000000,4.5800000000,6.1100000000,4.5300000000,3884664320,20105590935.0000,1,67.137700,1,34.878600,0
2021-08-23,sh.601728,5.5000000000,5.5000000000,5.5000000000,5.5000000000,6.1100000000,310972400,1710348200.0000,1,5.374500,1,-9.983600,0
2021-08-24,sh.601728,4.9500000000,4.9500000000,4.9500000000,4.9500000000,5.5000000000,406597504,2012657625.0000,1,7.027100,1,-10.000000,0
2021-08-25,sh.601728,4.9500000000,5.1400000000,4.7700000000,4.8300000000,4.9500000000,2084090256,10182275515.4600,1,36.018800,1,-2.424200,0
2021-08-26,sh.601728,4.7300000000,4.8400000000,4.6200000000,4.7100000000,4.8300000000,1381649328,6471125817.7600,1,23.878700,1,-2.484500,0
2021-08-27,sh.601728,4.6600000000,4.7000000000,4.6000000000,4.6100000000,4.7100000000,915488256,4241738648.5000,1,15.822200,1,-2.123100,0
2021-08-30,sh.601728,4.6200000000,4.6700000000,4.5800000000,4.6400000000,4.6100000000,828324064,3821401676.6500,1,14.315700,1,0.650800,0
2021-08-31,sh.601728,4.6100000000,4.6200000000,4.5500000000,4.5600000000,4.6400000000,742828832,3392268860.0800,1,12.838100,1,-1.724100,0
2021-09-01,sh.601728,4.5500000000,4.6100000000,4.5400000000,4.5800000000,4.5600000000,691719408,3164104038.6100,1,11.954800,1,0.438600,0
2021-09-02,sh.601728,4.5600000000,4.5700000000,4.5400000000,4.5600000000,4.5800000000,598877040,2724702722.0000,1,10.350200,1,-0.436700,0
2021-09-03,sh.601728,4.5500000000,4.5500000000,4.5300000000,4.5400000000,4.5600000000,560911936,2547149313.0600,1,9.694100,1,-0.438600,0
2021-09-06,sh.601728,4.5400000000,4.5800000000,4.5300000000,4.5500000000,4.5400000000,596007072,2710518570.1100,1,10.300600,1,0.220300,0
2021-09-07,sh.601728,4.5400000000,4.5500000000,4.5300000000,4.5400000000,4.5500000000,498043232,2260798202.6000,1,8.607600,1,-0.219800,0
2021-09-08,sh.601728,4.5400000000,4.5500000000,4.5300000000,4.5400000000,4.5400000000,457927360,2078538311.4700,1,7.914200,1,0.000000,0
2021-09-09,sh.601728,4.5400000000,4.5500000000,4.5300000000,4.5400000000,4.5400000000,419472208,1903991706.1300,1,7.249600,1,0.000000,0
2021-09-10,sh.601728,4.5400000000,4.5500000000,4.5300000000,4.5300000000,4.5400000000,402243808,1825151136.1200,1,6.951900,1,-0.220300,0
2021-09-13,sh.601728,4.5300000000,4.5400000000,4.5300000000,4.5400000000,4.5300000000,343276816,1556374120.6600,1,5.932800,1,0.220800,0
2021-09-14,sh.601728,4.5400000000,4.5400000000,4.5300000000,4.5300000000,4.5400000000,408281632,1850571691.2500,1,7.056200,1,-0.220300,0
2021-09-15,sh.601728,4.5300000000,4.5400000000,4.5300000000,4.5300000000,4.5300000000,339075120,1536797205.3600,1,5.860200,1,0.000000,0
2021-09-16,sh.601728,4.5300000000,4.5400000000,4.5300000000,4.5300000000,4.5300000000,436825808,1979723046.2400,1,7.549600,1,0.000000,0
2021-09-17,sh.601728,4.5300000000,4.5400000000,4.5300000000,4.5300000000,4.5300000000,539070048,2442833878.9700,1,9.316600,1,0.000000,0
2021-09-22,sh.601728,4.5400000000,4.7300000000,4.5300000000,4.6300000000,4.5300000000,543501920,2511000019.2500,1,9.393200,1,2.207500,0
2021-09-23,sh.601728,4.5900000000,4.6000000000,4.5400000000,4.5500000000,4.6300000000,334993200,1524449637.6300,1,5.789600,1,-1.727900,0
2021-09-24,sh.601728,4.5400000000,4.5500000000,4.4300000000,4.4400000000,4.5500000000,354509152,1585257583.4100,1,6.126900,1,-2.417600,0
2021-09-27,sh.601728,4.4400000000,4.4400000000,4.3000000000,4.3100000000,4.4400000000,285734320,1241402320.9100,1,6.486100,1,-2.927900,0
2021-09-28,sh.601728,4.2900000000,4.3800000000,4.2500000000,4.3400000000,4.3100000000,158002969,681213378.8700,1,3.586600,1,0.696100,0
2021-09-29,sh.601728,4.2900000000,4.3100000000,4.2500000000,4.2600000000,4.3400000000,145843812,622819085.7600,1,3.310600,1,-1.843300,0
2021-09-30,sh.601728,4.2600000000,4.3000000000,4.2500000000,4.2900000000,4.2600000000,97689323,417242994.4200,1,2.217500,1,0.704200,0
2021-10-08,sh.601728,4.3000000000,4.3500000000,4.2700000000,4.3400000000,4.2900000000,140377383,605277972.8600,1,3.186500,1,1.165500,0
2021-10-11,sh.601728,4.3300000000,4.3500000000,4.3100000000,4.3300000000,4.3400000000,105987535,458657570.6900,1,2.405900,1,-0.230400,0
2021-10-12,sh.601728,4.3200000000,4.3300000000,4.2500000000,4.2800000000,4.3300000000,126268161,540901958.7600,1,2.866300,1,-1.154700,0
2021-10-13,sh.601728,4.2700000000,4.2800000000,4.2500000000,4.2700000000,4.2800000000,85803160,366030483.4900,1,1.947700,1,-0.233600,0
2021-10-14,sh.601728,4.2700000000,4.2700000000,4.2500000000,4.2600000000,4.2700000000,67538893,287773377.9100,1,1.533100,1,-0.234200,0
2021-10-15,sh.601728,4.2600000000,4.2800000000,4.2500000000,4.2600000000,4.2600000000,78302887,333829891.5600,1,1.777500,1,0.000000,0
2021-10-18,sh.601728,4.2600000000,4.2600000000,4.2100000000,4.2200000000,4.2600000000,115107082,486110059.3300,1,2.612900,1,-0.939000,0
2021-10-19,sh.601728,4.2200000000,4.2300000000,4.1900000000,4.2000000000,4.2200000000,93616996,393561817.1100,1,2.125100,1,-0.473900,0
2021-10-20,sh.601728,4.2000000000,4.2100000000,4.1800000000,4.1900000000,4.2000000000,80494821,337215586.1100,1,1.827200,1,-0.238100,0
2021-10-21,sh.601728,4.1900000000,4.1900000000,4.1600000000,4.1700000000,4.1900000000,88284552,368320418.4400,1,2.004000,1,-0.477300,0
2021-10-22,sh.601728,4.1600000000,4.1600000000,4.1300000000,4.1400000000,4.1700000000,103028857,427089228.6700,1,2.338700,1,-0.719400,0
2021-10-25,sh.601728,4.1400000000,4.2200000000,4.1400000000,4.2200000000,4.1400000000,140698566,588654773.1000,1,3.193800,1,1.932400,0
2021-10-26,sh.601728,4.2000000000,4.2200000000,4.1600000000,4.2000000000,4.2200000000,106323021,444934726.3900,1,2.413500,1,-0.473900,0
2021-10-27,sh.601728,4.1800000000,4.2300000000,4.1400000000,4.2300000000,4.2000000000,127170880,531832950.8700,1,2.886800,1,0.714300,0
2021-10-28,sh.601728,4.2300000000,4.4100000000,4.1800000000,4.4100000000,4.2300000000,211183338,903833886.3200,1,4.793800,1,4.255300,0
2021-10-29,sh.601728,4.3500000000,4.3900000000,4.3100000000,4.3900000000,4.4100000000,166786136,726321997.3900,1,3.786000,1,-0.453500,0
2021-11-01,sh.601728,4.3500000000,4.3600000000,4.3100000000,4.3300000000,4.3900000000,86848662,376131564.2700,1,1.971400,1,-1.366700,0
2021-11-02,sh.601728,4.3100000000,4.3300000000,4.2200000000,4.2200000000,4.3300000000,103392173,441375814.0600,1,2.347000,1,-2.540400,0
2021-11-03,sh.601728,4.2100000000,4.2200000000,4.1900000000,4.2100000000,4.2200000000,56751205,238716055.4500,1,1.288200,1,-0.237000,0
2021-11-04,sh.601728,4.2100000000,4.2200000000,4.1800000000,4.1900000000,4.2100000000,60252322,252605813.7000,1,1.367700,1,-0.475100,0
2021-11-05,sh.601728,4.1900000000,4.2700000000,4.1700000000,4.2400000000,4.1900000000,117217118,495684838.8900,1,2.660800,1,1.193300,0
2021-11-08,sh.601728,4.2200000000,4.2400000000,4.2000000000,4.2100000000,4.2400000000,57234348,241042211.5600,1,1.299200,1,-0.707500,0
2021-11-09,sh.601728,4.2000000000,4.2400000000,4.1900000000,4.2200000000,4.2100000000,54105157,228141216.6600,1,1.228200,1,0.237500,0
2021-11-10,sh.601728,4.2200000000,4.2300000000,4.1900000000,4.2100000000,4.2200000000,53161541,223587319.3900,1,1.206800,1,-0.237000,0
2021-11-11,sh.601728,4.2000000000,4.2300000000,4.2000000000,4.2100000000,4.2100000000,63302413,266651974.4100,1,1.437000,1,0.000000,0
2021-11-12,sh.601728,4.2100000000,4.2200000000,4.2000000000,4.2100000000,4.2100000000,56733806,238809614.4800,1,1.287800,1,0.000000,0
2021-11-15,sh.601728,4.2200000000,4.2500000000,4.2100000000,4.2200000000,4.2100000000,69201950,292359117.0000,1,1.570900,1,0.237500,0
2021-11-16,sh.601728,4.2200000000,4.2300000000,4.2000000000,4.2100000000,4.2200000000,55596261,234427455.3300,1,1.262000,1,-0.237000,0
2021-11-17,sh.601728,4.2100000000,4.2200000000,4.2000000000,4.2100000000,4.2100000000,39879159,167862985.3900,1,0.905200,1,0.000000,0
2021-11-18,sh.601728,4.2100000000,4.2200000000,4.1800000000,4.1800000000,4.2100000000,62993300,264188491.0000,1,1.429900,1,-0.712600,0
2021-11-19,sh.601728,4.1800000000,4.2000000000,4.1700000000,4.1900000000,4.1800000000,57566672,240786708.0000,1,1.306800,1,0.239200,0
2021-11-22,sh.601728,4.1900000000,4.4000000000,4.1800000000,4.4000000000,4.1900000000,232716104,998998253.0200,1,5.282600,1,5.011900,0
2021-11-23,sh.601728,4.3200000000,4.3500000000,4.2900000000,4.3000000000,4.4000000000,124425580,536434783.6200,1,2.824400,1,-2.272700,0
2021-11-24,sh.601728,4.2900000000,4.3200000000,4.2600000000,4.2900000000,4.3000000000,74774503,320272954.7700,1,1.697400,1,-0.232600,0
2021-11-25,sh.601728,4.2800000000,4.3000000000,4.2800000000,4.2800000000,4.2900000000,42905517,183917679.3800,1,0.973900,1,-0.233100,0
2021-11-26,sh.601728,4.2800000000,4.2900000000,4.2700000000,4.2800000000,4.2800000000,50985664,218147870.2800,1,1.157400,1,0.000000,0
2021-11-29,sh.601728,4.2700000000,4.3100000000,4.2400000000,4.2800000000,4.2800000000,71173828,305020555.9500,1,1.615600,1,0.000000,0
2021-11-30,sh.601728,4.2800000000,4.3000000000,4.2700000000,4.2800000000,4.2800000000,61362300,262893429.9300,1,1.392900,1,0.000000,0
2021-12-01,sh.601728,4.2700000000,4.3000000000,4.2600000000,4.2900000000,4.2800000000,57230649,244939427.9600,1,1.299100,1,0.233600,0
2021-12-02,sh.601728,4.2800000000,4.2900000000,4.2700000000,4.2800000000,4.2900000000,52096090,223057160.2000,1,1.182600,1,-0.233100,0
2021-12-03,sh.601728,4.2800000000,4.3600000000,4.2700000000,4.3200000000,4.2800000000,125563534,542392913.9000,1,2.850300,1,0.934600,0
2021-12-06,sh.601728,4.3100000000,4.3700000000,4.3000000000,4.3300000000,4.3200000000,131942432,571394467.5000,1,2.995100,1,0.231500,0
2021-12-07,sh.601728,4.3200000000,4.3500000000,4.3100000000,4.3300000000,4.3300000000,85493857,369889858.4200,1,1.940700,1,0.000000,0
2021-12-08,sh.601728,4.3300000000,4.3500000000,4.3200000000,4.3400000000,4.3300000000,87365910,379054728.8700,1,1.983200,1,0.230900,0
2021-12-09,sh.601728,4.3400000000,4.4200000000,4.3300000000,4.4200000000,4.3400000000,178988712,782998823.3100,1,4.063000,1,1.843300,0
2021-12-10,sh.601728,4.3800000000,4.4700000000,4.3700000000,4.4400000000,4.4200000000,220846266,976864214.3900,1,5.013200,1,0.452500,0
2021-12-13,sh.601728,4.4200000000,4.4400000000,4.4000000000,4.4000000000,4.4400000000,120544625,532085264.2400,1,2.736300,1,-0.900900,0
2021-12-14,sh.601728,4.3900000000,4.4000000000,4.3400000000,4.3400000000,4.4000000000,99235500,432356328.0000,1,2.252600,1,-1.363600,0
2021-12-15,sh.601728,4.3300000000,4.3700000000,4.3200000000,4.3500000000,4.3400000000,76716358,333776278.8700,1,1.741400,1,0.230400,0
2021-12-16,sh.601728,4.3500000000,4.3700000000,4.3300000000,4.3600000000,4.3500000000,65330610,284233357.9700,1,1.483000,1,0.229900,0
2021-12-17,sh.601728,4.3500000000,4.3600000000,4.3400000000,4.3500000000,4.3600000000,53101619,231026600.0200,1,1.205400,1,-0.229400,0
2021-12-20,sh.601728,4.3500000000,4.4700000000,4.3400000000,4.4200000000,4.3500000000,222091253,981468309.8700,1,5.041400,1,1.609200,0
2021-12-21,sh.601728,4.4100000000,4.4500000000,4.3900000000,4.4300000000,4.4200000000,126315229,558254807.3200,1,2.867300,1,0.226200,0
2021-12-22,sh.601728,4.4300000000,4.4400000000,4.3600000000,4.3600000000,4.4300000000,101516603,445371279.7900,1,2.304400,1,-1.580100,0
2021-12-23,sh.601728,4.3600000000,4.3800000000,4.3500000000,4.3500000000,4.3600000000,67862700,295986917.0000,1,1.540500,1,-0.229400,0
2021-12-24,sh.601728,4.3500000000,4.3600000000,4.3100000000,4.3100000000,4.3500000000,87025648,376478308.8400,1,1.975500,1,-0.919500,0
2021-12-27,sh.601728,4.3100000000,4.3400000000,4.3000000000,4.3200000000,4.3100000000,61368267,265013715.6400,1,1.393000,1,0.232000,0
2021-12-28,sh.601728,4.3200000000,4.3300000000,4.3000000000,4.3200000000,4.3200000000,45236903,194947709.5200,1,1.026900,1,0.000000,0
2021-12-29,sh.601728,4.3200000000,4.3200000000,4.3000000000,4.3100000000,4.3200000000,35787095,154206701.8800,1,0.812400,1,-0.231500,0
2021-12-30,sh.601728,4.3100000000,4.3400000000,4.3000000000,4.3100000000,4.3100000000,45510844,196612693.8500,1,1.033100,1,0.000000,0
2021-12-31,sh.601728,4.3200000000,4.3400000000,4.3100000000,4.3300000000,4.3100000000,48703707,210624746.9200,1,1.105600,1,0.464000,0
2022-01-04,sh.601728,4.3200000000,4.4000000000,4.3200000000,4.3800000000,4.3300000000,123273192,537585467.7500,1,2.798300,1,1.154700,0
2022-01-05,sh.601728,4.3600000000,4.3600000000,4.3000000000,4.3000000000,4.3800000000,145210563,627077131.6900,1,3.296200,1,-1.826500,0
2022-01-06,sh.601728,4.3000000000,4.3200000000,4.2800000000,4.3000000000,4.3000000000,76037027,326584669.1400,1,1.726000,1,0.000000,0
2022-01-07,sh.601728,4.2900000000,4.3300000000,4.2900000000,4.2900000000,4.3000000000,73837180,317826451.4800,1,1.676100,1,-0.232600,0
2022-01-10,sh.601728,4.2900000000,4.3400000000,4.2900000000,4.3200000000,4.2900000000,97150111,419457556.9300,1,2.205300,1,0.699300,0
2022-01-11,sh.601728,4.3200000000,4.3300000000,4.3000000000,4.3100000000,4.3200000000,70170093,302969846.9700,1,1.592800,1,-0.231500,0
2022-01-12,sh.601728,4.3100000000,4.3200000000,4.3000000000,4.3100000000,4.3100000000,38055898,163985883.6100,1,0.863900,1,0.000000,0
2022-01-13,sh.601728,4.3200000000,4.3400000000,4.3000000000,4.3000000000,4.3100000000,71834965,310070974.8000,1,1.630600,1,-0.232000,0
2022-01-14,sh.601728,4.3000000000,4.3100000000,4.2600000000,4.2600000000,4.3000000000,91742675,392745513.8700,1,2.082500,1,-0.930200,0
2022-01-17,sh.601728,4.2600000000,4.2800000000,4.2500000000,4.2700000000,4.2600000000,49411805,210672459.8700,1,1.121600,1,0.234700,0
2022-01-18,sh.601728,4.2700000000,4.3100000000,4.2600000000,4.2900000000,4.2700000000,66871847,286391941.7900,1,1.518000,1,0.468400,0
2022-01-19,sh.601728,4.2800000000,4.2800000000,4.2600000000,4.2600000000,4.2900000000,46798118,199747624.4900,1,1.062300,1,-0.699300,0
