date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sh.601088,32.5734886400,32.8461461900,32.4098941100,32.7007288300,32.7370831700,35783696,642147048.8300,1,0.217000,1,-0.111000,0
2021-01-05,sh.601088,32.7552603400,32.7552603400,31.5555671200,32.0827050500,32.7007288300,49793708,874827211.0200,1,0.301900,1,-1.889900,0
2021-01-06,sh.601088,32.0281735400,32.6280201500,31.9736420300,32.6280201500,32.0827050500,42808236,761451148.9500,1,0.259600,1,1.699700,0
2021-01-07,sh.601088,32.8643233600,33.5550558200,32.7370831700,33.1915124200,32.6280201500,57742906,1052416187.3100,1,0.350100,1,1.727000,0
2021-01-08,sh.601088,33.3914612900,33.8640677100,32.9915635500,33.8640677100,33.1915124200,57364121,1057530895.6300,1,0.347900,1,2.026300,0
2021-01-11,sh.601088,33.8458905400,33.8640677100,32.5371343000,32.8279690200,33.8640677100,62956382,1143421636.3800,1,0.381800,1,-3.059600,0
2021-01-12,sh.601088,32.6461973200,33.1188037400,32.3553626000,33.1188037400,32.8279690200,37533005,675929276.5200,1,0.227600,1,0.885900,0
2021-01-13,sh.601088,33.2096895900,34.5366230000,33.0279178900,34.1912567700,33.1188037400,72549472,1349643378.3800,1,0.439900,1,3.238200,0
2021-01-14,sh.601088,33.9913079000,34.7547490400,33.6095873300,33.8458905400,34.1912567700,50160501,939145085.6800,1,0.304200,1,-1.010100,0
2021-01-15,sh.601088,33.9004220500,34.7183947000,33.8822448800,34.0458394100,33.8458905400,51260137,964641868.9600,1,0.310800,1,0.590800,0
2021-01-18,sh.601088,34.0640165800,34.7911033800,33.7731818600,34.3912056400,34.0458394100,49697855,940741259.6500,1,0.301400,1,1.014400,0
2021-01-19,sh.601088,34.4275599800,35.4091271600,33.8640677100,34.0640165800,34.3912056400,67163721,1276441131.9700,1,0.407300,1,-0.951400,0
2021-01-20,sh.601088,33.8277133700,34.3730284700,33.5368786500,34.1912567700,34.0640165800,42612096,794399627.7800,1,0.258400,1,0.373500,0
2021-01-21,sh.601088,34.0821937500,34.6820403600,34.0640165800,34.3548513000,34.1912567700,48788444,922631685.4000,1,0.295800,1,0.478500,0
2021-01-22,sh.601088,34.3730284700,34.3730284700,33.3187526100,33.9185992200,34.3548513000,44272028,820904540.6600,1,0.268500,1,-1.269800,0
2021-01-25,sh.601088,33.6277645000,33.6277645000,32.9552092100,33.1733352500,33.9185992200,35544115,649223707.4700,1,0.215500,1,-2.197200,0
2021-01-26,sh.601088,33.1733352500,33.5732329900,32.7189060000,32.7916146800,33.1733352500,29870907,542755720.8100,1,0.181100,1,-1.150700,0
2021-01-27,sh.601088,32.7370831700,33.3005754400,32.6098429800,32.9006777000,32.7916146800,24496155,443931033.1300,1,0.148500,1,0.332600,0
2021-01-28,sh.601088,32.6825516600,32.6825516600,32.1735909000,32.2826539200,32.9006777000,26944859,479768358.0200,1,0.163400,1,-1.878500,0
2021-01-29,sh.601088,32.3008310900,32.6825516600,31.4646812700,31.6282758000,32.2826539200,29106763,512285858.9200,1,0.176500,1,-2.027000,0
2021-02-01,sh.601088,30.9557205100,31.1193150400,30.5921771100,30.8648346600,31.6282758000,35979858,611073501.1600,1,0.218200,1,-2.413800,0
2021-02-02,sh.601088,31.0647835300,31.0647835300,30.6285314500,30.6467086200,30.8648346600,26160135,442854313.8700,1,0.158600,1,-0.706700,0
2021-02-03,sh.601088,30.7921259800,31.0466063600,30.4467597500,30.4831140900,30.6467086200,25595977,431602062.1300,1,0.155200,1,-0.533800,0
2021-02-04,sh.601088,30.4104054100,30.4831140900,29.7014957800,30.3195195600,30.4831140900,35878931,594150363.4200,1,0.217600,1,-0.536700,0
2021-02-05,sh.601088,30.3740510700,30.4104054100,29.7196729500,29.7196729500,30.3195195600,28978995,477271395.4500,1,0.175700,1,-1.978400,0
2021-02-08,sh.601088,29.7923816300,30.0650391800,29.4833697400,29.8469131400,29.7196729500,30502153,499856365.8400,1,0.185000,1,0.428100,0
2021-02-09,sh.601088,29.8650903100,30.2831652200,29.6287871000,30.2104565400,29.8469131400,25941016,427899708.7200,1,0.157300,1,1.218000,0
2021-02-10,sh.601088,30.2286337100,30.5376456000,29.9923305000,30.4104054100,30.2104565400,29990217,500135561.6200,1,0.181900,1,0.661900,0
2021-02-18,sh.601088,31.0829607000,31.7736931600,31.0829607000,31.6646301400,30.4104054100,51077200,884921246.2400,1,0.309700,1,4.124300,0
2021-02-19,sh.601088,31.6282758000,33.2096895900,31.2647324000,32.9188548700,31.6646301400,60639120,1080808976.4200,1,0.367700,1,3.961000,0
2021-02-22,sh.601088,33.0460950600,35.3909499900,33.0460950600,34.3366741300,32.9188548700,90274902,1704116614.9400,1,0.547400,1,4.307000,0
2021-02-23,sh.601088,34.1185480900,34.1185480900,33.2823982700,33.3732841200,34.3366741300,54433518,1010211247.8600,1,0.330100,1,-2.805700,0
2021-02-24,sh.601088,33.5550558200,33.9913079000,32.8097918500,32.9552092100,33.3732841200,34922611,640019946.0000,1,0.211800,1,-1.252700,0
2021-02-25,sh.601088,33.5005243100,33.9731307300,33.2460439300,33.6641188400,32.9552092100,35554104,657526103.0600,1,0.215600,1,2.151100,0
2021-02-26,sh.601088,32.9188548700,33.4459928000,31.9918192000,32.2644767500,33.6641188400,50044032,897791855.8500,1,0.303500,1,-4.157700,0
2021-03-01,sh.601088,32.4098941100,32.7189060000,32.0099963700,32.3917169400,32.2644767500,36976546,658611373.3400,1,0.224200,1,0.394400,0
2021-03-02,sh.601088,32.3553626000,33.9367763900,32.1735909000,32.6825516600,32.3917169400,69453421,1259065300.5400,1,0.421200,1,0.897900,0
2021-03-03,sh.601088,32.6098429800,33.5368786500,32.4280712800,33.3732841200,32.6825516600,45498729,830235459.1400,1,0.275900,1,2.113500,0
2021-03-04,sh.601088,33.2278667600,33.3551069500,32.5916658100,32.9006777000,33.3732841200,40237261,728862272.0600,1,0.244000,1,-1.416100,0
2021-03-05,sh.601088,32.5553114700,33.2823982700,32.5371343000,33.0460950600,32.9006777000,42356866,766490864.2800,1,0.256800,1,0.442000,0
2021-03-08,sh.601088,33.1188037400,33.5732329900,32.6643744900,32.7370831700,33.0460950600,29839756,542010079.0200,1,0.180900,1,-0.935100,0
2021-03-09,sh.601088,32.6643744900,33.9185992200,32.1735909000,32.9370320400,32.7370831700,53739531,976813271.4300,1,0.325900,1,0.610800,0
2021-03-10,sh.601088,32.9915635500,33.3551069500,32.5371343000,32.6643744900,32.9370320400,35084025,634561489.1700,1,0.212700,1,-0.827800,0
2021-03-11,sh.601088,32.6280201500,33.3187526100,32.5916658100,33.2278667600,32.6643744900,30671702,556344243.9600,1,0.186000,1,1.725100,0
2021-03-12,sh.601088,33.2460439300,34.5366230000,32.8461461900,33.7550046900,33.2278667600,55529476,1028095548.0400,1,0.336700,1,1.586400,0
2021-03-15,sh.601088,33.5368786500,35.0092294200,33.4096384600,34.9001664000,33.7550046900,75052849,1427886477.5400,1,0.455100,1,3.392600,0
2021-03-16,sh.601088,34.9365207400,35.0637609300,34.1730796000,34.6093316800,34.9001664000,37025586,704548861.7000,1,0.224500,1,-0.833300,0
2021-03-17,sh.601088,34.4639143200,34.5729773400,33.5005243100,34.4820914900,34.6093316800,38686969,724392491.1600,1,0.234600,1,-0.367600,0
2021-03-18,sh.601088,34.3184969600,34.9001664000,34.0821937500,34.3912056400,34.4820914900,25677968,487765261.3800,1,0.155700,1,-0.263600,0
2021-03-19,sh.601088,33.9913079000,34.8092805500,33.8095362000,33.9913079000,34.3912056400,35584472,668647148.8900,1,0.215800,1,-1.162800,0
2021-03-22,sh.601088,33.9185992200,34.3003197900,33.7731818600,34.0094850700,33.9913079000,34232433,639912345.2800,1,0.207600,1,0.053500,0
2021-03-23,sh.601088,34.0276622400,34.1549024300,32.7916146800,32.9552092100,34.0094850700,39683577,724300813.5300,1,0.240600,1,-3.099900,0
2021-03-24,sh.601088,32.8097918500,32.8461461900,32.1917680700,32.3190082600,32.9552092100,24048494,429022634.6600,1,0.145800,1,-1.930500,0
2021-03-25,sh.601088,32.3008310900,33.0097407200,32.1917680700,32.9006777000,32.3190082600,21143828,380152591.3700,1,0.128200,1,1.799800,0
2021-03-26,sh.601088,32.8097918500,33.3005754400,32.6098429800,32.9552092100,32.9006777000,20974301,380100435.1400,1,0.127200,1,0.165700,0
2021-03-29,sh.601088,35.3182413100,36.2452769800,34.8274577200,36.2452769800,32.9552092100,131885339,2610904737.7500,1,0.799700,1,9.983500,0
2021-03-30,sh.601088,36.3543400000,37.5358560500,36.0453281100,37.0632496300,36.2452769800,115828585,2344346558.3400,1,0.702400,1,2.256800,0
2021-03-31,sh.601088,36.5724660400,36.8087692500,36.0089737700,36.5361117000,37.0632496300,51300522,1026137287.1600,1,0.311100,1,-1.422300,0
2021-04-01,sh.601088,36.5542888700,36.6451747200,35.8453792400,36.1362139600,36.5361117000,35175082,698139729.0600,1,0.213300,1,-1.094500,0
2021-04-02,sh.601088,36.2452769800,36.3361628300,35.8090249000,35.9544422600,36.1362139600,23790025,470728578.2200,1,0.144300,1,-0.503000,0
2021-04-06,sh.601088,35.9907966000,36.0998596200,35.1364696100,35.4454815000,35.9544422600,27857978,542686910.2100,1,0.168900,1,-1.415600,0
2021-04-07,sh.601088,35.4454815000,35.6090760300,35.1182924400,35.4818358400,35.4454815000,29290242,570501150.2500,1,0.177600,1,0.102600,0
2021-04-08,sh.601088,35.6272532000,35.9180879200,35.1910011200,35.4818358400,35.4818358400,28961327,566432109.5100,1,0.175600,1,0.000000,0
2021-04-09,sh.601088,35.3727728200,35.8635564100,35.1910011200,35.4636586700,35.4818358400,29821749,583016922.4300,1,0.180800,1,-0.051200,0
2021-04-12,sh.601088,35.5908988600,35.7726705600,35.1364696100,35.6272532000,35.4636586700,32265765,629856319.3000,1,0.195700,1,0.461300,0
2021-04-13,sh.601088,35.5545445200,35.6817847100,34.6456860200,35.1182924400,35.6272532000,31502594,607856999.0600,1,0.191000,1,-1.428600,0
2021-04-14,sh.601088,35.2637098000,35.5727216900,34.9546979100,35.5000130100,35.1182924400,22006921,427388776.7200,1,0.133400,1,1.087000,0
2021-04-15,sh.601088,35.5363673500,36.2270998100,35.4454815000,35.9362650900,35.5000130100,32720678,644375711.5500,1,0.198400,1,1.228900,0
2021-04-16,sh.601088,35.9180879200,36.5906432100,35.7363162200,36.0271509400,35.9362650900,32647464,649164725.0400,1,0.198000,1,0.252900,0
2021-04-19,sh.601088,36.0453281100,36.4452258500,35.8999107500,36.0816824500,36.0271509400,31178664,619415296.6000,1,0.189100,1,0.151400,0
2021-04-20,sh.601088,35.8999107500,36.4270486800,35.5363673500,36.1543911300,36.0816824500,24596370,487070984.7200,1,0.149100,1,0.201500,0
2021-04-21,sh.601088,35.9907966000,36.0089737700,35.5727216900,35.7908477300,36.1543911300,17409035,342650967.0400,1,0.105600,1,-1.005500,0
2021-04-22,sh.601088,36.0271509400,36.3906943400,35.9907966000,36.2270998100,35.7908477300,22773439,453576977.5600,1,0.138100,1,1.218900,0
2021-04-23,sh.601088,36.0816824500,36.0816824500,35.4091271600,35.5363673500,36.2270998100,28762639,563330646.7900,1,0.174400,1,-1.906700,0
2021-04-26,sh.601088,35.2273554600,35.6817847100,34.9001664000,34.9728750800,35.5363673500,45564501,883531260.5700,1,0.276300,1,-1.585700,0
2021-04-27,sh.601088,34.9365207400,35.0455837600,34.0821937500,34.7183947000,34.9728750800,35943390,684818660.1000,1,0.218000,1,-0.727700,0
2021-04-28,sh.601088,34.7547490400,35.4454815000,34.7183947000,35.4454815000,34.7183947000,25362003,491265144.5700,1,0.153800,1,2.094200,0
2021-04-29,sh.601088,35.4091271600,35.8999107500,34.8638120600,35.6817847100,35.4454815000,29271601,568948191.4700,1,0.177500,1,0.666700,0
2021-04-30,sh.601088,35.6272532000,35.6272532000,34.7911033800,34.9183435700,35.6817847100,30489810,588251040.8000,1,0.184900,1,-2.139600,0
2021-05-06,sh.601088,35.1728239500,36.1362139600,35.1728239500,35.9726194300,34.9183435700,46977128,927098281.5800,1,0.284900,1,3.019300,0
2021-05-07,sh.601088,36.0998596200,36.9905409500,35.9180879200,36.3906943400,35.9726194300,58591041,1177431246.7900,1,0.355300,1,1.162200,0
2021-05-10,sh.601088,36.8996551000,38.1357026600,36.6269975500,38.1175254900,36.3906943400,76395288,1572084555.7900,1,0.463300,1,4.745300,0
2021-05-11,sh.601088,37.3904386900,37.7721592600,36.0998596200,37.3177300100,38.1175254900,63113541,1281352872.5200,1,0.382700,1,-2.098200,0
2021-05-12,sh.601088,37.3904386900,38.3538287000,37.3904386900,37.9721081300,37.3177300100,47112553,984240079.3900,1,0.285700,1,1.753500,0
2021-05-13,sh.601088,37.2631985000,37.5358560500,36.4634030200,36.6997062300,37.9721081300,37350682,757278564.0000,1,0.226500,1,-3.350900,0
2021-05-14,sh.601088,36.6815290600,37.0450724600,36.0998596200,36.2816313200,36.6997062300,38572771,773054007.4900,1,0.233900,1,-1.139200,0
2021-05-17,sh.601088,36.3906943400,36.9905409500,36.0089737700,36.7178834000,36.2816313200,31807778,640690777.2800,1,0.192900,1,1.202400,0
2021-05-18,sh.601088,36.7542377400,37.3359071800,36.6451747200,37.2086669900,36.7178834000,25276300,516577483.2600,1,0.153300,1,1.336600,0
2021-05-19,sh.601088,37.2268441600,37.2268441600,36.4634030200,36.8996551000,37.2086669900,18116921,365942812.9900,1,0.109900,1,-0.830500,0
2021-05-20,sh.601088,36.0271509400,36.1543911300,35.1001152700,35.6454303700,36.8996551000,47132486,923894891.9500,1,0.285800,1,-3.399000,0
2021-05-21,sh.601088,35.3909499900,36.0635052800,35.3909499900,35.7181390500,35.6454303700,18528170,364743604.8000,1,0.112400,1,0.204000,0
2021-05-24,sh.601088,35.6817847100,35.9726194300,35.4818358400,35.5908988600,35.7181390500,18518008,363777362.3500,1,0.112300,1,-0.356200,0
2021-05-25,sh.601088,35.6272532000,35.9907966000,34.9365207400,35.9180879200,35.5908988600,35941875,702224064.6300,1,0.217900,1,0.919300,0
2021-05-26,sh.601088,35.8817335800,36.1725683000,35.6272532000,36.0453281100,35.9180879200,17961304,355514405.8300,1,0.108900,1,0.354300,0
2021-05-27,sh.601088,36.0816824500,36.3725171700,35.9362650900,36.3179856600,36.0453281100,29668196,590520239.7100,1,0.179900,1,0.756400,0
2021-05-28,sh.601088,36.3543400000,36.6088203800,35.8635564100,36.2270998100,36.3179856600,24068949,479238893.8300,1,0.146000,1,-0.250300,0
2021-05-31,sh.601088,36.2452769800,36.4088715100,36.0453281100,36.3179856600,36.2270998100,15979529,318603299.6500,1,0.096900,1,0.250900,0
2021-06-01,sh.601088,36.3725171700,36.4815801900,35.5908988600,36.4815801900,36.3179856600,25043886,497693612.4300,1,0.151900,1,0.450500,0
2021-06-02,sh.601088,36.4634030200,36.6997062300,35.9907966000,36.6451747200,36.4815801900,31393292,628256151.6400,1,0.190400,1,0.448400,0
2021-06-03,sh.601088,36.7542377400,37.6267419000,36.7542377400,37.1723126500,36.6451747200,50595699,1036831627.5200,1,0.306800,1,1.438500,0
2021-06-04,sh.601088,36.7178834000,37.2631985000,36.3179856600,36.8633007600,37.1723126500,28469312,574892266.8800,1,0.172600,1,-0.831300,0
