date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2022-01-05,sh.600941,63.0000000000,63.5800000000,57.7500000000,57.8800000000,57.5800000000,255365409,15259495685.3400,1,54.288600,1,0.521000,0
2022-01-06,sh.600941,57.8800000000,59.3300000000,57.5800000000,58.0000000000,57.8800000000,116157682,6731421683.6100,1,24.694200,1,0.207300,0
2022-01-07,sh.600941,57.8000000000,58.0600000000,57.5900000000,57.6200000000,58.0000000000,63881165,3687982659.0900,1,13.580600,1,-0.655200,0
2022-01-10,sh.600941,57.7000000000,59.4900000000,57.6800000000,58.8000000000,57.6200000000,75326858,4402100218.1600,1,16.013900,1,2.047900,0
2022-01-11,sh.600941,58.6000000000,59.1200000000,57.9300000000,58.0900000000,58.8000000000,34700578,2030028650.8600,1,7.377100,1,-1.207500,0
2022-01-12,sh.600941,58.2900000000,58.2900000000,57.8000000000,58.1100000000,58.0900000000,25617132,1484862940.1000,1,5.446000,1,0.034400,0
2022-01-13,sh.600941,58.0100000000,58.0100000000,57.7800000000,57.8100000000,58.1100000000,24645018,1426048442.2300,1,5.239300,1,-0.516300,0
2022-01-14,sh.600941,57.7100000000,57.8000000000,57.6100000000,57.6500000000,57.8100000000,24019049,1385033374.8600,1,5.106300,1,-0.276800,0
2022-01-17,sh.600941,57.6500000000,57.7200000000,57.5900000000,57.6000000000,57.6500000000,26815585,1544964783.4500,1,5.700800,1,-0.086700,0
2022-01-18,sh.600941,57.6000000000,57.7300000000,57.5900000000,57.6200000000,57.6000000000,20774021,1196931882.5900,1,4.416400,1,0.034700,0
2022-01-19,sh.600941,57.6000000000,57.6200000000,57.5800000000,57.5800000000,57.6200000000,37308915,2148398655.6700,1,7.931600,1,-0.069400,0
2022-01-20,sh.600941,57.5900000000,57.7100000000,57.5800000000,57.6300000000,57.5800000000,23180332,1335238843.1900,1,4.927900,1,0.086800,0
2022-01-21,sh.600941,57.6100000000,57.6200000000,57.5800000000,57.5800000000,57.6300000000,19184425,1104712930.0400,1,4.078500,1,-0.086800,0
2022-01-24,sh.600941,57.6800000000,58.7300000000,57.6400000000,58.1900000000,57.5800000000,29709778,1724572860.5700,1,6.316100,1,1.059400,0
2022-01-25,sh.600941,57.9000000000,58.0300000000,57.5900000000,57.5900000000,58.1900000000,18436817,1063494095.3300,1,3.919500,1,-1.031100,0
2022-01-26,sh.600941,57.5900000000,58.0000000000,57.5800000000,57.6300000000,57.5900000000,18821205,1086086078.7000,1,4.001200,1,0.069500,0
2022-01-27,sh.600941,57.6000000000,57.6600000000,57.5800000000,57.5800000000,57.6300000000,33978377,1956625176.2400,1,7.223500,1,-0.086800,0
2022-01-28,sh.600941,57.5900000000,57.6100000000,57.5800000000,57.5800000000,57.5800000000,29008049,1670419330.1800,1,6.166900,1,0.000000,0
2022-02-07,sh.600941,57.7000000000,58.4100000000,57.7000000000,58.1500000000,57.5800000000,24754931,1437546474.4200,1,5.262700,1,0.989900,0
2022-02-08,sh.600941,58.2200000000,62.5000000000,58.2200000000,61.3000000000,58.1500000000,39345289,2383895932.7800,1,8.364500,1,5.417000,0
2022-02-09,sh.600941,60.8000000000,67.4300000000,60.7000000000,67.4300000000,61.3000000000,51244290,3334124378.8100,1,10.894100,1,10.000000,0
2022-02-10,sh.600941,68.0000000000,68.4000000000,64.4600000000,66.0000000000,67.4300000000,42181436,2792374406.8900,1,10.529600,1,-2.120700,0
2022-02-11,sh.600941,65.5100000000,67.4700000000,64.9000000000,66.6100000000,66.0000000000,27567357,1823478191.4400,1,6.881600,1,0.924200,0
2022-02-14,sh.600941,66.4800000000,67.6100000000,63.8000000000,64.0100000000,66.6100000000,22758754,1488716256.3600,1,5.681200,1,-3.903300,0
2022-02-15,sh.600941,63.9300000000,64.6500000000,62.5000000000,62.9000000000,64.0100000000,15999425,1014408908.0200,1,3.993900,1,-1.734100,0
2022-02-16,sh.600941,63.2800000000,64.3500000000,62.7600000000,63.5000000000,62.9000000000,15860582,1006268766.0800,1,3.959200,1,0.953900,0
2022-02-17,sh.600941,63.6000000000,64.5700000000,61.4400000000,61.8800000000,63.5000000000,18282727,1145192284.3900,1,4.563900,1,-2.551200,0
2022-02-18,sh.600941,61.4700000000,63.0500000000,61.3000000000,62.8000000000,61.8800000000,12345353,769923002.9100,1,3.081700,1,1.486700,0
2022-02-21,sh.600941,62.9800000000,64.1000000000,62.6800000000,63.5300000000,62.8000000000,14266367,904737562.3200,1,3.561300,1,1.162400,0
2022-02-22,sh.600941,62.8000000000,63.7300000000,61.4900000000,62.3000000000,63.5300000000,13392042,836344411.8200,1,3.343000,1,-1.936100,0
2022-02-23,sh.600941,62.1000000000,63.7900000000,62.1000000000,63.0900000000,62.3000000000,9221475,582529010.9300,1,2.301900,1,1.268100,0
2022-02-24,sh.600941,62.8000000000,63.0000000000,60.9400000000,61.7200000000,63.0900000000,9444993,585586571.7400,1,2.357700,1,-2.171500,0
2022-02-25,sh.600941,62.2000000000,62.3400000000,60.9400000000,61.0600000000,61.7200000000,9555678,585932194.1000,1,2.385400,1,-1.069300,0
2022-02-28,sh.600941,60.9800000000,61.1800000000,59.2200000000,60.5400000000,61.0600000000,8002998,483160720.0000,1,1.997800,1,-0.851600,0
2022-03-01,sh.600941,60.5400000000,60.6500000000,59.9000000000,60.3700000000,60.5400000000,7004310,422036800.0000,1,1.748500,1,-0.280800,0
2022-03-02,sh.600941,60.0100000000,60.9500000000,59.9600000000,60.4800000000,60.3700000000,5147246,311265056.0000,1,1.284900,1,0.182200,0
2022-03-03,sh.600941,60.3900000000,62.9500000000,60.2300000000,62.0500000000,60.4800000000,13645859,845440144.0000,1,3.406400,1,2.595900,0
2022-03-04,sh.600941,61.4400000000,63.2000000000,61.1000000000,61.7100000000,62.0500000000,7769847,482899216.0000,1,1.939600,1,-0.547900,0
2022-03-07,sh.600941,61.5000000000,61.9300000000,60.6800000000,61.4800000000,61.7100000000,8606539,527895392.0000,1,2.148400,1,-0.372700,0
2022-03-08,sh.600941,61.4700000000,61.8700000000,59.8600000000,61.0500000000,61.4800000000,8105448,495002928.0000,1,2.023300,1,-0.699400,0
2022-03-09,sh.600941,60.9000000000,61.4000000000,58.7000000000,60.2400000000,61.0500000000,8524172,513019424.0000,1,2.127900,1,-1.326800,0
2022-03-10,sh.600941,60.7200000000,61.1500000000,59.8100000000,59.8700000000,60.2400000000,7170705,433033664.0000,1,1.790000,1,-0.614200,0
2022-03-11,sh.600941,59.2800000000,60.3500000000,58.5500000000,60.1000000000,59.8700000000,8064343,478591840.0000,1,2.013100,1,0.384200,0
2022-03-14,sh.600941,59.6000000000,63.3000000000,59.4600000000,60.5600000000,60.1000000000,12222221,750411520.0000,1,3.051000,1,0.765400,0
2022-03-15,sh.600941,60.4900000000,60.4900000000,59.0000000000,59.1300000000,60.5600000000,10037219,599339616.0000,1,2.505600,1,-2.361300,0
2022-03-16,sh.600941,59.6900000000,61.8600000000,59.3800000000,61.2100000000,59.1300000000,10366099,625681072.0000,1,2.587700,1,3.517700,0
2022-03-17,sh.600941,61.9100000000,62.2000000000,60.4200000000,61.0300000000,61.2100000000,7845907,478480352.0000,1,1.958500,1,-0.294100,0
2022-03-18,sh.600941,60.8300000000,61.8400000000,60.5400000000,61.7800000000,61.0300000000,5397223,331340975.6000,1,1.347300,1,1.228900,0
2022-03-21,sh.600941,61.5800000000,63.8400000000,61.3300000000,62.7100000000,61.7800000000,7168380,449238818.0600,1,1.789400,1,1.505300,0
2022-03-22,sh.600941,62.3000000000,64.5300000000,62.3000000000,64.2600000000,62.7100000000,7983522,507305507.6300,1,1.992900,1,2.471700,0
2022-03-23,sh.600941,64.0800000000,65.4600000000,63.6000000000,64.5500000000,64.2600000000,7587236,491168887.8500,1,1.894000,1,0.451300,0
2022-03-24,sh.600941,65.0200000000,69.6200000000,64.6500000000,66.7500000000,64.5500000000,16528877,1110230501.3700,1,4.126100,1,3.408200,0
