date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sh.600887,3068.2485706000,3302.1509280000,3038.6668018700,3258.1222489600,3052.4257640700,87538655,4067206462.7500,1,1.476100,1,6.738800,0
2021-01-05,sh.600887,3309.0304091000,3567.0109503500,3309.0304091000,3503.7197242300,3258.1222489600,125276269,6279953467.9500,1,2.112500,1,7.538000,0
2021-01-06,sh.600887,3542.9327665000,3567.0109503500,3391.5841823000,3478.2656441600,3503.7197242300,97835732,4924778416.0500,1,1.649800,1,-0.726500,0
2021-01-07,sh.600887,3481.0174366000,3566.3230022400,3402.5913520600,3556.0037805900,3478.2656441600,98355135,4945582208.9700,1,1.658500,1,2.235000,0
2021-01-08,sh.600887,3529.1738043000,3567.0109503500,3348.9313994800,3389.5203379700,3556.0037805900,113557968,5646536745.2800,1,1.914900,1,-4.681800,0
2021-01-11,sh.600887,3370.9457390000,3450.7477197600,3303.5268242200,3346.1796070400,3389.5203379700,90644829,4452408233.0500,1,1.528500,1,-1.278700,0
2021-01-12,sh.600887,3350.3072957000,3439.7405500000,3336.5483335000,3417.0382623700,3346.1796070400,61285750,3026984102.7300,1,1.033400,1,2.117600,0
2021-01-13,sh.600887,3427.3574840200,3474.1379555000,3306.9665647700,3342.7398664900,3417.0382623700,77807589,3821127309.3400,1,1.312000,1,-2.174400,0
2021-01-14,sh.600887,3311.7822015400,3374.3854795500,3215.4694661400,3229.9163764500,3342.7398664900,81171035,3847490759.7800,1,1.368800,1,-3.375200,0
2021-01-15,sh.600887,3188.6394898500,3246.4271310900,3150.8023438000,3209.2779331500,3229.9163764500,69765378,3239843526.9600,1,1.176400,1,-0.639000,0
2021-01-18,sh.600887,3209.2779331500,3318.6616826400,3209.2779331500,3268.4414706100,3209.2779331500,70675567,3354358893.6600,1,1.191800,1,1.843500,0
2021-01-19,sh.600887,3268.4414706100,3272.5691592700,3162.4974616700,3174.1925795400,3268.4414706100,63822949,2970963317.4300,1,1.076200,1,-2.883600,0
2021-01-20,sh.600887,3173.5046314300,3192.0792304000,3130.8518486100,3175.5684757600,3174.1925795400,65172501,2997057193.1800,1,1.099000,1,0.043300,0
2021-01-21,sh.600887,3185.1997493000,3205.8381926000,3097.1423912200,3181.7600087500,3175.5684757600,98622642,4523282665.9900,1,1.663000,1,0.195000,0
2021-01-22,sh.600887,3165.2492541100,3232.6681688900,3121.9085231800,3167.3130984400,3181.7600087500,119443915,5498601927.3400,1,2.014200,1,-0.454100,0
2021-01-25,sh.600887,3174.1925795400,3365.4421541200,3174.1925795400,3359.2506211300,3167.3130984400,152055108,7220524556.6300,1,2.564100,1,6.059900,0
2021-01-26,sh.600887,3302.8388761100,3315.9098902000,3204.4622963800,3232.6681688900,3359.2506211300,94322495,4468032608.4100,1,1.590500,1,-3.768200,0
2021-01-27,sh.600887,3246.4271310900,3247.1150792000,3110.2134053100,3179.0082163100,3232.6681688900,82759501,3802346330.9200,1,1.395600,1,-1.659900,0
2021-01-28,sh.600887,3137.0433816000,3156.3059286800,3004.9573444800,3029.7234764400,3179.0082163100,96681832,4312064396.4500,1,1.630300,1,-4.696000,0
2021-01-29,sh.600887,3048.9860235200,3078.5677922500,2998.0778633800,3040.7306462000,3029.7234764400,77663335,3433198000.2100,1,1.309600,1,0.363300,0
2021-02-01,sh.600887,3082.0075328000,3091.6388063400,3020.0922029000,3044.1703867500,3040.7306462000,53356045,2369515588.7800,1,0.899700,1,0.113100,0
2021-02-02,sh.600887,3044.1703867500,3122.5964712900,3021.4680991200,3094.3905987800,3044.1703867500,77051545,3445334723.6600,1,1.299300,1,1.649700,0
2021-02-03,sh.600887,3105.3977685400,3106.0857166500,2961.6166135500,2977.4394200800,3094.3905987800,130760919,5694160640.7800,1,2.205000,1,-3.779500,0
2021-02-04,sh.600887,2976.7514719700,3048.9860235200,2935.4745853700,3008.3970850300,2977.4394200800,79495944,3471513059.0700,1,1.340500,1,1.039700,0
2021-02-05,sh.600887,3039.3547499800,3103.3339242100,3002.8935001500,3037.2909056500,3008.3970850300,79759179,3544478716.8900,1,1.345000,1,0.960400,0
2021-02-08,sh.600887,3073.0642073700,3148.0505513600,3045.5462829700,3145.2987589200,3037.2909056500,89439787,4038576136.1200,1,1.508200,1,3.556100,0
2021-02-09,sh.600887,3153.5541362400,3194.1430747300,3110.9013534200,3165.9372022200,3145.2987589200,84801370,3888251506.2900,1,1.430000,1,0.656200,0
2021-02-10,sh.600887,3165.9372022200,3223.0368953500,3132.2277448300,3198.2707633900,3165.9372022200,85323531,3940105440.5600,1,1.438800,1,1.021300,0
2021-02-18,sh.600887,3274.6330036000,3292.5196544600,3112.2772496400,3150.8023438000,3198.2707633900,94251189,4355426390.5500,1,1.589300,1,-1.484200,0
2021-02-19,sh.600887,3162.4974616700,3328.2929561800,3115.0290420800,3318.6616826400,3150.8023438000,113356573,5329460614.0700,1,1.911500,1,5.327500,0
2021-02-22,sh.600887,3320.0375788600,3320.7255269700,3171.4407871000,3204.4622963800,3318.6616826400,102000229,4811856218.5700,1,1.720000,1,-3.441100,0
2021-02-23,sh.600887,3163.8733578900,3185.8876974100,3095.7664950000,3096.4544431100,3204.4622963800,72002219,3282304918.4000,1,1.214200,1,-3.370500,0
2021-02-24,sh.600887,3119.1567307400,3148.0505513600,2999.4537596000,3040.7306462000,3096.4544431100,69734794,3110199408.5200,1,1.175900,1,-1.799600,0
2021-02-25,sh.600887,3054.4896084000,3095.7664950000,3014.5886180200,3033.8511651000,3040.7306462000,51144581,2272170405.7600,1,0.862400,1,-0.226200,0
2021-02-26,sh.600887,2958.1768730000,3013.2127218000,2931.3468967100,2973.3117314200,3033.8511651000,57781316,2498615217.9300,1,0.974400,1,-1.995500,0
2021-03-01,sh.600887,2999.4537596000,3024.9078396700,2977.4394200800,3013.2127218000,2973.3117314200,45989454,2008060406.5300,1,0.775500,1,1.342000,0
2021-03-02,sh.600887,3029.0355283300,3046.2342310800,2924.4674156100,2958.1768730000,3013.2127218000,59416504,2569828846.7000,1,1.001900,1,-1.826500,0
2021-03-03,sh.600887,2958.1768730000,3009.0850331400,2941.6661183600,3004.2693963700,2958.1768730000,39323030,1707601215.8200,1,0.663100,1,1.558100,0
2021-03-04,sh.600887,2968.4960946500,2985.6947974000,2837.7859537500,2854.9846565000,3004.2693963700,68887578,2901671105.4900,1,1.161600,1,-4.969100,0
2021-03-05,sh.600887,2820.5872510000,2896.2615431000,2768.3031946400,2852.2328640600,2854.9846565000,47505006,1962508121.4800,1,0.801100,1,-0.096400,0
2021-03-08,sh.600887,2858.4243970500,2877.6869441300,2717.3950345000,2738.0334778000,2852.2328640600,74116651,2987113452.8400,1,1.249800,1,-4.003900,0
2021-03-09,sh.600887,2718.0829826100,2727.7142561500,2594.9402709200,2610.7630774500,2738.0334778000,99147646,3833579022.0100,1,1.671900,1,-4.648200,0
2021-03-10,sh.600887,2682.9976290000,2705.6999166300,2635.5292094100,2643.0966386200,2610.7630774500,68500539,2656213252.3300,1,1.155100,1,1.238500,0
2021-03-11,sh.600887,2676.1181479000,2727.7142561500,2655.4797046000,2703.6360723000,2643.0966386200,61323559,2404636066.1800,1,1.034100,1,2.290500,0
2021-03-12,sh.600887,2717.3950345000,2724.2745156000,2676.1181479000,2716.0191382800,2703.6360723000,47451033,1859613652.5200,1,0.800200,1,0.458000,0
2021-03-15,sh.600887,2702.2601760800,2705.6999166300,2608.0112850100,2633.4653650800,2716.0191382800,47568319,1831435816.4200,1,0.802100,1,-3.039500,0
2021-03-16,sh.600887,2671.3025111300,2712.5793977300,2653.4158602700,2684.3735252200,2633.4653650800,42344805,1654675922.0700,1,0.714000,1,1.933100,0
2021-03-17,sh.600887,2686.4373695500,2739.4093740200,2652.7279121600,2723.5865674900,2684.3735252200,38892845,1531308031.9000,1,0.655800,1,1.460800,0
2021-03-18,sh.600887,2729.0901523700,2777.9344681800,2719.4588788300,2762.1116616500,2723.5865674900,39100722,1566501692.8100,1,0.659300,1,1.414500,0
2021-03-19,sh.600887,2728.4022042600,2744.2250107900,2657.5435489300,2680.2458365600,2762.1116616500,44257880,1734719473.5200,1,0.746300,1,-2.963900,0
2021-03-22,sh.600887,2689.8771101000,2715.3311901700,2654.1038083800,2700.1963317500,2680.2458365600,28169507,1100235691.5500,1,0.475000,1,0.744400,0
2021-03-23,sh.600887,2693.3168506500,2722.8986193800,2654.7917564900,2680.2458365600,2700.1963317500,32619642,1272674119.2100,1,0.550100,1,-0.738900,0
2021-03-24,sh.600887,2679.5578884500,2758.6719211000,2672.6784073500,2689.8771101000,2680.2458365600,46347783,1824708124.1900,1,0.781600,1,0.359300,0
2021-03-25,sh.600887,2682.9976290000,2713.2673458400,2662.3591857000,2699.5083836400,2689.8771101000,26722892,1046570846.7200,1,0.450600,1,0.358100,0
2021-03-26,sh.600887,2704.3240204100,2798.5729114800,2703.6360723000,2777.9344681800,2699.5083836400,56352760,2265392415.2000,1,0.950300,1,2.905200,0
2021-03-29,sh.600887,2786.1898455000,2815.0836661200,2750.4165437800,2779.3103644000,2777.9344681800,35968571,1452099257.5700,1,0.606500,1,0.049500,0
2021-03-30,sh.600887,2762.1116616500,2802.0126520300,2755.9201286600,2769.6790908600,2779.3103644000,34763395,1402999888.5300,1,0.586200,1,-0.346500,0
2021-03-31,sh.600887,2772.4308833000,2776.5585719600,2723.5865674900,2753.8562843300,2769.6790908600,27775544,1107455626.5200,1,0.468400,1,-0.571300,0
2021-04-01,sh.600887,2753.1683362200,2779.3103644000,2738.0334778000,2772.4308833000,2753.8562843300,26220463,1051656158.5700,1,0.442100,1,0.674500,0
2021-04-02,sh.600887,2786.1898455000,2820.5872510000,2755.2321805500,2786.1898455000,2772.4308833000,38391148,1555627474.3500,1,0.647400,1,0.496300,0
2021-04-06,sh.600887,2786.1898455000,2818.5234066700,2768.3031946400,2805.4523925800,2786.1898455000,28449464,1156798301.9400,1,0.479700,1,0.691400,0
2021-04-07,sh.600887,2812.3318736800,2812.3318736800,2700.1963317500,2720.1468269400,2805.4523925800,46487627,1851989087.7500,1,0.783900,1,-3.040700,0
2021-04-08,sh.600887,2714.6432420600,2852.9208121700,2710.5155534000,2818.5234066700,2720.1468269400,66200201,2704322276.4900,1,1.116300,1,3.616600,0
2021-04-09,sh.600887,2819.2113547800,2828.8426283200,2713.9552939500,2738.0334778000,2818.5234066700,49746092,1986825459.7700,1,0.838900,1,-2.855700,0
2021-04-12,sh.600887,2736.6575815800,2748.3526994500,2683.6855771100,2704.3240204100,2738.0334778000,39241225,1547439584.4300,1,0.661700,1,-1.231200,0
2021-04-13,sh.600887,2714.6432420600,2783.4380530600,2709.1396571800,2738.0334778000,2704.3240204100,32087869,1282580199.3900,1,0.541100,1,1.246500,0
2021-04-14,sh.600887,2764.8634540900,2768.9911427500,2717.3950345000,2729.7781004800,2738.0334778000,25512605,1016118342.4900,1,0.430200,1,-0.301500,0
2021-04-15,sh.600887,2745.6009070100,2746.2888551200,2623.1461434300,2669.9266149100,2729.7781004800,53954546,2086830946.0700,1,0.909800,1,-2.192500,0
2021-04-16,sh.600887,2662.3591857000,2693.3168506500,2651.3520159400,2684.3735252200,2669.9266149100,29090089,1129981712.4600,1,0.490500,1,0.541100,0
2021-04-19,sh.600887,2669.2386668000,2771.7429351900,2634.8412613000,2758.6719211000,2684.3735252200,48555183,1925509063.4100,1,0.818800,1,2.767800,0
2021-04-20,sh.600887,2752.4803881100,2768.3031946400,2729.7781004800,2751.7924400000,2758.6719211000,29026918,1161361919.0800,1,0.489500,1,-0.249400,0
2021-04-21,sh.600887,2717.3950345000,2744.9129589000,2687.1253176600,2729.0901523700,2751.7924400000,35602721,1407314873.0700,1,0.600400,1,-0.825000,0
2021-04-22,sh.600887,2749.7285956700,2756.6080767700,2713.9552939500,2750.4165437800,2729.0901523700,30546225,1214989200.7400,1,0.515100,1,0.781400,0
2021-04-23,sh.600887,2738.7214259100,2807.5162369100,2722.8986193800,2786.8777936100,2750.4165437800,41502542,1677135642.7400,1,0.699800,1,1.325700,0
2021-04-26,sh.600887,2796.5090671500,2820.5872510000,2717.3950345000,2725.6504118200,2786.8777936100,44732085,1801605644.5400,1,0.754300,1,-2.197000,0
2021-04-27,sh.600887,2723.5865674900,2745.6009070100,2694.0047987600,2733.2178410300,2725.6504118200,25233315,998009876.8100,1,0.425500,1,0.277600,0
2021-04-28,sh.600887,2724.9624637100,2724.9624637100,2655.4797046000,2700.1963317500,2733.2178410300,59144078,2303146834.0000,1,0.997300,1,-1.208200,0
2021-04-29,sh.600887,2848.1051754000,2934.7866372600,2834.3462132000,2894.8856468800,2700.1963317500,149418945,6271152281.6500,1,2.519600,1,7.210200,0
2021-04-30,sh.600887,2889.3820620000,2893.5097506600,2791.0054822700,2817.1475104500,2894.8856468800,87674877,3619927687.8900,1,1.478400,1,-2.685400,0
2021-05-06,sh.600887,2797.1970152600,2805.4523925800,2711.2035015100,2727.7142561500,2817.1475104500,80527759,3223035209.9400,1,1.357900,1,-3.174600,0
2021-05-07,sh.600887,2733.2178410300,2738.0334778000,2655.4797046000,2656.1676527100,2727.7142561500,74908984,2923669261.1900,1,1.263200,1,-2.623000,0
2021-05-10,sh.600887,2655.4797046000,2655.4797046000,2548.8477475500,2581.8692568300,2656.1676527100,88881681,3350896272.8500,1,1.498800,1,-2.797200,0
2021-05-11,sh.600887,2583.2451530500,2653.4158602700,2563.2946578600,2641.0327942900,2581.8692568300,63012391,2395695371.9200,1,1.062600,1,2.291500,0
2021-05-12,sh.600887,2624.5220396500,2648.6002235000,2605.9474406800,2638.9689499600,2641.0327942900,40010512,1529690652.0000,1,0.674700,1,-0.078100,0
2021-05-13,sh.600887,2614.2028180000,2672.6784073500,2605.9474406800,2667.1748224700,2638.9689499600,45075687,1738856465.5100,1,0.760100,1,1.068800,0
2021-05-14,sh.600887,2682.9976290000,2724.2745156000,2642.4086905100,2701.5722279700,2667.1748224700,62678121,2454332589.3900,1,1.056900,1,1.289700,0
