date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sh.601939,11.5428206400,11.5983149700,11.4688282000,11.5613187500,11.6168130800,195559681,1218509920.6300,1,2.038400,1,-0.477700,0
2021-01-05,sh.601939,11.5058244200,11.5428206400,11.3948357600,11.4688282000,11.5613187500,181662875,1124211335.8500,1,1.893600,1,-0.800000,0
2021-01-06,sh.601939,11.4503300900,11.5798168600,11.4318319800,11.5798168600,11.4688282000,134654394,838376367.2000,1,1.403600,1,0.967700,0
2021-01-07,sh.601939,11.6168130800,11.8017941800,11.5428206400,11.6723074100,11.5798168600,179860737,1131328926.9300,1,1.874800,1,0.798700,0
2021-01-08,sh.601939,11.6908055200,11.8387904000,11.6538093000,11.7278017400,11.6723074100,183619260,1165237522.7400,1,1.914000,1,0.475400,0
2021-01-11,sh.601939,11.7647979600,12.0237715000,11.7462998500,11.9312809500,11.7278017400,268447360,1731517098.3600,1,2.798200,1,1.735000,0
2021-01-12,sh.601939,11.9312809500,12.0237715000,11.8017941800,12.0052733900,11.9312809500,182731811,1175621289.9000,1,1.904700,1,0.620200,0
2021-01-13,sh.601939,11.9867752800,12.2087526000,11.9682771700,12.1717563800,12.0052733900,153775528,1005468726.2800,1,1.602900,1,1.386700,0
2021-01-14,sh.601939,12.1902544900,12.3752355900,12.0977639400,12.1162620500,12.1717563800,150028042,990295521.1700,1,1.563800,1,-0.455900,0
2021-01-15,sh.601939,12.2457488200,12.6342091300,12.2457488200,12.3752355900,12.1162620500,291458992,1960671319.3800,1,3.038000,1,2.137400,0
2021-01-18,sh.601939,12.4862242500,12.5787148000,12.3197412600,12.5047223600,12.3752355900,178620262,1202704263.4400,1,1.861900,1,1.046300,0
2021-01-19,sh.601939,12.4862242500,13.0041713300,12.3937337000,12.8561864500,12.5047223600,260777117,1797083463.8000,1,2.718200,1,2.810700,0
2021-01-20,sh.601939,12.8191902300,12.9301788900,12.4677261400,12.5417185800,12.8561864500,184621220,1260739262.2900,1,1.924400,1,-2.446000,0
2021-01-21,sh.601939,12.6342091300,12.7266996800,12.3567374800,12.4677261400,12.5417185800,163653478,1106502704.6800,1,1.705900,1,-0.590000,0
2021-01-22,sh.601939,12.4122318100,12.4677261400,12.0422696100,12.1717563800,12.4677261400,177598912,1169347408.8300,1,1.851200,1,-2.373900,0
