date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sh.600276,4780.2510417600,4852.8149025600,4737.9932640000,4746.5301888000,4757.6281910400,36342265,4072713008.8800,1,0.686300,1,-0.233300,0
2021-01-05,sh.600276,4746.5301888000,4979.5882358400,4746.1033425600,4833.1799755200,4746.5301888000,41762795,4763614447.2100,1,0.788600,1,1.825500,0
2021-01-06,sh.600276,4834.0336680000,4945.8673828800,4780.6778880000,4854.0954412800,4833.1799755200,28370017,3219508645.8400,1,0.535700,1,0.432700,0
2021-01-07,sh.600276,4902.7559126400,4908.7317600000,4772.1409632000,4908.7317600000,4854.0954412800,32927605,3720602728.4600,1,0.621800,1,1.125600,0
2021-01-08,sh.600276,4913.8539148800,4988.5520068800,4787.0805816000,4832.7531292800,4908.7317600000,30767605,3499188266.5300,1,0.581000,1,-1.547800,0
2021-01-11,sh.600276,4794.3369676800,4872.4498296000,4695.3086400000,4750.7986512000,4832.7531292800,27201138,3055535865.3800,1,0.513600,1,-1.695800,0
2021-01-12,sh.600276,4750.3718049600,4888.2431404800,4695.3086400000,4870.3155984000,4750.7986512000,28638791,3236967861.4300,1,0.539700,1,2.515700,0
2021-01-13,sh.600276,4866.4739822400,4886.9626017600,4764.4577308800,4805.0081236800,4870.3155984000,23771906,2677656700.2300,1,0.448000,1,-1.340900,0
2021-01-14,sh.600276,4805.0081236800,4820.3745883200,4635.5501664000,4702.9918723200,4805.0081236800,30041617,3321158495.0400,1,0.566200,1,-2.123100,0
2021-01-15,sh.600276,4759.3355760000,4759.3355760000,4610.3662382400,4688.0522539200,4702.9918723200,24707098,2712379686.5900,1,0.465600,1,-0.317700,0
2021-01-18,sh.600276,4653.9045547200,4709.8214121600,4583.9017713600,4602.6830059200,4688.0522539200,23513196,2543706267.5900,1,0.444000,1,-1.821000,0
2021-01-19,sh.600276,4631.2817040000,4631.2817040000,4451.1525907200,4479.7512888000,4602.6830059200,34814227,3676873517.5400,1,0.657400,1,-2.670900,0
2021-01-20,sh.600276,4520.3016816000,4589.8776187200,4481.8855200000,4523.2896052800,4479.7512888000,30502727,3235274871.6200,1,0.576000,1,0.971900,0
2021-01-21,sh.600276,4524.5701440000,4644.0870912000,4498.1056771200,4616.3420856000,4523.2896052800,38293455,4101405936.6400,1,0.722000,1,2.057200,0
2021-01-22,sh.600276,4608.2320070400,4823.3625120000,4571.9500766400,4806.2886624000,4616.3420856000,41130799,4580183779.9000,1,0.775500,1,4.114700,0
2021-01-25,sh.600276,4813.9718947200,4850.2538251200,4673.9663280000,4757.2013448000,4806.2886624000,38794449,4327402199.2100,1,0.731400,1,-1.021300,0
2021-01-26,sh.600276,4718.7851832000,4749.9449587200,4556.5836120000,4567.2547680000,4757.2013448000,33976100,3679207532.1900,1,0.640600,1,-3.992800,0
2021-01-27,sh.600276,4597.1340048000,4617.6226243200,4503.2278320000,4551.0346108800,4567.2547680000,23027045,2461916682.1800,1,0.434200,1,-0.355100,0
2021-01-28,sh.600276,4548.0466872000,4609.5125457600,4412.7364291200,4467.3727478400,4551.0346108800,28273748,2965224339.2500,1,0.533100,1,-1.838300,0
2021-01-29,sh.600276,4449.8720520000,4487.0076748800,4311.5738702400,4428.9565862400,4467.3727478400,32727553,3368922622.7900,1,0.617100,1,-0.859900,0
2021-02-01,sh.600276,4373.4665750400,4443.0425121600,4311.1470240000,4377.3081912000,4428.9565862400,25076609,2572231369.0600,1,0.472600,1,-1.166200,0
2021-02-02,sh.600276,4426.8223550400,4567.2547680000,4355.9658792000,4524.5701440000,4377.3081912000,31194628,3291860650.5800,1,0.587900,1,3.364200,0
2021-02-03,sh.600276,4522.0090665600,4565.1205368000,4461.3969004800,4481.8855200000,4524.5701440000,21573569,2279848995.1700,1,0.406600,1,-0.943400,0
2021-02-04,sh.600276,4439.2008960000,4456.2747456000,4332.9161822400,4387.9793472000,4481.8855200000,28548211,2932116080.1500,1,0.538000,1,-2.095200,0
2021-02-05,sh.600276,4437.0666648000,4622.3179329600,4375.1739600000,4580.0601552000,4387.9793472000,38071174,4059241107.6400,1,0.717500,1,4.377400,0
2021-02-08,sh.600276,4580.4870014400,4667.5636344000,4518.1674504000,4536.5218387200,4580.0601552000,37346791,4011442131.3100,1,0.703800,1,-0.950600,0
2021-02-09,sh.600276,4599.2682360000,4730.3100316800,4516.0332192000,4684.2106377600,4536.5218387200,34134561,3712038166.6700,1,0.643300,1,3.255600,0
2021-02-10,sh.600276,4661.1609408000,4727.3221080000,4572.3769228800,4661.1609408000,4684.2106377600,34364524,3755577137.7000,1,0.647600,1,-0.492100,0
2021-02-18,sh.600276,4755.0671136000,4755.0671136000,4460.5432080000,4477.6170576000,4661.1609408000,45041564,4802022748.3600,1,0.848800,1,-3.937700,0
2021-02-19,sh.600276,4463.5311316800,4515.1795267200,4388.4061934400,4488.7150598400,4477.6170576000,28656349,2988179675.3000,1,0.540000,1,0.247900,0
2021-02-22,sh.600276,4541.6439936000,4541.6439936000,4268.4624000000,4268.8892462400,4488.7150598400,45626045,4647867286.1000,1,0.859900,1,-4.897300,0
2021-02-23,sh.600276,4240.2905481600,4352.1242630400,4225.7777760000,4298.3416368000,4268.8892462400,25488864,2561642243.1500,1,0.480400,1,0.689900,0
2021-02-24,sh.600276,4310.7201777600,4311.1470240000,4208.7039264000,4255.6570128000,4298.3416368000,31780663,3169255795.2000,1,0.598900,1,-0.993000,0
2021-02-25,sh.600276,4268.4624000000,4364.0759577600,4232.1804696000,4313.2812552000,4255.6570128000,31609719,3175504051.9400,1,0.595700,1,1.354100,0
2021-02-26,sh.600276,4226.2046222400,4424.6881238400,4226.2046222400,4345.2947232000,4313.2812552000,34996366,3573877073.4200,1,0.659500,1,0.742200,0
2021-03-01,sh.600276,4387.9793472000,4387.9793472000,4239.0100094400,4281.6946334400,4345.2947232000,30533938,3058360107.4100,1,0.575400,1,-1.463700,0
2021-03-02,sh.600276,4281.6946334400,4303.0369454400,4161.7508400000,4198.0327704000,4281.6946334400,30420574,3009376809.7900,1,0.573300,1,-1.953900,0
2021-03-03,sh.600276,4204.4354640000,4331.6356435200,4163.4582249600,4326.0866424000,4198.0327704000,26463184,2649105245.2700,1,0.498700,1,3.050300,0
2021-03-04,sh.600276,4276.1456323200,4326.0866424000,4208.2770801600,4289.8047120000,4326.0866424000,25083124,2509954478.3600,1,0.472700,1,-0.838700,0
2021-03-05,sh.600276,4205.2891564800,4316.6960251200,4204.0086177600,4281.2677872000,4289.8047120000,22836325,2277798364.5500,1,0.430400,1,-0.199000,0
2021-03-08,sh.600276,4298.7684830400,4334.6235672000,3914.1800208000,3932.1075628800,4281.2677872000,46204335,4407903275.6400,1,0.870800,1,-8.155500,0
2021-03-09,sh.600276,3964.5478771200,4041.8070465600,3815.5785393600,3917.5947907200,3932.1075628800,42965618,3970887713.5700,1,0.809700,1,-0.369100,0
2021-03-10,sh.600276,4011.9278097600,4034.9775067200,3950.0351049600,3986.7438816000,3917.5947907200,24213415,2265100247.9900,1,0.456300,1,1.765100,0
2021-03-11,sh.600276,4011.9278097600,4049.9171251200,3948.3277200000,3990.1586515200,3986.7438816000,27251641,2554052750.2700,1,0.513600,1,0.085700,0
2021-03-12,sh.600276,4033.6969680000,4067.8446672000,3909.0578659200,3935.0954865600,3990.1586515200,22917855,2127934278.8300,1,0.431900,1,-1.380000,0
2021-03-15,sh.600276,3889.8497851200,3929.1196392000,3780.5771476800,3824.1154641600,3935.0954865600,30124408,2702706980.6000,1,0.567700,1,-2.820300,0
2021-03-16,sh.600276,3862.9584720000,3874.9101667200,3760.5153744000,3807.0416145600,3824.1154641600,24041967,2142583645.3700,1,0.453100,1,-0.446500,0
2021-03-17,sh.600276,3807.4684608000,3831.3718502400,3738.3193699200,3782.7113788800,3807.0416145600,25086337,2221734363.2600,1,0.472800,1,-0.639100,0
2021-03-18,sh.600276,3799.3583822400,3862.5316257600,3769.0522992000,3807.8953070400,3782.7113788800,31112751,2776569675.5300,1,0.586300,1,0.665800,0
2021-03-19,sh.600276,3756.2469120000,3796.3704585600,3722.0992128000,3758.3811432000,3807.8953070400,22450145,1979612740.2200,1,0.423100,1,-1.300300,0
2021-03-22,sh.600276,3758.3811432000,3853.9947009600,3739.1730624000,3760.9422206400,3758.3811432000,25482696,2255795600.3100,1,0.480200,1,0.068100,0
2021-03-23,sh.600276,3716.1233654400,3775.4549928000,3713.9891342400,3741.3072936000,3760.9422206400,24346543,2130891334.3100,1,0.458800,1,-0.522100,0
2021-03-24,sh.600276,3741.3072936000,3764.7838368000,3660.2065080000,3693.0736684800,3741.3072936000,20113520,1747979556.2000,1,0.379100,1,-1.289200,0
2021-03-25,sh.600276,3658.0722768000,3750.6979108800,3632.0346561600,3723.3797515200,3693.0736684800,21735235,1886763645.1200,1,0.409600,1,0.820600,0
2021-03-26,sh.600276,3738.7462161600,3931.2538704000,3730.2092913600,3893.6914012800,3723.3797515200,37823439,3422124863.6000,1,0.712800,1,4.574100,0
2021-03-29,sh.600276,3897.1061712000,3922.7169456000,3847.1651611200,3864.2390107200,3893.6914012800,24964210,2272148834.5100,1,0.470500,1,-0.756400,0
2021-03-30,sh.600276,3856.9826246400,3998.6955763200,3841.6161600000,3995.2808064000,3864.2390107200,29635571,2732047808.6100,1,0.558500,1,3.391100,0
2021-03-31,sh.600276,3978.6338030400,3978.6338030400,3884.7276302400,3930.8270241600,3995.2808064000,18805139,1730748830.9600,1,0.354400,1,-1.613200,0
2021-04-01,sh.600276,3909.9115584000,4033.6969680000,3909.9115584000,4005.9519624000,3930.8270241600,19276029,1807448031.5800,1,0.363300,1,1.911200,0
2021-04-02,sh.600276,4012.3546560000,4048.2097401600,3921.8632531200,3956.0109523200,4005.9519624000,19798510,1840689780.1500,1,0.373100,1,-1.246700,0
2021-04-06,sh.600276,3944.0592576000,3945.3397963200,3869.7880118400,3880.0323216000,3956.0109523200,16978496,1546041596.1400,1,0.320000,1,-1.920600,0
