date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sh.600436,1391.9609251800,1445.2011441000,1374.4355940000,1430.5370914800,1366.8225492600,5685370,1581092993.2400,1,0.942400,1,4.661500,0
2021-01-05,sh.600436,1430.6392800000,1532.8278000000,1420.6758993000,1514.3316778800,1430.5370914800,7904317,2313037065.9200,1,1.310100,1,5.857600,0
2021-01-06,sh.600436,1520.0542350000,1542.9444634800,1471.5146880000,1504.4704857000,1514.3316778800,5033897,1477845654.2000,1,0.834400,1,-0.651200,0
2021-01-07,sh.600436,1508.6091207600,1546.0101190800,1493.4341255400,1532.3679516600,1504.4704857000,4406617,1312090104.5000,1,0.730400,1,1.854300,0
2021-01-08,sh.600436,1538.7036399000,1567.3675197600,1491.3392608800,1515.4046573400,1532.3679516600,4324808,1289346495.0800,1,0.716800,1,-1.107000,0
2021-01-11,sh.600436,1493.7406911000,1546.5210616800,1481.7846342600,1503.0909406800,1515.4046573400,5461910,1615551093.1400,1,0.905300,1,-0.812600,0
2021-01-12,sh.600436,1489.1933019600,1532.8278000000,1482.2444826000,1532.8278000000,1503.0909406800,3459928,1029884089.4200,1,0.573500,1,1.978400,0
2021-01-13,sh.600436,1542.2291438400,1629.0382915800,1539.6233365800,1596.6956250000,1532.8278000000,6655833,2067945650.1500,1,1.103200,1,4.166700,0
2021-01-14,sh.600436,1596.6956250000,1601.8050510000,1491.9523920000,1498.0837032000,1596.6956250000,6998128,2089272997.8400,1,1.159900,1,-6.176000,0
2021-01-15,sh.600436,1486.8429660000,1497.0618180000,1389.9171547800,1452.0477749400,1498.0837032000,8469331,2375240373.9700,1,1.403800,1,-3.073000,0
2021-01-18,sh.600436,1451.5879266000,1505.6456536800,1440.8581320000,1463.9016432600,1452.0477749400,4029543,1165572223.6000,1,0.667900,1,0.816400,0
2021-01-19,sh.600436,1475.6022288000,1504.1128258800,1444.3836359400,1448.5222710000,1463.9016432600,3603602,1038252885.2800,1,0.597300,1,-1.050600,0
2021-01-20,sh.600436,1438.3545132600,1499.5143424800,1438.3545132600,1498.0837032000,1448.5222710000,3476342,1008052541.6700,1,0.576200,1,3.421500,0
2021-01-21,sh.600436,1507.1784814800,1537.9372260000,1506.2587848000,1522.5578537400,1498.0837032000,3617751,1078452615.2700,1,0.599600,1,1.633700,0
2021-01-22,sh.600436,1522.6089480000,1537.9372260000,1507.9959896400,1530.5285583000,1522.5578537400,3552907,1061572093.2500,1,0.588900,1,0.523500,0
2021-01-25,sh.600436,1530.5285583000,1581.3673470000,1514.2805836200,1581.3673470000,1530.5285583000,6032676,1832052450.5200,1,0.999900,1,3.321600,0
2021-01-26,sh.600436,1581.3673470000,1583.9220600000,1512.3900960000,1517.7549933000,1581.3673470000,4267345,1279831149.1600,1,0.707300,1,-4.022600,0
2021-01-27,sh.600436,1520.3097063000,1531.2949722000,1481.7335400000,1509.2222518800,1517.7549933000,3015244,890026535.1400,1,0.499800,1,-0.562200,0
2021-01-28,sh.600436,1491.1348838400,1518.5725014600,1472.0256306000,1474.2226837800,1509.2222518800,3520373,1028455331.1600,1,0.583500,1,-2.319000,0
2021-01-29,sh.600436,1484.2882530000,1556.8421022000,1481.7846342600,1525.4191323000,1474.2226837800,4648689,1386152971.0400,1,0.770500,1,3.472800,0
