date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sz.002714,1043.2670395000,1099.1239455900,1036.6575216100,1099.1239455900,999.2035869000,39149448,3265083789.2400,1,1.569100,1,10.000000,0
2021-01-05,sz.002714,1145.5201692100,1209.0233803100,1140.4658320000,1209.0233803100,1099.1239455900,83553797,7671463108.9200,1,3.348900,1,9.998800,0
2021-01-06,sz.002714,1263.5843025000,1287.9487998200,1209.0233803100,1244.1445440000,1209.0233803100,64926692,6196567510.2200,1,2.602300,1,2.904900,0
2021-01-07,sz.002714,1237.1462309400,1268.3794429300,1197.4891236000,1268.3794429300,1244.1445440000,58527238,5572916081.7000,1,2.345800,1,1.947900,0
2021-01-08,sz.002714,1283.0240610000,1283.0240610000,1223.7975967700,1252.9572345200,1268.3794429300,44345914,4276198408.5100,1,1.777400,1,-1.215900,0
2021-01-11,sz.002714,1231.1847050000,1231.1847050000,1139.6882416600,1153.5552693900,1252.9572345200,63029739,5749836622.0800,1,2.526300,1,-7.933400,0
2021-01-12,sz.002714,1153.5552693900,1172.7358311100,1141.8914142900,1169.4958713600,1153.5552693900,33442021,2992054085.9400,1,1.340400,1,1.381900,0
2021-01-13,sz.002714,1169.6254697500,1175.4573973000,1122.5812541800,1146.8161531100,1169.4958713600,30822768,2725044384.6900,1,1.235400,1,-1.939300,0
2021-01-14,sz.002714,1146.9457515000,1157.1840243100,1084.0905323500,1087.0712953200,1146.8161531100,37524594,3215711821.0300,1,1.504000,1,-5.209600,0
2021-01-15,sz.002714,1101.3271182200,1111.9541862000,1049.7469590000,1065.2987658000,1087.0712953200,30469669,2538690413.6900,1,1.221200,1,-2.002900,0
2021-01-18,sz.002714,1088.7560743900,1096.1431826200,1063.3547899500,1081.3689661600,1065.2987658000,29241835,2441976289.8500,1,1.172000,1,1.508500,0
2021-01-19,sz.002714,1081.3689661600,1082.1465565000,1052.4685251900,1063.8731835100,1081.3689661600,25210427,2073120370.2100,1,1.010500,1,-1.617900,0
2021-01-20,sz.002714,1056.3564768900,1086.4233033700,1052.0797300200,1069.8347094500,1063.8731835100,25697261,2120246060.6600,1,1.030000,1,0.560400,0
2021-01-21,sz.002714,1075.5370386100,1093.8104116000,1058.8188463000,1083.1833436200,1069.8347094500,29299374,2433309191.8000,1,1.174300,1,1.247700,0
2021-01-22,sz.002714,1083.4425404000,1084.2201307400,1043.2670395000,1062.5771996100,1083.1833436200,30516233,2490266980.5900,1,1.223100,1,-1.902400,0
2021-01-25,sz.002714,1062.8363963900,1074.3706531000,1049.7469590000,1055.7084849400,1062.5771996100,30126627,2462760794.4800,1,1.207500,1,-0.646400,0
2021-01-26,sz.002714,1089.5336647300,1161.3311727900,1065.4283641900,1132.6899286000,1055.7084849400,75733161,6555884117.8300,1,3.035400,1,7.291900,0
2021-01-27,sz.002714,1141.7618159000,1226.3895645700,1141.7618159000,1202.8026575900,1132.6899286000,62176461,5723335497.5300,1,2.492100,1,6.189900,0
2021-01-28,sz.002714,1179.4749473900,1236.7574357700,1146.6865547200,1203.0618543700,1202.8026575900,49201881,4537761173.7400,1,1.972000,1,0.021500,0
2021-01-29,sz.002714,1203.3210511500,1216.9288821000,1149.2785225200,1152.1296871000,1203.0618543700,38190960,3456375795.0400,1,1.530700,1,-4.233500,0
2021-02-01,sz.002714,1179.3453490000,1257.1043830000,1159.1280001600,1256.8451862200,1152.1296871000,53587614,5085598821.3200,1,2.147800,1,9.088900,0
2021-02-02,sz.002714,1276.5441415000,1286.9120127000,1239.6086003500,1263.0659089400,1256.8451862200,43730497,4257433424.9800,1,1.752700,1,0.494900,0
2021-02-03,sz.002714,1244.1445440000,1389.4243391900,1231.7030985600,1386.9619697800,1263.0659089400,77832994,8076469253.5400,1,3.119600,1,9.809200,0
2021-02-04,sz.002714,1373.7429340000,1403.2913669200,1335.1226137800,1380.6116486700,1386.9619697800,54360017,5773836477.7900,1,2.178800,1,-0.457900,0
2021-02-05,sz.002714,1399.6626120000,1503.3413240000,1373.0949420500,1380.6116486700,1380.6116486700,70432496,7793055567.8700,1,2.823000,1,0.000000,0
2021-02-08,sz.002714,1441.1340968000,1513.7091952000,1435.9501612000,1508.5252596000,1380.6116486700,62293528,7119969759.2300,1,2.487600,1,9.265000,0
2021-02-09,sz.002714,1503.3413240000,1542.7392345600,1486.2343365200,1522.7810825000,1508.5252596000,47851677,5585156578.7700,1,1.883800,1,0.945000,0
2021-02-10,sz.002714,1506.1924885800,1639.1604367200,1492.3254608500,1614.1479474500,1522.7810825000,66047125,8098144895.7000,1,2.600100,1,6.000000,0
2021-02-18,sz.002714,1663.3953356500,1664.0433276000,1513.4499984200,1539.6288732000,1614.1479474500,61594805,7410242383.1300,1,2.424800,1,-4.616600,0
2021-02-19,sz.002714,1528.8722068300,1692.2957766200,1528.4834116600,1644.6035691000,1539.6288732000,56927252,7101409603.6300,1,2.241100,1,6.818200,0
2021-02-22,sz.002714,1675.5775843100,1697.7389090000,1595.3561809000,1619.3318830500,1644.6035691000,46008216,5844131287.9000,1,1.811200,1,-1.536600,0
2021-02-23,sz.002714,1589.3946549600,1647.9731272400,1553.1071057600,1579.5451773200,1619.3318830500,38417334,4726518213.4500,1,1.512400,1,-2.457000,0
2021-02-24,sz.002714,1560.4942139900,1678.2991505000,1560.4942139900,1580.1931692700,1579.5451773200,42222314,5247586686.2800,1,1.662200,1,0.041000,0
2021-02-25,sz.002714,1607.0200360000,1636.4388705300,1563.4749769600,1615.9623249100,1580.1931692700,23808727,2954840835.0900,1,0.937300,1,2.263600,0
2021-02-26,sz.002714,1557.9022461900,1574.6204385000,1476.1256621000,1476.1256621000,1615.9623249100,48518803,5674338996.3200,1,1.910100,1,-8.653500,0
2021-03-01,sz.002714,1516.4307613900,1562.3085914500,1508.6548579900,1540.6656603200,1476.1256621000,31675883,3766747469.2300,1,1.247000,1,4.372300,0
2021-03-02,sz.002714,1568.1405190000,1572.6764626500,1506.0628901900,1545.0720055800,1540.6656603200,21039345,2499910803.2900,1,0.828300,1,0.286000,0
2021-03-03,sz.002714,1553.7550977100,1572.0284707000,1535.7409215000,1568.0109206100,1545.0720055800,16763816,2011728484.6700,1,0.660000,1,1.484700,0
2021-03-04,sz.002714,1554.9214832200,1555.0510816100,1496.8614045000,1534.4449376000,1568.0109206100,20899008,2458719205.4100,1,0.822700,1,-2.140700,0
2021-03-05,sz.002714,1509.8212435000,1513.5795968100,1434.6541773000,1463.2954214900,1534.4449376000,30313859,3423859102.0400,1,1.193400,1,-4.636800,0
2021-03-08,sz.002714,1529.6497971700,1554.9214832200,1425.5822900000,1428.1742578000,1463.2954214900,32634230,3754161608.5400,1,1.284700,1,-2.400100,0
2021-03-09,sz.002714,1419.1023705000,1435.9501612000,1365.4486370400,1371.6693597600,1428.1742578000,28581072,3078431581.9800,1,1.125200,1,-3.956400,0
2021-03-10,sz.002714,1402.9025717500,1410.5488767600,1360.7830950000,1369.2069903500,1371.6693597600,16722333,1780734983.4200,1,0.658300,1,-0.179500,0
2021-03-11,sz.002714,1393.0530941100,1401.7361862400,1347.8232560000,1388.7763472400,1369.2069903500,18385687,1953731040.3900,1,0.723800,1,1.429200,0
2021-03-12,sz.002714,1399.6626120000,1405.6241379400,1361.1718901700,1395.3858651300,1388.7763472400,14873087,1589251645.3500,1,0.585500,1,0.475900,0
2021-03-15,sz.002714,1360.7830950000,1391.2387166500,1322.2923731700,1345.4904849800,1395.3858651300,39496725,4119334546.2100,1,1.554900,1,-3.575700,0
2021-03-16,sz.002714,1347.8232560000,1376.3349018000,1302.5934178900,1315.0348633300,1345.4904849800,24684734,2519319351.7900,1,0.971800,1,-2.263500,0
2021-03-17,sz.002714,1360.9126933900,1440.8749000200,1354.9511674500,1419.2319688900,1315.0348633300,30353044,3274064707.4500,1,1.194900,1,7.923500,0
