date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sz.002230,557.5829004000,558.9297190000,546.1349423000,556.3707636600,550.4447618200,59521995,2448861648.9200,1,2.937200,1,1.076600,0
2021-01-05,sz.002230,551.1181711200,585.8660910000,549.6366706600,573.7447236000,556.3707636600,69904902,2975428185.8900,1,3.449600,1,3.122700,0
2021-01-06,sz.002230,573.0713143000,581.5562714800,560.2765376000,566.3372213000,573.7447236000,49237736,2078025672.8200,1,2.429700,1,-1.291100,0
2021-01-07,sz.002230,565.7984938600,580.0747710200,562.9701748000,575.7649515000,566.3372213000,50599277,2149053295.4800,1,2.496900,1,1.664700,0
2021-01-08,sz.002230,576.5730426600,588.2903644800,572.2632231400,579.8054073000,575.7649515000,50024660,2153506902.9400,1,2.468600,1,0.701800,0
2021-01-11,sz.002230,582.4990445000,599.4689588600,569.3002222200,577.5158156800,579.8054073000,61471820,2679163701.0700,1,3.033400,1,-0.394900,0
2021-01-12,sz.002230,570.7817226800,599.0649132800,561.6233562000,596.9100035200,577.5158156800,64272249,2789081069.6800,1,3.171600,1,3.358200,0
2021-01-13,sz.002230,604.5868695400,644.8567456800,604.5868695400,624.9238304000,596.9100035200,96965011,4507027998.1000,1,4.784900,1,4.693100,0
2021-01-14,sz.002230,620.2099653000,631.3885596800,597.9874584000,601.3545049000,624.9238304000,66892909,3028462337.6400,1,3.300900,1,-3.771600,0
2021-01-15,sz.002230,601.8932323400,609.4354165000,581.0175440400,594.4857300400,601.3545049000,50459634,2228145563.7600,1,2.490000,1,-1.142200,0
2021-01-18,sz.002230,592.4655021400,604.4521876800,585.1926817000,592.1961384200,594.4857300400,43148005,1905009167.6600,1,2.129200,1,-0.385100,0
2021-01-19,sz.002230,628.4255587600,651.4561568200,622.2301932000,628.9642862000,592.1961384200,154480206,7401535186.6600,1,7.623100,1,6.208800,0
2021-01-20,sz.002230,633.0047420000,649.0318833400,624.9238304000,633.9475150200,628.9642862000,77349408,3661871785.1000,1,3.816900,1,0.792300,0
2021-01-21,sz.002230,635.4290154800,697.3826710800,635.1596517600,697.3826710800,633.9475150200,135533972,6802404044.1000,1,6.688200,1,10.006400,0
2021-01-22,sz.002230,697.6520348000,704.1167640800,677.4497558000,698.0560803800,697.3826710800,92099829,4731897219.8200,1,4.544800,1,0.096600,0
2021-01-25,sz.002230,703.0393092000,733.0733639800,678.6618925400,679.2006199800,698.0560803800,118136604,6163196607.5200,1,5.829700,1,-2.701100,0
2021-01-26,sz.002230,673.1399362800,678.7965744000,646.2035642800,655.6312944800,679.2006199800,77863100,3812447812.8100,1,3.842300,1,-3.470200,0
2021-01-27,sz.002230,654.6885214600,666.8098888600,643.6446089400,664.1162516600,655.6312944800,50142188,2450494895.3100,1,2.474400,1,1.294200,0
2021-01-28,sz.002230,646.4729280000,649.3012470600,625.1931941200,629.6376955000,664.1162516600,63688335,3012173446.9200,1,3.142800,1,-5.191600,0
2021-01-29,sz.002230,639.7388350000,643.7792908000,615.0920546200,629.6376955000,629.6376955000,42853026,2006533189.6700,1,2.114700,1,0.000000,0
2021-02-01,sz.002230,630.9845141000,658.5942954000,630.9845141000,644.9914275400,629.6376955000,52139326,2507377634.2800,1,2.572900,1,2.438500,0
2021-02-02,sz.002230,649.1665652000,665.0590246800,647.9544284600,664.5202972400,644.9914275400,51055264,2496092603.3200,1,2.519400,1,3.027800,0
2021-02-03,sz.002230,664.3856153800,680.5474385800,598.1221402600,598.1221402600,664.5202972400,119659218,5608338361.3000,1,5.904800,1,-9.991900,0
2021-02-04,sz.002230,617.2469643800,623.5770118000,600.6810956000,610.1088258000,598.1221402600,88319456,4018215918.9200,1,4.358300,1,2.004100,0
2021-02-05,sz.002230,614.1492816000,616.4388732200,583.1724538000,588.2903644800,610.1088258000,60603608,2674485360.8500,1,2.990600,1,-3.576200,0
2021-02-08,sz.002230,594.8897756200,610.5128713800,584.5192724000,596.1019123600,588.2903644800,35766260,1586487968.4000,1,1.764900,1,1.327800,0
2021-02-09,sz.002230,621.0180564600,655.7659763400,617.2469643800,655.7659763400,596.1019123600,58867580,2806267074.3800,1,2.904900,1,10.009000,0
2021-02-10,sz.002230,669.0994804800,721.3560421600,662.6347512000,721.2213603000,655.7659763400,99911445,5217152007.1100,1,4.930300,1,9.981500,0
2021-02-18,sz.002230,734.0161370000,738.7300021000,706.0023101200,706.0023101200,721.2213603000,80037263,4284599770.7700,1,3.949600,1,-2.110200,0
2021-02-19,sz.002230,721.6254058800,723.9149975000,679.4699837000,694.9583976000,706.0023101200,60765383,3138259595.0800,1,2.998600,1,-1.564300,0
2021-02-22,sz.002230,714.0832217200,734.5548644400,694.5543520200,695.6318069000,694.9583976000,75039693,3979920706.4300,1,3.703000,1,0.096900,0
2021-02-23,sz.002230,686.8774860000,765.2623285200,682.8370302000,765.2623285200,695.6318069000,64798614,3585558718.9300,1,3.197600,1,10.009700,0
2021-02-24,sz.002230,774.2860131400,777.5183777800,688.7630320400,689.7058050600,765.2623285200,145786870,7799165208.6700,1,7.194100,1,-9.873300,0
2021-02-25,sz.002230,684.1838488000,688.2243046000,657.2474768000,663.0387967800,689.7058050600,80502346,4000203789.2300,1,3.972500,1,-3.866400,0
2021-02-26,sz.002230,644.8567456800,660.4798414400,628.6949224800,649.3012470600,663.0387967800,52304413,2501971379.8200,1,2.581100,1,-2.071900,0
2021-03-01,sz.002230,658.3249316800,666.5405251400,643.7792908000,663.9815698000,649.3012470600,43534130,2125264989.0400,1,2.148300,1,2.260900,0
2021-03-02,sz.002230,659.9411140000,690.6485780800,653.7457484400,669.0994804800,663.9815698000,53765413,2673698461.0800,1,2.653100,1,0.770800,0
2021-03-03,sz.002230,662.6347512000,671.3890721000,650.9174293800,666.5405251400,669.0994804800,36111086,1777371256.0700,1,1.782000,1,-0.382400,0
2021-03-04,sz.002230,661.2879326000,661.2879326000,631.7926052600,639.7388350000,666.5405251400,46981254,2241808906.6200,1,2.318400,1,-4.021000,0
2021-03-05,sz.002230,627.2134220200,652.3989298400,622.7689206400,641.6243810400,639.7388350000,36555404,1737145688.4400,1,1.803900,1,0.294700,0
2021-03-08,sz.002230,651.3214749600,655.7659763400,618.3244192600,619.6712378600,641.6243810400,38816318,1836336745.0500,1,1.915500,1,-3.421500,0
2021-03-09,sz.002230,615.4961002000,650.6480656600,606.0683700000,627.8868313200,619.6712378600,53703368,2515656334.1900,1,2.650100,1,1.325800,0
2021-03-10,sz.002230,643.7792908000,648.6278377600,619.9406015800,625.8666034200,627.8868313200,34334857,1610881214.3100,1,1.694300,1,-0.321800,0
2021-03-11,sz.002230,629.3683317800,643.7792908000,626.4053308600,632.7353782800,625.8666034200,35266227,1662726944.5000,1,1.740300,1,1.097500,0
2021-03-12,sz.002230,639.7388350000,663.5775242200,626.9440583000,658.8636591200,632.7353782800,54964960,2653740007.4800,1,2.712300,1,4.129400,0
2021-03-15,sz.002230,651.1867931000,653.8804303000,614.2839634600,624.5197848200,658.8636591200,47795150,2245003852.4200,1,2.358500,1,-5.212600,0
2021-03-16,sz.002230,628.6949224800,628.8296043400,599.3342770000,608.3579616200,624.5197848200,34554241,1569319349.7000,1,1.705100,1,-2.587900,0
2021-03-17,sz.002230,603.3747328000,624.7891485400,594.8897756200,613.7452360200,608.3579616200,29767352,1351902799.2200,1,1.468900,1,0.885500,0
2021-03-18,sz.002230,616.8429188000,627.8868313200,611.4556444000,619.5365560000,613.7452360200,25614246,1177654042.5200,1,1.264000,1,0.943600,0
