date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sh.600519,13133.7306613800,13166.6309856900,13027.5433871100,13114.1612070000,13120.7281380000,4351400,8686920261.1200,1,0.346400,1,-0.050100,0
2021-01-05,sh.600519,13068.1926900000,13524.2660479500,13018.6780302600,13524.2660479500,13114.1612070000,5211605,10592557369.7000,1,0.414900,1,3.127200,0
2021-01-06,sh.600519,13559.3991288000,13954.7283750000,13370.4685239300,13790.5551000000,13524.2660479500,4741020,9882593867.1000,1,0.377400,1,1.969000,0
2021-01-07,sh.600519,13770.8543070000,14053.2323400000,13626.3818250000,14053.2323400000,13790.5551000000,3793139,7991178754.0700,1,0.302000,1,1.904800,0
2021-01-08,sh.600519,14066.3662020000,14124.6805492800,13547.7099916200,13724.8857900000,14053.2323400000,5386164,11345202869.1500,1,0.428800,1,-2.336400,0
2021-01-11,sh.600519,13724.8857900000,14122.1851155000,13518.6841566000,13788.7820286300,13724.8857900000,5107990,10768565414.6600,1,0.406600,1,0.465600,0
2021-01-12,sh.600519,13711.7519280000,14190.4811979000,13692.0511350000,14190.4811979000,13788.7820286300,4105859,8800558287.6600,1,0.326800,1,2.913200,0
2021-01-13,sh.600519,14210.8386840000,14272.1081502300,14020.3976850000,14210.8386840000,14190.4811979000,3438993,7418330853.8200,1,0.273800,1,0.143500,0
2021-01-14,sh.600519,14158.3032360000,14204.2717530000,13896.3483584100,14013.8307540000,14210.8386840000,3615220,7722089683.7200,1,0.287800,1,-1.386300,0
2021-01-15,sh.600519,13889.0590650000,14016.1291798500,13324.3029990000,13672.3503420000,14013.8307540000,5950939,12372103226.5500,1,0.473700,1,-2.436700,0
2021-01-18,sh.600519,13534.8388068600,13734.6048478800,13398.3123113700,13547.5786530000,13672.3503420000,3914404,8076715789.5000,1,0.311600,1,-0.912600,0
2021-01-19,sh.600519,13613.9703254100,13766.2574553000,13178.8454773500,13195.6568207100,13547.5786530000,4634519,9479278513.1900,1,0.368900,1,-2.597700,0
2021-01-20,sh.600519,13186.3974480000,13498.2610011900,13018.9407075000,13400.6764065300,13195.6568207100,4508242,9126453276.9800,1,0.358900,1,1.553700,0
2021-01-21,sh.600519,13449.0746880000,13725.0171286200,13403.1061710000,13593.5471700000,13400.6764065300,3831017,7953455966.9300,1,0.305000,1,1.439300,0
2021-01-22,sh.600519,13586.9802390000,13790.5551000000,13528.5345531000,13658.8881334500,13593.5471700000,2924761,6090260363.6000,1,0.232800,1,0.480700,0
2021-01-25,sh.600519,13678.9172730000,14312.6261145000,13678.9172730000,14283.0749250000,13658.8881334500,5595716,12029474557.6700,1,0.445400,1,4.569800,0
2021-01-26,sh.600519,14348.7442350000,14361.8780970000,13955.4507374100,14065.6438395900,14283.0749250000,3174746,6820173361.7100,1,0.252700,1,-1.522300,0
2021-01-27,sh.600519,14065.6438395900,14065.6438395900,13692.0511350000,13718.3188590000,14065.6438395900,3712017,7809446386.5400,1,0.295500,1,-2.469300,0
2021-01-28,sh.600519,13659.2164800000,13853.9916534600,13528.0091986200,13711.7519280000,13718.3188590000,3512864,7337084454.9800,1,0.279600,1,-0.047900,0
2021-01-29,sh.600519,13798.3697478900,14115.4868458800,13726.3305148200,13896.8080435800,13711.7519280000,3370133,7166179277.1700,1,0.268300,1,1.349600,0
2021-02-01,sh.600519,13987.5630300000,14184.5709600000,13757.7204450000,13851.7588969200,13896.8080435800,2934059,6219639110.8000,1,0.233600,1,-0.324200,0
2021-02-02,sh.600519,13870.8029968200,14118.8359806900,13804.3456551000,14086.0669950000,13851.7588969200,3458225,7372233581.9000,1,0.275300,1,1.691500,0
2021-02-03,sh.600519,14118.9016500000,14435.8874093700,14053.2323400000,14380.9878662100,14086.0669950000,3871415,8384049314.3100,1,0.308200,1,2.093700,0
2021-02-04,sh.600519,14388.1458210000,15300.9492300000,14388.1458210000,15240.8618113500,14380.9878662100,6385101,14596930187.5000,1,0.508300,1,5.979200,0
2021-02-05,sh.600519,15268.1145750000,15528.1650426000,15044.8389210000,15189.3114030000,15240.8618113500,3972906,9253566204.8200,1,0.316300,1,-0.338200,0
2021-02-08,sh.600519,15346.9177470000,15621.9408172800,15189.3114030000,15555.7461528000,15189.3114030000,3578573,8420758624.8100,1,0.284900,1,2.412500,0
2021-02-09,sh.600519,15555.7461528000,16131.2063163300,15432.2878500000,16131.2063163300,15555.7461528000,3329655,7972930044.9800,1,0.265100,1,3.699300,0
2021-02-10,sh.600519,16318.8235350000,17081.9009172000,16318.8235350000,17080.5875310000,16131.2063163300,6137057,15675929713.5000,1,0.488500,1,5.885400,0
2021-02-18,sh.600519,16995.0860893800,17257.1066362800,16187.4849150000,16226.8865010000,17080.5875310000,6591232,16704135269.4700,1,0.524700,1,-4.998100,0
2021-02-19,sh.600519,16096.5985899600,16395.3939504600,15639.8028696000,16154.6502600000,16226.8865010000,5938546,14525164524.5700,1,0.472700,1,-0.445200,0
2021-02-22,sh.600519,16121.8156050000,16121.8156050000,14960.9135428200,15025.2694666200,16154.6502600000,7893547,18498777222.5400,1,0.628400,1,-6.991100,0
2021-02-23,sh.600519,14875.0180853400,15398.7308325900,14874.0987150000,15149.9098170000,15025.2694666200,5745460,13316110795.1600,1,0.457400,1,0.829500,0
2021-02-24,sh.600519,15156.4110786900,15222.1460580000,14187.8544255000,14375.0119590000,15149.9098170000,8211578,18195034445.0100,1,0.653700,1,-5.114900,0
2021-02-25,sh.600519,14506.3505790000,14608.1380095000,13929.8397065100,14118.9016500000,14375.0119590000,5972643,12982145755.1200,1,0.475500,1,-1.781600,0
2021-02-26,sh.600519,13790.5551000000,14315.5812334500,13575.8164563000,13940.1497881800,14118.9016500000,6652506,14097015493.7000,1,0.529600,1,-1.266000,0
2021-03-01,sh.600519,14309.3426490000,14309.3426490000,13921.8937200000,14171.4370980000,13940.1497881800,4491626,9686945528.9200,1,0.357600,1,1.659100,0
2021-03-02,sh.600519,14315.9095800000,14315.9095800000,13350.5707230000,13514.7439980000,14171.4370980000,7076450,14796698645.5200,1,0.563300,1,-4.633900,0
2021-03-03,sh.600519,13396.5392400000,14117.3912558700,13350.5707230000,14053.2323400000,13514.7439980000,5421546,11366685429.0800,1,0.431600,1,3.984500,0
2021-03-04,sh.600519,13757.7204450000,13764.2873760000,13200.1880031000,13350.5707230000,14053.2323400000,6508829,13297304315.6500,1,0.518100,1,-5.000000,0
2021-03-05,sh.600519,13133.8620000000,13757.7204450000,13055.0588280000,13528.6002224100,13350.5707230000,6377920,13100315985.4200,1,0.507700,1,1.333500,0
2021-03-08,sh.600519,13626.1191477600,13692.0511350000,12871.1847600000,12871.1847600000,13528.6002224100,6309959,12724245990.3800,1,0.502300,1,-4.859400,0
2021-03-09,sh.600519,12838.3501050000,13133.8620000000,12478.3509475800,12720.0796776900,12871.1847600000,8226581,16100769578.8700,1,0.654900,1,-1.174000,0
2021-03-10,sh.600519,12982.8225870000,13133.0082989700,12917.1532770000,12936.9197393100,12720.0796776900,5117174,10136910283.8200,1,0.407400,1,1.704700,0
2021-03-11,sh.600519,12969.6887250000,13659.1508106900,12880.9038178800,13449.0746880000,12936.9197393100,5676897,11521736383.8500,1,0.451900,1,3.958900,0
2021-03-12,sh.600519,13593.5471700000,13639.5156870000,13147.0615313100,13304.6022060000,13449.0746880000,4032251,8181594631.1700,1,0.321000,1,-1.074200,0
2021-03-15,sh.600519,13462.2085500000,13592.2337838000,12813.0674206500,12972.6438439500,13304.6022060000,6248487,12459955712.1900,1,0.497400,1,-2.495100,0
2021-03-16,sh.600519,12969.2290398300,13265.1349506900,12904.0194150000,13202.8147755000,12972.6438439500,3464850,6918600717.4100,1,0.275800,1,1.774300,0
2021-03-17,sh.600519,13133.8620000000,13462.2085500000,12976.3213253100,13333.2340251600,13202.8147755000,3137491,6352656523.2400,1,0.249800,1,0.987800,0
2021-03-18,sh.600519,13363.7045850000,13700.9821611600,13363.7045850000,13591.5770907000,13333.2340251600,3386488,6997030294.3800,1,0.269600,1,1.937600,0
2021-03-19,sh.600519,13363.7045850000,13416.2400330000,13082.8369461300,13199.5313100000,13591.5770907000,3578077,7211521835.4800,1,0.284800,1,-2.884500,0
2021-03-22,sh.600519,13134.5186931000,13305.1932297900,12841.9619170500,13068.1270206900,13199.5313100000,3691407,7323391310.9300,1,0.293900,1,-0.995500,0
2021-03-23,sh.600519,13126.5070372800,13191.6509928000,12936.8540700000,13107.5942760000,13068.1270206900,2744619,5459520703.3100,1,0.218500,1,0.302000,0
2021-03-24,sh.600519,13009.0903110000,13219.2321030000,13009.0903110000,13061.6257590000,13107.5942760000,2935739,5857848160.3300,1,0.233700,1,-0.350700,0
2021-03-25,sh.600519,12936.9197393100,13060.8377272800,12784.5012708000,12943.4210010000,13061.6257590000,3157523,6216733243.7000,1,0.251400,1,-0.905000,0
2021-03-26,sh.600519,13035.3580350000,13278.3344820000,12858.0508980000,13219.2321030000,12943.4210010000,5001642,9987629443.8100,1,0.398200,1,2.130900,0
2021-03-29,sh.600519,13417.5534192000,13766.5858018500,13305.5872456500,13357.7943471000,13219.2321030000,5699220,11740129412.7900,1,0.453700,1,1.048200,0
2021-03-30,sh.600519,13396.5392400000,13698.6180660000,13364.2299394800,13501.9384825500,13357.7943471000,3262697,6717493349.5500,1,0.259700,1,1.079100,0
2021-03-31,sh.600519,13430.0305881000,13436.0721646200,13133.8620000000,13192.9643790000,13501.9384825500,3715441,7489086233.4300,1,0.295800,1,-2.288400,0
2021-04-01,sh.600519,13271.7675510000,13441.1943708000,13141.8736558200,13426.0904295000,13192.9643790000,2658763,5379775870.0200,1,0.211700,1,1.767000,0
2021-04-02,sh.600519,13501.6101360000,14217.4056150000,13501.6101360000,14197.7048220000,13426.0904295000,5202757,10981752657.5800,1,0.414200,1,5.747100,0
2021-04-06,sh.600519,14191.1378910000,14197.5734833800,13805.6590413000,13961.4923139300,14197.7048220000,3274177,6967525036.5900,1,0.260600,1,-1.663700,0
2021-04-07,sh.600519,13817.2168398600,13904.1630063000,13462.2085500000,13534.4447910000,13961.4923139300,4020097,8317799924.6500,1,0.320000,1,-3.058800,0
2021-04-08,sh.600519,13442.7047649300,13652.6495490000,13422.8069640000,13593.5471700000,13534.4447910000,2854762,5893307514.4700,1,0.227300,1,0.436700,0
2021-04-09,sh.600519,13409.6731020000,13488.4762740000,13166.7623243100,13265.2006200000,13593.5471700000,2880886,5832453811.8000,1,0.229300,1,-2.415500,0
2021-04-12,sh.600519,13206.0982410000,13330.8699300000,13079.3564727000,13192.2420165900,13265.2006200000,3194307,6409917317.5800,1,0.254300,1,-0.550000,0
2021-04-13,sh.600519,13265.2006200000,13460.8951638000,13192.9643790000,13271.7675510000,13192.2420165900,2899215,5883787293.2700,1,0.230800,1,0.602800,0
2021-04-14,sh.600519,13363.7045850000,13449.0746880000,13238.9328960000,13442.5077570000,13271.7675510000,2411465,4908790022.8400,1,0.192000,1,1.286500,0
2021-04-15,sh.600519,13336.7801679000,13441.8510639000,13068.1926900000,13236.3061236000,13442.5077570000,3436621,6903769489.5100,1,0.273600,1,-1.534000,0
2021-04-16,sh.600519,13298.5606294800,13580.4133080000,13212.6651720000,13494.9118663800,13236.3061236000,3029370,6183895053.7500,1,0.241200,1,1.953800,0
2021-04-19,sh.600519,13495.0432050000,13779.7853331600,13350.5707230000,13711.7519280000,13494.9118663800,3175391,6610577917.1800,1,0.252800,1,1.606800,0
2021-04-20,sh.600519,13600.7707941000,13980.9960990000,13593.5471700000,13756.4070588000,13711.7519280000,2829037,5949669952.6800,1,0.225200,1,0.325700,0
2021-04-21,sh.600519,13632.9487560000,13776.1078518000,13561.3692081000,13659.2164800000,13756.4070588000,2614975,5446145952.1300,1,0.208200,1,-0.706500,0
2021-04-22,sh.600519,13724.2290969000,13783.9881690000,13472.0589465000,13498.3266705000,13659.2164800000,2685002,5539295655.7700,1,0.213700,1,-1.177900,0
2021-04-23,sh.600519,13501.4131280700,13921.1056882800,13478.6258775000,13849.2634631400,13498.3266705000,3346277,7002695288.1000,1,0.266400,1,2.599900,0
2021-04-26,sh.600519,14000.6968920000,14020.3976850000,13617.1881216000,13644.9005704200,13849.2634631400,3404511,7160836874.3600,1,0.271000,1,-1.475600,0
2021-04-27,sh.600519,13705.7103514800,13759.3621777500,13561.3035387900,13754.0429636400,13644.9005704200,2210785,4607779001.5600,1,0.176000,1,0.799900,0
2021-04-28,sh.600519,13199.5313100000,13445.7912225000,13153.5627930000,13409.6731020000,13754.0429636400,8134295,16463574636.6000,1,0.647500,1,-2.503800,0
2021-04-29,sh.600519,13442.7704342400,13461.8145341400,13225.7990340000,13306.9663011600,13409.6731020000,4128378,8370431227.6800,1,0.328600,1,-0.765900,0
2021-04-30,sh.600519,13304.6022060000,13370.2715160000,13158.2253140100,13178.3857921800,13306.9663011600,3840137,7723747038.4300,1,0.305700,1,-0.966300,0
2021-05-06,sh.600519,13133.8620000000,13178.7798080400,12825.2162430000,12864.6178290000,13178.3857921800,5354614,10584968907.1400,1,0.426300,1,-2.380900,0
2021-05-07,sh.600519,12904.0194150000,12923.5888693800,12483.7358310000,12496.8696930000,12864.6178290000,5249339,10101703446.0600,1,0.417900,1,-2.858600,0
2021-05-10,sh.600519,12477.1689000000,12536.2712790000,12253.9589153100,12339.4603569300,12496.8696930000,4600318,8677753607.6000,1,0.366200,1,-1.259600,0
2021-05-11,sh.600519,12319.5625560000,12910.5863460000,12301.8318423000,12864.6178290000,12339.4603569300,4249412,8209251913.8800,1,0.338300,1,4.255900,0
2021-05-12,sh.600519,12799.4738734800,13127.2950690000,12798.9485190000,13028.7911040000,12864.6178290000,3269887,6473203286.0600,1,0.260300,1,1.276200,0
2021-05-13,sh.600519,12908.9446132500,13035.6863815500,12825.2162430000,12946.7044665000,13028.7911040000,2507751,4934954969.1400,1,0.199600,1,-0.630000,0
2021-05-14,sh.600519,13015.6572420000,13334.1533955000,12976.2556560000,13198.5462703500,12946.7044665000,3561129,7150302044.3700,1,0.283500,1,1.945200,0
2021-05-17,sh.600519,13298.6919681000,13693.3645212000,13298.6919681000,13514.4813207600,13198.5462703500,4452400,9178509985.3700,1,0.354400,1,2.393700,0
2021-05-18,sh.600519,13560.7125150000,13639.5156870000,13429.7679108600,13523.3466776100,13514.4813207600,1750428,3595891741.8300,1,0.139300,1,0.065600,0
2021-05-19,sh.600519,13521.3109290000,13625.1341081100,13396.5392400000,13455.6416190000,13523.3466776100,2240972,4606452358.4700,1,0.178400,1,-0.500700,0
2021-05-20,sh.600519,13619.8148940000,13620.4715871000,13431.7379901600,13520.5228972800,13455.6416190000,2185716,4500663211.2500,1,0.174000,1,0.482200,0
2021-05-21,sh.600519,13495.5685594800,13658.4284482800,13376.9697856200,13410.3297951000,13520.5228972800,2424823,4976601457.7900,1,0.193000,1,-0.815000,0
2021-05-24,sh.600519,13468.7754810000,13659.6104958600,13337.4368610000,13602.0185109900,13410.3297951000,3254808,6705879397.2900,1,0.259100,1,1.429400,0
2021-05-25,sh.600519,13692.0511350000,14447.9048931000,13692.0511350000,14411.1300795000,13602.0185109900,6775695,14636718750.4200,1,0.539400,1,5.948500,0
2021-05-26,sh.600519,14499.6523093800,14721.7459158000,14401.8050374800,14578.5868200000,14411.1300795000,3860420,8558038173.7100,1,0.307300,1,1.162000,0
2021-05-27,sh.600519,14519.6157796200,15235.2799200000,14454.4718241000,14742.7600950000,14578.5868200000,4537338,10240368980.3600,1,0.361200,1,1.126100,0
2021-05-28,sh.600519,14716.2953630700,14775.5947500000,14483.4319898100,14644.2561300000,14742.7600950000,2580731,5741331985.5200,1,0.205400,1,-0.668200,0
2021-05-31,sh.600519,14549.0356305000,14567.7513838500,14263.3741320000,14565.4529580000,14644.2561300000,3173900,6960864260.2000,1,0.252700,1,-0.538100,0
2021-06-01,sh.600519,14591.7206820000,14768.6994724500,14486.6497860000,14716.1640244500,14565.4529580000,3061634,6832594465.5000,1,0.243700,1,1.034700,0
2021-06-02,sh.600519,14775.5947500000,14867.5317840000,14500.9656955800,14591.7206820000,14716.1640244500,2286277,5088908383.9800,1,0.182000,1,-0.845600,0
2021-06-03,sh.600519,14578.5868200000,14843.4968165400,14513.4428644800,14593.1654068200,14591.7206820000,2345031,5242453018.5000,1,0.186700,1,0.009900,0
