date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sh.600900,51.8271035100,51.8813443300,51.0134912100,51.2575749000,51.9627055600,55780608,1055731664.0000,1,0.245300,1,-1.357000,0
2021-01-05,sh.600900,51.1219728500,51.2575749000,50.7422871100,51.2304544900,51.2575749000,48757746,914606872.6800,1,0.214400,1,-0.052900,0
2021-01-06,sh.600900,50.9321299800,52.0983076100,50.7965279300,52.0983076100,51.2304544900,52294118,993820923.5100,1,0.229900,1,1.694000,0
2021-01-07,sh.600900,52.3695117100,53.0746423700,51.6101402300,52.1525484300,52.0983076100,62097458,1194728669.7300,1,0.273100,1,0.104100,0
2021-01-08,sh.600900,52.3423913000,52.7491974500,51.7999831000,52.4508729400,52.1525484300,57476307,1106810220.0000,1,0.252700,1,0.572000,0
2021-01-11,sh.600900,52.4779933500,52.6678362200,51.6643810500,51.7999831000,52.4508729400,56735041,1090970655.6400,1,0.249500,1,-1.241000,0
2021-01-12,sh.600900,51.7999831000,51.9627055600,51.0677320300,51.9627055600,51.7999831000,48818342,926016751.3900,1,0.214700,1,0.314100,0
2021-01-13,sh.600900,51.9627055600,52.7491974500,51.3931769500,52.6678362200,51.9627055600,56515430,1089220875.6800,1,0.248500,1,1.357000,0
2021-01-14,sh.600900,52.4779933500,53.1831240100,51.9355851500,52.0169463800,52.6678362200,44384843,858276871.9500,1,0.195200,1,-1.235800,0
2021-01-15,sh.600900,51.7999831000,52.3966321200,51.6101402300,52.0711872000,52.0169463800,35074136,672641250.6900,1,0.154200,1,0.104300,0
2021-01-18,sh.600900,52.0711872000,52.2067892500,51.4745381800,51.7999831000,52.0711872000,39875611,761753611.4300,1,0.175300,1,-0.520800,0
2021-01-19,sh.600900,51.9355851500,52.8305586800,51.8542239200,52.6135954000,51.7999831000,49734502,960033769.0000,1,0.218700,1,1.570700,0
2021-01-20,sh.600900,52.5593545800,52.5593545800,51.6643810500,51.7999831000,52.6135954000,36650589,701133990.1500,1,0.161200,1,-1.546400,0
2021-01-21,sh.600900,51.6643810500,52.0440667900,51.5558994100,51.8813443300,51.7999831000,37561108,716129860.5600,1,0.165200,1,0.157100,0
2021-01-22,sh.600900,51.6643810500,51.7728626900,51.2575749000,51.2846953100,51.8813443300,28348939,536911777.4900,1,0.124700,1,-1.150000,0
2021-01-25,sh.600900,51.2304544900,51.5830198200,50.1727585000,51.2575749000,51.2846953100,46984145,879646788.4700,1,0.206600,1,-0.052900,0
2021-01-26,sh.600900,50.9050095700,51.6643810500,50.6609258800,51.5016585900,51.2575749000,34066460,643811561.4500,1,0.149800,1,0.476200,0
2021-01-27,sh.600900,51.5558994100,52.1796688400,51.4745381800,51.9627055600,51.5016585900,39582942,758079606.9000,1,0.174100,1,0.895200,0
2021-01-28,sh.600900,53.0204015500,54.9459506600,52.5051137600,54.2408200000,51.9627055600,109097282,2164578640.2700,1,0.479700,1,4.384100,0
