date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-01-04,sz.002352,309.3047677500,315.5958300000,304.4039955000,314.4835980000,306.6632167500,32090184,2867756312.2300,1,0.714700,1,2.550200,0
2021-01-05,sz.002352,313.4408805000,328.4907697500,311.9115615000,324.9802875000,314.4835980000,37725037,3483322399.3400,1,0.840100,1,3.337800,0
2021-01-06,sz.002352,327.0657225000,331.0280490000,320.8094175000,321.7478632500,324.9802875000,26438363,2470088196.0600,1,0.588800,1,-0.994700,0
2021-01-07,sz.002352,324.6327150000,326.0577622500,314.8311705000,320.7051457500,321.7478632500,33378933,3064879880.3700,1,0.743400,1,-0.324100,0
2021-01-08,sz.002352,326.8224217500,336.6934807500,310.4865142500,318.3416527500,320.7051457500,37315252,3468626247.6200,1,0.831000,1,-0.737000,0
2021-01-11,sz.002352,318.4459245000,326.7181500000,315.4915582500,319.5929137500,318.3416527500,25893698,2398607654.6300,1,0.576700,1,0.393100,0
2021-01-12,sz.002352,318.7239825000,322.8600952500,310.3822425000,321.6783487500,319.5929137500,24096621,2200600022.3800,1,0.536600,1,0.652500,0
2021-01-13,sz.002352,326.0925195000,330.1243605000,312.1201050000,313.8579675000,321.6783487500,29437218,2701112887.9600,1,0.655600,1,-2.431100,0
2021-01-14,sz.002352,312.8152500000,315.4568010000,305.8638000000,306.5241877500,313.8579675000,22093794,1966385300.7800,1,0.492000,1,-2.336700,0
2021-01-15,sz.002352,305.8638000000,309.3395250000,301.2063285000,305.5162275000,306.5241877500,18387690,1614769482.1200,1,0.409500,1,-0.328800,0
2021-01-18,sz.002352,304.4387527500,316.2909750000,300.9977850000,313.5799095000,305.5162275000,18793724,1684079416.5300,1,0.418500,1,2.639400,0
2021-01-19,sz.002352,322.5472800000,322.6515517500,311.4249600000,318.0288375000,313.5799095000,21752060,1983208999.0200,1,0.484400,1,1.418800,0
2021-01-20,sz.002352,317.8898085000,332.9049405000,312.8152500000,326.6833927500,318.0288375000,22867719,2144082627.8100,1,0.509300,1,2.721300,0
2021-01-21,sz.002352,326.3705775000,353.9330767500,325.9882477500,351.7433700000,326.6833927500,36926183,3668012762.9900,1,0.822400,1,7.671000,0
2021-01-22,sz.002352,350.0402647500,351.0829822500,342.8107567500,348.9280327500,351.7433700000,28525919,2850456509.2200,1,0.635300,1,-0.800400,0
2021-01-25,sz.002352,348.0938587500,357.9301605000,343.4363872500,355.1843377500,348.9280327500,26148132,2643592588.0700,1,0.582300,1,1.793000,0
2021-01-26,sz.002352,351.0482250000,354.6977362500,340.6210500000,347.2249275000,355.1843377500,19467945,1948836961.3900,1,0.433600,1,-2.240900,0
2021-01-27,sz.002352,347.4334710000,350.6311380000,333.6696000000,347.1901702500,347.2249275000,17772743,1752603844.7800,1,0.395800,1,-0.010000,0
2021-01-28,sz.002352,344.0967750000,345.8346375000,336.4849372500,337.7709555000,347.1901702500,14964216,1464026268.5200,1,0.333300,1,-2.713000,0
2021-01-29,sz.002352,341.2814377500,351.8476417500,337.3886257500,344.0620177500,337.7709555000,20985130,2083775826.5600,1,0.467300,1,1.862500,0
2021-02-01,sz.002352,351.0482250000,365.4029692500,346.2169672500,361.9272442500,344.0620177500,25532185,2637360465.7800,1,0.568600,1,5.192400,0
2021-02-02,sz.002352,363.2132625000,373.5709230000,354.3849210000,371.9025750000,361.9272442500,21454594,2265444623.4600,1,0.477800,1,2.756200,0
2021-02-03,sz.002352,373.9880100000,378.7845105000,364.6035525000,365.9938425000,371.9025750000,20562284,2198855122.5600,1,0.457900,1,-1.588800,0
2021-02-04,sz.002352,365.5072410000,382.7120797500,364.9511250000,369.9909262500,365.9938425000,26972725,2906422951.6300,1,0.600700,1,1.092100,0
2021-02-05,sz.002352,369.9909262500,369.9909262500,369.9909262500,369.9909262500,369.9909262500,0,0.0000,1,,0,0.000000,0
2021-02-08,sz.002352,369.9909262500,369.9909262500,369.9909262500,369.9909262500,369.9909262500,0,0.0000,1,,0,0.000000,0
2021-02-09,sz.002352,369.9909262500,369.9909262500,369.9909262500,369.9909262500,369.9909262500,0,0.0000,1,,0,0.000000,0
2021-02-10,sz.002352,407.0073975000,407.0073975000,393.1392547500,407.0073975000,369.9909262500,25704462,2987151520.5400,1,0.572400,1,10.004700,0
2021-02-18,sz.002352,427.5141750000,433.4229075000,394.4947875000,404.8176907500,407.0073975000,46606795,5546753275.1800,1,1.037900,1,-0.538000,0
2021-02-19,sz.002352,404.7134190000,411.8734125000,389.2812000000,402.8365275000,404.8176907500,25753159,2954960908.1400,1,0.573500,1,-0.489400,0
2021-02-22,sz.002352,402.5584695000,402.5584695000,374.5788832500,374.6831550000,402.8365275000,34994770,3875764556.6400,1,0.779300,1,-6.988800,0
2021-02-23,sz.002352,371.5550025000,386.9872215000,365.0206395000,380.2095577500,374.6831550000,26640524,2900259127.2600,1,0.593300,1,1.475000,0
2021-02-24,sz.002352,379.8272280000,380.1748005000,351.3957975000,360.8150122500,380.2095577500,34793203,3633958330.5700,1,0.774900,1,-5.101000,0
2021-02-25,sz.002352,364.9511250000,371.3812162500,358.2429757500,367.5579187500,360.8150122500,21584961,2277830102.4100,1,0.480700,1,1.868800,0
2021-02-26,sz.002352,353.4812325000,364.9511250000,348.3024022500,364.8120960000,367.5579187500,21951091,2253131981.3600,1,0.488900,1,-0.747000,0
2021-03-01,sz.002352,363.2132625000,366.9670455000,351.0829822500,364.2559800000,364.8120960000,21115942,2189574812.9700,1,0.470300,1,-0.152400,0
2021-03-02,sz.002352,369.4348102500,371.2074300000,351.2915257500,354.1416202500,364.2559800000,21786109,2246043671.5100,1,0.485200,1,-2.776700,0
2021-03-03,sz.002352,347.5725000000,356.4355987500,341.3161950000,354.3849210000,354.1416202500,17503502,1762052044.4900,1,0.389800,1,0.068700,0
2021-03-04,sz.002352,350.9091960000,350.9439532500,331.9317375000,341.1076515000,354.3849210000,24559864,2401296975.5100,1,0.547000,1,-3.746600,0
2021-03-05,sz.002352,333.7738717500,342.3589125000,331.2365925000,337.4928975000,341.1076515000,14953205,1452077736.1000,1,0.333000,1,-1.059700,0
2021-03-08,sz.002352,339.2307600000,342.0113400000,316.2909750000,316.4995185000,337.4928975000,32245298,3015131970.1000,1,0.718100,1,-6.220400,0
2021-03-09,sz.002352,316.2909750000,320.5661167500,303.9173940000,312.8152500000,316.4995185000,33408109,3016611141.2500,1,0.744000,1,-1.164100,0
2021-03-10,sz.002352,320.5661167500,324.9802875000,314.1360255000,319.4538847500,312.8152500000,24792692,2279330526.6400,1,0.552100,1,2.122200,0
2021-03-11,sz.002352,319.2453412500,329.0816430000,315.4568010000,321.4002907500,319.4538847500,23042200,2142882858.6900,1,0.513200,1,0.609300,0
2021-03-12,sz.002352,325.2583455000,325.6754325000,313.3366087500,319.1410695000,321.4002907500,17375172,1594064658.2100,1,0.386900,1,-0.702900,0
2021-03-15,sz.002352,320.1142725000,321.4350480000,305.8638000000,310.9383585000,319.1410695000,19415372,1737346409.9500,1,0.432400,1,-2.570200,0
2021-03-16,sz.002352,314.5183552500,320.4966022500,312.5024347500,319.7667000000,310.9383585000,16288902,1488997046.8900,1,0.362800,1,2.839300,0
2021-03-17,sz.002352,319.7319427500,326.4748492500,312.3981630000,326.4748492500,319.7667000000,18604987,1716420776.0800,1,0.414300,1,2.097800,0
2021-03-18,sz.002352,323.4509685000,324.2851425000,310.3822425000,318.7239825000,326.4748492500,31557443,2885709036.5300,1,0.702800,1,-2.374100,0
2021-03-19,sz.002352,312.3981630000,312.3981630000,288.4851750000,297.9391470000,318.7239825000,60453619,5197856370.9000,1,1.346300,1,-6.521300,0
2021-03-22,sz.002352,294.1506067500,296.4793425000,289.8407077500,295.4366250000,297.9391470000,35748517,3008712689.4100,1,0.796100,1,-0.839900,0
2021-03-23,sz.002352,295.9927410000,296.7574005000,286.0869247500,293.6987625000,295.4366250000,27229388,2280278722.3100,1,0.606400,1,-0.588200,0
2021-03-24,sz.002352,291.9956572500,293.8030342500,279.1007175000,285.5308087500,293.6987625000,28511526,2333437355.9800,1,0.635000,1,-2.781100,0
2021-03-25,sz.002352,281.6032395000,288.1723597500,280.1781922500,287.9290590000,285.5308087500,17192134,1411787813.3600,1,0.382900,1,0.839900,0
2021-03-26,sz.002352,288.5199322500,291.2309977500,281.1861525000,286.2259537500,287.9290590000,30305237,2498787856.4000,1,0.674900,1,-0.591500,0
2021-03-29,sz.002352,288.4156605000,288.4851750000,281.1861525000,285.2875080000,286.2259537500,22801326,1870372531.7500,1,0.507800,1,-0.327900,0
2021-03-30,sz.002352,285.0094500000,293.9768205000,282.8545005000,289.3541062500,285.2875080000,25350214,2100163333.5200,1,0.564600,1,1.425400,0
2021-03-31,sz.002352,290.2230375000,290.5706100000,277.3628550000,281.6032395000,289.3541062500,29849461,2411945368.2600,1,0.664800,1,-2.678700,0
2021-04-01,sz.002352,281.9160547500,284.4880912500,280.4562502500,283.7929462500,281.6032395000,19773237,1605892964.3500,1,0.440400,1,0.777600,0
2021-04-02,sz.002352,285.4265370000,299.7465240000,283.9667325000,288.7979902500,283.7929462500,37448011,3128607340.3600,1,0.834000,1,1.763600,0
2021-04-06,sz.002352,290.2230375000,292.0999290000,281.1861525000,286.0174102500,288.7979902500,23429671,1924729614.4300,1,0.521800,1,-0.962800,0
2021-04-07,sz.002352,286.0521675000,287.2686712500,279.4135327500,281.3599387500,286.0174102500,22766312,1845714049.3300,1,0.507000,1,-1.628400,0
2021-04-08,sz.002352,281.5337250000,283.8972180000,278.7531450000,280.8385800000,281.3599387500,17683880,1429983405.0800,1,0.393800,1,-0.185300,0
2021-04-09,sz.002352,252.7547220000,252.7547220000,252.7547220000,252.7547220000,280.8385800000,22059700,1604181384.0000,1,0.491300,1,-10.000000,0
2021-04-12,sz.002352,239.4079380000,246.3593880000,227.4862012500,229.0502775000,252.7547220000,165625498,11114679797.1200,1,3.688500,1,-9.378400,0
2021-04-13,sz.002352,229.3978500000,230.6143537500,222.5854290000,225.2269800000,229.0502775000,61047470,3974653421.5100,1,1.359500,1,-1.669200,0
2021-04-14,sz.002352,226.5825127500,226.9648425000,221.7512550000,223.9062045000,225.2269800000,35958521,2318018783.4200,1,0.800800,1,-0.586400,0
