date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sh.601888,32.3899217600,32.5529924800,31.9007096000,31.9618611200,32.3899217600,1265628,40146634.0000,1,0.143821,1,-1.321600,0
2014-06-04,sh.601888,31.9516692000,32.1656995200,31.5439924000,31.7070631200,31.9618611200,1081795,33756252.0000,1,0.122931,1,-0.797200,0
2014-06-05,sh.601888,31.6968712000,32.0026288000,31.4930328000,31.9109015200,31.7070631200,1088935,33832080.0000,1,0.123743,1,0.642900,0
2014-06-06,sh.601888,31.9109015200,31.9210934400,31.5134166400,31.8395580800,31.9109015200,1039742,32313653.0000,1,0.118152,1,-0.223600,0
2014-06-09,sh.601888,31.8293661600,32.0739722400,31.6357196800,31.8395580800,31.8395580800,1314431,41089558.0000,1,0.149367,1,0.000000,0
2014-06-10,sh.601888,31.9822449600,32.2064672000,31.8089823200,32.0841641600,31.8395580800,1365406,42935155.0000,1,0.155160,1,0.768200,0
2014-06-11,sh.601888,32.0535884000,32.4408813600,31.9007096000,32.3185783200,32.0841641600,1250867,39470570.0000,1,0.142144,1,0.730600,0
2014-06-12,sh.601888,32.0739722400,32.1555076000,31.7478308000,31.7580227200,32.3185783200,1583566,49503154.0000,1,0.179951,1,-1.734500,0
2014-06-13,sh.601888,31.7987904000,32.3185783200,31.6459116000,32.2676187200,31.7580227200,2312784,72735834.0000,1,0.262816,1,1.604600,0
2014-06-16,sh.601888,32.2880025600,32.7568308800,32.1147399200,32.6956793600,32.2676187200,2691596,85957997.0000,1,0.305863,1,1.326600,0
2014-06-17,sh.601888,32.6243359200,32.7874066400,32.3083864000,32.6549116800,32.6956793600,2048520,65260158.0000,1,0.232786,1,-0.124700,0
2014-06-18,sh.601888,32.6651036000,32.6854874400,32.0739722400,32.2268510400,32.6549116800,1587188,50250085.0000,1,0.180362,1,-1.310900,0
2014-06-19,sh.601888,32.2064672000,32.3797298400,31.7070631200,31.8599419200,32.2268510400,1499436,47278424.0000,1,0.170390,1,-1.138500,0
2014-06-20,sh.601888,31.7274469600,32.1758914400,31.6255277600,32.0433964800,31.8599419200,772964,24164937.0000,1,0.087837,1,0.575800,0
2014-06-23,sh.601888,32.0535884000,33.1237400000,31.9822449600,32.8587500800,32.0433964800,2579373,82775495.0000,1,0.293111,1,2.544500,0
2014-06-24,sh.601888,33.0135520400,33.1270716000,32.6317135200,32.9929121200,32.8587526400,1069174,34134867.0000,1,0.121497,1,0.408300,0
2014-06-25,sh.601888,32.9103524400,33.3231508400,32.6420334800,32.8484326800,32.9929121200,1101701,35194812.0000,1,0.125193,1,-0.437900,0
2014-06-26,sh.601888,33.1064316800,33.3953905600,32.8484326800,33.2096312800,32.8484326800,1918181,61781051.0000,1,0.217975,1,1.099600,0
2014-06-27,sh.601888,33.2405911600,34.2622672000,33.1786714000,34.0352280800,33.2096312800,3523987,115843143.0000,1,0.400453,1,2.486000,0
2014-06-30,sh.601888,34.1177877600,34.4583464400,33.9939482400,34.0971478400,34.0352280800,2272001,75427306.0000,1,0.258182,1,0.181900,0
2014-07-01,sh.601888,34.4273865600,34.5718660000,34.0352280800,34.2416272800,34.0971478400,2241261,74318109.0000,1,0.254689,1,0.423700,0
2014-07-02,sh.601888,34.2416272800,34.5409061200,34.0765079200,34.3138670000,34.2416272800,2401135,79906412.0000,1,0.272856,1,0.211000,0
