date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sh.601766,4.6034967200,4.6362230000,4.5707704400,4.5816792000,4.6034967200,25727453,108372757.0000,1,0.254302,1,-0.473900,0
2014-06-04,sh.601766,4.5816792000,4.6144054800,4.5271354000,4.5489529200,4.5816792000,27370044,114098619.0000,1,0.270538,1,-0.714300,0
2014-06-05,sh.601766,4.5816792000,4.5925879600,4.5489529200,4.5925879600,4.5489529200,23518234,98492827.0000,1,0.232465,1,0.959200,0
2014-06-06,sh.601766,4.5816792000,4.5925879600,4.5489529200,4.5598616800,4.5925879600,17940087,75151667.0000,1,0.177328,1,-0.712600,0
2014-06-09,sh.601766,4.5707704400,4.5925879600,4.5271354000,4.5380441600,4.5598616800,26186091,109474158.0000,1,0.258835,1,-0.478500,0
2014-06-10,sh.601766,4.5816792000,4.6362230000,4.5598616800,4.6253142400,4.5380441600,42028625,177582324.0000,1,0.415430,1,1.923100,0
2014-06-11,sh.601766,4.6253142400,4.6580405200,4.5925879600,4.6362230000,4.6253142400,33839252,143335059.0000,1,0.334483,1,0.235900,0
2014-06-12,sh.601766,4.6362230000,4.6689492800,4.6034967200,4.6362230000,4.6362230000,42881474,182246319.0000,1,0.423860,1,0.000000,0
2014-06-13,sh.601766,4.6471317600,4.8107631600,4.6362230000,4.7780368800,4.6362230000,91134868,396421024.0000,1,0.900818,1,3.058800,0
2014-06-16,sh.601766,4.8107631600,4.8653069600,4.7780368800,4.8434894400,4.7780368800,60972713,270395552.0000,1,0.602682,1,1.369900,0
2014-06-17,sh.601766,4.8543982000,4.8543982000,4.7671281200,4.8434894400,4.8434894400,43106242,190068786.0000,1,0.426082,1,0.000000,0
2014-06-18,sh.601766,4.8216719200,4.8325806800,4.7453106000,4.7780368800,4.8434894400,27023494,118473728.0000,1,0.267112,1,-1.351400,0
2014-06-19,sh.601766,4.7998544000,4.8653069600,4.7344018400,4.7562193600,4.7780368800,39442660,173494858.0000,1,0.389869,1,-0.456600,0
2014-06-20,sh.601766,4.7562193600,4.7780368800,4.7125843200,4.7671281200,4.7562193600,30822628,134186117.0000,1,0.304665,1,0.229400,0
2014-06-23,sh.601766,4.8325806800,4.8653069600,4.7125843200,4.7780368800,4.7671281200,36554750,160733318.0000,1,0.361324,1,0.228800,0
2014-06-24,sh.601766,4.7998544000,4.7998544000,4.7344018400,4.7453106000,4.7780368800,23268761,101407537.0000,1,0.229999,1,-0.684900,0
2014-06-25,sh.601766,4.7671281200,4.7671281200,4.6907668000,4.7016755600,4.7453106000,21879212,94541181.0000,1,0.216264,1,-0.919500,0
2014-06-26,sh.601766,4.7125843200,4.7562193600,4.7016755600,4.7234930800,4.7016755600,18841395,81794223.0000,1,0.186237,1,0.464000,0
2014-06-27,sh.601766,4.7344018400,4.8434894400,4.7016755600,4.8107631600,4.7234930800,46362527,203809170.0000,1,0.458268,1,1.847600,0
2014-06-30,sh.601766,4.8107631600,4.9525770400,4.8107631600,4.9089420000,4.8107631600,63597332,286222304.0000,1,0.628625,1,2.040800,0
2014-07-01,sh.601766,4.9198507600,4.9525770400,4.8653069600,4.9089420000,4.9089420000,36179263,162737103.0000,1,0.357612,1,0.000000,0
2014-07-02,sh.601766,4.8980332400,4.9743945600,4.8980332400,4.9634858000,4.9089420000,45452539,205845675.0000,1,0.449274,1,1.111100,0
2014-07-03,sh.601766,4.9634858000,5.0289383600,4.9198507600,4.9743945600,4.9634858000,37459267,171355121.0000,1,0.370264,1,0.219800,0
2014-07-04,sh.601766,4.9853033200,5.0725734000,4.9853033200,4.9962120800,4.9743945600,38540746,177137837.0000,1,0.380954,1,0.438600,0
2014-07-07,sh.601766,5.0834821600,5.2143872800,5.0507558800,5.1489347200,4.9962120800,94688503,446385616.0000,1,0.935944,1,3.056800,0
2014-07-08,sh.601766,5.1489347200,5.1816610000,5.0725734000,5.1380259600,5.1489347200,45428580,213364725.0000,1,0.449037,1,-0.211900,0
2014-07-09,sh.601766,5.1271172000,5.2034785200,5.0834821600,5.0834821600,5.1380259600,42168539,198713600.0000,1,0.416813,1,-1.061600,0
2014-07-10,sh.601766,5.0943909200,5.1380259600,5.0180296000,5.0507558800,5.0834821600,34087237,157986670.0000,1,0.336934,1,-0.643800,0
