date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sh.601668,3.2822475000,3.2930800000,3.2497500000,3.2714150000,3.2714150000,40454594,122204597.0000,1,0.135512,1,0.000000,0
2014-06-04,sh.601668,3.2714150000,3.2714150000,3.1955875000,3.2064200000,3.2714150000,63589748,189204470.0000,1,0.213008,1,-1.986800,0
2014-06-05,sh.601668,3.2064200000,3.2389175000,3.1955875000,3.2280850000,3.2064200000,47482050,140816489.0000,1,0.159052,1,0.675700,0
2014-06-06,sh.601668,3.2280850000,3.2280850000,3.1847550000,3.2064200000,3.2280850000,38704539,114405661.0000,1,0.129649,1,-0.671100,0
2014-06-09,sh.601668,3.1955875000,3.2389175000,3.1847550000,3.2064200000,3.2064200000,49055160,145613406.0000,1,0.164321,1,0.000000,0
2014-06-10,sh.601668,3.2172525000,3.2280850000,3.1955875000,3.2280850000,3.2064200000,56740303,168237927.0000,1,0.190064,1,0.675700,0
2014-06-11,sh.601668,3.2172525000,3.2280850000,3.2064200000,3.2280850000,3.2280850000,43924604,130600212.0000,1,0.147135,1,0.000000,0
2014-06-12,sh.601668,3.2172525000,3.2280850000,3.1847550000,3.1955875000,3.2280850000,60383383,178357201.0000,1,0.202268,1,-1.006700,0
2014-06-13,sh.601668,3.1955875000,3.2280850000,3.1847550000,3.2280850000,3.1955875000,65187514,193481454.0000,1,0.218360,1,1.016900,0
2014-06-16,sh.601668,3.2172525000,3.2497500000,3.2172525000,3.2497500000,3.2280850000,94381193,281984608.0000,1,0.316151,1,0.671100,0
2014-06-17,sh.601668,3.2611121200,3.2724748800,3.2270238400,3.2383866000,3.2497493600,81692383,233598306.0000,1,0.273647,1,-0.349700,0
2014-06-18,sh.601668,3.2383866000,3.2497493600,3.2156610800,3.2383866000,3.2383866000,53327383,151647744.0000,1,0.178632,1,0.000000,0
2014-06-19,sh.601668,3.2383866000,3.2383866000,3.1815728000,3.2042983200,3.2383866000,55672155,157151138.0000,1,0.186486,1,-1.052600,0
2014-06-20,sh.601668,3.1929355600,3.2156610800,3.1815728000,3.2042983200,3.2042983200,48930820,137520884.0000,1,0.163905,1,0.000000,0
2014-06-23,sh.601668,3.2042983200,3.2042983200,3.1588472800,3.1588472800,3.2042983200,56529088,158301843.0000,1,0.189357,1,-1.418400,0
2014-06-24,sh.601668,3.1702100400,3.1815728000,3.1588472800,3.1815728000,3.1588472800,38669001,107942354.0000,1,0.129530,1,0.719400,0
2014-06-25,sh.601668,3.1702100400,3.1815728000,3.1474845200,3.1815728000,3.1815728000,33893157,94516796.0000,1,0.113533,1,0.000000,0
2014-06-26,sh.601668,3.1815728000,3.1929355600,3.1702100400,3.1929355600,3.1815728000,30620314,85858295.0000,1,0.102570,1,0.357100,0
2014-06-27,sh.601668,3.1815728000,3.2042983200,3.1702100400,3.1929355600,3.1929355600,42684960,119658447.0000,1,0.142983,1,0.000000,0
2014-06-30,sh.601668,3.1929355600,3.2042983200,3.1815728000,3.2042983200,3.1929355600,62596766,176048706.0000,1,0.209682,1,0.355900,0
2014-07-01,sh.601668,3.2042983200,3.2042983200,3.1702100400,3.1929355600,3.2042983200,45095639,126489804.0000,1,0.151058,1,-0.354600,0
2014-07-02,sh.601668,3.1815728000,3.1929355600,3.1702100400,3.1929355600,3.1929355600,71103679,198943541.0000,1,0.238178,1,0.000000,0
2014-07-03,sh.601668,3.1929355600,3.2042983200,3.1702100400,3.1929355600,3.1929355600,64604036,181538467.0000,1,0.216406,1,0.000000,0
2014-07-04,sh.601668,3.1929355600,3.2270238400,3.1929355600,3.2156610800,3.1929355600,68086288,192026255.0000,1,0.228070,1,0.711700,0
2014-07-07,sh.601668,3.2156610800,3.2383866000,3.2042983200,3.2270238400,3.2156610800,69953153,198482024.0000,1,0.234324,1,0.353400,0
2014-07-08,sh.601668,3.2270238400,3.2270238400,3.2042983200,3.2270238400,3.2270238400,51077808,144445232.0000,1,0.171096,1,0.000000,0
2014-07-09,sh.601668,3.2156610800,3.2156610800,3.1815728000,3.1815728000,3.2270238400,51579126,145080870.0000,1,0.172776,1,-1.408400,0
2014-07-10,sh.601668,3.1815728000,3.2042983200,3.1815728000,3.1929355600,3.1815728000,38777140,108861613.0000,1,0.129893,1,0.357100,0
2014-07-11,sh.601668,3.1929355600,3.2270238400,3.1815728000,3.2042983200,3.1929355600,74166322,209447774.0000,1,0.248437,1,0.355900,0
2014-07-14,sh.601668,3.2156610800,3.2497493600,3.1929355600,3.2383866000,3.2042983200,94918029,269532400.0000,1,0.317949,1,1.063800,0
2014-07-15,sh.601668,3.2383866000,3.2724748800,3.2156610800,3.2611121200,3.2383866000,123945934,354036928.0000,1,0.415184,1,0.701800,0
2014-07-16,sh.601668,3.2611121200,3.4542790400,3.2497493600,3.3861024800,3.2611121200,404537072,1206040832.0000,1,1.355087,1,3.832800,0
2014-07-17,sh.601668,3.3520142000,3.3633769600,3.2724748800,3.2952004000,3.3861024800,191500055,558298672.0000,1,0.641472,1,-2.684600,0
2014-07-18,sh.601668,3.2952004000,3.4429162800,3.2724748800,3.3974652400,3.2952004000,320927344,956641760.0000,1,1.075018,1,3.103400,0
2014-07-21,sh.601668,3.3974652400,3.4201907600,3.3633769600,3.4088280000,3.3974652400,129085164,385471952.0000,1,0.432399,1,0.334400,0
2014-07-22,sh.601668,3.3974652400,3.4429162800,3.3861024800,3.3974652400,3.4088280000,110062994,330790944.0000,1,0.368680,1,-0.333300,0
2014-07-23,sh.601668,3.3974652400,3.4770045600,3.3974652400,3.4542790400,3.3974652400,190345656,578701232.0000,1,0.637605,1,1.672200,0
2014-07-24,sh.601668,3.4656418000,3.5565438800,3.4656418000,3.4997300800,3.4542790400,194490513,600658176.0000,1,0.651489,1,1.315800,0
2014-07-25,sh.601668,3.5224556000,3.5451811200,3.4883673200,3.5451811200,3.4997300800,101628630,314238608.0000,1,0.340428,1,1.298700,0
2014-07-28,sh.601668,3.5679066400,3.6247204400,3.5565438800,3.6247204400,3.5451811200,268521120,850221824.0000,1,0.899471,1,2.243600,0
2014-07-29,sh.601668,3.6247204400,3.6360832000,3.5679066400,3.6133576800,3.6247204400,155460400,492827936.0000,1,0.520749,1,-0.313500,0
2014-07-30,sh.601668,3.5906321600,3.6133576800,3.5338183600,3.5565438800,3.6133576800,158121988,496013200.0000,1,0.529665,1,-1.572300,0
2014-07-31,sh.601668,3.5338183600,3.5792694000,3.5224556000,3.5679066400,3.5565438800,101694108,317436992.0000,1,0.340647,1,0.319500,0
2014-08-01,sh.601668,3.5565438800,3.6247204400,3.5565438800,3.5792694000,3.5679066400,140337954,444062848.0000,1,0.470093,1,0.318500,0
2014-08-04,sh.601668,3.5792694000,3.6474459600,3.5679066400,3.6474459600,3.5792694000,137009696,435615248.0000,1,0.458944,1,1.904800,0
2014-08-05,sh.601668,3.6474459600,3.6588087200,3.6019949200,3.6247204400,3.6474459600,111471835,355555920.0000,1,0.373400,1,-0.623100,0
2014-08-06,sh.601668,3.6133576800,3.6247204400,3.5679066400,3.6133576800,3.6247204400,114318345,361667728.0000,1,0.382935,1,-0.313500,0
2014-08-07,sh.601668,3.6019949200,3.6133576800,3.5565438800,3.5679066400,3.6133576800,85374451,269039312.0000,1,0.285981,1,-1.257900,0
2014-08-08,sh.601668,3.5565438800,3.5792694000,3.5338183600,3.5565438800,3.5679066400,102618276,320962880.0000,1,0.343743,1,-0.318500,0
2014-08-11,sh.601668,3.5565438800,3.6019949200,3.5565438800,3.5906321600,3.5565438800,77348100,244150939.0000,1,0.259095,1,0.958500,0
2014-08-12,sh.601668,3.5906321600,3.5906321600,3.5565438800,3.5792694000,3.5906321600,65657124,206471634.0000,1,0.219933,1,-0.316500,0
2014-08-13,sh.601668,3.5679066400,3.6019949200,3.5451811200,3.5792694000,3.5792694000,74959643,235437670.0000,1,0.251094,1,0.000000,0
2014-08-14,sh.601668,3.5792694000,3.5792694000,3.5451811200,3.5565438800,3.5792694000,80458513,252045891.0000,1,0.269514,1,-0.634900,0
2014-08-15,sh.601668,3.5906321600,3.6247204400,3.5792694000,3.6133576800,3.5565438800,164640347,521799712.0000,1,0.551499,1,1.597400,0
2014-08-18,sh.601668,3.6133576800,3.6815342400,3.6133576800,3.6360832000,3.6133576800,128205965,411836224.0000,1,0.429454,1,0.628900,0
2014-08-19,sh.601668,3.6474459600,3.6474459600,3.6019949200,3.6247204400,3.6360832000,89576040,285644656.0000,1,0.300055,1,-0.312500,0
2014-08-20,sh.601668,3.6133576800,3.6474459600,3.6019949200,3.6360832000,3.6247204400,79256535,252662911.0000,1,0.265487,1,0.313500,0
2014-08-21,sh.601668,3.6360832000,3.6360832000,3.5792694000,3.6133576800,3.6360832000,76145233,241237266.0000,1,0.255065,1,-0.625000,0
2014-08-22,sh.601668,3.6019949200,3.6247204400,3.5906321600,3.6247204400,3.6133576800,50282676,159926458.0000,1,0.168433,1,0.314500,0
2014-08-25,sh.601668,3.6360832000,3.6588087200,3.6019949200,3.6133576800,3.6247204400,125255177,399248064.0000,1,0.419570,1,-0.313500,0
2014-08-26,sh.601668,3.6133576800,3.6247204400,3.5906321600,3.6019949200,3.6133576800,71512440,226872156.0000,1,0.239547,1,-0.314500,0
2014-08-27,sh.601668,3.6019949200,3.6133576800,3.5679066400,3.5792694000,3.6019949200,54082685,170866539.0000,1,0.181162,1,-0.630900,0
2014-08-28,sh.601668,3.5792694000,3.5792694000,3.5224556000,3.5338183600,3.5792694000,86682511,270864880.0000,1,0.290362,1,-1.269800,0
2014-08-29,sh.601668,3.5451811200,3.5906321600,3.5338183600,3.5679066400,3.5338183600,66950242,209749253.0000,1,0.224265,1,0.964600,0
2014-09-01,sh.601668,3.5679066400,3.6019949200,3.5679066400,3.5906321600,3.5679066400,57382952,181251111.0000,1,0.192217,1,0.636900,0
2014-09-02,sh.601668,3.6019949200,3.6247204400,3.5565438800,3.6247204400,3.5906321600,125858877,397762400.0000,1,0.421592,1,0.949400,0
2014-09-03,sh.601668,3.6247204400,3.6701714800,3.6133576800,3.6474459600,3.6247204400,157179814,504813088.0000,1,0.526509,1,0.627000,0
2014-09-04,sh.601668,3.6588087200,3.7383480400,3.6474459600,3.7269852800,3.6474459600,207867654,676679152.0000,1,0.696299,1,2.180700,0
2014-09-05,sh.601668,3.7269852800,3.7610735600,3.7156225200,3.7610735600,3.7269852800,143893382,473604352.0000,1,0.482003,1,0.914600,0
2014-09-09,sh.601668,3.7724363200,3.8633384000,3.7724363200,3.8178873600,3.7610735600,197001836,663564976.0000,1,0.659901,1,1.510600,0
2014-09-10,sh.601668,3.8065246000,3.8178873600,3.7610735600,3.7724363200,3.8178873600,109897986,366048880.0000,1,0.368128,1,-1.190500,0
2014-09-11,sh.601668,3.7837990800,3.8519756400,3.7610735600,3.7837990800,3.7724363200,118075349,394291232.0000,1,0.395520,1,0.301200,0
2014-09-12,sh.601668,3.7951618400,3.8860639200,3.7724363200,3.8519756400,3.7837990800,158583344,535606672.0000,1,0.531210,1,1.801800,0
2014-09-15,sh.601668,3.8292501200,3.8292501200,3.7837990800,3.8178873600,3.8519756400,143426480,480407184.0000,1,0.480439,1,-0.885000,0
2014-09-16,sh.601668,3.8178873600,3.9656032400,3.7724363200,3.8178873600,3.8178873600,318344736,1083388080.0000,1,1.066366,1,0.000000,0
2014-09-17,sh.601668,3.8292501200,3.9201522000,3.8178873600,3.8519756400,3.8178873600,209768500,710942240.0000,1,0.702666,1,0.892900,0
2014-09-18,sh.601668,3.8406128800,3.8406128800,3.7724363200,3.7951618400,3.8519756400,144151430,482856912.0000,1,0.482867,1,-1.474900,0
2014-09-19,sh.601668,3.7951618400,3.8178873600,3.7724363200,3.8065246000,3.7951618400,121152926,405049104.0000,1,0.405829,1,0.299400,0
2014-09-22,sh.601668,3.7951618400,3.7951618400,3.7042597600,3.7156225200,3.8065246000,148495971,488881904.0000,1,0.497420,1,-2.388100,0
2014-09-23,sh.601668,3.7269852800,3.7497108000,3.7156225200,3.7383480400,3.7156225200,106407821,349367248.0000,1,0.356437,1,0.611600,0
2014-09-24,sh.601668,3.7269852800,3.8633384000,3.7156225200,3.8406128800,3.7383480400,271607792,913587760.0000,1,0.909811,1,2.735600,0
2014-09-25,sh.601668,3.8747011600,3.9201522000,3.8406128800,3.8633384000,3.8406128800,192760605,658902896.0000,1,0.645695,1,0.591700,0
2014-09-26,sh.601668,3.8406128800,3.8747011600,3.8065246000,3.8519756400,3.8633384000,103487980,349558848.0000,1,0.346656,1,-0.294100,0
2014-09-29,sh.601668,3.8519756400,3.8860639200,3.8065246000,3.8292501200,3.8519756400,147488791,498662368.0000,1,0.494047,1,-0.590000,0
2014-09-30,sh.601668,3.8406128800,3.8633384000,3.8292501200,3.8519756400,3.8292501200,110046160,372536272.0000,1,0.368624,1,0.593500,0
2014-10-08,sh.601668,3.9087894400,3.9201522000,3.8747011600,3.9087894400,3.8519756400,159363802,546099216.0000,1,0.533824,1,1.474900,0
2014-10-09,sh.601668,3.9087894400,3.9883287600,3.8860639200,3.9769660000,3.9087894400,247543999,859740864.0000,1,0.829204,1,1.744200,0
2014-10-10,sh.601668,3.9542404800,4.0110542800,3.9315149600,3.9883287600,3.9769660000,239859653,838380528.0000,1,0.803463,1,0.285700,0
2014-10-13,sh.601668,3.9656032400,3.9883287600,3.9201522000,3.9315149600,3.9883287600,148408782,514272608.0000,1,0.497128,1,-1.424500,0
2014-10-14,sh.601668,3.9315149600,3.9996915200,3.9087894400,3.9315149600,3.9315149600,163414046,568032512.0000,1,0.547392,1,0.000000,0
2014-10-15,sh.601668,3.9315149600,3.9542404800,3.8860639200,3.9087894400,3.9315149600,128079582,441723312.0000,1,0.429031,1,-0.578000,0
2014-10-16,sh.601668,3.9087894400,4.0224170400,3.8860639200,3.9201522000,3.9087894400,260854523,906983552.0000,1,0.873790,1,0.290700,0
2014-10-17,sh.601668,3.9201522000,3.9201522000,3.8292501200,3.8519756400,3.9201522000,172018139,586600224.0000,1,0.576213,1,-1.739100,0
2014-10-20,sh.601668,3.8633384000,3.8860639200,3.8292501200,3.8519756400,3.8519756400,93473320,316972288.0000,1,0.313110,1,0.000000,0
2014-10-21,sh.601668,3.8519756400,3.8519756400,3.7951618400,3.7951618400,3.8519756400,106020111,356626320.0000,1,0.355138,1,-1.474900,0
2014-10-22,sh.601668,3.7951618400,3.8178873600,3.7610735600,3.7724363200,3.7951618400,88850287,296224032.0000,1,0.297624,1,-0.598800,0
2014-10-23,sh.601668,3.7610735600,3.7951618400,3.7156225200,3.7383480400,3.7724363200,109036054,360695728.0000,1,0.365241,1,-0.903600,0
2014-10-24,sh.601668,3.7383480400,3.7497108000,3.6928970000,3.7042597600,3.7383480400,93165245,305013072.0000,1,0.312078,1,-0.911900,0
2014-10-27,sh.601668,3.6928970000,3.6928970000,3.6133576800,3.6247204400,3.7042597600,134816688,432530208.0000,1,0.451598,1,-2.147200,0
2014-10-28,sh.601668,3.6474459600,3.7497108000,3.6247204400,3.7497108000,3.6247204400,169496424,551647520.0000,1,0.567766,1,3.448300,0
2014-10-29,sh.601668,3.7497108000,3.8860639200,3.7269852800,3.8406128800,3.7497108000,228216447,764067296.0000,1,0.764462,1,2.424200,0
2014-10-30,sh.601668,3.8406128800,3.9656032400,3.8178873600,3.9428777200,3.8406128800,399716608,1377091008.0000,1,1.338940,1,2.662700,0
2014-10-31,sh.601668,3.9656032400,3.9883287600,3.8860639200,3.9542404800,3.9428777200,329338736,1144080368.0000,1,1.103193,1,0.288200,0
