date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sh.600028,9.1662158300,9.3682767000,9.1111083200,9.2580616800,9.0927391500,42362756,213252067.0000,1,0.046409,1,1.818200,0
2014-06-04,sh.600028,9.2580616800,9.2580616800,9.1662158300,9.2580616800,9.2580616800,26282617,131738834.0000,1,0.028793,1,0.000000,0
2014-06-05,sh.600028,9.2029541700,9.2580616800,9.1478466600,9.2396925100,9.2580616800,23310552,116765880.0000,1,0.025537,1,-0.198400,0
2014-06-06,sh.600028,9.2580616800,9.2580616800,9.1845850000,9.2396925100,9.2396925100,20864361,104712526.0000,1,0.022857,1,0.000000,0
2014-06-09,sh.600028,9.1845850000,9.3131691900,9.1662158300,9.2213233400,9.2396925100,15700066,79045630.0000,1,0.017200,1,-0.198800,0
2014-06-10,sh.600028,9.2396925100,9.4417533800,9.1662158300,9.3866458700,9.2213233400,62743852,318423616.0000,1,0.068736,1,1.792800,0
2014-06-11,sh.600028,9.3315383600,9.4417533800,9.3131691900,9.4050150400,9.3866458700,29797728,152293004.0000,1,0.032644,1,0.195700,0
2014-06-12,sh.600028,9.4050150400,9.4050150400,9.2764308500,9.3315383600,9.4050150400,25586460,129893056.0000,1,0.028030,1,-0.781200,0
2014-06-13,sh.600028,9.3315383600,9.4417533800,9.3315383600,9.4233842100,9.3315383600,35904914,183791519.0000,1,0.039334,1,0.984300,0
2014-06-16,sh.600028,9.4233842100,9.5703375700,9.4233842100,9.5703375700,9.4233842100,74630073,387188624.0000,1,0.081758,1,1.559500,0
2014-06-17,sh.600028,9.5519684000,9.5519684000,9.4784917200,9.5152300600,9.5703375700,31067271,160737589.0000,1,0.034034,1,-0.575800,0
2014-06-18,sh.600028,9.4968608900,9.5152300600,9.3866458700,9.4050150400,9.5152300600,30873279,158725016.0000,1,0.033822,1,-1.158300,0
2014-06-19,sh.600028,9.4050150400,9.4601225500,9.2580616800,9.3315383600,9.4050150400,37444835,190508492.0000,1,0.041021,1,-0.781200,0
2014-06-20,sh.600028,9.3131691900,9.3866458700,9.2213233400,9.3499075300,9.3315383600,27793120,141251869.0000,1,0.030448,1,0.196900,0
2014-06-23,sh.600028,9.3682767000,9.4233842100,9.2764308500,9.2948000200,9.3499075300,26869535,136833116.0000,1,0.029436,1,-0.589400,0
2014-06-24,sh.600028,9.2948000200,9.3682767000,9.2764308500,9.3131691900,9.2948000200,20203547,102423741.0000,1,0.022133,1,0.197600,0
2014-06-25,sh.600028,9.2948000200,9.5703375700,9.2948000200,9.5152300600,9.3131691900,74509487,384508128.0000,1,0.081626,1,2.169600,0
2014-06-26,sh.600028,9.4968608900,9.6621834200,9.4601225500,9.5703375700,9.5152300600,62695119,326270912.0000,1,0.068683,1,0.579200,0
2014-06-27,sh.600028,9.5703375700,9.6621834200,9.4784917200,9.6254450800,9.5703375700,61018242,318675888.0000,1,0.066846,1,0.575800,0
2014-06-30,sh.600028,9.6621834200,9.7356601000,9.5152300600,9.6805525900,9.6254450800,59494559,312409936.0000,1,0.065177,1,0.572500,0
2014-07-01,sh.600028,9.5887067400,9.5887067400,9.3131691900,9.3682767000,9.6805525900,115126357,589159072.0000,1,0.126121,1,-3.225800,0
2014-07-02,sh.600028,9.3866458700,9.4050150400,9.3315383600,9.3866458700,9.3682767000,45746226,233078593.0000,1,0.050115,1,0.196100,0
2014-07-03,sh.600028,9.3682767000,9.3682767000,9.2764308500,9.3499075300,9.3866458700,51796548,262856309.0000,1,0.056743,1,-0.391400,0
2014-07-04,sh.600028,9.3315383600,9.3682767000,9.2213233400,9.2948000200,9.3499075300,69092907,348819136.0000,1,0.075692,1,-0.589400,0
2014-07-07,sh.600028,9.2764308500,9.3315383600,9.2029541700,9.2580616800,9.2948000200,61135934,307539680.0000,1,0.066975,1,-0.395300,0
2014-07-08,sh.600028,9.2396925100,9.2948000200,9.2029541700,9.2764308500,9.2580616800,57907422,291240864.0000,1,0.063438,1,0.198400,0
2014-07-09,sh.600028,9.2580616800,9.2580616800,9.1478466600,9.1478466600,9.2764308500,54149641,271008368.0000,1,0.059321,1,-1.386100,0
2014-07-10,sh.600028,9.1478466600,9.1845850000,9.1111083200,9.1111083200,9.1478466600,35677737,177698048.0000,1,0.039085,1,-0.401600,0
2014-07-11,sh.600028,9.1294774900,9.2029541700,9.0927391500,9.1845850000,9.1111083200,31347443,156295752.0000,1,0.034341,1,0.806500,0
2014-07-14,sh.600028,9.1845850000,9.2580616800,9.0927391500,9.2396925100,9.1845850000,41881971,209378771.0000,1,0.045882,1,0.600000,0
2014-07-15,sh.600028,9.2396925100,9.2580616800,9.1845850000,9.2029541700,9.2396925100,34870046,174909170.0000,1,0.038200,1,-0.397600,0
2014-07-16,sh.600028,9.2029541700,9.2213233400,9.1662158300,9.1845850000,9.2029541700,45466396,227333602.0000,1,0.049809,1,-0.199600,0
2014-07-17,sh.600028,9.1845850000,9.1845850000,9.0927391500,9.1478466600,9.1845850000,44575715,221858510.0000,1,0.048833,1,-0.400000,0
2014-07-18,sh.600028,9.1294774900,9.1478466600,9.0927391500,9.1294774900,9.1478466600,45283589,224878598.0000,1,0.049608,1,-0.200800,0
2014-07-21,sh.600028,9.1111083200,9.1294774900,8.9825241300,8.9825241300,9.1294774900,65098477,320064448.0000,1,0.071316,1,-1.609700,0
2014-07-22,sh.600028,8.9825241300,9.1845850000,8.9825241300,9.1662158300,8.9825241300,87148558,431867296.0000,1,0.095472,1,2.045000,0
2014-07-23,sh.600028,9.1478466600,9.2580616800,9.1294774900,9.2213233400,9.1662158300,76649613,384660928.0000,1,0.083970,1,0.601200,0
2014-07-24,sh.600028,9.2396925100,9.3682767000,9.2396925100,9.3315383600,9.2213233400,85219134,432501952.0000,1,0.093358,1,1.195200,0
2014-07-25,sh.600028,9.3315383600,9.4050150400,9.2948000200,9.3866458700,9.3315383600,65093598,331011648.0000,1,0.071310,1,0.590600,0
2014-07-28,sh.600028,9.4233842100,9.6070759100,9.3866458700,9.5703375700,9.3866458700,134957313,699184096.0000,1,0.147846,1,1.956900,0
2014-07-29,sh.600028,9.5335992300,9.6254450800,9.4968608900,9.4968608900,9.5703375700,88920818,461987920.0000,1,0.097413,1,-0.767800,0
2014-07-30,sh.600028,9.5519684000,9.8275059500,9.5519684000,9.6070759100,9.4968608900,179571872,947274192.0000,1,0.196722,1,1.160500,0
2014-07-31,sh.600028,9.5519684000,9.6070759100,9.4601225500,9.5887067400,9.6070759100,73144266,378752560.0000,1,0.080130,1,-0.191200,0
