date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sh.601398,4.6784202800,4.7309868000,4.6784202800,4.7047035400,4.6784202800,51413737,184447556.0000,1,0.019431,1,0.561800,0
2014-06-04,sh.601398,4.7178451700,4.7309868000,4.6784202800,4.6915619100,4.7047035400,49748689,178016457.0000,1,0.018802,1,-0.279300,0
2014-06-05,sh.601398,4.6915619100,4.7704116900,4.6784202800,4.7704116900,4.6915619100,75230700,271553136.0000,1,0.028432,1,1.680700,0
2014-06-06,sh.601398,4.7704116900,4.7966949500,4.7441284300,4.7441284300,4.7704116900,60943044,221037086.0000,1,0.023033,1,-0.551000,0
2014-06-09,sh.601398,4.7441284300,4.8361198400,4.7441284300,4.8098365800,4.7441284300,50378807,184095046.0000,1,0.019040,1,1.385000,0
2014-06-10,sh.601398,4.8098365800,4.9149696200,4.8098365800,4.9018279900,4.8098365800,96285930,356415888.0000,1,0.036390,1,1.912600,0
2014-06-11,sh.601398,4.8886863600,4.9281112500,4.8361198400,4.8886863600,4.9018279900,79762401,296021680.0000,1,0.030145,1,-0.268100,0
2014-06-12,sh.601398,4.8624031000,4.9018279900,4.8492614700,4.8755447300,4.8886863600,47082738,174600020.0000,1,0.017794,1,-0.268800,0
2014-06-13,sh.601398,4.8624031000,4.9149696200,4.8624031000,4.9149696200,4.8755447300,63714956,237100652.0000,1,0.024080,1,0.808600,0
2014-06-16,sh.601398,4.9149696200,4.9675361400,4.8886863600,4.9675361400,4.9149696200,96202193,360544992.0000,1,0.036358,1,1.069500,0
2014-06-17,sh.601398,4.9412528800,4.9675361400,4.8624031000,4.9018279900,4.9675361400,107429151,401236784.0000,1,0.040601,1,-1.322800,0
2014-06-18,sh.601398,4.9018279900,4.9149696200,4.8492614700,4.9149696200,4.9018279900,110170563,409642592.0000,1,0.041637,1,0.268100,0
2014-06-19,sh.601398,4.9018279900,4.9149696200,4.8492614700,4.8755447300,4.9149696200,91929176,341008176.0000,1,0.034743,1,-0.802100,0
2014-06-20,sh.601398,4.8755434500,4.8896754600,4.7624873700,4.8755434500,4.8755434500,106996636,365450416.0000,1,0.040438,1,0.000000,0
