date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sh.601939,5.2586261000,5.2977722000,5.2586261000,5.2847235000,5.2586261000,30604013,123877730.0000,1,0.319003,1,0.496300,0
2014-06-04,sh.601939,5.2847235000,5.2847235000,5.2455774000,5.2455774000,5.2847235000,25937886,104735833.0000,1,0.270365,1,-0.740700,0
2014-06-05,sh.601939,5.2586261000,5.3238696000,5.2455774000,5.3108209000,5.2455774000,31739128,128818763.0000,1,0.330834,1,1.243800,0
2014-06-06,sh.601939,5.3108209000,5.3369183000,5.2847235000,5.2847235000,5.3108209000,29373561,119557467.0000,1,0.306177,1,-0.491400,0
2014-06-09,sh.601939,5.2847235000,5.3369183000,5.2847235000,5.3369183000,5.2847235000,27529497,112262732.0000,1,0.286955,1,0.987700,0
2014-06-10,sh.601939,5.3369183000,5.4021618000,5.3108209000,5.3891131000,5.3369183000,43695523,179329887.0000,1,0.455463,1,0.978000,0
2014-06-11,sh.601939,5.3891131000,5.4282592000,5.3630157000,5.3891131000,5.3891131000,30676347,126835347.0000,1,0.319757,1,0.000000,0
2014-06-12,sh.601939,5.3760644000,5.4152105000,5.3760644000,5.3891131000,5.3891131000,17549281,72532742.0000,1,0.182926,1,0.000000,0
2014-06-13,sh.601939,5.3891131000,5.4413079000,5.3760644000,5.4282592000,5.3891131000,31849693,132344696.0000,1,0.331987,1,0.726400,0
2014-06-16,sh.601939,5.4282592000,5.4674053000,5.4152105000,5.4674053000,5.4282592000,33496639,139582944.0000,1,0.349154,1,0.721200,0
2014-06-17,sh.601939,5.4543566000,5.4543566000,5.3891131000,5.4152105000,5.4674053000,30539459,126864636.0000,1,0.318330,1,-0.954700,0
2014-06-18,sh.601939,5.4152105000,5.4152105000,5.3760644000,5.4021618000,5.4152105000,20264196,83811853.0000,1,0.211225,1,-0.241000,0
2014-06-19,sh.601939,5.4021618000,5.4152105000,5.3499670000,5.3630157000,5.4021618000,20700197,85244937.0000,1,0.215770,1,-0.724600,0
2014-06-20,sh.601939,5.3630157000,5.4152105000,5.3369183000,5.4021618000,5.3630157000,19798508,81761360.0000,1,0.206371,1,0.729900,0
2014-06-23,sh.601939,5.4021618000,5.4282592000,5.3630157000,5.3760644000,5.4021618000,19144924,79173968.0000,1,0.199558,1,-0.483100,0
2014-06-24,sh.601939,5.3760644000,5.3891131000,5.3499670000,5.3760644000,5.3760644000,13460970,55448260.0000,1,0.140311,1,0.000000,0
2014-06-25,sh.601939,5.3760644000,5.3891131000,5.3369183000,5.3499670000,5.3760644000,13086252,53727530.0000,1,0.136405,1,-0.485400,0
2014-06-26,sh.601939,5.3499670000,5.3760644000,5.3499670000,5.3630157000,5.3499670000,15673223,64429619.0000,1,0.163371,1,0.243900,0
2014-06-27,sh.601939,5.3630157000,5.3760644000,5.3499670000,5.3630157000,5.3630157000,15880054,65236149.0000,1,0.165527,1,0.000000,0
2014-06-30,sh.601939,5.3630157000,5.4021618000,5.3630157000,5.3891131000,5.3630157000,15108131,62377684.0000,1,0.157480,1,0.486600,0
2014-07-01,sh.601939,5.4021618000,5.4021618000,5.3630157000,5.3891131000,5.3891131000,13130394,54139551.0000,1,0.136865,1,0.000000,0
2014-07-02,sh.601939,5.3891131000,5.4021618000,5.3630157000,5.3891131000,5.3891131000,13131139,54183024.0000,1,0.136873,1,0.000000,0
2014-07-03,sh.601939,5.4021618000,5.4413079000,5.3891131000,5.4413079000,5.3891131000,24322159,101147836.0000,1,0.253523,1,0.968500,0
2014-07-04,sh.601939,5.4413079000,5.4674053000,5.4282592000,5.4674053000,5.4413079000,21845123,91181550.0000,1,0.227704,1,0.479600,0
2014-07-07,sh.601939,5.4674053000,5.4804540000,5.4543566000,5.4804540000,5.4674053000,27517445,115322088.0000,1,0.286830,1,0.238700,0
2014-07-08,sh.601939,5.4804540000,5.5065514000,5.4543566000,5.5065514000,5.4804540000,33014178,138644952.0000,1,0.344125,1,0.476200,0
2014-07-09,sh.601939,5.4935027000,5.5196001000,5.4543566000,5.4804540000,5.5065514000,43316085,182130830.0000,1,0.451508,1,-0.473900,0
2014-07-10,sh.601939,5.4664030500,5.4664030500,5.4242457000,5.4382981500,5.4804555000,39011948,151312105.0000,1,0.406643,1,-0.769200,0
2014-07-11,sh.601939,5.4382981500,5.5085604000,5.4242457000,5.4804555000,5.4382981500,23922540,93367305.0000,1,0.249358,1,0.775200,0
2014-07-14,sh.601939,5.4804555000,5.5085604000,5.4523506000,5.4804555000,5.4804555000,26148757,101920448.0000,1,0.272563,1,0.000000,0
2014-07-15,sh.601939,5.4945079500,5.5226128500,5.4804555000,5.5226128500,5.4804555000,28921807,113239345.0000,1,0.301468,1,0.769200,0
2014-07-16,sh.601939,5.5085604000,5.5366653000,5.4945079500,5.5226128500,5.5226128500,23536871,92410344.0000,1,0.245338,1,0.000000,0
2014-07-17,sh.601939,5.5226128500,5.5226128500,5.4804555000,5.4945079500,5.5226128500,23360242,91420430.0000,1,0.243497,1,-0.508900,0
2014-07-18,sh.601939,5.4804555000,5.5085604000,5.4664030500,5.4804555000,5.4945079500,25227847,98480230.0000,1,0.262964,1,-0.255800,0
2014-07-21,sh.601939,5.4664030500,5.4804555000,5.4523506000,5.4804555000,5.4804555000,18214834,70924221.0000,1,0.189863,1,0.000000,0
2014-07-22,sh.601939,5.4664030500,5.4945079500,5.4523506000,5.4804555000,5.4804555000,23992814,93552254.0000,1,0.250090,1,0.000000,0
2014-07-23,sh.601939,5.4804555000,5.5366653000,5.4664030500,5.5226128500,5.4804555000,37064132,145469570.0000,1,0.386340,1,0.769200,0
2014-07-24,sh.601939,5.5226128500,5.6209800000,5.5226128500,5.6069275500,5.5226128500,49033627,194737287.0000,1,0.511105,1,1.526700,0
2014-07-25,sh.601939,5.6209800000,5.6490849000,5.6069275500,5.6490849000,5.6069275500,29603246,118621629.0000,1,0.308571,1,0.751900,0
2014-07-28,sh.601939,5.6771898000,5.8879765500,5.6631373500,5.8458192000,5.6490849000,119084557,492697952.0000,1,1.241284,1,3.482600,0
2014-07-29,sh.601939,5.8458192000,5.8739241000,5.8177143000,5.8458192000,5.8458192000,50389261,209685218.0000,1,0.525235,1,0.000000,0
2014-07-30,sh.601939,5.8458192000,5.8598716500,5.7474520500,5.7755569500,5.8458192000,54030649,224089309.0000,1,0.563191,1,-1.201900,0
2014-07-31,sh.601939,5.7755569500,5.8317667500,5.7755569500,5.8317667500,5.7755569500,35911076,148275214.0000,1,0.374321,1,0.973200,0
2014-08-01,sh.601939,5.8177143000,5.9020290000,5.8036618500,5.8317667500,5.8317667500,62219764,259409485.0000,1,0.648551,1,0.000000,0
2014-08-04,sh.601939,5.8458192000,5.8739241000,5.8317667500,5.8598716500,5.8317667500,57818993,241138487.0000,1,0.602679,1,0.481900,0
2014-08-05,sh.601939,5.8739241000,5.8879765500,5.8317667500,5.8739241000,5.8598716500,38252323,159419195.0000,1,0.398725,1,0.239800,0
2014-08-06,sh.601939,5.8458192000,5.8458192000,5.8036618500,5.8177143000,5.8739241000,26906737,111494418.0000,1,0.280464,1,-0.956900,0
2014-08-07,sh.601939,5.8317667500,5.8317667500,5.7333996000,5.7474520500,5.8177143000,37814297,155540018.0000,1,0.394159,1,-1.207700,0
2014-08-08,sh.601939,5.7474520500,5.7755569500,5.7193471500,5.7474520500,5.7474520500,30180571,123439691.0000,1,0.314589,1,0.000000,0
2014-08-11,sh.601939,5.7474520500,5.8036618500,5.7474520500,5.7896094000,5.7474520500,25579635,105303011.0000,1,0.266631,1,0.733500,0
2014-08-12,sh.601939,5.7755569500,5.7896094000,5.7474520500,5.7615045000,5.7896094000,32116442,131663708.0000,1,0.334767,1,-0.485400,0
2014-08-13,sh.601939,5.7474520500,5.8036618500,5.7474520500,5.8036618500,5.7615045000,37464743,153844605.0000,1,0.390516,1,0.731700,0
2014-08-14,sh.601939,5.7896094000,5.8036618500,5.7474520500,5.7615045000,5.8036618500,32645326,134302226.0000,1,0.340280,1,-0.726400,0
2014-08-15,sh.601939,5.7615045000,5.8036618500,5.7333996000,5.7755569500,5.7615045000,29531968,121193963.0000,1,0.307828,1,0.243900,0
2014-08-18,sh.601939,5.7755569500,5.8036618500,5.7474520500,5.7755569500,5.7755569500,23592722,96949748.0000,1,0.245920,1,0.000000,0
2014-08-19,sh.601939,5.7755569500,5.7896094000,5.7333996000,5.7615045000,5.7755569500,28651912,117325923.0000,1,0.298655,1,-0.243300,0
2014-08-20,sh.601939,5.7615045000,5.7755569500,5.7333996000,5.7474520500,5.7615045000,23277004,95266439.0000,1,0.242629,1,-0.243900,0
2014-08-21,sh.601939,5.7474520500,5.7474520500,5.6771898000,5.7193471500,5.7474520500,32135265,130609008.0000,1,0.334964,1,-0.489000,0
2014-08-22,sh.601939,5.7052947000,5.7333996000,5.6912422500,5.7193471500,5.7193471500,23529400,95669785.0000,1,0.245260,1,0.000000,0
2014-08-25,sh.601939,5.7193471500,5.7333996000,5.6771898000,5.6912422500,5.7193471500,22790069,92423664.0000,1,0.237553,1,-0.491400,0
2014-08-26,sh.601939,5.6912422500,5.7193471500,5.6771898000,5.7052947000,5.6912422500,25638038,103948047.0000,1,0.267239,1,0.246900,0
2014-08-27,sh.601939,5.7052947000,5.7052947000,5.6771898000,5.6771898000,5.7052947000,13841384,56084848.0000,1,0.144276,1,-0.492600,0
2014-08-28,sh.601939,5.6771898000,5.6912422500,5.6069275500,5.6209800000,5.6771898000,28261634,113626982.0000,1,0.294587,1,-0.990100,0
2014-08-29,sh.601939,5.6350324500,5.6631373500,5.5928751000,5.6490849000,5.6209800000,26352739,105385683.0000,1,0.274689,1,0.500000,0
2014-09-01,sh.601939,5.6490849000,5.6631373500,5.6209800000,5.6350324500,5.6490849000,36713107,147321247.0000,1,0.382681,1,-0.248800,0
2014-09-02,sh.601939,5.6490849000,5.7193471500,5.6350324500,5.7193471500,5.6350324500,47688897,192269038.0000,1,0.497088,1,1.496300,0
2014-09-03,sh.601939,5.7052947000,5.8036618500,5.7052947000,5.7755569500,5.7193471500,56326588,230705707.0000,1,0.587123,1,0.982800,0
2014-09-04,sh.601939,5.7896094000,5.8177143000,5.7615045000,5.8036618500,5.7755569500,38682405,159421385.0000,1,0.403208,1,0.486600,0
2014-09-05,sh.601939,5.8177143000,5.8598716500,5.8036618500,5.8458192000,5.8036618500,38026459,157831551.0000,1,0.396371,1,0.726400,0
2014-09-09,sh.601939,5.8458192000,5.8598716500,5.8177143000,5.8317667500,5.8458192000,24929619,103411411.0000,1,0.259855,1,-0.240400,0
2014-09-10,sh.601939,5.8036618500,5.8177143000,5.7615045000,5.7755569500,5.8317667500,27180435,111946798.0000,1,0.283317,1,-0.963900,0
2014-09-11,sh.601939,5.7896094000,5.8317667500,5.7615045000,5.7755569500,5.7755569500,40755396,167903384.0000,1,0.424816,1,0.000000,0
2014-09-12,sh.601939,5.7755569500,5.8036618500,5.7615045000,5.8036618500,5.7755569500,28299978,116399190.0000,1,0.294986,1,0.486600,0
2014-09-15,sh.601939,5.7896094000,5.8036618500,5.7615045000,5.7896094000,5.8036618500,36152765,148802214.0000,1,0.376840,1,-0.242100,0
2014-09-16,sh.601939,5.7896094000,5.8317667500,5.7615045000,5.7755569500,5.7896094000,53928998,222266038.0000,1,0.562132,1,-0.242700,0
2014-09-17,sh.601939,5.7896094000,5.8036618500,5.7615045000,5.7755569500,5.7755569500,35700266,146729772.0000,1,0.372124,1,0.000000,0
2014-09-18,sh.601939,5.7755569500,5.8036618500,5.7333996000,5.7755569500,5.7755569500,45791610,188028647.0000,1,0.477311,1,0.000000,0
2014-09-19,sh.601939,5.7755569500,5.8036618500,5.7615045000,5.7896094000,5.7755569500,32365992,133121618.0000,1,0.337369,1,0.243300,0
2014-09-22,sh.601939,5.7755569500,5.7896094000,5.6771898000,5.6912422500,5.7896094000,35350037,143896834.0000,1,0.368473,1,-1.699000,0
2014-09-23,sh.601939,5.6912422500,5.7615045000,5.6771898000,5.6912422500,5.6912422500,32287003,131166797.0000,1,0.336545,1,0.000000,0
2014-09-24,sh.601939,5.7052947000,5.7896094000,5.6771898000,5.7755569500,5.6912422500,58557088,238981550.0000,1,0.610373,1,1.481500,0
2014-09-25,sh.601939,5.8036618500,5.8036618500,5.7474520500,5.7615045000,5.7755569500,43262158,178023749.0000,1,0.450945,1,-0.243300,0
2014-09-26,sh.601939,5.7615045000,5.8036618500,5.7193471500,5.7755569500,5.7615045000,23758334,97420169.0000,1,0.247646,1,0.243900,0
2014-09-29,sh.601939,5.7615045000,5.7896094000,5.7333996000,5.7333996000,5.7755569500,48560923,198755567.0000,1,0.506177,1,-0.729900,0
2014-09-30,sh.601939,5.7474520500,5.7615045000,5.7052947000,5.7193471500,5.7333996000,51647060,210424409.0000,1,0.538346,1,-0.245100,0
2014-10-08,sh.601939,5.7474520500,5.7615045000,5.6912422500,5.7474520500,5.7193471500,48330765,196848906.0000,1,0.503778,1,0.491400,0
2014-10-09,sh.601939,5.7474520500,5.7615045000,5.7333996000,5.7474520500,5.7474520500,34185023,139740219.0000,1,0.356329,1,0.000000,0
