date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sh.600276,387.7291048800,397.9514913300,387.7291048800,396.0272774100,389.5330554300,2740411,90135808.0000,1,0.183153,1,1.667200,0
2014-06-04,sh.600276,396.8691210000,397.9514913300,387.2480514000,389.0520019500,396.0272774100,2427891,78942503.0000,1,0.162266,1,-1.761300,0
2014-06-05,sh.600276,389.0520019500,400.4770221000,387.4885781400,399.1541250300,389.0520019500,3416301,112641554.0000,1,0.228325,1,2.596600,0
2014-06-06,sh.600276,399.2743884000,405.0470301600,394.4638536000,395.4259605600,399.1541250300,4308587,142971130.0000,1,0.287960,1,-0.934000,0
2014-06-09,sh.600276,397.9514913300,405.2875569000,395.6664873000,403.0025528700,395.4259605600,3230852,108188680.0000,1,0.215931,1,1.916000,0
2014-06-10,sh.600276,400.4770221000,405.8888737500,396.3880675200,404.3254499400,403.0025528700,3449361,114693325.0000,1,0.230535,1,0.328300,0
2014-06-11,sh.600276,400.5972854700,409.2562481100,400.5972854700,408.8954580000,404.3254499400,2893662,98033733.0000,1,0.193395,1,1.130300,0
2014-06-12,sh.600276,408.8954580000,408.8954580000,403.8443964600,404.9267667900,408.8954580000,2672359,90145028.0000,1,0.178605,1,-0.970600,0
2014-06-13,sh.600276,403.8443964600,408.4144045200,400.9580755800,401.1986023200,404.9267667900,4583157,154074480.0000,1,0.306311,1,-0.920700,0
2014-06-16,sh.600276,401.0783389500,404.6862400500,395.6664873000,397.1096477400,401.1986023200,4343800,143646788.0000,1,0.290314,1,-1.019200,0
2014-06-17,sh.600276,396.9893843700,399.8757052500,393.2612199000,394.5841169700,397.1096477400,3585570,117783624.0000,1,0.239638,1,-0.636000,0
2014-06-18,sh.600276,395.4259605600,405.5280836400,394.2233268600,401.4391290600,394.5841169700,3494489,116032019.0000,1,0.233551,1,1.737300,0
2014-06-19,sh.600276,401.6796558000,403.6038697200,395.4259605600,396.3880675200,401.4391290600,2585524,85817973.0000,1,0.172801,1,-1.258200,0
2014-06-20,sh.600276,396.8691210000,398.9135982900,392.1788495700,396.1475407800,396.3880675200,2554030,84015207.0000,1,0.170696,1,-0.060700,0
2014-06-23,sh.600276,396.8691210000,404.0849232000,395.7867506700,403.0025528700,396.1475407800,4111715,137148697.0000,1,0.274803,1,1.730400,0
2014-06-24,sh.600276,406.4901906000,406.4901906000,402.2809726500,403.1228162400,403.0025528700,2772232,93165843.0000,1,0.185279,1,0.029800,0
2014-06-25,sh.600276,403.1228162400,403.1228162400,390.8559525000,395.1854338200,403.1228162400,3541852,116330531.0000,1,0.236716,1,-1.969000,0
2014-06-26,sh.600276,396.8691210000,397.4704378500,390.6154257600,393.8625367500,395.1854338200,3298161,107905028.0000,1,0.220429,1,-0.334800,0
2014-06-27,sh.600276,393.8625367500,395.3056971900,390.8559525000,392.2991129400,393.8625367500,2569746,83921467.0000,1,0.171747,1,-0.396900,0
2014-06-30,sh.600276,393.1409565300,399.2743884000,393.1409565300,398.7933349200,392.2991129400,3211572,106116338.0000,1,0.214642,1,1.655400,0
2014-07-01,sh.600276,399.6351785100,402.8822895000,394.9449070800,401.0783389500,398.7933349200,2799514,92807860.0000,1,0.187103,1,0.573000,0
2014-07-02,sh.600276,403.4836063500,404.0849232000,395.6664873000,396.8691210000,401.0783389500,2937055,97146774.0000,1,0.196295,1,-1.049500,0
2014-07-03,sh.600276,396.8691210000,402.6417627600,395.9070140400,401.3188656900,396.8691210000,3053497,101734805.0000,1,0.204078,1,1.121200,0
2014-07-04,sh.600276,400.8378122100,400.9580755800,394.4638536000,394.9449070800,401.3188656900,2681240,88235753.0000,1,0.179198,1,-1.588200,0
2014-07-07,sh.600276,394.5841169700,396.7488576300,393.0206931600,393.2612199000,394.9449070800,1800926,59069263.0000,1,0.120363,1,-0.426300,0
2014-07-08,sh.600276,392.0585862000,398.4325448100,389.6533188000,394.9449070800,393.2612199000,4959211,161861746.0000,1,0.331444,1,0.428100,0
2014-07-09,sh.600276,395.5462239300,395.5462239300,376.4243481000,380.6335660500,394.9449070800,8440315,269427824.0000,1,0.564100,1,-3.623600,0
2014-07-10,sh.600276,380.6335660500,384.6022572600,377.7472451700,380.3930393100,380.6335660500,3172052,100615019.0000,1,0.212001,1,-0.063200,0
2014-07-11,sh.600276,381.5956730100,386.6467345500,380.2727759400,383.8806770400,380.3930393100,3035626,97107222.0000,1,0.202883,1,0.916900,0
2014-07-14,sh.600276,386.0454177000,391.6977960900,383.3996235600,388.9317385800,383.8806770400,3410440,109839967.0000,1,0.227934,1,1.315800,0
2014-07-15,sh.600276,393.9828001200,393.9828001200,386.7669979200,391.8180594600,388.9317385800,4066527,131874424.0000,1,0.271782,1,0.742100,0
2014-07-16,sh.600276,390.3748990200,395.7867506700,380.0322492000,380.3930393100,391.8180594600,6562689,211516550.0000,1,0.438611,1,-2.915900,0
2014-07-17,sh.600276,380.0322492000,383.2793601900,378.1080352800,381.5956730100,380.3930393100,2950582,93393498.0000,1,0.197199,1,0.316200,0
2014-07-18,sh.600276,380.0322492000,383.6401503000,379.0701422400,381.9564631200,381.5956730100,3359439,106563488.0000,1,0.224525,1,0.094500,0
2014-07-21,sh.600276,383.5198869300,388.9317385800,381.9564631200,387.9696316200,381.9564631200,3521196,113173438.0000,1,0.235336,1,1.574300,0
2014-07-22,sh.600276,387.9696316200,392.2991129400,387.9696316200,390.6154257600,387.9696316200,3339826,108619077.0000,1,0.223214,1,0.682000,0
2014-07-23,sh.600276,390.8559525000,392.0585862000,385.9251543300,386.5264711800,390.6154257600,1924380,62237798.0000,1,0.128614,1,-1.046800,0
2014-07-24,sh.600276,386.5264711800,394.4638536000,385.5643642200,388.2101583600,386.5264711800,3127848,100879332.0000,1,0.209047,1,0.435600,0
2014-07-25,sh.600276,392.2991129400,393.9828001200,383.8806770400,388.3304217300,388.2101583600,2866491,92317088.0000,1,0.191579,1,0.031000,0
2014-07-28,sh.600276,389.0520019500,392.2991129400,349.4853532200,388.9317385800,388.3304217300,7784483,251917831.0000,1,0.520269,1,0.154800,0
2014-07-29,sh.600276,388.3304217300,392.4193763100,386.2859444400,390.7356891300,388.9317385800,4871334,157907783.0000,1,0.325571,1,0.463800,0
2014-07-30,sh.600276,388.6912118400,400.4770221000,388.6912118400,399.7554418800,390.7356891300,6532906,215541397.0000,1,0.436621,1,2.308400,0
2014-07-31,sh.600276,399.1541250300,402.8822895000,393.3814832700,397.4704378500,399.7554418800,3823117,126187999.0000,1,0.255514,1,-0.571600,0
2014-08-01,sh.600276,397.2299111100,409.8575649600,395.7867506700,404.3254499400,397.4704378500,7976775,268795200.0000,1,0.533120,1,1.724700,0
2014-08-04,sh.600276,407.8130876700,415.8707334600,402.2809726500,405.1672935300,404.3254499400,5576528,189017403.0000,1,0.372702,1,0.208200,0
2014-08-05,sh.600276,405.8888737500,405.8888737500,395.7867506700,399.1541250300,405.1672935300,5762981,191437503.0000,1,0.385163,1,-1.484100,0
2014-08-06,sh.600276,396.8691210000,403.4836063500,396.8691210000,399.3946517700,399.1541250300,5020055,167234320.0000,1,0.335511,1,0.060300,0
2014-08-07,sh.600276,401.4391290600,401.4391290600,395.6664873000,396.9893843700,399.3946517700,3982931,131796179.0000,1,0.266195,1,-0.602200,0
2014-08-08,sh.600276,398.6730715500,401.5593924300,396.6285942600,398.0717547000,396.9893843700,3024522,100215385.0000,1,0.202141,1,0.272600,0
2014-08-11,sh.600276,398.0717547000,404.4457133100,398.0717547000,403.8443964600,398.0717547000,4129889,137996830.0000,1,0.276017,1,1.450200,0
2014-08-12,sh.600276,400.4770221000,408.6549312600,400.4770221000,407.5725609300,403.8443964600,4835844,163049192.0000,1,0.323199,1,0.923200,0
2014-08-13,sh.600276,407.9333510400,411.1804620300,401.7999191700,406.9712440800,407.5725609300,4336965,146455192.0000,1,0.289857,1,-0.147500,0
2014-08-14,sh.600276,404.5659766800,407.9333510400,401.1986023200,403.7241330900,406.9712440800,2538511,85515877.0000,1,0.169659,1,-0.797900,0
2014-08-15,sh.600276,407.4522975600,412.5033591000,403.1228162400,410.4588818100,403.7241330900,4302456,146412807.0000,1,0.287551,1,1.668200,0
2014-08-18,sh.600276,411.9020422500,419.7191613000,411.9020422500,418.0354741200,410.4588818100,4611056,160263287.0000,1,0.308176,1,1.845900,0
2014-08-19,sh.600276,418.5165276000,420.6812682600,414.1870462800,416.5923136800,418.0354741200,4344896,150838974.0000,1,0.290387,1,-0.345200,0
2014-08-20,sh.600276,415.2694166100,417.3138939000,411.5412521400,412.2628323600,416.5923136800,4305021,148303513.0000,1,0.287722,1,-1.039300,0
2014-08-21,sh.600276,414.5478363900,415.6302067200,411.0601986600,414.7883631300,412.2628323600,2627135,90187790.0000,1,0.175582,1,0.612600,0
2014-08-22,sh.600276,412.5033591000,418.5165276000,412.5033591000,414.1870462800,414.7883631300,2394836,82575408.0000,1,0.160057,1,-0.145000,0
2014-08-25,sh.600276,414.3073096500,420.4407415200,412.6236224700,412.6236224700,414.1870462800,4340635,150325491.0000,1,0.290102,1,-0.377500,0
2014-08-26,sh.600276,411.4209887700,416.7125770500,411.4209887700,414.4275730200,412.6236224700,2689962,92656311.0000,1,0.179781,1,0.437200,0
2014-08-27,sh.600276,415.1491532400,416.5923136800,407.4522975600,407.5725609300,414.4275730200,3193906,109637274.0000,1,0.213462,1,-1.654100,0
2014-08-28,sh.600276,407.5725609300,408.6549312600,402.1607092800,407.4522975600,407.5725609300,3102583,104763265.0000,1,0.207358,1,-0.029500,0
2014-08-29,sh.600276,408.7751946300,413.2249393200,403.6038697200,407.0915074500,407.4522975600,3911432,132398376.0000,1,0.261417,1,-0.088600,0
2014-09-01,sh.600276,407.6928243000,412.1425689900,403.9646598300,409.9778283300,407.0915074500,5367207,181739647.0000,1,0.358712,1,0.709000,0
2014-09-02,sh.600276,412.5033591000,412.6236224700,406.4901906000,409.8575649600,409.9778283300,4672728,158923507.0000,1,0.312297,1,-0.029300,0
2014-09-03,sh.600276,409.7373015900,416.8328404200,409.7373015900,414.9086265000,409.8575649600,6004792,206334882.0000,1,0.401325,1,1.232400,0
2014-09-04,sh.600276,414.6680997600,414.6680997600,408.6549312600,412.6236224700,414.9086265000,7638995,260551235.0000,1,0.510545,1,-0.550700,0
2014-09-05,sh.600276,413.4654660600,417.0733671600,407.4522975600,413.8262561700,412.6236224700,7166439,245390802.0000,1,0.478962,1,0.291500,0
2014-09-09,sh.600276,413.2249393200,413.2249393200,407.2117708200,408.5346678900,413.8262561700,8321799,283087168.0000,1,0.556180,1,-1.278700,0
2014-09-10,sh.600276,406.4901906000,410.6994085500,405.0470301600,408.4144045200,408.5346678900,4697915,159297345.0000,1,0.313981,1,-0.029400,0
2014-09-11,sh.600276,406.6104539700,409.6170382200,402.7620261300,403.7241330900,408.4144045200,5298378,178856675.0000,1,0.354112,1,-1.148400,0
2014-09-12,sh.600276,403.8443964600,408.2941411500,403.7241330900,407.8130876700,403.7241330900,5448318,183778475.0000,1,0.364133,1,1.012800,0
2014-09-15,sh.600276,403.9646598300,408.1738777800,403.9646598300,407.2117708200,407.8130876700,5218539,176173759.0000,1,0.348776,1,-0.147400,0
2014-09-16,sh.600276,408.2941411500,416.1112602000,406.9712440800,408.0536144100,407.2117708200,9428926,322604400.0000,1,0.630173,1,0.206700,0
2014-09-17,sh.600276,407.6928243000,428.9794407900,407.0915074500,428.1375972000,408.0536144100,12919271,449961792.0000,1,0.863447,1,4.921900,0
2014-09-18,sh.600276,430.0618111200,446.1771027000,429.3402309000,441.0057777900,428.1375972000,12959301,472474800.0000,1,0.866123,1,3.005600,0
2014-09-19,sh.600276,441.0057777900,446.1771027000,434.7520825500,445.9365759600,441.0057777900,7152951,262510620.0000,1,0.478061,1,1.118100,0
2014-09-22,sh.600276,442.6894649700,452.5510613100,436.6762964700,442.9299917100,445.9365759600,5590209,206789411.0000,1,0.373616,1,-0.674200,0
2014-09-23,sh.600276,446.5378928100,457.3615961100,441.0057777900,454.1144851200,442.9299917100,8809055,329606576.0000,1,0.588745,1,2.525100,0
2014-09-24,sh.600276,450.9876375000,459.1655466600,449.5444770600,458.0831763300,454.1144851200,8129493,309059104.0000,1,0.543327,1,0.873900,0
