date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sz.002594,46.6800000000,46.9300000000,45.6500000000,45.9100000000,46.6800000000,3322672,153274626.0000,1,0.864666,1,-1.649500,0
2014-06-04,sz.002594,45.9000000000,45.9100000000,44.3800000000,44.6900000000,45.9100000000,3468286,155793347.0000,1,0.902559,1,-2.657400,0
2014-06-05,sz.002594,44.3400000000,45.3500000000,44.1200000000,45.3500000000,44.6900000000,2805275,126027772.0000,1,0.730022,1,1.476800,0
2014-06-06,sz.002594,45.3200000000,46.3100000000,45.1700000000,46.0700000000,45.3500000000,3921703,180205975.0000,1,1.020553,1,1.587700,0
2014-06-09,sz.002594,46.1000000000,46.3600000000,45.5000000000,45.7000000000,46.0700000000,1891740,86951720.0000,1,0.492291,1,-0.803100,0
2014-06-10,sz.002594,45.7200000000,46.1600000000,44.5000000000,45.6400000000,45.7000000000,3750264,169362251.0000,1,0.975939,1,-0.131300,0
2014-06-11,sz.002594,45.3100000000,45.5500000000,44.9100000000,45.3000000000,45.6400000000,1957640,88437285.0000,1,0.509441,1,-0.745000,0
2014-06-12,sz.002594,45.3000000000,46.1300000000,45.0600000000,45.1400000000,45.3000000000,3345699,152811940.0000,1,0.870658,1,-0.353200,0
2014-06-13,sz.002594,45.7000000000,48.0000000000,45.1600000000,47.8000000000,45.1400000000,10480645,493899696.0000,1,2.727400,1,5.892800,0
2014-06-16,sz.002594,47.5800000000,47.9700000000,46.6000000000,47.1500000000,47.8000000000,6049950,285677504.0000,1,1.574391,1,-1.359800,0
2014-06-17,sz.002594,46.9000000000,47.6900000000,46.5900000000,46.6700000000,47.1500000000,4652470,219405676.0000,1,1.210722,1,-1.018000,0
2014-06-18,sz.002594,46.7500000000,47.3700000000,46.6000000000,47.0000000000,46.6700000000,3670897,172522750.0000,1,0.955285,1,0.707100,0
2014-06-19,sz.002594,47.0000000000,47.3700000000,45.2000000000,45.8000000000,47.0000000000,2917385,135195900.0000,1,0.759197,1,-2.553200,0
2014-06-20,sz.002594,46.3000000000,47.2400000000,45.5000000000,46.6000000000,45.8000000000,4545280,212481405.0000,1,1.182827,1,1.746700,0
2014-06-23,sz.002594,47.0000000000,47.3600000000,46.5000000000,46.8000000000,46.6000000000,2560361,120016815.0000,1,0.666288,1,0.429200,0
2014-06-24,sz.002594,47.4500000000,48.6000000000,46.9500000000,48.4600000000,46.8000000000,7987232,382208656.0000,1,2.078534,1,3.547000,0
2014-06-25,sz.002594,48.5200000000,49.0800000000,48.1000000000,48.8500000000,48.4600000000,6196785,301497136.0000,1,1.612602,1,0.804800,0
2014-06-26,sz.002594,48.5500000000,50.0000000000,48.2500000000,49.5000000000,48.8500000000,4900574,240679131.0000,1,1.275286,1,1.330600,0
2014-06-27,sz.002594,49.9900000000,51.0800000000,48.5100000000,48.9100000000,49.5000000000,9420195,472773568.0000,1,2.451437,1,-1.191900,0
2014-06-30,sz.002594,47.9900000000,48.2500000000,46.4000000000,47.4900000000,48.9100000000,8616225,409053616.0000,1,2.065301,1,-2.903300,0
2014-07-01,sz.002594,47.5000000000,48.4200000000,47.0100000000,47.7000000000,47.4900000000,6351375,304176016.0000,1,0.916968,1,0.442200,0
2014-07-02,sz.002594,47.4700000000,48.1700000000,47.1300000000,47.9000000000,47.7000000000,4109941,195965080.0000,1,0.593365,1,0.419300,0
2014-07-03,sz.002594,47.9500000000,49.4900000000,47.5000000000,48.8500000000,47.9000000000,8785740,427928032.0000,1,1.268425,1,1.983300,0
2014-07-04,sz.002594,48.9300000000,49.1000000000,48.2900000000,48.2900000000,48.8500000000,4995092,242779840.0000,1,0.721157,1,-1.146400,0
2014-07-07,sz.002594,48.3900000000,48.8000000000,47.6000000000,47.7500000000,48.2900000000,4201252,201892486.0000,1,0.606548,1,-1.118200,0
2014-07-08,sz.002594,47.7300000000,49.4600000000,47.7300000000,49.2300000000,47.7500000000,10329139,502775664.0000,1,1.491250,1,3.099500,0
2014-07-09,sz.002594,49.2200000000,49.2500000000,47.5900000000,47.9600000000,49.2300000000,7368969,356088112.0000,1,1.063881,1,-2.579700,0
2014-07-10,sz.002594,49.0000000000,49.4500000000,46.5800000000,46.5900000000,47.9600000000,13717523,657638416.0000,1,1.980442,1,-2.856500,0
2014-07-11,sz.002594,45.8900000000,47.0000000000,44.5000000000,46.9100000000,46.5900000000,8903576,408352208.0000,1,1.285437,1,0.686800,0
2014-07-14,sz.002594,47.5000000000,49.5000000000,47.4800000000,48.7400000000,46.9100000000,11563455,559960464.0000,1,1.669452,1,3.901100,0
2014-07-15,sz.002594,48.6900000000,48.6900000000,47.3300000000,47.7100000000,48.7400000000,6885858,328972928.0000,1,0.994133,1,-2.113300,0
2014-07-16,sz.002594,47.6800000000,48.3000000000,46.8000000000,47.1000000000,47.7100000000,4042521,192249377.0000,1,0.583631,1,-1.278600,0
2014-07-17,sz.002594,47.6000000000,47.6400000000,46.3000000000,46.4900000000,47.1000000000,3523687,164428661.0000,1,0.508726,1,-1.295100,0
2014-07-18,sz.002594,46.5200000000,46.9100000000,46.2700000000,46.3600000000,46.4900000000,3066934,143083811.0000,1,0.442783,1,-0.279600,0
2014-07-21,sz.002594,46.3600000000,46.5000000000,45.9100000000,46.0300000000,46.3600000000,3870151,178588767.0000,1,0.558746,1,-0.711800,0
2014-07-22,sz.002594,46.3900000000,49.2500000000,46.3000000000,48.6000000000,46.0300000000,12471001,602510112.0000,1,1.800477,1,5.583300,0
2014-07-23,sz.002594,48.2000000000,48.4900000000,47.2000000000,47.7000000000,48.6000000000,5318670,254576006.0000,1,0.767873,1,-1.851800,0
2014-07-24,sz.002594,47.9000000000,48.2200000000,46.7900000000,47.7100000000,47.7000000000,3967705,188541816.0000,1,0.572830,1,0.021000,0
2014-07-25,sz.002594,47.8000000000,48.5800000000,47.8000000000,48.4300000000,47.7100000000,4853161,234148862.0000,1,0.700666,1,1.509100,0
2014-07-28,sz.002594,48.6500000000,49.4000000000,48.6500000000,49.0700000000,48.4300000000,6901326,338823200.0000,1,0.996366,1,1.321500,0
2014-07-29,sz.002594,49.1000000000,52.7000000000,48.5500000000,51.4100000000,49.0700000000,12513846,638548240.0000,1,1.806663,1,4.768700,0
2014-07-30,sz.002594,51.5100000000,52.4500000000,50.8500000000,51.3900000000,51.4100000000,7271873,375434656.0000,1,1.049863,1,-0.038900,0
2014-07-31,sz.002594,51.4500000000,51.8600000000,50.5000000000,50.7100000000,51.3900000000,5082513,259450457.0000,1,0.733778,1,-1.323200,0
