date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sh.600436,100.7992762500,101.5560863500,99.9641754500,100.1990475500,100.6557433000,351247,27054204.0000,1,0.218322,1,-0.453700,0
2014-06-04,sh.600436,99.9250301000,99.9511270000,96.5454815500,97.4458246000,100.1990475500,1868228,139468965.0000,1,1.161222,1,-2.747800,0
2014-06-05,sh.600436,97.2631463000,97.9938595000,96.0365920000,97.9155688000,97.4458246000,908762,67502639.0000,1,0.564853,1,0.482100,0
2014-06-06,sh.600436,97.9155688000,97.9808110500,96.5976753500,96.8455959000,97.9155688000,555249,41290581.0000,1,0.345123,1,-1.092800,0
2014-06-09,sh.600436,97.1587587000,97.7328905000,96.5715784500,96.8716928000,96.8455959000,448278,33368098.0000,1,0.278633,1,0.026900,0
2014-06-10,sh.600436,96.8325474500,97.7067936000,96.7281598500,97.6937451500,96.8716928000,667576,49826970.0000,1,0.414941,1,0.848600,0
2014-06-11,sh.600436,97.8111812000,97.8111812000,97.2109525000,97.7850843000,97.6937451500,634595,47420635.0000,1,0.394441,1,0.093500,0
2014-06-12,sh.600436,97.7720358500,98.1243440000,97.2761947500,97.3153401000,97.7850843000,655140,48996378.0000,1,0.407211,1,-0.480400,0
2014-06-13,sh.600436,97.3414370000,98.3200707500,97.2109525000,98.2939738500,97.3153401000,824365,61892563.0000,1,0.512395,1,1.005600,0
2014-06-16,sh.600436,98.2809254000,99.7945456000,97.9938595000,99.7814971500,98.2939738500,1121688,85125298.0000,1,0.697200,1,1.513300,0
2014-06-17,sh.600436,99.6901580000,101.1124390500,98.7506696000,100.3686774000,99.7814971500,1386929,106357327.0000,1,0.862065,1,0.588500,0
2014-06-18,sh.600436,100.0685630500,100.2773382500,97.8633750000,98.3983614500,100.3686774000,861789,65299256.0000,1,0.535657,1,-1.963100,0
2014-06-19,sh.600436,97.8633750000,98.3853130000,96.4932877500,96.7542567500,98.3983614500,852064,63527000.0000,1,0.529612,1,-1.670900,0
2014-06-20,sh.600436,96.7542567500,98.4897006000,96.7542567500,97.9416657000,96.7542567500,561703,42122591.0000,1,0.349134,1,1.227200,0
2014-06-23,sh.600436,98.4505552500,98.5027490500,97.8894719000,98.2809254000,97.9416657000,381696,28713252.0000,1,0.237248,1,0.346400,0
2014-06-24,sh.600436,98.2939738500,99.5074797000,97.9025203500,99.3769952000,98.2809254000,660917,50095602.0000,1,0.410802,1,1.115200,0
2014-06-25,sh.600436,99.1551715500,99.8206425000,98.3853130000,98.8942025500,99.3769952000,584141,44305484.0000,1,0.363081,1,-0.485800,0
2014-06-26,sh.600436,98.0070692400,100.6154713800,97.9938286200,99.6489061200,98.8941907800,1249305,94189695.0000,1,0.776522,1,0.763200,0
2014-06-27,sh.600436,99.3708531000,100.7611182000,98.8544689200,100.4301027000,99.6489061200,1524198,114844077.0000,1,0.947386,1,0.783900,0
2014-06-30,sh.600436,99.9799216200,103.7799795600,99.9799216200,102.6545268600,100.4301027000,1783672,138725514.0000,1,1.108666,1,2.214900,0
2014-07-01,sh.600436,103.2503547600,103.5416484000,102.2970301200,103.0385048400,102.6545268600,787189,61207331.0000,1,0.489288,1,0.374000,0
2014-07-02,sh.600436,102.8928580200,103.4357234400,101.7409240800,102.7604518200,103.0385048400,901257,69789339.0000,1,0.560189,1,-0.269900,0
2014-07-03,sh.600436,102.7736924400,106.0044037200,102.7736924400,105.5145007800,102.7604518200,1867876,148480728.0000,1,1.161004,1,2.680100,0
2014-07-04,sh.600436,105.5807038800,106.0044037200,104.4155293200,105.6071851200,105.5145007800,930017,73926302.0000,1,0.578065,1,0.087800,0
2014-07-07,sh.600436,105.2099665200,105.5939445000,102.6148050000,103.6210921200,105.6071851200,1393437,109220592.0000,1,0.866110,1,-1.880600,0
