date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sz.002230,139.6169751700,142.7378944800,139.5580899000,140.8535658400,139.5580899000,6823196,164259911.0000,1,1.180779,1,0.928300,0
2014-06-04,sz.002230,140.8535658400,140.8535658400,134.8472683000,136.5549411300,140.8535658400,7158039,166639055.0000,1,1.238725,1,-3.051800,0
2014-06-05,sz.002230,136.3194000500,138.9103519300,134.2584156000,138.3803845000,136.5549411300,6370043,147065845.0000,1,1.102359,1,1.336800,0
2014-06-06,sz.002230,137.9093023400,140.0291720600,135.4361210000,136.6138264000,138.3803845000,6316334,147961213.0000,1,1.093065,1,-1.276600,0
2014-06-09,sz.002230,136.1427442400,138.2037286900,133.6106776300,134.0817597900,136.6138264000,4850562,111775099.0000,1,0.839407,1,-1.853400,0
2014-06-10,sz.002230,134.2584156000,138.2037286900,134.2584156000,138.2037286900,134.0817597900,7959968,184259637.0000,1,1.377501,1,3.074200,0
2014-06-11,sz.002230,137.7326465300,139.4992046300,137.2615643700,138.8514666600,138.2037286900,7548588,177592152.0000,1,1.306311,1,0.468700,0
2014-06-12,sz.002230,138.6748108500,138.8514666600,135.2005799200,135.6716620800,138.8514666600,8099011,187572262.0000,1,1.401563,1,-2.290100,0
2014-06-13,sz.002230,135.5538915400,139.6758604400,135.2005799200,137.7915318000,135.6716620800,9320842,218330736.0000,1,1.613006,1,1.562500,0
2014-06-16,sz.002230,138.6159255800,151.5706849800,137.8504170700,151.5706849800,137.7915318000,26837578,667935888.0000,1,4.644341,1,10.000000,0
2014-06-17,sz.002230,152.8072756500,155.8693096900,150.6285206600,154.2794074000,151.5706849800,29355701,764672560.0000,1,5.080111,1,1.787100,0
2014-06-18,sz.002230,153.9849810500,162.2289188500,151.8062260600,157.4592119800,154.2794074000,27773466,743833488.0000,1,4.806299,1,2.061100,0
2014-06-19,sz.002230,157.8125236000,159.5790817000,149.4508152600,150.9229470100,157.4592119800,18175270,476117664.0000,1,3.145297,1,-4.151100,0
2014-06-20,sz.002230,151.9828818700,164.8787560000,151.9828818700,161.1100987200,150.9229470100,26940480,729070720.0000,1,4.662148,1,6.749900,0
2014-06-23,sz.002230,161.0512134500,164.8787560000,159.4613111600,161.7578366900,161.1100987200,21046972,579223136.0000,1,3.642255,1,0.402000,0
2014-06-24,sz.002230,161.3456398000,162.9944273600,157.9891794100,160.0501638600,161.7578366900,14644249,396791136.0000,1,2.534241,1,-1.055700,0
