date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sh.600900,12.5949936600,12.8665275200,12.5949936600,12.8247530800,12.5949936600,16843691,102792017.0000,1,0.172828,1,1.824200,0
2014-06-04,sh.600900,12.7412042000,12.8038658600,12.5949936600,12.6785425400,12.8247530800,13233694,80434481.0000,1,0.135787,1,-1.140100,0
2014-06-05,sh.600900,12.6367681000,12.8247530800,12.5532192200,12.8038658600,12.6785425400,13973181,84893556.0000,1,0.143374,1,0.988500,0
2014-06-06,sh.600900,12.8038658600,12.8038658600,12.6785425400,12.7412042000,12.8038658600,9966401,60807863.0000,1,0.102262,1,-0.489400,0
2014-06-09,sh.600900,12.6785425400,13.1171741600,12.6785425400,13.0962869400,12.7412042000,33917378,211069847.0000,1,0.348015,1,2.786900,0
2014-06-10,sh.600900,13.0753997200,13.1589486000,12.9709636200,13.0753997200,13.0962869400,16210362,101522220.0000,1,0.166329,1,-0.159500,0
2014-06-11,sh.600900,13.0336252800,13.2424974800,13.0127380600,13.1171741600,13.0753997200,10854876,68223473.0000,1,0.111378,1,0.319500,0
2014-06-12,sh.600900,13.1171741600,13.1380613800,12.9500764000,12.9918508400,13.1171741600,7583081,47330869.0000,1,0.077808,1,-0.955400,0
2014-06-13,sh.600900,12.9709636200,13.1798358200,12.9083019600,13.0545125000,12.9918508400,18433876,114884217.0000,1,0.189144,1,0.482300,0
2014-06-16,sh.600900,12.9918508400,13.1380613800,12.9709636200,13.0753997200,13.0545125000,11248677,70402793.0000,1,0.115419,1,0.160000,0
2014-06-17,sh.600900,13.0336252800,13.1171741600,12.9709636200,12.9918508400,13.0753997200,10683517,66637202.0000,1,0.109620,1,-0.639000,0
2014-06-18,sh.600900,13.0127380600,13.1798358200,12.9918508400,13.0545125000,12.9918508400,10707471,67190943.0000,1,0.109866,1,0.482300,0
2014-06-19,sh.600900,13.1171741600,13.1171741600,12.9291891800,12.9500764000,13.0545125000,7637350,47611057.0000,1,0.078364,1,-0.800000,0
2014-06-20,sh.600900,12.9291891800,13.0127380600,12.8247530800,12.8456403000,12.9500764000,12926796,79916101.0000,1,0.132638,1,-0.806400,0
2014-06-23,sh.600900,12.8665275200,12.9709636200,12.5323320000,12.7412042000,12.8456403000,17628375,107385589.0000,1,0.180879,1,-0.813000,0
2014-06-24,sh.600900,12.7203169800,12.7829786400,12.6576553200,12.7620914200,12.7412042000,7205774,43924483.0000,1,0.073936,1,0.163900,0
2014-06-25,sh.600900,12.7620914200,12.8038658600,12.6576553200,12.7620914200,12.7620914200,3406355,20755185.0000,1,0.034952,1,0.000000,0
2014-06-26,sh.600900,12.7620914200,12.8665275200,12.7203169800,12.7412042000,12.7620914200,7986026,48847699.0000,1,0.081942,1,-0.163700,0
2014-06-27,sh.600900,12.7620914200,12.7829786400,12.6785425400,12.7203169800,12.7412042000,8876662,54057431.0000,1,0.091081,1,-0.163900,0
2014-06-30,sh.600900,12.7203169800,13.2633847000,12.6785425400,12.9918508400,12.7203169800,14442581,89293415.0000,1,0.148191,1,2.134600,0
2014-07-01,sh.600900,12.9918508400,13.0336252800,12.8456403000,12.8874147400,12.9918508400,7389476,45676348.0000,1,0.075821,1,-0.803900,0
2014-07-02,sh.600900,12.8665275200,13.0336252800,12.8665275200,13.0127380600,12.8874147400,8912488,55281582.0000,1,0.091448,1,0.972400,0
