date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-06-03,sh.601012,24.5737136700,24.9187990800,24.1741410900,24.2104658700,24.6282008400,2519462,33940096.0000,1,0.810045,1,-1.696200,0
2014-06-04,sh.601012,24.0106795800,24.1559787000,23.2660215900,23.6111070000,24.2104658700,5731796,74417444.0000,1,1.842859,1,-2.475600,0
2014-06-05,sh.601012,23.4658078800,23.6474317800,23.1025600800,23.6111070000,23.6111070000,3618477,46639505.0000,1,1.163395,1,0.000000,0
2014-06-06,sh.601012,23.5747822200,23.6655941700,23.3568335400,23.4113207100,23.6111070000,973089,12595509.0000,1,0.312863,1,-0.846200,0
2014-06-09,sh.601012,23.3931583200,23.7200813400,23.0662353000,23.6474317800,23.4113207100,2350677,30461007.0000,1,0.755778,1,1.008500,0
2014-06-10,sh.601012,23.6474317800,23.8472180700,23.3205087600,23.6655941700,23.6474317800,3311868,42831437.0000,1,1.064815,1,0.076800,0
2014-06-11,sh.601012,23.7019189500,24.4829017200,23.4658078800,24.3194402100,23.6655941700,5051505,67207366.0000,1,1.624135,1,2.762900,0
2014-06-12,sh.601012,24.3012778200,24.7734999600,24.1559787000,24.5555512800,24.3194402100,3635746,48944317.0000,1,1.168947,1,0.970900,0
2014-06-13,sh.601012,24.3739273800,24.9551238600,24.2286282600,24.4829017200,24.5555512800,5518828,74374973.0000,1,1.774386,1,-0.295900,0
2014-06-16,sh.601012,24.4465769400,25.3910212200,24.4284145500,25.3546964400,24.4829017200,6480343,89446604.0000,1,2.083528,1,3.560800,0
2014-06-17,sh.601012,25.3546964400,26.2446535500,25.1730725400,25.5908075100,25.3546964400,7713911,109525241.0000,1,2.480138,1,0.931200,0
2014-06-18,sh.601012,28.1517045000,28.1517045000,26.2991407200,28.1517045000,25.5908075100,32614650,495373808.0000,1,10.486101,1,10.007100,0
2014-06-19,sh.601012,28.1517045000,28.1517045000,28.1517045000,28.1517045000,28.1517045000,0,0.0000,1,,0,0.000000,0
2014-06-20,sh.601012,28.1517045000,28.1517045000,28.1517045000,28.1517045000,28.1517045000,0,0.0000,1,,0,0.000000,0
2014-06-23,sh.601012,28.1517045000,28.1517045000,28.1517045000,28.1517045000,28.1517045000,0,0.0000,1,,0,0.000000,0
2014-06-24,sh.601012,28.1517045000,28.1517045000,28.1517045000,28.1517045000,28.1517045000,0,0.0000,1,,0,0.000000,0
2014-06-25,sh.601012,28.1517045000,28.1517045000,28.1517045000,28.1517045000,28.1517045000,0,0.0000,1,,0,0.000000,0
2014-06-26,sh.601012,28.1517045000,28.1517045000,28.1517045000,28.1517045000,28.1517045000,0,0.0000,1,,0,0.000000,0
2014-06-27,sh.601012,28.1517045000,28.1517045000,28.1517045000,28.1517045000,28.1517045000,0,0.0000,1,,0,0.000000,0
2014-06-30,sh.601012,28.1517045000,28.1517045000,28.1517045000,28.1517045000,28.1517045000,0,0.0000,1,,0,0.000000,0
2014-07-01,sh.601012,28.3333284000,30.0405930600,27.1527730500,29.5138837500,28.1517045000,28555294,450247792.0000,1,9.180957,1,4.838700,0
2014-07-02,sh.601012,29.4593965800,29.5502085300,28.1698668900,28.9326872700,29.5138837500,11126750,176856205.0000,1,3.577418,1,-1.969200,0
2014-07-03,sh.601012,28.8782001000,29.2777726800,28.6602514200,29.0053368300,28.9326872700,10303757,164827075.0000,1,3.312813,1,0.251100,0
2014-07-04,sh.601012,29.0779863900,29.4593965800,28.2970036200,28.3151660100,29.0053368300,6629791,104682075.0000,1,2.131578,1,-2.379500,0
2014-07-07,sh.601012,28.4423027400,28.8237129300,28.1880292800,28.7510633700,28.3151660100,5694194,89914738.0000,1,1.830769,1,1.539400,0
2014-07-08,sh.601012,28.7510633700,29.6046957000,28.3696531800,29.3322598500,28.7510633700,9052353,145247281.0000,1,2.910468,1,2.021500,0
2014-07-09,sh.601012,29.3322598500,29.3504222400,28.3333284000,28.3514907900,29.3322598500,6685289,106031878.0000,1,2.149421,1,-3.343700,0
2014-07-10,sh.601012,28.5337101600,29.0438914400,26.9302832800,27.4951268400,28.3515025600,9606043,145480025.0000,1,3.088487,1,-3.020600,0
2014-07-11,sh.601012,27.4040230400,28.1510742000,27.0942701200,27.5680098800,27.4951268400,6965691,105504934.0000,1,2.239574,1,0.265100,0
2014-07-14,sh.601012,27.5133476000,28.2421780000,27.5133476000,27.8959835600,27.5680098800,5229878,80346132.0000,1,1.681484,1,1.189700,0
2014-07-15,sh.601012,27.9506458400,28.4972686400,27.6591136800,27.8595420400,27.8959835600,7329250,113320085.0000,1,2.356464,1,-0.130600,0
2014-07-16,sh.601012,27.7319967200,28.2057364800,27.1124908800,27.5680098800,27.8595420400,3870310,58525514.0000,1,1.244363,1,-1.046400,0
2014-07-17,sh.601012,27.3311400000,28.0417496400,26.9302832800,27.5315683600,27.5680098800,3517371,52896302.0000,1,1.130888,1,-0.132200,0
2014-07-18,sh.601012,27.7137759600,28.2057364800,27.4769060800,27.8595420400,27.5315683600,5153306,78952888.0000,1,1.656865,1,1.191300,0
2014-07-21,sh.601012,28.6065932000,29.4083066400,28.3697233200,28.6248139600,27.8595420400,14412434,228198585.0000,1,4.633814,1,2.746900,0
2014-07-22,sh.601012,28.3879440800,29.3900858800,28.1692949600,29.0438914400,28.6248139600,10413358,166080622.0000,1,3.348051,1,1.464000,0
2014-07-23,sh.601012,28.8616838400,30.1006955200,28.7159177600,29.8638256400,29.0438914400,11018902,179863677.0000,1,3.542743,1,2.823100,0
2014-07-24,sh.601012,29.6998388000,30.5197730000,29.1714367600,29.4447481600,29.8638256400,8080833,132232047.0000,1,2.598109,1,-1.403300,0
2014-07-25,sh.601012,29.5905142400,29.8638256400,28.8981253600,29.1167744800,29.4447481600,4618160,73982108.0000,1,1.484808,1,-1.113900,0
2014-07-28,sh.601012,29.0438914400,30.8841882000,28.8070215600,30.7748636400,29.1167744800,12699256,210474851.0000,1,4.083002,1,5.694600,0
2014-07-29,sh.601012,30.7566428800,31.4672525200,30.3011238800,30.7566428800,30.7748636400,10441004,177325473.0000,1,3.356940,1,-0.059200,0
2014-07-30,sh.601012,30.7748636400,31.0299542800,30.0095917200,30.1006955200,30.7566428800,7933651,131957351.0000,1,2.550788,1,-2.132700,0
2014-07-31,sh.601012,29.6998388000,30.6108768000,29.6451765200,30.4104484400,30.1006955200,4305896,71633991.0000,1,1.384410,1,1.029100,0
2014-08-01,sh.601012,30.1735785600,30.3740069200,28.8070215600,28.9527876400,30.4104484400,9636999,155248587.0000,1,3.098440,1,-4.793300,0
2014-08-04,sh.601012,28.9710084000,29.4994104400,27.8777628000,29.3900858800,28.9527876400,10447395,164259361.0000,1,3.358995,1,1.510400,0
2014-08-05,sh.601012,29.3718651200,29.8091633600,28.9163461200,29.6087350000,29.3900858800,7200323,116453114.0000,1,2.315012,1,0.744000,0
2014-08-06,sh.601012,29.5540727200,32.5422773600,29.5540727200,31.5036940400,29.6087350000,17245192,294480352.0000,1,5.544589,1,6.400000,0
2014-08-07,sh.601012,31.8863300000,32.5240566000,31.8863300000,32.1414206400,31.5036940400,15726862,278177136.0000,1,5.056423,1,2.024300,0
2014-08-08,sh.601012,32.0685376000,33.1617832000,31.5036940400,31.5583563200,32.1414206400,12079251,214265207.0000,1,3.883661,1,-1.814100,0
2014-08-11,sh.601012,32.0503168400,33.5444191600,31.9774338000,33.1617832000,31.5583563200,14079757,254042662.0000,1,4.526854,1,5.080800,0
2014-08-12,sh.601012,33.1253416800,33.5261984000,32.4876150800,33.0160171200,33.1617832000,6547874,118337273.0000,1,2.105240,1,-0.439600,0
2014-08-13,sh.601012,32.8155887600,33.3439908000,32.3965112800,32.7973680000,33.0160171200,6415851,115570640.0000,1,2.062793,1,-0.662300,0
2014-08-14,sh.601012,32.9249133200,33.4715361200,32.0685376000,32.5240566000,32.7973680000,5648058,101172522.0000,1,1.815936,1,-0.833300,0
2014-08-15,sh.601012,32.3965112800,33.0706794000,32.3965112800,32.6333811600,32.5240566000,5297036,94937430.0000,1,1.703077,1,0.336100,0
2014-08-18,sh.601012,32.4329528000,33.7995098000,32.3418490000,33.7084060000,32.6333811600,6573811,118994364.0000,1,2.113579,1,3.294300,0
2014-08-19,sh.601012,33.4897568800,34.0181589200,32.8520302800,33.5626399200,33.7084060000,4444944,81500744.0000,1,1.429116,1,-0.432400,0
2014-08-20,sh.601012,33.3439908000,34.1639250000,32.9795756000,33.7630682800,33.5626399200,4870458,90306152.0000,1,1.565926,1,0.597200,0
2014-08-21,sh.601012,33.5261984000,33.9817174000,33.0160171200,33.7995098000,33.7630682800,4690535,86281334.0000,1,1.508078,1,0.107900,0
2014-08-22,sh.601012,33.7995098000,36.2046501200,33.3986530800,35.4211574400,33.7995098000,9696677,186044319.0000,1,3.117628,1,4.797900,0
2014-08-25,sh.601012,35.7309103600,36.1864293600,34.9474176800,35.6762480800,35.4211574400,6439363,125628510.0000,1,2.070352,1,0.720200,0
2014-08-26,sh.601012,35.4940404800,35.6762480800,33.7812890400,34.0910419600,35.6762480800,6977990,132201806.0000,1,2.243529,1,-4.443300,0
2014-08-27,sh.601012,34.1092627200,34.7469893200,33.4533153600,34.5830024800,34.0910419600,3929334,74018190.0000,1,1.263340,1,1.443100,0
2014-08-28,sh.601012,34.6194440000,36.0771048000,34.4007948800,34.9656384400,34.5830024800,4617980,89117476.0000,1,1.484750,1,1.106400,0
2014-08-29,sh.601012,34.9656384400,35.5304820000,34.0910419600,35.4758197200,34.9656384400,3604096,68751557.0000,1,1.158771,1,1.459100,0
2014-09-01,sh.601012,35.3482744000,36.3504162000,34.7105478000,36.0771048000,35.4758197200,7872818,153359057.0000,1,2.531229,1,1.694900,0
2014-09-02,sh.601012,36.0771048000,36.4779615200,35.6398065600,36.1682086000,36.0771048000,7271260,144186284.0000,1,2.337819,1,0.252500,0
2014-09-03,sh.601012,36.2046501200,37.3525580000,35.7491311200,36.9152597600,36.1682086000,9375588,187720380.0000,1,3.014393,1,2.065500,0
2014-09-04,sh.601012,36.9334805200,37.6258694000,36.3686369600,37.5529863600,36.9152597600,8950907,183026636.0000,1,2.877851,1,1.727500,0
2014-09-05,sh.601012,38.0813884000,39.3568416000,36.8241559600,37.5165448400,37.5529863600,14779043,308006208.0000,1,4.751685,1,-0.097000,0
2014-09-09,sh.601012,37.3525580000,37.9174015600,36.3686369600,37.5529863600,37.5165448400,5986051,122912022.0000,1,1.924605,1,0.097100,0
2014-09-10,sh.601012,37.7716354800,38.8102188000,37.4436618000,38.6826734800,37.5529863600,7881655,165387441.0000,1,2.534071,1,3.008200,0
2014-09-11,sh.601012,38.4458036000,40.4318664400,38.2818167600,39.4115038800,38.6826734800,9747676,211235635.0000,1,3.134024,1,1.884100,0
2014-09-12,sh.601012,39.2657378000,40.0127889600,38.6280112000,39.7759190800,39.4115038800,4793694,103557159.0000,1,1.541245,1,0.924600,0
2014-09-15,sh.601012,39.8670228800,40.1585550400,39.3750623600,39.8305813600,39.7759190800,4781990,104175290.0000,1,1.537482,1,0.137400,0
2014-09-16,sh.601012,39.7212568000,39.7212568000,37.0428050800,37.2978957200,39.8305813600,8631160,180949643.0000,1,2.775048,1,-6.358700,0
2014-09-17,sh.601012,37.3525580000,37.8627392800,36.0224425200,36.5690653200,37.2978957200,7300463,146496950.0000,1,2.347209,1,-1.954100,0
2014-09-18,sh.601012,36.4415200000,37.6258694000,36.4415200000,37.2067919200,36.5690653200,5118712,104224244.0000,1,1.645743,1,1.743900,0
2014-09-19,sh.601012,37.5347656000,37.5347656000,34.8016516000,36.2775331600,37.2067919200,9867954,195836121.0000,1,3.172696,1,-2.497600,0
