close,volume,amount,turn,MACD,RSI,ADX
46.8,2560361,120016815,0.666288,0.14583395,54.5177665,27.43585361
48.46,7987232,382208656,2.078534,0.254871721,68.31875607,26.59867855
48.85,6196785,301497136,1.612602,0.359000259,67.46506986,26.60411682
49.5,4900574,240679131,1.275286,0.475321131,67.2361809,27.73347156
48.91,9420195,472773568,2.451437,0.521085594,65.78171091,29.70186758
47.49,8616225,409053616,2.065301,0.457508575,58.02254987,27.86458493
47.7,6351375,304176016,0.916968,0.416797251,60.52631579,26.41820847
47.9,4109941,195965080,0.593365,0.393727073,62.06293706,25.13250016
48.85,8785740,427928032,1.268425,0.435708435,55.39568345,25.25742819
48.29,4995092,242779840,0.721157,0.424673402,55.91286307,25.36931295
47.75,4201252,201892486,0.606548,0.37356572,55.56701031,24.49089857
49.23,10329139,502775664,1.49125,0.433323526,60.2764977,24.30942204
47.96,7368969,356088112,1.063881,0.384799577,59.89010989,23.95098805
46.59,13717523,657638416,1.980442,0.244517602,49.9564839,22.54630152
46.91,8903576,408352208,1.285437,0.155289141,50.47372954,22.03970287
48.74,11563455,559960464,1.669452,0.216742474,51.18845501,21.00466856
47.71,6885858,328972928,0.994133,0.186896784,45.41062802,19.93962509
47.1,4042521,192249377,0.583631,0.116512684,40.30694669,18.53544086
46.49,3523687,164428661,0.508726,0.014982189,40.24193548,17.29130633
46.36,3066934,143083811,0.442783,-0.074252089,44.91449145,16.1775136
46.03,3870151,178588767,0.558746,-0.167880428,42.56455922,15.45231743
48.6,12471001,602510112,1.800477,-0.045920708,52.57352941,15.739145
47.7,5318670,254576006,0.767873,-0.017953007,45.75645756,16.00231167
47.71,3967705,188541816,0.57283,0.004896456,47.76923077,15.87648278
48.43,4853161,234148862,0.700666,0.077532562,52.57966616,16.00022057
49.07,6901326,338823200,0.996366,0.182385696,49.35170178,16.63049197
51.41,12513846,638548240,1.806663,0.441704004,62.86353468,18.62902056
51.39,7271873,375434656,1.049863,0.638114314,69.90049751,20.46987766
50.71,5082513,259450457,0.733778,0.73216346,65.2979066,21.83247566
49.69,4999075,252787461,0.721732,0.718593458,54.0913006,22.34315407
51.47,5180492,264549980,0.747924,0.837618276,65.21035599,22.95775464
51.39,3529632,179941780,0.509584,0.915026786,68.13186813,23.68042456
52.5,7117226,370257712,1.027536,1.051521295,74.37145174,24.6881512
51.3,6228705,325731632,0.899258,1.0528696,68.43283582,26.12211431
51.45,3386874,175394763,0.488974,1.053595776,70.49924357,27.37293346
51.9,3447063,179231723,0.497663,1.077306808,64.86486486,28.51544461
51.59,3707496,191574736,0.535263,1.05928847,68.50618459,29.57207484
51.2596737,4077209,208812762,0.588639,1.007166858,66.38765814,29.79120921
51.6000035,3960521,203878945,0.571793,0.981556461,65.16652864,29.99398691
51.650052,3247748,167076022,0.468887,0.954218202,63.08249311,30.20660827
51.549955,3362001,174154980,0.485383,0.914028544,50.9182433,30.60178848
51.3998095,3645113,187895916,0.526256,0.86028171,50.06327936,30.68399486
50.649082,3891018,197065413,0.561758,0.749162599,49.61058211,29.68306576
50.9994215,3379734,170149819,0.487943,0.681213236,59.15421503,28.46716273
50.0284806,4372960,218923572,0.631338,0.543522323,38.63684671,27.15301847
49.9183739,5806762,284571072,0.83834,0.420753104,38.45432408,25.88573592
49.3978695,2600390,128330742,0.375426,0.278607683,23.18150734,24.71120304
50.3788201,4365297,218520045,0.630232,0.241710311,41.72273218,22.94296891
49.2877628,2567252,127507913,0.370642,0.123645498,33.38165702,21.6969049
50.5990335,3693403,185304080,0.533228,0.133639813,41.17012403,20.18898527
51.1395573,4867929,248174971,0.702798,0.182794322,47.03553474,19.53817077
51.349761,5191024,265306400,0.749444,0.235888966,50.60240964,18.93463055
51.8102072,5486001,283899824,0.792031,0.311327824,51.38339921,18.90039085
51.6600617,3405406,175865834,0.491649,0.354959598,50.06501951,18.96597215
51.8001975,3463816,178641467,0.500082,0.396221395,51.61707633,18.779173
54.1825061,10548799,555227376,1.522963,0.613262547,63.95582329,20.26998547
53.7120502,6215650,333458976,0.897373,0.738925322,65.80578512,21.65306905
52.1605467,4756139,251256829,0.686659,0.705632912,55.33088235,21.66877238
51.950343,3967774,205888833,0.57284,0.654792714,59.48616601,21.11557507
51.650052,3079573,159116388,0.444608,0.583616532,58.38991271,20.52883512
50.0284806,5335099,269193968,0.770245,0.392217955,52.7607362,19.47251288
50.3087522,4195436,209811586,0.605708,0.260093447,49.67320261,18.88685518
49.9584127,2947667,147207822,0.425564,0.125737284,53.36008024,18.34334239
50.0485,3053734,152801094,0.440877,0.026212196,46.85714286,17.83892094
48.4969965,3746736,183138830,0.540928,-0.175563435,36.47540984,18.66356104
48.8973845,3030725,147469525,0.437555,-0.299767385,37.68844221,19.42894655
49.5880538,5030495,246777244,0.726268,-0.338662976,39.09626719,19.40353266
49.0875688,4677881,231682417,0.67536,-0.405132939,37.79677113,18.96782529
