date,code,open,high,low,close,volume,amount,turn,MACD,RSI,ADX
2021-01-04,sh.600309,2959.4894007,3119.75410911,2949.65721,3084.68596228,20779108,1938645348.4,1.4595,0.0,,
2021-01-05,sh.600309,3074.1982922,3238.0681372,3056.17260925,3199.39485378,24627077,2378965760.82,1.7297,2.573596924679805,,100.0
2021-01-06,sh.600309,3202.0167713,3284.93491287,3143.0236271,3225.61402898,20736405,2039655419.55,1.4565,4.092328361236923,,100.0
2021-01-07,sh.600309,3401.9379822,3548.10988394,3362.28147971,3506.48694331,55305421,5893180165.2,3.8845,14.823594205936388,,100.0
2021-01-08,sh.600309,3506.814683,3591.37152302,3496.9824923,3572.362621,28583705,3088863128.24,2.0076,22.96407440306257,,100.0
2021-01-11,sh.600309,3571.37940193,3643.48213373,3484.52838408,3561.54721123,24837309,2712871153.96,1.7445,26.963485472625052,,98.74308329409185
2021-01-12,sh.600309,3524.18488657,3729.6776722,3512.71399742,3703.78623669,25284811,2804848806.28,1.7759,35.50757764643549,,98.09195882607177
2021-01-13,sh.600309,3731.31637065,3873.22765642,3670.684528,3726.07253561,25014992,2879791546.93,1.757,41.72567119290579,,97.81513955634449
2021-01-14,sh.600309,3656.26398164,3722.13965933,3559.58077309,3593.66570085,23226723,2569565701.25,1.6314,38.82752512390607,,92.51632066175249
2021-01-15,sh.600309,3624.8009714,3636.59960024,3441.266745,3529.7564613,21945295,2359701186.14,1.5414,32.91483863307121,,84.63452069653333
2021-01-18,sh.600309,3549.09310301,3663.80199451,3478.95680935,3598.5817962,19395570,2125975527.81,1.3623,31.847343019474465,,78.6926971305326
2021-01-19,sh.600309,3602.18693279,3677.56706149,3474.040714,3522.87392781,19254043,2089901480.35,1.3523,26.472725966410053,,73.89673018848022
2021-01-20,sh.600309,3555.9756365,3645.12083218,3542.8660489,3603.49789155,13910116,1530773576.4,0.977,26.689892974009126,,69.93969208852415
2021-01-21,sh.600309,3644.4653528,3824.7221823,3621.19583481,3717.87904336,24393412,2788167981.87,1.7133,33.13489296727312,,68.19333762282935
2021-01-22,sh.600309,3716.89582429,3876.50505332,3688.71021095,3817.83964881,16485259,1920417013.85,1.1579,43.50444511128899,78.22356800403733,67.04813268959097
2021-01-25,sh.600309,3831.2769761,3909.9345017,3749.66979329,3818.49512819,19506458,2282324686.25,1.3701,50.865748321133196,76.12724757952971,66.26741922698959
2021-01-26,sh.600309,3778.51088601,3873.8831358,3726.07253561,3834.554373,13886840,1616892132.05,0.9754,56.8423475510599,75.9207589285714,65.05678449383946
2021-01-27,sh.600309,3868.31156107,3896.8249141,3681.49993777,3779.16636539,18456584,2125884030.5,1.2963,57.22944109394348,64.3646408839779,63.214598372911844
2021-01-28,sh.600309,3720.82870057,3797.84752772,3621.5235745,3650.03692753,16130100,1818237848.53,1.1329,48.54733245600028,53.83619294269989,60.45812575501529
2021-01-29,sh.600309,3761.14068244,3781.46054322,3621.5235745,3664.1297342,16400013,1854946607.47,1.1519,42.18841865306604,55.05001613423684,58.03096943629318
2021-02-01,sh.600309,3717.87904336,3967.94442683,3717.87904336,3967.94442683,27528156,3266915916.12,1.9335,56.869863733664715,61.21937639198218,57.238279775876016
2021-02-02,sh.600309,3971.87730311,3975.15470001,3787.03211795,3968.27216652,23055752,2752560631.61,1.6194,67.58075324230094,60.4822695035461,56.57608931839007
2021-02-03,sh.600309,3998.424218,4141.64646253,3925.01052744,4037.42524111,22275342,2764631580.79,1.5645,79.78449364926837,70.31812725090035,56.81888707183238
2021-02-04,sh.600309,4050.8625684,4273.7255576,4037.7529808,4260.61597,23835728,3065275599.41,1.6741,103.66482672609754,79.20377160817182,57.52670441546951
2021-02-05,sh.600309,4303.2221297,4322.55877141,4020.05503754,4055.77866375,28830973,3665209494.35,2.025,106.778775990957,66.47767540751241,58.05409538971681
2021-02-08,sh.600309,4056.43414313,4322.55877141,3958.43997582,4322.55877141,22902222,2933087879.4,1.6086,126.68383485815275,75.33222591362126,57.62857960748117
2021-02-09,sh.600309,4368.44232801,4502.81560091,4277.0029545,4502.81560091,24064419,3239089678.09,1.6902,153.48933907716855,76.796875,57.911363051370856
2021-02-10,sh.600309,4440.8727995,4624.07928621,4434.97348508,4602.12072698,19201336,2674446267.03,1.3486,179.7021944320786,76.58651951123373,58.5203331200361
2021-02-18,sh.600309,4801.3864585,4921.99466442,4649.64298203,4718.79605662,30570648,4464943310.7,2.1472,206.47522883672536,76.81951219512194,59.71027092680635
2021-02-19,sh.600309,4657.50873459,4794.8316647,4318.62589513,4505.76525812,31842389,4369687267.92,2.2365,209.50706221276778,68.16213407240603,57.8254875165991
2021-02-22,sh.600309,4588.35566,4648.98750265,4409.73752895,4435.95670415,37258483,5124062159.5,2.6169,204.3420399556694,65.45393296277584,56.10927635447754
2021-02-23,sh.600309,4445.13341547,4506.4207375,4224.5646041,4286.50740551,28745470,3818594461.88,2.019,186.9415109270476,62.43573264781492,53.2346387258252
2021-02-24,sh.600309,4369.75328677,4455.94882524,4133.78070997,4221.94268658,43807430,5747916483.51,3.0769,166.40031286465455,64.47652231624357,50.04244068527565
2021-02-25,sh.600309,4428.74643097,4506.4207375,4318.62589513,4370.40876615,29634087,3987642307.33,2.0814,159.47537937253946,66.73916420692869,47.359915027065725
2021-02-26,sh.600309,4322.8865111,4496.5885468,4285.85192613,4286.8351452,34315770,4581239631.65,2.4102,145.96672316337117,58.43885516045099,44.690966596749135
2021-03-01,sh.600309,4296.6673359,4374.99712181,4114.77180795,4265.20432566,38601831,5001401856.46,2.7113,132.09267015593832,57.77015437392795,41.261840950314664
2021-03-02,sh.600309,4326.163908,4329.11356521,3972.2050428,4012.18928498,42559249,5349493516.74,2.9892,100.6078999661595,49.397590361445786,38.84554665526564
