date,code,open,high,low,close,volume,amount,turn,MACD,RSI,ADX
2022-01-05,sh.600941,63.0,63.58,57.75,57.88,255365409,15259495685.34,54.2886,0.0,,
2022-01-06,sh.600941,57.88,59.33,57.58,58.0,116157682,6731421683.61,24.6942,0.0026923076923068834,,100.0
2022-01-07,sh.600941,57.8,58.06,57.59,57.62,63881165,3687982659.09,13.5806,-0.008353242874392208,,100.0
2022-01-10,sh.600941,57.7,59.49,57.68,58.8,75326858,4402100218.16,16.0139,0.029431191531266165,,93.33712243860451
2022-01-11,sh.600941,58.6,59.12,57.93,58.09,34700578,2030028650.86,7.3771,0.02109055334405241,,90.01481088744292
2022-01-12,sh.600941,58.29,58.29,57.8,58.11,25617132,1484862940.1,5.446,0.01653547809206657,,84.37612580595867
2022-01-13,sh.600941,58.01,58.01,57.78,57.81,24645018,1426048442.23,5.2393,-0.00026105943513954344,,80.16445812651423
2022-01-14,sh.600941,57.71,57.8,57.61,57.65,24019049,1385033374.86,5.1063,-0.019129025370659747,,73.8478470152009
2022-01-17,sh.600941,57.65,57.72,57.59,57.6,26815585,1544964783.45,5.7008,-0.03438436271289902,,68.80818318091534
2022-01-18,sh.600941,57.6,57.73,57.59,57.62,20774021,1196931882.59,4.4164,-0.04367564939588675,,64.98209434737743
2022-01-19,sh.600941,57.6,57.62,57.58,57.58,37308915,2148398655.67,7.9316,-0.051908188346018846,,61.78592399977224
2022-01-20,sh.600941,57.59,57.71,57.58,57.63,23180332,1335238843.19,4.9279,-0.054491124724656004,,59.7473819748094
2022-01-21,sh.600941,57.61,57.62,57.58,57.58,19184425,1104712930.04,4.0785,-0.05850826166776102,,58.065429501282225
2022-01-24,sh.600941,57.68,58.73,57.64,58.19,29709778,1724572860.57,6.3161,-0.025401977664444075,,59.86866784367768
2022-01-25,sh.600941,57.9,58.03,57.59,57.59,18436817,1063494095.33,3.9195,-0.03571572925271482,46.620046620046615,60.92918175746288
2022-01-26,sh.600941,57.59,58.0,57.58,57.63,18821205,1086086078.7,4.0012,-0.04066684563052547,45.60570071258909,61.74282719415445
2022-01-27,sh.600941,57.6,57.66,57.58,57.58,33978377,1956625176.24,7.2235,-0.04703231738574232,49.48453608247424,62.44525256184836
2022-01-28,sh.600941,57.59,57.61,57.58,57.58,29008049,1670419330.18,6.1669,-0.051329860742363564,27.407407407407334,63.056232413877886
2022-02-07,sh.600941,57.7,58.41,57.7,58.15,24754931,1437546474.42,5.2627,-0.017443405398438472,51.17187499999991,64.6344258986045
2022-02-08,sh.600941,58.22,62.5,58.22,61.3,39345289,2383895932.78,8.3645,0.21421569025187637,78.03163444639718,67.30103933162812
2022-02-09,sh.600941,60.8,67.43,60.7,67.43,51244290,3334124378.81,10.8941,0.7961907371819947,91.7534722222222,69.96481149215217
2022-02-10,sh.600941,68.0,68.4,64.46,66.0,42181436,2792374406.89,10.5296,1.1413560354355923,82.64268960125095,72.36378536456884
2022-02-11,sh.600941,65.51,67.47,64.9,66.61,27567357,1823478191.44,6.8816,1.4369592537925442,83.74531835205988,74.5047235308152
2022-02-14,sh.600941,66.48,67.61,63.8,64.01,22758754,1488716256.36,5.6812,1.4708450416387393,70.05649717514125,74.65913503534084
2022-02-15,sh.600941,63.93,64.65,62.5,62.9,15999425,1014408908.02,3.9939,1.4027500578023648,65.64705882352939,73.04182774024392
2022-02-16,sh.600941,63.28,64.35,62.76,63.5,15860582,1006268766.08,3.9592,1.3754323455278623,66.7236467236467,71.58466388743255
2022-02-17,sh.600941,63.6,64.57,61.44,61.88,18282727,1145192284.39,4.5639,1.2232468444090614,61.244769874476994,68.80675587366522
2022-02-18,sh.600941,61.47,63.05,61.3,62.8,12345353,769923002.91,3.0817,1.156110042739094,61.863098301595464,66.1400468733482
2022-02-21,sh.600941,62.98,64.1,62.68,63.53,14266367,904737562.32,3.5613,1.1429061191883036,65.18404907975457,64.2226076332079
2022-02-22,sh.600941,62.8,63.73,61.49,62.3,13392042,836344411.82,3.343,1.0299983957175272,61.253012048192744,61.260703238371335
2022-02-23,sh.600941,62.1,63.79,62.1,63.09,9221475,582529010.93,2.3019,0.9876588899931562,62.819916240111674,58.596797130677544
2022-02-24,sh.600941,62.8,63.0,60.94,61.72,9444993,585586571.74,2.3577,0.8423056493520846,59.05511811023621,55.0881007105857
2022-02-25,sh.600941,62.2,62.34,60.94,61.06,9555678,585932194.1,2.3854,0.6700910808965617,56.33986928104576,51.88361575809292
2022-02-28,sh.600941,60.98,61.18,59.22,60.54,8002998,483160720.0,1.9978,0.4889938075893454,48.129921259842526,48.080209666064185
2022-03-01,sh.600941,60.54,60.65,59.9,60.37,7004310,422036800.0,1.7485,0.32900772649846033,25.417827298050142,44.597864130398335
2022-03-02,sh.600941,60.01,60.95,59.96,60.48,5147246,311265056.0,1.2849,0.20834716479755144,28.834355828220865,41.164590335121495
2022-03-03,sh.600941,60.39,62.95,60.23,62.05,13645859,845440144.0,3.4064,0.23013334533874286,33.71428571428572,39.367986414697945
2022-03-04,sh.600941,61.44,63.2,61.1,61.71,7769847,482899216.0,1.9396,0.2187504292526583,40.20442930153322,37.86548785936205
2022-03-07,sh.600941,61.5,61.93,60.68,61.48,8606539,527895392.0,2.1484,0.18982059973179588,43.4622467771639,36.113984368013504
2022-03-08,sh.600941,61.47,61.87,59.86,61.05,8105448,495002928.0,2.0233,0.13214994619327314,38.54069223573433,33.81767339144365
2022-03-09,sh.600941,60.9,61.4,58.7,60.24,8524172,513019424.0,2.1279,0.023413108931677584,41.7004048582996,31.69223456566728
2022-03-10,sh.600941,60.72,61.15,59.81,59.87,7170705,433033664.0,1.79,-0.09042275423071544,34.297963558413755,29.734479661258373
2022-03-11,sh.600941,59.28,60.35,58.55,60.1,8064343,478591840.0,2.0131,-0.16078411865842668,30.577576443941155,28.77050621204676
2022-03-14,sh.600941,59.6,63.3,59.46,60.56,12222221,750411520.0,3.051,-0.17848719259492185,39.20595533498765,27.3825780191618
2022-03-15,sh.600941,60.49,60.49,59.0,59.13,10037219,599339616.0,2.5056,-0.301073600207026,27.241379310344854,25.796588249374008
2022-03-16,sh.600941,59.69,61.86,59.38,61.21,10366099,625681072.0,2.5877,-0.2321526237883802,47.29011689691818,25.076820328000615
2022-03-17,sh.600941,61.91,62.2,60.42,61.03,7845907,478480352.0,1.9585,-0.1895243172844232,49.83202687569988,24.584368304189862
2022-03-18,sh.600941,60.83,61.84,60.54,61.78,5397223,331340975.6,1.3473,-0.09552143960686266,56.76855895196507,24.129406279558918
2022-03-21,sh.600941,61.58,63.84,61.33,62.71,7168380,449238818.06,1.7894,0.051797158121566156,61.7943548387097,24.664838888708495
2022-03-22,sh.600941,62.3,64.53,62.3,64.26,7983522,507305507.63,1.9929,0.2877889507187277,66.63732394366201,25.441152879463807
2022-03-23,sh.600941,64.08,65.46,63.6,64.55,7587236,491168887.85,1.894,0.49204811426337614,62.40079365079365,26.514962822211235
2022-03-24,sh.600941,65.02,69.62,64.65,66.75,16528877,1110230501.37,4.1261,0.8189352179014904,71.10552763819094,28.67082885626885
2022-03-25,sh.600941,66.75,68.0,65.2,66.0,8753122,581316249.57,2.185,1.0067345771739653,68.13804173354737,30.66577629845579
2022-03-28,sh.600941,64.8,68.45,64.4,68.2,9825730,656602266.74,2.4528,1.3152828826679581,75.12297962052004,31.99387641787321
2022-03-29,sh.600941,68.2,69.18,67.45,68.0,7834188,535917006.58,1.9556,1.5262123574312554,78.48751835535973,33.411490674551196
2022-03-30,sh.600941,67.88,69.06,66.89,67.36,8149139,550487791.52,2.0342,1.6235948026847353,76.96184305255579,34.28281333950871
2022-03-31,sh.600941,67.0,67.55,65.96,66.86,6023685,401503277.75,1.5037,1.6419165256714336,73.87005649717513,34.38364051803448
2022-04-01,sh.600941,66.68,68.68,66.46,68.38,5782059,393442113.12,1.4434,1.7574813933621982,75.68988173455978,34.85251132376727
2022-04-06,sh.600941,67.98,68.26,65.88,67.38,7060501,472502581.73,1.7625,1.748968930167024,77.89046653144014,34.85232464088166
2022-04-07,sh.600941,66.73,68.2,66.59,67.38,5363226,361754940.66,1.3388,1.722339863745674,74.27222659323365,34.85215164649892
2022-04-08,sh.600941,67.1,69.68,66.78,69.56,10997508,756037148.32,2.7453,1.8542500336064052,78.99388171312032,35.37928455220944
2022-04-11,sh.600941,69.18,70.8,68.01,68.86,10513754,730170876.45,2.6245,1.8810281177693327,74.14733969986355,36.217301454420344
2022-04-12,sh.600941,68.62,69.4,67.75,68.95,6121275,420727232.86,1.528,1.887671834811698,72.57597684515193,36.77698878389699
2022-04-13,sh.600941,68.7,71.28,68.28,70.21,7342799,514255426.19,1.833,1.9711760563530731,71.98817442719877,37.85153326935186
2022-04-14,sh.600941,70.21,70.99,64.88,67.65,20509546,1374994505.79,5.1197,1.811166932849062,59.81012658227851,36.53878066511618
2022-04-15,sh.600941,66.31,66.58,64.6,64.69,11801229,772750534.57,2.9459,1.4303946878271319,43.78019323671497,35.16293022418292
2022-04-18,sh.600941,64.6,66.27,64.4,65.63,6006490,394331956.86,1.4994,1.1903600607464995,48.89552238805969,33.768991650439645
2022-04-19,sh.600941,65.33,66.49,65.33,66.02,3334659,220083044.8,0.8324,1.0196921044287706,42.70414993306557,32.57454650506818
2022-04-20,sh.600941,66.0,66.7,65.8,66.03,6679602,442051298.47,1.6674,0.8751512642867141,43.32203389830509,31.56447052248826
2022-04-21,sh.600941,65.8,66.3,63.92,64.55,5595841,363118128.94,1.3969,0.6343726757907717,40.987812700449,29.462285759998668
2022-04-22,sh.600941,64.0,66.31,63.17,65.8,5925242,384955859.29,1.4791,0.5378271776261698,46.7564259485924,27.58247225852531
2022-04-25,sh.600941,65.0,67.0,64.89,65.82,8866139,588904215.42,2.2132,0.4576467575456178,41.37466307277627,25.75201439355668
2022-04-26,sh.600941,65.49,65.82,63.88,64.08,6193213,401071401.57,1.546,0.25127696150936174,39.40949935815148,24.30980085863829
2022-04-27,sh.600941,63.8,64.53,62.2,64.0,8408818,534108189.21,2.0991,0.08037113770863868,39.20817369093233,23.781608122363153
2022-04-28,sh.600941,63.99,65.0,63.7,64.77,4216271,272157760.07,1.0525,0.0068061842132465245,33.192982456140314,22.99955967800243
2022-04-29,sh.600941,64.29,66.42,64.22,64.96,6107038,397439367.37,1.5245,-0.03578962541685371,35.80786026200869,21.450576128881277
2022-05-05,sh.600941,64.96,65.29,64.24,64.56,3846098,248840297.4,0.9601,-0.10058298543773958,34.37722419928822,20.013060035641967
2022-05-06,sh.600941,63.77,64.5,63.28,63.99,4188714,268183171.76,1.0456,-0.1955644714223297,26.721556886227532,19.200856064422833
2022-05-09,sh.600941,63.83,64.9,63.62,64.64,3673789,236766874.5,0.9171,-0.21600704932592407,36.85589519650651,18.19724910547407
2022-05-10,sh.600941,63.9,64.39,63.37,63.65,4219532,268941186.82,1.0533,-0.30837938145521093,44.51476793248944,17.40929054418611
2022-05-11,sh.600941,63.46,63.6,62.0,62.49,9865138,617032040.09,2.4626,-0.46960073748761033,33.81443298969073,17.41499296060118
2022-05-12,sh.600941,62.17,63.3,62.03,63.16,5523786,346957270.82,1.3789,-0.5372008326757509,35.67134268537072,17.42028596519333
2022-05-13,sh.600941,63.01,64.68,63.01,64.38,5084914,325931625.7,1.2693,-0.48686942984856785,42.62734584450397,16.46046992618052
2022-05-16,sh.600941,64.4,65.27,64.08,65.07,3604467,233654480.77,0.8998,-0.3869239788862444,52.499999999999986,15.368358408964717
2022-05-17,sh.600941,64.95,65.8,64.76,65.08,3104868,202016630.06,0.7751,-0.30341351583720666,46.06986899563317,14.681804786757615
2022-05-18,sh.600941,65.08,66.58,64.91,66.39,4295217,282699910.17,1.0722,-0.13015595532115753,52.72727272727277,14.505238298976343
