date,code,open,high,low,close,volume,amount,turn,MACD,RSI,ADX
2021-01-04,sz.002230,557.5829004,558.929719,546.1349423,556.37076366,59521995,2448861648.92,2.9372,0.0,,
2021-01-05,sz.002230,551.11817112,585.866091,549.63667066,573.7447236,69904902,2975428185.89,3.4496,0.38980038326928934,,100.0
2021-01-06,sz.002230,573.0713143,581.55627148,560.2765376,566.3372213,49237736,2078025672.82,2.4297,0.26697685544809246,,100.00000000000001
2021-01-07,sz.002230,565.79849386,580.07477102,562.9701748,575.7649515,50599277,2149053295.48,2.4969,0.5449559903300951,,100.00000000000001
2021-01-08,sz.002230,576.57304266,588.29036448,572.26322314,579.8054073,50024660,2153506902.94,2.4686,0.8453120340562918,,100.0
2021-01-11,sz.002230,582.4990445,599.46895886,569.30022222,577.51581568,61471820,2679163701.07,3.0334,0.9120734151817942,,96.72932480476058
2021-01-12,sz.002230,570.78172268,599.06491328,561.6233562,596.91000352,64272249,2789081069.68,3.1716,1.817767383061664,,88.4525167364784
2021-01-13,sz.002230,604.58686954,644.85674568,604.58686954,624.9238304,96965011,4507027998.1,4.7849,3.7281679523879347,,86.64839015956912
2021-01-14,sz.002230,620.2099653,631.38855968,597.9874584,601.3545049,66892909,3028462337.64,3.3009,3.8249987268052337,,83.19812006877825
2021-01-15,sz.002230,601.89323234,609.4354165,581.01754404,594.48573004,50459634,2228145563.76,2.49,3.4842324029632437,,76.41578648620784
2021-01-18,sz.002230,592.46550214,604.45218768,585.1926817,592.19613842,43148005,1905009167.66,2.1292,3.0671464500073853,,71.03410506877943
2021-01-19,sz.002230,628.42555876,651.45615682,622.2301932,628.9642862,154480206,7401535186.66,7.6231,4.7393416877056325,,69.5232327045815
2021-01-20,sz.002230,633.004742,649.03188334,624.9238304,633.94751502,77349408,3661871785.1,3.8169,6.198111131608357,,68.27664790082065
2021-01-21,sz.002230,635.42901548,697.38267108,635.15965176,697.38267108,135533972,6802404044.1,6.6882,10.885977721902805,,68.62895551037874
2021-01-22,sz.002230,697.6520348,704.11676408,677.4497558,698.05608038,92099829,4731897219.82,4.5448,14.322399856851916,81.27229488703922,69.06246994620187
2021-01-25,sz.002230,703.0393092,733.07336398,678.66189254,679.20061998,118136604,6163196607.52,5.8297,15.606341326299457,73.1246308328411,69.91478088262043
2021-01-26,sz.002230,673.13993628,678.7965744,646.20356428,655.63129448,77863100,3812447812.81,3.8423,14.933275113590526,68.28461114175397,67.63036138069862
2021-01-27,sz.002230,654.68852146,666.80988886,643.64460894,664.11625166,50142188,2450494895.31,2.4744,14.769466459257615,68.16168327796233,65.43883591081006
2021-01-28,sz.002230,646.472928,649.30124706,625.19319412,629.6376955,63688335,3012173446.92,3.1428,12.252175427745783,59.10433070866141,62.14545980209041
2021-01-29,sz.002230,639.738835,643.7792908,615.09205462,629.6376955,42853026,2006533189.67,2.1147,10.164130198005978,59.60297766749379,58.570907186427846
2021-02-01,sz.002230,630.9845141,658.5942954,630.9845141,644.99142754,52139326,2507377634.28,2.5729,9.444819990962742,58.992443324937014,55.959530998726
2021-02-02,sz.002230,649.1665652,665.05902468,647.95442846,664.52029724,51055264,2496092603.32,2.5194,10.085307806693208,57.64828303850154,53.863873035172546
2021-02-03,sz.002230,664.38561538,680.54743858,598.12214026,598.12214026,119659218,5608338361.3,5.9048,5.9515175609972175,49.46428571428571,49.868615809689025
2021-02-04,sz.002230,617.24696438,623.5770118,600.6810956,610.1088258,88319456,4018215918.92,4.3583,3.494694572719368,52.5460930640913,46.290488502076464
2021-02-05,sz.002230,614.1492816,616.43887322,583.1724538,588.29036448,60603608,2674485360.85,2.9906,0.026583850809402065,49.401568303755674,42.32605363880631
2021-02-08,sz.002230,594.88977562,610.51287138,584.5192724,596.10191236,35766260,1586487968.4,1.7649,-2.1249766469543374,44.474637681159436,38.754171413891086
2021-02-09,sz.002230,621.01805646,655.76597634,617.24696438,655.76597634,58867580,2806267074.38,2.9049,0.45259810673883294,53.09869931140015,37.14410542621948
2021-02-10,sz.002230,669.09948048,721.35604216,662.6347512,721.2213603,99911445,5217152007.11,4.9303,7.1375006511693755,53.366298972993526,37.22979589723454
2021-02-18,sz.002230,734.016137,738.7300021,706.00231012,706.00231012,80037263,4284599770.77,3.9496,11.173186941530162,51.07782243332115,37.62112599195348
2021-02-19,sz.002230,721.62540588,723.9149975,679.4699837,694.9583976,60765383,3138259595.08,2.9986,13.391894503996355,52.183650615901456,36.912734444190036
2021-02-22,sz.002230,714.08322172,734.55486444,694.55435202,695.6318069,75039693,3979920706.43,3.703,15.018862226062538,55.918692706257474,36.48696998210596
2021-02-23,sz.002230,686.877486,765.26232852,682.8370302,765.26232852,64798614,3585558718.93,3.1976,21.241867932111063,62.67296658791766,36.24691998493983
2021-02-24,sz.002230,774.28601314,777.51837778,688.76303204,689.70580506,145786870,7799165208.67,7.1941,20.26541724511344,56.82374541003673,36.24916485987164
2021-02-25,sz.002230,684.1838488,688.2243046,657.2474768,663.03879678,80502346,4000203789.23,3.9725,17.28248055130871,53.57761107905367,35.13481435175883
2021-02-26,sz.002230,644.85674568,660.47984144,628.69492248,649.30124706,52304413,2501971379.82,2.5811,13.722316297001498,50.46323103647945,33.23576187085099
2021-03-01,sz.002230,658.32493168,666.54052514,643.7792908,663.9815698,43534130,2125264989.04,2.1483,11.883448528309373,49.94148624926857,31.638221669503697
2021-03-02,sz.002230,659.941114,690.64857808,653.74574844,669.09948048,53765413,2673698461.08,2.6531,10.69463122261061,58.89301383732704,30.72060557199509
2021-03-03,sz.002230,662.6347512,671.3890721,650.91742938,666.54052514,36111086,1777371256.07,1.782,9.447382665213468,57.24161769789146,29.78460406583634
2021-03-04,sz.002230,661.2879326,661.2879326,631.79260526,639.738835,46981254,2241808906.62,2.3184,6.322473209100281,56.51877133105802,28.30138721160036
2021-03-05,sz.002230,627.21342202,652.39892984,622.76892064,641.62438104,36555404,1737145688.44,1.8039,3.948040941062686,55.85585585585586,26.653746873771695
2021-03-08,sz.002230,651.32147496,655.76597634,618.32441926,619.67123786,38816318,1836336745.05,1.9155,0.36161794389340685,44.85801995395243,25.090134844988924
2021-03-09,sz.002230,615.4961002,650.64806566,606.06837,627.88683132,53703368,2515656334.19,2.6501,-1.8187199950832564,34.112792297111426,23.25811156943522
2021-03-10,sz.002230,643.7792908,648.62783776,619.94060158,625.86660342,34334857,1610881214.31,1.6943,-3.6606553555933488,35.71771483437351,21.56960117810074
2021-03-11,sz.002230,629.36833178,643.7792908,626.40533086,632.73537828,35266227,1662726944.5,1.7403,-4.530141997976671,38.74269005847952,20.012492529329776
2021-03-12,sz.002230,639.738835,663.57752422,626.9440583,658.86365912,54964960,2653740007.48,2.7123,-3.135213332194553,43.908969210174014,19.243465409559118
2021-03-15,sz.002230,651.1867931,653.8804303,614.28396346,624.51978482,47795150,2245003852.42,2.3585,-4.673093439871423,23.5977766548762,18.057131708969482
2021-03-16,sz.002230,628.69492248,628.82960434,599.334277,608.35796162,34554241,1569319349.7,1.7051,-7.081161231349483,30.36410923276982,17.0142403485385
2021-03-17,sz.002230,603.3747328,624.78914854,594.88977562,613.74523602,29767352,1351902799.22,1.4689,-8.466209997631495,36.73913043478261,16.20465685635959
2021-03-18,sz.002230,616.8429188,627.88683132,611.4556444,619.536556,25614246,1177654042.52,1.264,-9.002026366420296,41.63512490537471,15.331245234775743
2021-03-19,sz.002230,607.4151886,611.72500812,598.6608677,601.48918676,27499935,1235368827.04,1.357,-10.729977197023004,32.76374442793464,14.99171921073284
2021-03-22,sz.002230,604.31750582,642.16310848,601.75855048,632.87006014,40575749,1883755859.8,2.0023,-9.503270667974562,41.27190136275144,14.292650483133452
2021-03-23,sz.002230,632.46601456,637.0451978,613.20650858,617.78569182,24932924,1152581589.76,1.2304,-9.616739814117636,38.922888616891065,13.645938635675192
2021-03-24,sz.002230,615.4961002,626.13596714,601.75855048,604.85623326,23519574,1066175805.1,1.1606,-10.610952674922032,41.54147615937294,12.713075562366273
2021-03-25,sz.002230,598.6608677,613.4758723,596.37127608,605.12559698,22690127,1018830644.08,1.1197,-11.247337609556325,41.079657669519406,12.062182347259094
2021-03-26,sz.002230,608.22327976,649.30124706,607.28050674,641.0856536,54932352,2585972125.74,2.7107,-8.787422051833687,54.898336414048046,12.223804549099981
2021-03-29,sz.002230,650.78274752,662.6347512,637.31456152,639.46947128,32887488,1581349199.19,1.6229,-6.887474742658583,52.73189326556543,12.779641498011333
