date,code,open,high,low,close,volume,amount,turn,MACD,RSI,ADX
2014-06-03,sz.002714,39.35,39.7,38.82,39.55,393308,15517643.0,0.650096,0.0,,
2014-06-04,sz.002714,39.67,39.68,37.71,37.87,1355454,51660714.0,2.24042,-0.03769230769230347,,100.0
2014-06-05,sz.002714,37.52,37.96,37.31,37.73,1255787,47189853.0,2.075681,-0.052368873049772446,,100.0
2014-06-06,sz.002714,37.66,39.0,37.66,38.18,674812,25905238.0,1.115392,-0.04151355596346207,,68.53302835097067
2014-06-09,sz.002714,38.18,39.06,37.8,38.5,1053230,40766132.0,1.740876,-0.02200743772454672,,52.013144588110315
2014-06-10,sz.002714,38.78,40.41,38.53,39.9,1215755,48074828.0,2.009512,0.04999687107144268,,47.754992318790116
2014-06-11,sz.002714,39.88,39.98,39.21,39.3,450901,17810492.0,0.745291,0.06813174598173077,,44.92915586110297
2014-06-12,sz.002714,39.48,40.02,39.12,39.4,525658,20840113.0,0.868856,0.08395224925578759,,42.389257325641566
2014-06-13,sz.002714,39.36,40.1,39.13,39.58,785752,31226972.0,1.298764,0.10256073620688255,,40.79613142078101
2014-06-16,sz.002714,39.98,41.5,39.61,40.98,1623407,66258684.0,2.683317,0.18638203695024913,,42.912073724844014
2014-06-17,sz.002714,40.81,41.35,40.55,41.11,816596,33515181.0,1.349745,0.25126460833509867,,44.59104265780689
2014-06-18,sz.002714,40.88,40.98,39.1,40.21,665828,26524578.0,1.100542,0.2459769886914387,,40.21694751443932
2014-06-19,sz.002714,40.2,40.2,38.2,38.69,569568,22256273.0,0.941435,0.15293054288558494,,36.237063664926794
2014-06-20,sz.002714,38.37,40.39,38.37,40.26,355580,14139842.0,0.587736,0.1722889785428805,,32.46616387090149
2014-06-23,sz.002714,40.26,41.7,40.0,40.75,830598,34015828.0,1.372889,0.2137672942673774,55.51470588235295,30.86475598207732
2014-06-24,sz.002714,40.75,40.93,39.38,39.9,629185,25085912.0,1.039975,0.19100174255486024,60.09950248756219,28.288552217482223
2014-06-25,sz.002714,39.62,42.58,39.05,42.58,1385870,56937904.0,2.290694,0.337120117822721,69.26131850675138,27.596164947117494
2014-06-26,sz.002714,42.0,44.8,42.0,43.81,2589207,112816751.0,4.279681,0.5224359423895777,71.05459985041136,28.797574804774246
2014-06-27,sz.002714,43.17,44.2,42.65,43.28,1863607,80630001.0,3.080342,0.6244995430912041,67.59941089837997,29.849424253046084
2014-06-30,sz.002714,42.98,44.2,42.5,44.05,1253014,54586418.0,2.071098,0.7458207366558511,66.023166023166,30.541250706571226
2014-07-01,sz.002714,44.08,44.39,43.58,44.04,871620,38300586.0,1.440694,0.829956221964423,69.1747572815534,31.29076800419951
2014-07-02,sz.002714,44.0,44.0,42.3,43.4,1147161,49440969.0,1.896134,0.8422767581733126,65.50387596899225,30.119704981973083
2014-07-03,sz.002714,43.2,43.2,42.3,42.52,877179,37499464.0,1.449883,0.7820611818459469,60.808823529411775,29.074602512041356
2014-07-04,sz.002714,42.75126628,43.70643333,42.50996092,42.98251725,549838,23579420.0,0.908823,0.7578588660264742,57.90726366039108,28.58729896179511
2014-07-07,sz.002714,42.81159262,43.38469285,41.47435875,42.228438,824086,34501171.0,1.362126,0.6777144431751978,54.20889578456001,26.857427485398325
2014-07-08,sz.002714,42.13794849,43.11322432,41.5246307,42.228438,1129702,47478579.0,1.867276,0.6073837879132711,58.1476699430711,25.29884539462519
2014-07-09,sz.002714,42.15805727,42.67083116,41.222999,41.66539216,840030,34971796.0,1.388479,0.5055790362680952,63.01612102763317,23.532843456695403
2014-07-10,sz.002714,41.27327095,41.90669752,41.27327095,41.4240868,733130,30214657.0,1.211785,0.4030516038540526,55.76226525754608,21.933947083003375
2014-07-11,sz.002714,41.3235429,42.21838361,40.42870219,42.17816605,1291498,53090593.0,2.134707,0.3727281074240807,56.88935039382604,20.414526811261805
2014-07-14,sz.002714,42.228438,45.22464622,42.19827483,44.48062136,1401595,61617979.0,2.316686,0.511957081157945,69.38069911686927,20.95834077717789
2014-07-15,sz.002714,44.239316,47.13498032,43.74665089,45.79774645,1383524,63151398.0,2.286817,0.7110983383869396,65.38913104182723,22.433524694650476
2014-07-16,sz.002714,45.45589719,47.3561769,44.50073014,45.7474745,864009,39440773.0,1.428114,0.8547696408936787,60.44474239141853,23.8776210878776
2014-07-17,sz.002714,45.97872547,46.1496501,44.60127404,45.8480184,309834,14027826.0,0.512122,0.9646361904519125,64.51608556162697,25.196511241937806
2014-07-18,sz.002714,45.244755,46.82329423,44.8425794,46.6523696,521135,24066901.0,0.86138,1.0992986643727534,64.65335425638744,26.716323080543823
2014-07-21,sz.002714,46.6523696,47.71813494,45.32519012,47.4567208,742846,34582743.0,1.227845,1.2521425389052467,67.65906781280576,28.486844445131336
2014-07-22,sz.002714,46.58198887,52.06163142,46.38090107,49.55808831,986760,49100997.0,1.631008,1.5153064448271323,77.65072120816035,31.338879217248454
2014-07-23,sz.002714,49.9703183,51.83038045,47.76840689,49.72901294,1049136,51402465.0,1.734109,1.7166763473734932,84.57090018723919,33.95564463526025
2014-07-24,sz.002714,49.9703183,50.18146049,47.12492593,48.7637915,964642,47008909.0,1.59445,1.7813140866204904,76.44894204231835,35.70957940435466
